Noun	CountWithThat	CountWithoutThat
Abkommen	3	3339
Absicht	40	6127
Andeutung	8	148
Anerkennung	7	6679
Angabe	101	10046
Angebot	22	13273
Angst	57	3506
Anhaltspunkt	0	34
Ankündigung	80	1758
Annahme	2260	9298
Anordnung	25	4486
Anschein	118	1376
Ansicht	3519	8418
Anzeichen	22	247
Argument	332	2401
Argumentation	28	895
Art	81	70452
Aspekt	60	2193
Auffassung	2542	5931
Aufforderung	16	1731
Auflage	265	4801
Aufruf	3	1955
Ausgleich	1	2049
Auskunft	42	517
Aussage	483	7292
Ausschlag	16	1091
Aussicht	40	1994
Bedenken	8	495
Bedingung	1478	9278
Befürchtung	298	1075
Begründung	902	6392
Behauptung	379	2943
Beispiel	14	2838
Beitrag	0	4906
Bekräftigung	3	59
Beleg	9	479
Beobachtung	397	4277
Bericht	43	8218
Berufung	1	4518
Besonderheit	290	3718
Besorgnis	15	172
Bestimmung	129	9345
Bestätigung	61	2119
Bewegung	4	13834
Beweis	236	2585
Bezeichnung	2	68922
Blamage	0	33
Blick	5	5919
Brauch	55	1829
Chance	89	5989
Darstellung	38	21322
Designer	0	1156
Dilemma	19	336
Drohung	24	910
Druck	5	10615
Effekt	176	3472
Eilantrag	0	29
Eindruck	697	9624
Einigkeit	0	182
Einigung	5	1110
Einschränkung	207	1788
Einschätzung	137	1559
Einsicht	298	969
Einstellung	19	7348
Einwand	52	567
Empfehlung	11	2520
Entdeckung	161	9159
Entscheidung	100	17164
Erfahrung	173	6476
Ergebnis	2428	39237
Erkenntnis	1234	5530
Erklärung	108	3994
Erstaunen	3	66
Erwartung	194	4863
Experte	5	998
Fall	1796	34915
Fazit	102	870
Fehler	15	2359
Festlegung	33	2375
Feststellung	496	2118
Folge	684	74359
Forderung	217	9310
Freude	6	1834
Furcht	23	917
Fähigkeit	5	8755
Garantie	23	555
Gedanke	437	6622
Gefahr	1478	11961
Gefühl	321	4529
Geheimnis	5	4138
Geld	7	11642
Genehmigung	7	5313
Gerät	5	7480
Gerücht	334	2351
Gesetz	37	24285
Gewähr	6	110
Glaube	298	6510
Glück	55	2483
Grund	279	19275
Grundsatz	272	4759
Haltung	13	3498
Hersteller	14	10926
Hintergrund	293	12839
Hinweis	835	4242
Hoffnung	919	7661
Hypothese	300	1835
Idee	579	26292
Indiz	4	207
Information	217	5806
Interesse	4	17562
Irritation	0	77
Kick	0	91
Klage	12	2748
Kommentar	13	1433
Konsequenz	107	2106
Konzept	48	16734
Kraft	1	6818
Kritik	70	13369
Kunde	19	8881
Label	9	14629
Land	25	121944
Lehre	81	9381
Lösung	6	6973
Mal	0	108
Markt	6	30702
Maß	13	5032
Mehrheit	0	12879
Meinung	2983	8240
Meldung	119	1633
Menge	5	9517
Mensch	54	58903
Mitteilung	137	919
Motto	2	7268
Mutmaßung	15	71
Möglichkeit	1091	45422
Nachricht	949	7698
Nachteil	592	2651
Nachweis	463	4538
Notwendigkeit	59	6784
Parole	1	616
Pech	54	232
Philosophie	14	12502
Phänomen	236	4064
Plan	33	22629
Position	206	23501
Potenzial	1	802
Preis	33	26534
Pressemitteilung	3	145
Prinzip	127	11866
Problem	664	15141
Produkt	0	11003
Prognose	23	1457
Punkt	39	7143
Recht	23	22487
Rechtsauffassung	5	117
Rede	97	9345
Regel	341	78186
Regelung	182	4986
Regierung	87	64319
Resultat	71	3393
Risiko	296	6156
Sache	20	6229
Schaltung	0	788
Schar	0	259
Schauspieler	5	12772
Schilderung	4	1746
Schluss	3060	6318
Schätzung	6	953
Sein	0	1450
Sicherheit	35	6406
Sicherheitsmangel	0	18
Signal	13	4310
Sinn	462	5048
Situation	179	14656
Slogan	0	2083
Sorge	106	1256
Spekulation	16	505
Standpunkt	353	1367
Statement	0	81
System	13	23583
Tatsache	11048	14348
Theorie	422	10831
These	1212	5414
Trend	32	1855
Umstand	3178	7856
Unternehmen	59	111269
Unterstützung	0	14996
Ursache	47	9412
Urteil	122	10198
Verdacht	665	5775
Vereinbarung	42	2592
Verfahren	12	14964
Verfügung	12	617
Vermittlung	0	4164
Vermutung	903	3543
Versicherer	2	865
Version	21	8646
Versprechen	83	1851
Verständnis	28	2916
Vertrauen	13	3882
Verwaltung	5	26473
Vision	21	1486
Voraussetzung	565	6285
Vorbehalt	74	673
Vorbereitung	2	10060
Vorgabe	60	3467
Vorschrift	67	3479
Vorsprung	0	1085
Vorstellung	763	9813
Vorteil	2229	9334
Vorwurf	217	8509
Wahrheit	23	7116
Wahrscheinlichkeit	801	4432
Warnsignal	0	43
Warnung	28	1047
Weise	197	3293
Wort	121	35864
Wunder	4	1420
Wunsch	108	10625
Zeichen	31	5211
Zeichnung	1	4022
Zeit	103	151210
Ziel	145	41293
Zufall	17	890
Zusage	97	1134
Zusicherung	53	463
Zuversicht	11	98
Zweifel	3	651
Überlegung	168	1423
Überzeugung	1261	2755
