"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Eff.Sample"	"Rhat"
"Intercept"	7.06798277054403	0.0202056409932846	7.02774431870798	7.10746621619663	900.169558993603	1.00428938748949
"trial"	-0.00464179612576424	0.000343576958740289	-0.00530929870574329	-0.00396134915424901	4000	1.00024955688784
"HasRC.C"	0.29036419922267	0.016074000376992	0.258284740979923	0.321247643275141	4000	1.00006512588869
"compatible.C"	0.0753341794366095	0.015462274473418	0.0436949441685718	0.106023062632377	4000	1.00099435531048
"EmbeddingBias.C"	-0.0152746505145962	0.00406527686952413	-0.0234545347933106	-0.0074733449991789	4000	0.999578395726372
"HasSC.C"	0.0510695455225518	0.0256042023467611	0.00049603346608881	0.102303204731638	4000	0.999546705953266
"HasRC.C:compatible.C"	0.0639946999576481	0.0250167573791925	0.015616701392719	0.11283307562644	4000	0.999307024562338
"HasRC.C:EmbeddingBias.C"	-0.0226850927054789	0.00899719554914095	-0.0409675922139231	-0.00434998097415751	4000	0.999422789640017
"EmbeddingBias.C:HasSC.C"	-0.0732306083106991	0.0167795565996993	-0.107836378535476	-0.0408456992699534	4000	1.00109872784316
"compatible.C:EmbeddingBias.C"	0.00852782998446084	0.00842215853613158	-0.0081797200017807	0.0256151236839392	4000	0.99955378717742
