"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Eff.Sample"	"Rhat"
"Intercept"	7.06831487364407	0.0202116275126472	7.02982623484234	7.10717327075524	689.775896219067	1.0051572283211
"trial"	-0.00464888876626148	0.000340501647359826	-0.00531083303905168	-0.00399884052179944	4000	0.999964577592184
"HasRC.C"	0.28925098962082	0.016060182545123	0.256458035455807	0.320176625483725	4000	0.999255496750476
"compatible.C"	0.0743572534354133	0.015547654372972	0.0429469947701301	0.105194584981839	3607.26024370927	0.999529419854608
"EmbeddingBias.C"	-0.0144213684810198	0.00449045146294921	-0.0230241376165403	-0.0052798487945971	4000	0.999513696852723
"HasSC.C"	0.0473535687659592	0.0237869455757948	0.00156192948054726	0.0947935975046176	3223.62822136845	0.999720515316206
"HasRC.C:compatible.C"	0.0642366185127962	0.0242176873287205	0.0157612514493421	0.112852283804052	4000	0.999901714048122
"HasRC.C:EmbeddingBias.C"	-0.0231993946216249	0.00914916593329136	-0.0407536396244339	-0.00442436237565571	4000	0.999745606043596
"EmbeddingBias.C:HasSC.C"	-0.0807659437033428	0.0156154277015416	-0.110673109432721	-0.0504530025919102	4000	1.0001714180381
"compatible.C:EmbeddingBias.C"	0.000530730429569601	0.00838352371892967	-0.0154112816443613	0.016990117133551	4000	0.999289623262863
