Noun	CountWithThat	CountWithoutThat	True_False	False_False	True_Minus_False
19	consciente	0	46	-Inf	3.8286413964891	-Inf
23	contar	0	110	-Inf	4.70048036579242	-Inf
27	cuanta	0	12	-Inf	2.484906649788	-Inf
34	destinatario	0	475	-Inf	6.16331480403464	-Inf
60	independencia	0	28964	-Inf	10.2738089585087	-Inf
63	manifiesto	0	948	-Inf	6.85435450225502	-Inf
95	rencor	0	258	-Inf	5.55295958492162	-Inf
106	socialista	0	928	-Inf	6.8330317327862	-Inf
120	único	2	54262	0.693147180559945	10.9015794450987	-10.2084322645387
112	terror	1	5298	0	8.57508466983201	-8.57508466983201
49	forma	73	117128	4.29045944114839	11.6710226328733	-7.38056319172493
54	historia	141	201271	4.94875989037817	12.212407537663	-7.26364764728487	-------------------
46	fama	14	11081	2.63905732961526	9.31298720893633	-6.67392987932107
31	denuncia	8	4589	2.07944154167984	8.43141741439483	-6.351975872715
78	placer	3	1613	1.09861228866811	7.38585107812521	-6.2872387894571
67	muestra	13	6523	2.56494935746154	8.7830896717961	-6.21814031433456
50	frase	26	12832	3.25809653802148	9.4596973301063	-6.20160079208481
96	reporte	4	1895	1.38629436111989	7.54697411751653	-6.16067975639664	-------------------------------
118	voluntad	22	7957	3.09104245335832	8.98180732337753	-5.89076487001922
116	versión	175	62069	5.16478597392351	11.0360019484353	-5.87121597451181
47	ficción	20	6670	2.99573227355399	8.80537513890967	-5.80964286535568	----------------
93	realidad	66	21826	4.18965474202643	9.99085719867304	-5.80120245664661	----------------------------
108	sueño	16	5056	2.77258872223978	8.52833093582669	-5.75574221358691	-------------
45	extremo	77	22294	4.34380542185368	10.0120728629496	-5.66826744109589
21	consejo	24	6764	3.17805383034795	8.81936971001847	-5.64131587967053
105	señal	47	12996	3.85014760171006	9.47239689678899	-5.62224929507893	----------
37	ejemplo	28	7461	3.3322045101752	8.91744473247151	-5.58524022229631
119	voz	107	25824	4.67282883446191	10.1590595710697	-5.48623073660777
55	hora	111	25146	4.70953020131233	10.1324541171531	-5.42292391584079
62	información	224	47599	5.41164605185504	10.7705670315955	-5.35892097974043	-------
29	cuestión	56	10494	4.02535169073515	9.25855894424666	-5.23320725351151
94	reconocimiento	85	12861	4.44265125649032	9.46195475526609	-5.01930349877577	-------
117	vista	83	11903	4.4188406077966	9.38454574816788	-4.96570514037128
90	prueba	223	31095	5.40717177146012	10.344802313538	-4.93763054207787	------------------
89	propuesta	132	16563	4.88280192258637	9.71492657095216	-4.83212464836578
35	determinación	34	3917	3.52636052461616	8.27308133366583	-4.74672080904967
58	impresion	9	846	2.19722457733622	6.74051935960622	-4.54329478227	--------------------------
75	pensamiento	79	7071	4.36944785246702	8.86375719160424	-4.49430933913722	----------------------------
18	conocimiento	149	13302	5.00394630594546	9.49566967884437	-4.49172337289891	----------------------
48	fin	2169	182846	7.68202151082687	12.1163995474837	-4.43437803665685
98	resultado	378	30566	5.93489419561959	10.3276435590878	-4.39274936346819
65	mentalidad	15	1194	2.70805020110221	7.08506429395255	-4.37701409285034
14	conciencia	87	6856	4.46590811865458	8.83287946027762	-4.36697134162303
33	desgracia	14	1006	2.63905732961526	6.91373735065968	-4.27468002104443
13	compromiso	69	4784	4.23410650459726	8.47303229563047	-4.23892579103321
101	seguridad	271	17425	5.6021188208797	9.76566123562873	-4.16354241474902
79	planteamiento	14	867	2.63905732961526	6.76503897678054	-4.12598164716528
28	cuenta	169	9672	5.12989871492307	9.17699039229463	-4.04709167737156
73	obligación	89	4997	4.48863636973214	8.51659301134421	-4.02795664161207
9	causa	398	22062	5.98645200528444	10.0016119505293	-4.01515994524489
22	constancia	11	590	2.39789527279837	6.38012253689976	-3.98222726410139
84	principio	378	18613	5.93489419561959	9.83161554029833	-3.89672134467875
86	prohibición	136	6569	4.91265488573605	8.79011689289247	-3.87746200715642
104	sentimiento	61	2864	4.11087386417331	7.95997452808054	-3.84910066390723	-----------------
64	mensaje	187	8730	5.23110861685459	9.07452064883365	-3.84341203197906	---------------------
72	objeto	263	10612	5.57215403217776	9.26974071525763	-3.69758668307986
71	objetivo	906	35556	6.80903930604298	10.4788641973616	-3.66982489131859
36	duda	75	2908	4.31748811353631	7.97522083865341	-3.6577327251171
92	razón	461	17860	6.13339804299665	9.79031885443049	-3.65692081143384
32	deseo	205	7532	5.32300997913841	8.92691588977704	-3.60390591063863
41	excepción	193	6634	5.26269018890489	8.799963219507	-3.53727303060211
66	motivo	224	7530	5.41164605185504	8.92665032079394	-3.5150042689389
77	pesar	3	95	1.09861228866811	4.55387689160054	-3.45526460293243
38	espera	603	18648	6.40191719672719	9.83349418071559	-3.43157698398841
68	necesidad	917	28347	6.82110747225646	10.2522764834507	-3.43116901119427
88	proposición	39	1187	3.66356164612965	7.07918439460967	-3.41562274848002
76	percepción	184	4828	5.21493575760899	8.48218758221742	-3.26725182460844	-------------------
114	tópico	13	339	2.56494935746154	5.82600010738045	-3.26105074991891
1	acusación	145	3559	4.97673374242057	8.17723488551019	-3.20050114308962	-------------------
91	punto	2456	58295	7.80628928926703	10.9732716053674	-3.16698231610036
57	imposibilidad	175	4005	5.16478597392351	8.29529885950246	-3.13051288557894
111	teoría	1121	23496	7.02197642307216	10.0645854728785	-3.0426090498063
4	anuncio	206	4152	5.32787616878958	8.33134542484572	-3.00346925605614	-------------------------------
7	caso	4394	88205	8.38799525294456	11.3874189297305	-2.99942367678595
30	demostración	90	1699	4.49980967033027	7.43779512167193	-2.93798545134167	-----------------------------------------
74	opinión	788	13912	6.66949808985788	9.54050705603412	-2.87100896617624
17	confirmación	111	1918	4.70953020131233	7.55903825544338	-2.84950805413105	----------------------------------
40	evidencia	304	5112	5.71702770140622	8.53934599605737	-2.82231829465115	--------------------------
97	reproche	5	84	1.6094379124341	4.43081679884331	-2.82137888640921
82	premonición	5	73	1.6094379124341	4.29045944114839	-2.68102152871429
20	consecuencia	79	1099	4.36944785246702	7.00215595440362	-2.6327081019366
43	exigencia	107	1410	4.67282883446191	7.25134498337221	-2.57851614891031
99	riesgo	758	9046	6.63068338564237	9.11007795003779	-2.47939456439542
2	advertencia	100	1152	4.60517018598809	7.04925484125584	-2.44408465526775
113	tesis	433	4914	6.07073772800249	8.49984355308112	-2.42910582507863
51	garantía	114	1250	4.7361984483945	7.13089883029635	-2.39470038190185
115	ventaja	521	5583	6.25575004175337	8.62748154531036	-2.37173150355699
87	promesa	384	3785	5.95064255258773	8.23880116587155	-2.28815861328382
69	noción	417	3932	6.0330862217988	8.27690348126706	-2.24381725946826
103	sentido	2349	18701	7.76174498465891	9.83633227734872	-2.07458729268981
61	indicio	6	43	1.79175946922805	3.76120011569356	-1.96944064646551
56	idea	6516	44082	8.78201596972194	10.6938068148483	-1.9117908451264
44	expectativa	156	973	5.04985600724954	6.880384082186	-1.83052807493647
109	supuesto	529	3114	6.2709884318583	8.04366335239394	-1.77267492053564
110	temor	474	2577	6.16120732169508	7.85438121065236	-1.69317388895729
70	noticia	2058	10926	7.62948991639399	9.29890054895566	-1.66941063256167	---------------------------
16	condición	2449	12675	7.80343505695217	9.44738682845938	-1.64395177150722
80	posibilidad	7166	37009	8.8771028978649	10.5189164052908	-1.64181350742586	-------------
5	argumento	1489	7279	7.30586003268401	8.89274876911826	-1.58688873643425
39	esperanza	2430	11558	7.79564653633459	9.35513311687772	-1.55948658054313
102	sensación	1064	4912	6.96979066990159	8.49943646982698	-1.52964579992539
83	pretexto	428	1790	6.0591231955818	7.4899708988348	-1.430847703253
42	excusa	372	1532	5.91889385427315	7.33432935030054	-1.41543549602739
3	afirmación	759	2999	6.63200177739563	8.00603417874901	-1.37403240135338
8	casualidad	117	461	4.76217393479776	6.13339804299665	-1.37122410819889
59	impresión	1682	6424	7.42773884053289	8.7677962556266	-1.3400574150937	-------------------------
6	aseveración	25	95	3.2188758248682	4.55387689160054	-1.33500106673234
85	probabilidad	1294	4563	7.16549347506085	8.4257355809274	-1.26024210586656
107	sospecha	433	1471	6.07073772800249	7.29369772060144	-1.22295999259895	------------
11	certidumbre	20	67	2.99573227355399	4.20469261939097	-1.20896034583697
81	premisa	460	1538	6.13122648948314	7.33823815006559	-1.20701166058245
53	hipótesis	1800	5852	7.49554194388426	8.67453876214002	-1.17899681825576	-----------------------
26	creencia	2162	6367	7.67878899819915	8.75888368001702	-1.08009468181787	---------------------------
10	certeza	418	1109	6.03548143252476	7.01121398735037	-0.975732554825611	-----------------
15	conclusión	4027	8960	8.30077696085145	9.10052550596898	-0.799748545117522	---------------------
12	circunstancia	538	1186	6.28785856016178	7.07834157955767	-0.790483019395887
100	rumor	873	1714	6.7719355558396	7.44658509915773	-0.674649543318123	------------------------
25	convicción	590	1116	6.38012253689976	7.01750614294126	-0.637383606041491	---------------------
24	convencimiento	166	306	5.11198778835654	5.72358510195238	-0.611597313595837	-------------------
52	hecho	18491	31658	9.82503940620699	10.3627461602457	-0.537706754038696	--------
