LowerCaseToken	Frequency
apprentice	290
firemen	177
guitarist	130
credible	304
doubted	534
sailor	252
tackled	583
salesman	282
sponsor	478
intuition	264
trusted	821
diagnosed	427
robot	161
dinosaurs	135
foreman	243
terrified	862
psychiatrist	224
senator	265
natives	190
baseball	240
markings	199
travels	665
lab	294
survivor	228
sculptor	143
rehearsals	152
leak	363
banquet	204
technician	218
josh	50
malicious	228
amazed	803
horrified	578
diplomat	229
fbi	111
fisherman	218
reptiles	94
pricing	705
amused	813
stunned	646
delivers	262
carpenter	298
astonished	593
implicated	300
annoyed	736
waitress	175
entrepreneur	196
repaired	459
cured	386
supervised	501
robbed	459
discouraged	440
offended	458
craftsman	168
anthropologist	87
punched	334
shoots	377
startled	724
sued	316
distracted	420
bully	267
garbage	182
plumber	137
turtle	124
chatted	236
elevator	85
organizer	117
instituted	305
acquitted	277
deceived	251
beggar	150
authorized	317
sportsman	125
milkman	123
swimmer	114
mathematician	110
complying	124
casino	125
long-distance	200
comforted	261
gangster	99
baffled	316
jogging	206
vindicated	182
intimidated	207
calmed	222
crippled	328
saddened	173
hippies	109
loathed	135
pharmacist	65
passer-by	96
worshipped	186
abducted	143
insulted	184
harassed	256
thug	70
detested	133
interrogated	134
doorman	60
astronaut	52
scolded	97
townspeople	61
environmentalist	90
apprehended	121
showman	56
enraged	220
biker	51
cartoonist	56
cookies	38
medic	45
refuted	104
quarterback	27
pressured	104
scolding	68
drunkard	45
according	110
trickster	33
divorcee	43
booed	76
bribed	104
locksmith	26
bartender	29
semester	22
punctually	29
daredevil	35
janitor	14
outwitted	43
mistrusted	40
defrauded	28
arsonist	18
firefighter	20
lifesaver	15
it.	13
intern	21
cheerleader	11
scrounging	25
neighbor	5
yesterday.	4
roommate	5
couldn't	6
ridiculous.	3
year.	3
week.	4
time.	2
tv.	1
tank.	2
novels.	1
else's	3
computer.	2
up.	1
true.	1
toilet.	1
shelf.	1
regularly.	1
ready.	1
out.	1
operation.	1
office-worker	1
home.	1
heart.	1
down.	1
day.	2
damaged.	1
correct.	1
complaints.	1
coffee.	1
cigarettes.	1
assignments.	1
anyone.	1
answer.	1
