predictability_weight	deletion_rate	ID	NData	AIC	Coefficient	Correlation	
1	0.65	262462349	251291	74270.01	0.02952088	
1	0.85	524319314	251291	74279.21	0.03020755	
1	0.75	724281717	251291	74273.06	0.02939286	
0	0.4	277559361	251291	74313.15	0.02724756	
0.25	0.8	983078007	250901	74352.74	0.02516184	
1	0.5	346516233	251291	74284.28	0.02851611	
0.5	0.2	851093162	251291	74304.46	0.02682622	
1	0.2	246913872	251291	74302.5	0.02680701	
1	0.2	751621216	251291	74300.97	0.02710302	
0.75	0.45	114531207	251291	74280.75	0.02820662	
1	0.45	775276523	251291	74297.07	0.02766436	
0.25	0.65	208134486	251291	74303.22	0.02821972	
0.75	0.3	456930113	250548	73777.58	0.02704058	
0.75	0.6	525213849	251291	74274.67	0.02893059	
0.75	0.4	753850050	251291	74285.6	0.02788713	
1	0.45	457060544	251291	74287.52	0.02823202	
1	0.2	937025291	251291	74305.66	0.02683145	
1	0.85	520868618	251291	74302.84	0.02941515	
0.75	0.6	642990124	251291	74266.95	0.02968481	
0.5	0.75	402848019	251291	74310.23	0.02756245	
0.75	0.3	676847448	251291	74301.65	0.0269708	
1	0.45	256709491	251291	74283.27	0.02853851	
1	0.3	873361662	251291	74303.47	0.02704286	
0.5	0.7	985322750	251291	74273.56	0.02930571	
0.75	0.5	991524829	251291	74275.45	0.02881592	
1	0.3	914504488	251291	74299.97	0.02733935	
1	0.25	556534047	251291	74290.63	0.02779619	
1	0.2	241138234	251291	74303.02	0.0269593	
0.5	0.1	781712348	251291	74305.88	0.02666207	
1	0.85	163120810	251291	74311.31	0.02936819	
1	0.9	393112956	251291	74372.95	0.02618261	
1	0.5	413661285	251291	74280.37	0.02854232	
1	0.85	213818438	251291	74280.4	0.03005738	
1	0.15	666051892	251291	74301.7	0.027178	
0.75	0.7	791471582	251291	74275.99	0.02970471	
1	0.1	847280817	251291	74304.83	0.02679035	
0.25	0.85	662128466	251291	74406.27	0.02190351	
0.25	0.35	556117679	251291	74300.76	0.02723447	
0.25	0.65	564668492	251291	74353.54	0.02547926	
1	0.55	163008048	251291	74281.42	0.02867867	
0.75	0.4	529201666	251291	74298.2	0.02738012	
0.25	0.85	800762128	251291	74399.59	0.02338072	
1	0.4	973565860	251291	74276.85	0.02860972	
0.25	0.8	917936489	251291	74356.47	0.02495388	
0.25	0.5	742778138	251291	74285.19	0.02789256	
1	0.1	695994406	251291	74304.51	0.02681286	
0.25	0.6	677968266	251291	74312.29	0.02700167	
0.75	0.6	1031615	251291	74273.89	0.02906975	
1	0.25	679881827	251291	74289.92	0.02778512	
1	0.45	234526961	251291	74269.1	0.02913843	
0.25	0.8	853050717	251291	74363.47	0.02419936	
1	0.65	789425709	251291	74273.87	0.0292535	
1	0.75	164752572	251291	74270.44	0.0294207	
0	0.65	688174451	251291	74410.64	0.02193392	
1	0.15	282078886	251291	74304.67	0.02689635	
1	0.3	347636066	251291	74292.68	0.02786911	
0	0.75	60354353	251291	74452.82	0.01667877	
0.75	0.35	650591386	251291	74295.45	0.02746929	
0	0.9	942190666	251291	74487.03	-0.0007480424	
0.25	0.8	964618677	251291	74328.53	0.02771343	
1	0.75	907808253	251291	74267.91	0.02970587	
1	0.05	279691005	251291	74305.3	0.02672918	
0.25	0.85	362687782	251291	74324.5	0.02771071	
0.5	0.65	613492113	251291	74288.56	0.02848311	
0	0.6	565637744	251291	74399.87	0.02173903	
1	0.4	292546825	251291	74287.54	0.02823662	
1	0.4	99799397	251291	74286.75	0.02817225	
0	0.45	467177474	251291	74330.08	0.02408945	
0.25	0.7	683799283	251291	74345.61	0.02609467	
0.75	0.5	31243161	251291	74283.13	0.02834576	
1	0.5	941343936	251291	74286.31	0.02825451	
1	0.15	653269616	251291	74306.22	0.02667863	
0.75	0.25	8024456	251291	74295.74	0.02744154	
1	0.3	358183935	251291	74285.97	0.02835523	
1	0.4	50508436	251291	74287.79	0.02813591	
1	0.55	331227478	251291	74277.58	0.02883168	
1	0.25	742793765	251291	74301.21	0.02708443	
0.5	0.9	902939968	251291	74361.08	0.02683998	
0	0.75	547400035	251291	74469.4	0.006753835	
0.25	0.6	551081459	251291	74314.4	0.02700633	
1	0.55	552205812	251291	74277.19	0.02894202	
1	0.9	622371608	251291	74314.26	0.02898177	
0.5	0.45	363538432	251291	74281.92	0.02837739	
1	0.2	580674347	251291	74285.43	0.028131	
1	0.2	43333424	251291	74284.11	0.02816609	
0	0.5	61967625	251291	74337.41	0.02662261	
0.5	0.9	302422512	251291	74334.82	0.02762198	
1	0.7	665465306	251291	74266.34	0.02998324	
1	0.1	188984093	251291	74304.85	0.02677861	
0.5	0.85	658549494	251291	74307.54	0.02911999	
1	0.8	117652434	251291	74266.98	0.02999648	
1	0.5	184991235	251291	74292.14	0.02809493	
1	0.3	221390427	251291	74279.69	0.02832265	
0.75	0.45	24887373	251291	74279.19	0.02857697	
0.75	0.4	260019595	251291	74293.45	0.02777528	
0.75	0.3	541777359	251291	74297.72	0.02736759	
1	0.75	511979291	251291	74273.67	0.02943678	
0.5	0.05	518119754	251291	74306.46	0.02661007	
0.75	0.4	546109169	251291	74297.45	0.02743717	
1	0.35	54997147	251291	74290.29	0.02775415	
1	0.1	471677347	251291	74303.53	0.02690233	
0.75	0.85	737612592	251291	74283.88	0.02975962	
0.25	0.9	738765027	251291	74390.11	0.02489161	
0.75	0.6	686978960	251291	74292.47	0.02847789	
1	0.3	980037857	155618	47175.53	0.02628352	
1	0.7	490858931	251291	74283.08	0.02917516	
1	0.75	102975222	251291	74266.22	0.02983145	
0.5	0.35	238101445	251291	74301.47	0.02707467	
1	0.6	8940591	251291	74284.72	0.0285232	
1	0.65	182221172	251291	74273.63	0.02991807	
0.5	0.8	22849068	251291	74287.51	0.02986625	
1	0.2	896283343	251291	74302.8	0.02715471	
1	0.7	638296640	251291	74281.68	0.02964297	
0.5	0.85	957255220	251291	74311.89	0.02843337	
1	0.65	718377278	251291	74272.22	0.02914596	
1	0.25	420714022	251291	74290.24	0.02782612	
1	0.8	652245833	251291	74268.73	0.03003853	
0	0.6	245600212	251291	74376.24	0.02368969	
1	0.7	650067544	251291	74276.32	0.02896653	
0.25	0.6	537944641	251291	74303.27	0.02820313	
1	0.75	273752896	251291	74274.03	0.02927317	
0.75	0.35	455334604	251291	74288.59	0.02792178	
0.5	0.45	870373973	251291	74283.89	0.02806178	
0.5	0.3	277497793	251291	74302.11	0.02703902	
0.5	0.55	936182990	251291	74302.84	0.02777397	
1	0.35	281194943	251291	74294.52	0.0275837	
0.75	0.9	214324968	251291	74376.6	0.02564925	
0.25	0.75	893011273	251291	74332.43	0.02647057	
1	0.45	622432993	251291	74274.95	0.02886271	
1	0.7	294504860	251291	74273.27	0.02920269	
0.75	0.45	494193959	251291	74284.17	0.02815968	
0.75	0.65	664196668	251291	74274.53	0.02915696	
1	0.3	50468428	251291	74293.41	0.02776401	
0.25	0.25	501127704	251291	74304.79	0.02683119	
0.75	0.05	275878959	251291	74306.06	0.02666955	
0.75	0.7	133340030	251291	74265.58	0.02975788	
0.5	0.45	138252063	251291	74279.74	0.02812774	
