predictability_weight	deletion_rate	ID	NData	AIC	Coefficient	Correlation	
0.75	0.55	186740217	251291	74281.33	0.02832582	
1	0.5	856637897	251291	74275.53	0.02897535	
0.75	0.15	960104424	251291	74304.67	0.02672781	
0.75	0.6	846264919	251291	74274.89	0.02896532	
0	0.65	624848654	251291	74407.8	0.02098651	
0.75	0.75	545470103	251291	74272.24	0.02958018	
0.75	0.8	98533753	251291	74277.59	0.02999272	
0.5	0.85	758817613	251291	74298.55	0.02924694	
0	0.75	864246717	251291	74473.93	0.007383591	
1	0.45	851480847	251291	74292.56	0.02777444	
0.75	0.8	928324256	251291	74283.17	0.02959367	
1	0.75	806023569	251291	74274.12	0.02930275	
0.75	0.45	367891531	251291	74283.99	0.02823049	
0.75	0.55	722608447	251291	74289.51	0.02813475	
1	0.7	413238426	251291	74274.55	0.02950775	
1	0.6	418127330	251291	74281.87	0.02876163	
0.75	0.55	714836471	251291	74281.4	0.02853903	
1	0.35	904697002	251291	74284.86	0.02816396	
0.25	0.2	711383115	251291	74306.32	0.02666095	
1	0.6	502405978	251291	74286.98	0.02852518	
0.5	0.15	679397638	251291	74304.76	0.02676138	
0.75	0.5	929187034	251291	74287.66	0.02789405	
1	0.95	974675637	251291	74405.12	0.02412869	
1	0.75	62700039	251291	74268.09	0.02979405	
0.25	0.65	861262911	251291	74380.76	0.02337162	
1	0.5	672181030	251291	74290.41	0.02794058	
0.75	0.55	336707658	251291	74289.03	0.02808445	
1	0.15	508428303	251291	74306.37	0.02666845	
1	0.8	784649362	251291	74278.12	0.03031745	
1	0.3	206223774	103778	29755.41	0.0261842	
1	0.65	859564660	251291	74274.11	0.02923541	
0.25	0.95	625845299	251291	74426.54	0.02157711	
0.75	0.6	873634887	251291	74286.81	0.02903975	
0.25	0.45	408460062	251291	74286.11	0.0279946	
1	0.6	220119576	251291	74272.27	0.02928488	
1	0.25	710934227	251291	74298.72	0.02730651	
0.25	0.1	949426708	251291	74306.55	0.02661791	
0.75	0.35	873629433	251291	74294.68	0.02746393	
1	0.65	819210553	251291	74279.84	0.02868335	
0.25	0.6	38261714	251291	74326.57	0.02600494	
1	0.75	813448630	251291	74299.99	0.02842718	
0.25	0.85	272107715	251291	74366.84	0.02486863	
1	0.6	881848254	251291	74281.6	0.0285525	
0.75	0.7	52856300	251291	74274.84	0.02909736	
0.75	0.55	841791177	251291	74281.92	0.02845011	
0.25	0.85	898350739	251291	74401.42	0.02323504	
0.75	0.3	686855590	251291	74304.28	0.02688004	
0.5	0.35	880049899	251291	74296.93	0.02750789	
0.75	0.45	982355323	251291	74288.8	0.02783842	
1	0.35	980144451	251291	74297.34	0.02743387	
0.75	0.2	95679080	251291	74303.48	0.0269039	
0.75	0.3	127318031	250508	74392.72	0.02712403	
0.75	0.85	808608984	251291	74298.8	0.02876585	
0.75	0.55	313087409	251291	74274.63	0.02887549	
0.5	0.85	119474797	251291	74279.58	0.03065135	
1	0.2	916830717	251291	74301.41	0.02716702	
0.25	0.85	469189078	251291	74376.15	0.0254378	
0.75	0.4	124376432	251291	74290.93	0.02789448	
0	0.85	678113533	251291	74490.16	0.003336914	
1	0.55	172253483	251291	74277.42	0.0290233	
1	0.65	415874148	251291	74276.19	0.02894683	
0.75	0.3	824700045	251291	74305.27	0.0268504	
0.75	0.35	142482733	251291	74275.04	0.02874537	
0.5	0.85	644146402	251291	74372.3	0.02528132	
0.25	0.5	263700319	251291	74280.54	0.028263	
1	0.7	127162664	250910	74241.35	0.02939272	
0.75	0.9	687703267	251291	74350.94	0.02730223	
1	0.15	231504060	251291	74303.44	0.02691268	
0.75	0.3	181955061	251291	74304.84	0.02692966	
0	0.7	832508929	251291	74453.25	0.01317956	
0.5	0.6	981201931	251291	74271.56	0.02914473	
0	0.65	677654577	251291	74407.27	0.02130861	
1	0.25	89960553	251291	74298.9	0.02743981	
1	0.6	873190633	251291	74281.41	0.02873328	
1	0.55	864307211	251291	74288.87	0.02823958	
0.75	0.5	521814402	251291	74287.56	0.02824783	
0.25	0.3	650318122	251291	74302.64	0.02705393	
1	0.65	25100658	251291	74268	0.02941907	
0	0.6	934262149	251291	74395.54	0.02189971	
0.75	0.25	213551752	251291	74302.58	0.02691326	
0	0.95	328896297	250139	74231.15	-0.0002177116	
0	0.1	330562191	251291	74307.25	0.02657039	
0.75	0.95	67269348	251291	74427.51	0.02272777	
0	0.65	341661807	251291	74365.64	0.02602184	
1	0.4	198867744	251291	74288.03	0.028077	
0.5	0.15	765576000	251291	74302.35	0.0269803	
1	0.65	567650690	155618	47174.33	0.02735595	
1	0.5	971692210	251291	74288.86	0.02815226	
1	0.35	241103761	251291	74280.08	0.02860832	
0.25	0.85	837237560	251291	74323.38	0.0275919	
1	0.6	15798591	251291	74269.34	0.02929505	
1	0.55	873616728	251291	74275.83	0.0288535	
0.25	0.3	996850657	251291	74306.17	0.02677704	
0	0.8	997154275	251291	74481.66	0.008212879	
1	0.95	758862458	251291	74415.25	0.02415593	
1	0.45	664100185	251291	74267.28	0.0293335	
0	0.65	767031175	251291	74380.08	0.02471696	
1	0.45	406295306	251291	74280.71	0.0284005	
0.75	0.55	307372714	251291	74299.4	0.02794429	
0.75	0.4	983873654	251291	74295.69	0.02756647	
1	0.5	335190660	251291	74277.69	0.02844877	
1	0.45	620414278	250508	74371.33	0.02857331	
0.25	0.8	670366717	251291	74333.07	0.02725623	
1	0.6	28943147	251291	74284.54	0.02875555	
0.75	0.65	603441140	251291	74268.2	0.03007724	
0.5	0.3	944010237	251291	74300.44	0.02713222	
1	0.5	455557211	251291	74276.7	0.02858646	
1	0.8	328459441	251291	74283.8	0.02972506	
0.75	0.3	783625313	251291	74300.49	0.02716371	
0.5	0.6	448156687	251291	74274.16	0.02951579	
1	0.8	618472477	251291	74272.18	0.03033963	
1	0.25	844017695	251291	74279.2	0.02865537	
