Noun	Joint	Unigram
El rumor	873	1714
La historia	141	201271
La convicción	590	1116
La prueba	223	31095
La información	224	47599
La sospecha	433	1471
El hecho	18491	31658
El reconocimiento	85	12861
La certeza	418	1109
El reporte	4	1895
El sueño	16	5056
La hipótesis	1800	5852
El convencimiento	166	306
El pensamiento	79	7071
La ficción	20	6670
La señal	47	12996
La conclusión	4027	8960
La creencia	2162	6367
La impresión	1682	6424
La realidad	66	21826
