"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	0.605947108369404	0.400508068418098	-0.151533090956086	1.41577050824132	1.00143805238395	1265	2020
"Conditional_ukwac.C"	-0.404252386772134	0.138191377662232	-0.695145234457754	-0.13183036837829	1.00098981597644	3578	2894
