"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	0.58421271129842	0.419997429950012	-0.230231164793053	1.4127817323028	1.00166847252612	1154	1792
"True_Minus_False.C"	-0.330822359246837	0.137116519248195	-0.616258518958508	-0.0587680891912041	1.00140081915315	2818	2499
