"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	0.612728026052306	0.407886506003824	-0.178259778600406	1.45206130283251	1.00294524143621	1087	2046
"Conditional_COCA.C"	-0.459760072647176	0.151954479200521	-0.769239642016518	-0.16007314062008	1.00021520191271	3243	2547
