"Noun"	"Region"	"Condition"	"Script"	"ID"	"predictability_weight"	"deletion_rate"	"autoencoder"	"lm"	"Surprisal"	"SurprisalReweighted"	"ThatFraction"	"ThatFractionReweighted"
"1"	"accusation"	"V1_0"	"NoSC_ne"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	5.575	5.57390909090909	-100	-100
"2"	"accusation"	"V1_0"	"SC_co"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	7.16068181818182	6.40940909090909	81.5454545454545	84.5909090909091
"3"	"accusation"	"V1_0"	"SC_in"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	7.14954545454545	6.44963636363636	82.6818181818182	93.9090909090909
"4"	"accusation"	"V1_0"	"SCRC_co"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	9.77136363636364	8.08154545454545	60.2272727272727	61.5454545454545
"5"	"accusation"	"V1_0"	"SCRC_in"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	9.55572727272727	7.83331818181818	53.8181818181818	61.2727272727273
"6"	"admission"	"V1_0"	"NoSC_ne"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	5.96559090909091	5.95877272727273	-100	-100
"7"	"admission"	"V1_0"	"SC_co"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	8.59131818181818	6.82845454545455	74.8636363636364	77.4090909090909
"8"	"admission"	"V1_0"	"SC_in"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	8.43218181818182	6.79063636363636	79.4545454545455	82.3181818181818
"9"	"admission"	"V1_0"	"SCRC_co"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	10.0055	8.82531818181818	49	51
"10"	"admission"	"V1_0"	"SCRC_in"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	9.63354545454546	8.26486363636364	48.7272727272727	52
"11"	"allegation"	"V1_0"	"NoSC_ne"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	5.71468181818182	5.71436363636364	-100	-100
"12"	"allegation"	"V1_0"	"SC_co"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	7.2405	6.60836363636364	76.4090909090909	83.3636363636364
"13"	"allegation"	"V1_0"	"SC_in"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	6.88140909090909	6.50395454545455	85.5909090909091	96.3181818181818
"14"	"allegation"	"V1_0"	"SCRC_co"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	9.92759090909091	8.43545454545455	52.1818181818182	57.7727272727273
"15"	"allegation"	"V1_0"	"SCRC_in"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	9.65327272727273	7.79627272727273	50.3181818181818	61.1363636363636
"16"	"announcement"	"V1_0"	"NoSC_ne"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	5.20204545454545	5.20204545454545	-100	-100
"17"	"announcement"	"V1_0"	"SC_co"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	7.33704545454545	6.90559090909091	75.2272727272727	77.4545454545455
"18"	"announcement"	"V1_0"	"SC_in"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	6.86077272727273	6.36181818181818	80.2272727272727	87.6818181818182
"19"	"announcement"	"V1_0"	"SCRC_co"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	9.87704545454545	8.58727272727273	48.8181818181818	51.1363636363636
"20"	"announcement"	"V1_0"	"SCRC_in"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	9.47513636363636	7.85404545454545	47.8181818181818	55.3636363636364
"21"	"assertion"	"V1_0"	"NoSC_ne"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	6.336	6.336	-100	-100
"22"	"assertion"	"V1_0"	"SC_co"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	6.75940909090909	6.22445454545455	91.7272727272727	86.0909090909091
"23"	"assertion"	"V1_0"	"SC_in"	"script__E1Stims_3_W_GPT2M_LE0_OOV"	24887373	0.75	0.45	516252642	27553360	6.51077272727273	6.06736363636364	94.3181818181818	95.9545454545455
