Noun	Region	Condition	Script	ID	predictability_weight	deletion_rate	autoencoder	lm	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted
15	announcement	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.225	11.206	98.333	97.5
16	announcement	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.812	9.767	98.262	97.452
17	assertion	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.87	11.88	99.905	98.833
18	assertion	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.076	10.079	100	99.048
19	assertion	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.734	10.705	98.381	97.167
20	assertion	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.205	9.162	98.595	97.333
21	assessment	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.489	11.491	99.786	98.81
22	assessment	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.72	9.691	100	99
23	assessment	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.737	10.688	97.238	96.667
24	assessment	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.186	9.103	98.5	97.881
25	assumption	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	12.187	12.186	100	99
26	assumption	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.432	10.426	100	99.024
27	assumption	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.932	10.897	99.119	98.024
28	assumption	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.374	9.299	98.048	96.833
29	assurance	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	12.418	12.413	99.786	98.81
30	assurance	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.144	10.11	99.81	98.905
31	assurance	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	11.002	10.949	98.571	97.881
32	assurance	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.207	9.139	99.214	98.619
33	belief	V2_0	SC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	12.363	12.368	100	99.024
34	belief	V2_0	SC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.583	10.587	100	99
35	belief	V2_0	SCRC_co	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	10.792	10.768	98.881	97.571
36	belief	V2_0	SCRC_in	script__VN3Stims_3_W_GPT2M_Li	8940591	1	0.6	727001672	935649231	9.283	9.24	99.405	98.071
