"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.918	0.062	209.68	0
"RC.C"	0.733	0.11	6.654	0
"compatible.C"	-0.314	0.11	-2.848	0.004
"Item232_Critical_29"	-1.244	0.087	-14.279	0
"Item232_Critical_31"	-0.448	0.087	-5.14	0
"ItemCritical_0"	-8.102	0.087	-92.992	0
"ItemCritical_1"	-1.463	0.087	-16.795	0
"ItemCritical_10"	-7.575	0.087	-86.942	0
"ItemCritical_11"	-7.805	0.087	-89.585	0
"ItemCritical_12"	-7.727	0.087	-88.691	0
"ItemCritical_13"	-7.379	0.087	-84.693	0
"ItemCritical_14"	-7.095	0.087	-81.428	0
"ItemCritical_15"	-7.422	0.087	-85.182	0
"ItemCritical_16"	-7.506	0.087	-86.15	0
"ItemCritical_17"	-7.483	0.087	-85.891	0
"ItemCritical_18"	0.908	0.087	10.416	0
"ItemCritical_19"	-7.823	0.087	-89.793	0
"ItemCritical_2"	0.663	0.087	7.607	0
"ItemCritical_20"	-3.283	0.087	-37.678	0
"ItemCritical_21"	-7.966	0.087	-91.427	0
"ItemCritical_22"	-3.601	0.087	-41.328	0
"ItemCritical_23"	-1.161	0.087	-13.323	0
"ItemCritical_24"	-8.329	0.087	-95.6	0
"ItemCritical_25"	-8.082	0.087	-92.755	0
"ItemCritical_26"	-0.22	0.087	-2.529	0.011
"ItemCritical_27"	-5.941	0.087	-68.188	0
"ItemCritical_28"	3.098	0.087	35.558	0
"ItemCritical_29"	1.234	0.087	14.16	0
"ItemCritical_3"	-8.184	0.087	-93.927	0
"ItemCritical_30"	-8.231	0.087	-94.473	0
"ItemCritical_31"	-3.118	0.087	-35.789	0
"ItemCritical_32"	-2.46	0.087	-28.232	0
"ItemCritical_33"	-0.639	0.087	-7.336	0
"ItemCritical_34"	-0.962	0.087	-11.039	0
"ItemCritical_35"	0.04	0.087	0.462	0.644
"ItemCritical_36"	0.312	0.087	3.584	0
"ItemCritical_4"	-7.729	0.087	-88.712	0
"ItemCritical_5"	-3.589	0.087	-41.188	0
"ItemCritical_7"	-7.803	0.087	-89.557	0
"ItemCritical_8"	-6.713	0.087	-77.048	0
"ItemCritical_9"	-7.351	0.087	-84.376	0
"ItemMixed_1"	1.217	0.087	13.968	0
"ItemMixed_11"	-4.462	0.087	-51.211	0
"ItemMixed_12"	-3.359	0.087	-38.552	0
"ItemMixed_13"	-4.116	0.087	-47.244	0
"ItemMixed_14"	-7.345	0.087	-84.307	0
"ItemMixed_15"	0.649	0.087	7.452	0
"ItemMixed_16"	-1.47	0.087	-16.867	0
"ItemMixed_17"	-8.299	0.087	-95.249	0
"ItemMixed_18"	-7.874	0.087	-90.374	0
"ItemMixed_19"	-0.604	0.087	-6.93	0
"ItemMixed_2"	-3.24	0.087	-37.188	0
"ItemMixed_21"	-5.194	0.087	-59.617	0
"ItemMixed_22"	1.579	0.087	18.118	0
"ItemMixed_23"	-3.08	0.087	-35.35	0
"ItemMixed_24"	-1.529	0.087	-17.544	0
"ItemMixed_25"	-3.385	0.087	-38.85	0
"ItemMixed_26"	-2.682	0.087	-30.786	0
"ItemMixed_27"	-5.469	0.087	-62.771	0
"ItemMixed_28"	-3.266	0.087	-37.48	0
"ItemMixed_29"	-8.162	0.087	-93.681	0
"ItemMixed_3"	-7.424	0.087	-85.214	0
"ItemMixed_30"	-3.516	0.087	-40.355	0
"ItemMixed_31"	3.119	0.087	35.801	0
"ItemMixed_32"	-5.462	0.087	-62.695	0
"ItemMixed_33"	-5.263	0.087	-60.411	0
"ItemMixed_34"	-8.023	0.087	-92.084	0
"ItemMixed_35"	1.741	0.087	19.984	0
"ItemMixed_36"	-0.566	0.087	-6.499	0
"ItemMixed_37"	-2.911	0.087	-33.416	0
"ItemMixed_38"	-0.114	0.087	-1.306	0.192
"ItemMixed_39"	-7.664	0.087	-87.962	0
"ItemMixed_4"	-7.587	0.087	-87.077	0
"ItemMixed_40"	-5.031	0.087	-57.746	0
"ItemMixed_41"	-2.939	0.087	-33.729	0
"ItemMixed_42"	-0.513	0.087	-5.889	0
"ItemMixed_43"	-5.497	0.087	-63.093	0
"ItemMixed_5"	-0.748	0.087	-8.591	0
"ItemMixed_6"	0.887	0.087	10.184	0
"ItemMixed_7"	-7.699	0.087	-88.363	0
"ItemMixed_8"	-6.021	0.087	-69.104	0
"ItemMixed_9"	-8.041	0.087	-92.289	0
"Item232_Critical_0"	-8.348	0.087	-95.818	0
"Item232_Critical_1"	-4.247	0.087	-48.747	0
"Item232_Critical_10"	-6.721	0.087	-77.138	0
"Item232_Critical_11"	-2.853	0.087	-32.745	0
"Item232_Critical_12"	-1.823	0.087	-20.922	0
"Item232_Critical_13"	-4.147	0.087	-47.595	0
"Item232_Critical_14"	-8.01	0.087	-91.937	0
"Item232_Critical_15"	-3.427	0.087	-39.331	0
"Item232_Critical_16"	-2.712	0.087	-31.126	0
"Item232_Critical_17"	-8.368	0.087	-96.043	0
"Item232_Critical_18"	-8.178	0.087	-93.866	0
"Item232_Critical_19"	-3.232	0.087	-37.1	0
"Item232_Critical_2"	-8.448	0.087	-96.961	0
"Item232_Critical_20"	-4.696	0.087	-53.896	0
"Item232_Critical_21"	-1.561	0.087	-17.914	0
"Item232_Critical_23"	-4.231	0.087	-48.563	0
"Item232_Critical_24"	-3.814	0.087	-43.775	0
"Item232_Critical_25"	-7.961	0.087	-91.371	0
"Item232_Critical_26"	-7.953	0.087	-91.28	0
"Item232_Critical_27"	-1.8	0.087	-20.659	0
"Item232_Critical_28"	-3.812	0.087	-43.756	0
"Item232_Critical_3"	-7.279	0.087	-83.543	0
"Item232_Critical_30"	-7.91	0.087	-90.79	0
"Item232_Critical_4"	-0.186	0.087	-2.132	0.033
"Item232_Critical_5"	-4.546	0.087	-52.174	0
"Item232_Critical_6"	-5.639	0.087	-64.723	0
"Item232_Critical_7"	-3.007	0.087	-34.518	0
"Item232_Critical_8"	-3.866	0.087	-44.369	0
"Item232_Critical_9"	-8.306	0.087	-95.336	0
"Item238_Critical_Vadv1"	0.005	0.156	0.031	0.975
"Item238_Critical_VAdv1"	-0.003	0.156	-0.021	0.983
"Item238_Critical_Vadv2"	2.005	0.087	23.016	0
"Item238_Critical_Vadv3"	-4.341	0.087	-49.823	0
"Item238_Critical_Vadv5"	-3.193	0.087	-36.65	0
"Item238_Critical_Vadv6"	-3.684	0.087	-42.285	0
"Item238_Critical_Vadv7"	-2.882	0.087	-33.078	0
"Item238_Critical_Vadv8"	-8.406	0.087	-96.48	0
"Item238_Critical_Vadv9"	-2.792	0.087	-32.042	0
"Item238_Critical_VN1"	-8.23	0.087	-94.461	0
"Item238_Critical_VN2"	-3.096	0.087	-35.535	0
"Item238_Critical_VN3"	-2.441	0.087	-28.02	0
"Item238_Critical_VN5"	-0.971	0.087	-11.141	0
"ItemCritical_6"	-7.501	0.087	-86.091	0
"EmbBias.C"	0.053	0.056	0.949	0.343
"SC.C"	0.146	0.123	1.187	0.235
"RC.C:compatible.C"	-0.416	0.22	-1.887	0.059
"RC.C:Item232_Critical_29"	-0.716	0.156	-4.591	0
"RC.C:Item232_Critical_31"	-0.828	0.156	-5.312	0
"RC.C:ItemCritical_0"	0.381	0.156	2.442	0.015
"RC.C:ItemCritical_1"	-0.216	0.156	-1.384	0.166
"RC.C:ItemCritical_10"	2.016	0.156	12.932	0
"RC.C:ItemCritical_11"	0.038	0.156	0.242	0.809
"RC.C:ItemCritical_12"	-0.696	0.156	-4.465	0
"RC.C:ItemCritical_13"	-0.318	0.156	-2.041	0.041
"RC.C:ItemCritical_14"	-0.106	0.156	-0.68	0.497
"RC.C:ItemCritical_15"	1.273	0.156	8.171	0
"RC.C:ItemCritical_16"	-0.541	0.156	-3.468	0.001
"RC.C:ItemCritical_17"	-0.352	0.156	-2.258	0.024
"RC.C:ItemCritical_18"	-0.724	0.156	-4.648	0
"RC.C:ItemCritical_19"	0.15	0.156	0.961	0.337
"RC.C:ItemCritical_2"	-0.828	0.156	-5.313	0
"RC.C:ItemCritical_20"	-0.845	0.156	-5.421	0
"RC.C:ItemCritical_21"	-0.595	0.156	-3.819	0
"RC.C:ItemCritical_22"	-0.789	0.156	-5.061	0
"RC.C:ItemCritical_23"	-0.775	0.156	-4.974	0
"RC.C:ItemCritical_24"	0.882	0.156	5.662	0
"RC.C:ItemCritical_25"	0.859	0.156	5.513	0
"RC.C:ItemCritical_26"	-0.569	0.156	-3.653	0
"RC.C:ItemCritical_27"	-0.488	0.156	-3.129	0.002
"RC.C:ItemCritical_28"	0.798	0.156	5.123	0
"RC.C:ItemCritical_29"	-0.705	0.156	-4.525	0
"RC.C:ItemCritical_3"	-0.586	0.156	-3.762	0
"RC.C:ItemCritical_30"	0.552	0.156	3.542	0
"RC.C:ItemCritical_31"	-0.74	0.156	-4.745	0
"RC.C:ItemCritical_32"	0.985	0.156	6.319	0
"RC.C:ItemCritical_33"	0.158	0.156	1.011	0.312
"RC.C:ItemCritical_34"	1.174	0.156	7.533	0
"RC.C:ItemCritical_35"	0.141	0.156	0.902	0.367
"RC.C:ItemCritical_36"	0.906	0.156	5.814	0
"RC.C:ItemCritical_4"	1.332	0.156	8.546	0
"RC.C:ItemCritical_5"	-0.531	0.156	-3.409	0.001
"RC.C:ItemCritical_7"	1.905	0.156	12.219	0
"RC.C:ItemCritical_8"	-0.764	0.156	-4.905	0
"RC.C:ItemCritical_9"	0.589	0.156	3.779	0
"RC.C:ItemMixed_1"	-0.482	0.156	-3.095	0.002
"RC.C:ItemMixed_11"	-0.464	0.156	-2.976	0.003
"RC.C:ItemMixed_12"	0.114	0.156	0.731	0.465
"RC.C:ItemMixed_13"	0.651	0.156	4.179	0
"RC.C:ItemMixed_14"	-0.212	0.156	-1.363	0.173
"RC.C:ItemMixed_15"	0.257	0.156	1.648	0.099
"RC.C:ItemMixed_16"	0.068	0.156	0.439	0.661
"RC.C:ItemMixed_17"	0.738	0.156	4.733	0
"RC.C:ItemMixed_18"	1.135	0.156	7.284	0
"RC.C:ItemMixed_19"	-0.758	0.156	-4.862	0
"RC.C:ItemMixed_2"	-0.758	0.156	-4.864	0
"RC.C:ItemMixed_21"	0.21	0.156	1.349	0.177
"RC.C:ItemMixed_22"	-0.222	0.156	-1.427	0.154
"RC.C:ItemMixed_23"	0.265	0.156	1.702	0.089
"RC.C:ItemMixed_24"	0.589	0.156	3.78	0
"RC.C:ItemMixed_25"	-1.08	0.156	-6.931	0
"RC.C:ItemMixed_26"	-1.306	0.156	-8.377	0
"RC.C:ItemMixed_27"	0.09	0.156	0.575	0.565
"RC.C:ItemMixed_28"	0.112	0.156	0.717	0.474
"RC.C:ItemMixed_29"	0.74	0.156	4.748	0
"RC.C:ItemMixed_3"	-0.234	0.156	-1.501	0.133
"RC.C:ItemMixed_30"	-0.596	0.156	-3.826	0
"RC.C:ItemMixed_31"	-1.016	0.156	-6.522	0
"RC.C:ItemMixed_32"	-0.227	0.156	-1.455	0.146
"RC.C:ItemMixed_33"	0.104	0.156	0.666	0.505
"RC.C:ItemMixed_34"	0.239	0.156	1.533	0.125
"RC.C:ItemMixed_35"	-1.077	0.156	-6.909	0
"RC.C:ItemMixed_36"	-0.405	0.156	-2.601	0.009
"RC.C:ItemMixed_37"	-0.439	0.156	-2.819	0.005
"RC.C:ItemMixed_38"	0.088	0.156	0.563	0.574
"RC.C:ItemMixed_39"	0.313	0.156	2.009	0.045
"RC.C:ItemMixed_4"	1.013	0.156	6.503	0
"RC.C:ItemMixed_40"	-1.446	0.156	-9.279	0
"RC.C:ItemMixed_41"	1.263	0.156	8.102	0
"RC.C:ItemMixed_42"	-0.025	0.156	-0.158	0.875
"RC.C:ItemMixed_43"	0.286	0.156	1.836	0.066
"RC.C:ItemMixed_5"	-0.239	0.156	-1.533	0.125
"RC.C:ItemMixed_6"	-0.582	0.156	-3.737	0
"RC.C:ItemMixed_7"	2.167	0.156	13.904	0
"RC.C:ItemMixed_8"	0.492	0.156	3.159	0.002
"RC.C:ItemMixed_9"	0.717	0.156	4.602	0
"RC.C:Item232_Critical_0"	1.178	0.156	7.556	0
"RC.C:Item232_Critical_1"	0.628	0.156	4.029	0
"RC.C:Item232_Critical_10"	-1.364	0.156	-8.75	0
"RC.C:Item232_Critical_11"	-0.373	0.156	-2.391	0.017
"RC.C:Item232_Critical_12"	-0.053	0.156	-0.337	0.736
"RC.C:Item232_Critical_13"	-0.84	0.156	-5.387	0
"RC.C:Item232_Critical_14"	0.525	0.156	3.369	0.001
"RC.C:Item232_Critical_15"	-0.864	0.156	-5.541	0
"RC.C:Item232_Critical_16"	0.598	0.156	3.834	0
"RC.C:Item232_Critical_17"	0.58	0.156	3.725	0
"RC.C:Item232_Critical_18"	0.186	0.156	1.191	0.234
"RC.C:Item232_Critical_19"	1.129	0.156	7.244	0
"RC.C:Item232_Critical_2"	0.384	0.156	2.462	0.014
"RC.C:Item232_Critical_20"	-0.415	0.156	-2.663	0.008
"RC.C:Item232_Critical_21"	-0.558	0.156	-3.582	0
"RC.C:Item232_Critical_23"	-0.992	0.156	-6.366	0
"RC.C:Item232_Critical_24"	-0.816	0.156	-5.237	0
"RC.C:Item232_Critical_25"	0.547	0.156	3.507	0
"RC.C:Item232_Critical_26"	1.126	0.156	7.226	0
"RC.C:Item232_Critical_27"	-1.139	0.156	-7.306	0
"RC.C:Item232_Critical_28"	-0.493	0.156	-3.161	0.002
"RC.C:Item232_Critical_3"	0.583	0.156	3.741	0
"RC.C:Item232_Critical_30"	0.759	0.156	4.872	0
"RC.C:Item232_Critical_4"	0.25	0.156	1.604	0.109
"RC.C:Item232_Critical_5"	-0.374	0.156	-2.399	0.016
"RC.C:Item232_Critical_6"	-0.229	0.156	-1.471	0.141
"RC.C:Item232_Critical_7"	-1.394	0.156	-8.946	0
"RC.C:Item232_Critical_8"	-0.173	0.156	-1.113	0.266
"RC.C:Item232_Critical_9"	1.093	0.156	7.011	0
"RC.C:Item238_Critical_Vadv1"	-0.258	0.22	-1.172	0.241
"RC.C:Item238_Critical_VAdv1"	-1.835	0.22	-8.325	0
"RC.C:Item238_Critical_Vadv2"	-0.21	0.156	-1.347	0.178
"RC.C:Item238_Critical_Vadv3"	-1.861	0.156	-11.941	0
"RC.C:Item238_Critical_Vadv5"	0.113	0.156	0.726	0.468
"RC.C:Item238_Critical_Vadv6"	-0.448	0.156	-2.877	0.004
"RC.C:Item238_Critical_Vadv7"	-1.284	0.156	-8.241	0
"RC.C:Item238_Critical_Vadv8"	-0.791	0.156	-5.073	0
"RC.C:Item238_Critical_Vadv9"	-0.469	0.156	-3.006	0.003
"RC.C:Item238_Critical_VN1"	0.585	0.156	3.755	0
"RC.C:Item238_Critical_VN2"	-0.737	0.156	-4.727	0
"RC.C:Item238_Critical_VN3"	0.965	0.156	6.193	0
"RC.C:Item238_Critical_VN5"	1.106	0.156	7.095	0
"RC.C:ItemCritical_6"	0.951	0.156	6.102	0
"compatible.C:Item232_Critical_29"	2.264	0.156	14.528	0
"compatible.C:Item232_Critical_31"	1.336	0.156	8.571	0
"compatible.C:ItemCritical_0"	1.321	0.156	8.473	0
"compatible.C:ItemCritical_1"	-1.095	0.156	-7.025	0
"compatible.C:ItemCritical_10"	0.858	0.156	5.504	0
"compatible.C:ItemCritical_11"	1.303	0.156	8.361	0
"compatible.C:ItemCritical_12"	-0.337	0.156	-2.163	0.031
"compatible.C:ItemCritical_13"	0.769	0.156	4.937	0
"compatible.C:ItemCritical_14"	1.099	0.156	7.053	0
"compatible.C:ItemCritical_15"	2.673	0.156	17.15	0
"compatible.C:ItemCritical_16"	1.048	0.156	6.726	0
"compatible.C:ItemCritical_17"	-0.079	0.156	-0.508	0.612
"compatible.C:ItemCritical_18"	0.297	0.156	1.905	0.057
"compatible.C:ItemCritical_19"	-0.484	0.156	-3.104	0.002
"compatible.C:ItemCritical_2"	1.326	0.156	8.505	0
"compatible.C:ItemCritical_20"	1.139	0.156	7.307	0
"compatible.C:ItemCritical_21"	0.908	0.156	5.828	0
"compatible.C:ItemCritical_22"	-0.144	0.156	-0.926	0.354
"compatible.C:ItemCritical_23"	0.176	0.156	1.131	0.258
"compatible.C:ItemCritical_24"	1.443	0.156	9.256	0
"compatible.C:ItemCritical_25"	1.457	0.156	9.349	0
"compatible.C:ItemCritical_26"	-1.728	0.156	-11.087	0
"compatible.C:ItemCritical_27"	-0.9	0.156	-5.772	0
"compatible.C:ItemCritical_28"	0.801	0.156	5.138	0
"compatible.C:ItemCritical_29"	1.649	0.156	10.582	0
"compatible.C:ItemCritical_3"	1.485	0.156	9.528	0
"compatible.C:ItemCritical_30"	1.476	0.156	9.47	0
"compatible.C:ItemCritical_31"	-0.861	0.156	-5.524	0
"compatible.C:ItemCritical_32"	-0.084	0.156	-0.541	0.588
"compatible.C:ItemCritical_33"	0.618	0.156	3.966	0
"compatible.C:ItemCritical_34"	0.87	0.156	5.579	0
"compatible.C:ItemCritical_35"	-1.286	0.156	-8.252	0
"compatible.C:ItemCritical_36"	0.367	0.156	2.356	0.018
"compatible.C:ItemCritical_4"	-0.271	0.156	-1.736	0.083
"compatible.C:ItemCritical_5"	1.695	0.156	10.876	0
"compatible.C:ItemCritical_7"	1.124	0.156	7.213	0
"compatible.C:ItemCritical_8"	0.142	0.156	0.914	0.361
"compatible.C:ItemCritical_9"	1.269	0.156	8.14	0
"compatible.C:ItemMixed_1"	1.28	0.156	8.211	0
"compatible.C:ItemMixed_11"	-0.148	0.156	-0.948	0.343
"compatible.C:ItemMixed_12"	2.045	0.156	13.119	0
"compatible.C:ItemMixed_13"	0.759	0.156	4.87	0
"compatible.C:ItemMixed_14"	-0.22	0.156	-1.414	0.157
"compatible.C:ItemMixed_15"	0.138	0.156	0.886	0.376
"compatible.C:ItemMixed_16"	0.277	0.156	1.776	0.076
"compatible.C:ItemMixed_17"	1.443	0.156	9.257	0
"compatible.C:ItemMixed_18"	-0.72	0.156	-4.617	0
"compatible.C:ItemMixed_19"	-0.174	0.156	-1.117	0.264
"compatible.C:ItemMixed_2"	2.489	0.156	15.967	0
"compatible.C:ItemMixed_21"	1.494	0.156	9.583	0
"compatible.C:ItemMixed_22"	0.035	0.156	0.222	0.824
"compatible.C:ItemMixed_23"	2.531	0.156	16.242	0
"compatible.C:ItemMixed_24"	1.445	0.156	9.274	0
"compatible.C:ItemMixed_25"	1.189	0.156	7.627	0
"compatible.C:ItemMixed_26"	0.973	0.156	6.242	0
"compatible.C:ItemMixed_27"	0.804	0.156	5.159	0
"compatible.C:ItemMixed_28"	-0.889	0.156	-5.705	0
"compatible.C:ItemMixed_29"	1.611	0.156	10.335	0
"compatible.C:ItemMixed_3"	0.966	0.156	6.195	0
"compatible.C:ItemMixed_30"	0.715	0.156	4.589	0
"compatible.C:ItemMixed_31"	0.65	0.156	4.173	0
"compatible.C:ItemMixed_32"	-0.917	0.156	-5.882	0
"compatible.C:ItemMixed_33"	2.808	0.156	18.014	0
"compatible.C:ItemMixed_34"	-0.232	0.156	-1.491	0.136
"compatible.C:ItemMixed_35"	-0.625	0.156	-4.01	0
"compatible.C:ItemMixed_36"	0.289	0.156	1.857	0.063
"compatible.C:ItemMixed_37"	1.362	0.156	8.737	0
"compatible.C:ItemMixed_38"	-0.678	0.156	-4.35	0
"compatible.C:ItemMixed_39"	0.942	0.156	6.045	0
"compatible.C:ItemMixed_4"	1.501	0.156	9.632	0
"compatible.C:ItemMixed_40"	0.43	0.156	2.757	0.006
"compatible.C:ItemMixed_41"	2.892	0.156	18.553	0
"compatible.C:ItemMixed_42"	1.709	0.156	10.968	0
"compatible.C:ItemMixed_43"	1.116	0.156	7.163	0
"compatible.C:ItemMixed_5"	2.144	0.156	13.759	0
"compatible.C:ItemMixed_6"	0.227	0.156	1.455	0.146
"compatible.C:ItemMixed_7"	0.438	0.156	2.809	0.005
"compatible.C:ItemMixed_8"	0.632	0.156	4.053	0
"compatible.C:ItemMixed_9"	-0.071	0.156	-0.454	0.65
"compatible.C:Item232_Critical_0"	0.593	0.156	3.808	0
"compatible.C:Item232_Critical_1"	-0.044	0.156	-0.282	0.778
"compatible.C:Item232_Critical_10"	0.147	0.156	0.944	0.345
"compatible.C:Item232_Critical_11"	-1.642	0.156	-10.538	0
"compatible.C:Item232_Critical_12"	-0.024	0.156	-0.155	0.877
"compatible.C:Item232_Critical_13"	-0.006	0.156	-0.036	0.971
"compatible.C:Item232_Critical_14"	-0.321	0.156	-2.062	0.039
"compatible.C:Item232_Critical_15"	-0.662	0.156	-4.244	0
"compatible.C:Item232_Critical_16"	2.182	0.156	13.999	0
"compatible.C:Item232_Critical_17"	0.555	0.156	3.563	0
"compatible.C:Item232_Critical_18"	0.756	0.156	4.85	0
"compatible.C:Item232_Critical_19"	0.825	0.156	5.292	0
"compatible.C:Item232_Critical_2"	0.98	0.156	6.287	0
"compatible.C:Item232_Critical_20"	0.009	0.156	0.057	0.955
"compatible.C:Item232_Critical_21"	0.675	0.156	4.332	0
"compatible.C:Item232_Critical_23"	-0.549	0.156	-3.523	0
"compatible.C:Item232_Critical_24"	1.3	0.156	8.342	0
"compatible.C:Item232_Critical_25"	1.224	0.156	7.853	0
"compatible.C:Item232_Critical_26"	1.453	0.156	9.321	0
"compatible.C:Item232_Critical_27"	-0.382	0.156	-2.448	0.014
"compatible.C:Item232_Critical_28"	1.342	0.156	8.608	0
"compatible.C:Item232_Critical_3"	1.802	0.156	11.561	0
"compatible.C:Item232_Critical_30"	1.429	0.156	9.166	0
"compatible.C:Item232_Critical_4"	1.833	0.156	11.759	0
"compatible.C:Item232_Critical_5"	1.964	0.156	12.6	0
"compatible.C:Item232_Critical_6"	0.986	0.156	6.329	0
"compatible.C:Item232_Critical_7"	0.998	0.156	6.404	0
"compatible.C:Item232_Critical_8"	0.317	0.156	2.033	0.042
"compatible.C:Item232_Critical_9"	-1.08	0.156	-6.93	0
"compatible.C:Item238_Critical_Vadv1"	-0.706	0.382	-1.848	0.065
"compatible.C:Item238_Critical_VAdv1"	4.915	0.382	12.873	0
"compatible.C:Item238_Critical_Vadv2"	0.628	0.156	4.03	0
"compatible.C:Item238_Critical_Vadv3"	2.097	0.156	13.452	0
"compatible.C:Item238_Critical_Vadv5"	0.911	0.156	5.847	0
"compatible.C:Item238_Critical_Vadv6"	-0.84	0.156	-5.391	0
"compatible.C:Item238_Critical_Vadv7"	2.47	0.156	15.848	0
