"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	13.602	0.059	231.188	0
"RC.C"	1.933	0.105	18.363	0
"compatible.C"	0.268	0.105	2.549	0.011
"ItemMixed_11"	-5.406	0.083	-64.969	0
"ItemMixed_12"	-5.144	0.083	-61.817	0
"ItemMixed_13"	-5.217	0.083	-62.695	0
"ItemMixed_14"	-8.094	0.083	-97.279	0
"ItemMixed_15"	-0.719	0.083	-8.645	0
"ItemMixed_16"	-2.871	0.083	-34.505	0
"ItemMixed_17"	-9.394	0.083	-112.893	0
"ItemMixed_18"	-8.766	0.083	-105.351	0
"ItemMixed_19"	-2.235	0.083	-26.863	0
"ItemMixed_2"	-5.092	0.083	-61.199	0
"ItemMixed_21"	-7.124	0.083	-85.621	0
"ItemMixed_22"	0.884	0.083	10.626	0
"ItemMixed_23"	-4.954	0.083	-59.532	0
"ItemMixed_24"	-2.477	0.083	-29.767	0
"ItemMixed_25"	-4.459	0.083	-53.588	0
"ItemMixed_26"	-3.808	0.083	-45.762	0
"ItemMixed_27"	-6.258	0.083	-75.208	0
"ItemMixed_28"	-5.133	0.083	-61.693	0
"ItemMixed_29"	-9.2	0.083	-110.564	0
"ItemMixed_3"	-9.08	0.083	-109.125	0
"ItemMixed_30"	-5.341	0.083	-64.183	0
"ItemMixed_31"	1.586	0.083	19.057	0
"ItemMixed_32"	-6.096	0.083	-73.263	0
"ItemMixed_33"	-6.141	0.083	-73.801	0
"ItemMixed_34"	-9.143	0.083	-109.878	0
"ItemMixed_35"	0.621	0.083	7.462	0
"ItemMixed_36"	-2.087	0.083	-25.084	0
"ItemMixed_37"	-4.169	0.083	-50.099	0
"ItemMixed_38"	-1.679	0.083	-20.175	0
"ItemMixed_39"	-9.503	0.083	-114.204	0
"ItemMixed_4"	-8.891	0.083	-106.857	0
"ItemMixed_40"	-6.395	0.083	-76.861	0
"ItemMixed_41"	-4.313	0.083	-51.838	0
"ItemMixed_42"	-2.245	0.083	-26.977	0
"ItemMixed_43"	-6.402	0.083	-76.936	0
"ItemMixed_5"	-2.223	0.083	-26.719	0
"ItemMixed_6"	-0.236	0.083	-2.832	0.005
"ItemMixed_7"	-8.827	0.083	-106.088	0
"ItemMixed_8"	-6.912	0.083	-83.067	0
"ItemMixed_9"	-9.359	0.083	-112.478	0
"Item232_Critical_0"	-9.334	0.083	-112.18	0
"Item232_Critical_1"	-5.148	0.083	-61.864	0
"Item232_Critical_10"	-7.523	0.083	-90.413	0
"Item232_Critical_11"	-4.074	0.083	-48.965	0
"Item232_Critical_12"	-2.573	0.083	-30.918	0
"Item232_Critical_13"	-4.969	0.083	-59.717	0
"Item232_Critical_14"	-9.207	0.083	-110.648	0
"Item232_Critical_15"	-4.249	0.083	-51.068	0
"Item232_Critical_16"	-3.642	0.083	-43.767	0
"Item232_Critical_17"	-9.236	0.083	-111	0
"Item232_Critical_18"	-9.31	0.083	-111.881	0
"Item232_Critical_19"	-4.381	0.083	-52.648	0
"Item232_Critical_2"	-9.218	0.083	-110.785	0
"Item232_Critical_20"	-5.619	0.083	-67.535	0
"Item232_Critical_21"	-2.423	0.083	-29.115	0
"Item232_Critical_23"	-4.855	0.083	-58.353	0
"Item232_Critical_24"	-4.702	0.083	-56.51	0
"Item232_Critical_25"	-9.101	0.083	-109.376	0
"Item232_Critical_26"	-8.92	0.083	-107.198	0
"Item232_Critical_27"	-2.432	0.083	-29.224	0
"Item232_Critical_28"	-4.55	0.083	-54.679	0
"Item232_Critical_3"	-8.583	0.083	-103.147	0
"Item232_Critical_30"	-8.968	0.083	-107.776	0
"Item232_Critical_4"	-1.208	0.083	-14.513	0
"Item232_Critical_5"	-5.568	0.083	-66.912	0
"Item232_Critical_6"	-6.461	0.083	-77.644	0
"Item232_Critical_7"	-3.735	0.083	-44.89	0
"Item232_Critical_8"	-4.836	0.083	-58.121	0
"Item232_Critical_9"	-9.147	0.083	-109.932	0
"Item238_Critical_Vadv1"	-1.165	0.149	-7.826	0
"Item238_Critical_VAdv1"	-1.165	0.149	-7.826	0
"Item238_Critical_Vadv2"	1.399	0.083	16.816	0
"Item238_Critical_Vadv3"	-4.81	0.083	-57.806	0
"Item238_Critical_Vadv5"	-3.714	0.083	-44.632	0
"Item238_Critical_Vadv6"	-4.382	0.083	-52.668	0
"Item238_Critical_Vadv7"	-3.437	0.083	-41.304	0
"Item238_Critical_Vadv8"	-8.883	0.083	-106.753	0
"Item238_Critical_Vadv9"	-4.157	0.083	-49.963	0
"Item238_Critical_VN1"	-8.959	0.083	-107.675	0
"Item238_Critical_VN2"	-4.353	0.083	-52.314	0
"Item238_Critical_VN3"	-3.398	0.083	-40.833	0
"Item238_Critical_VN5"	-1.866	0.083	-22.431	0
"ItemCritical_6"	-8.708	0.083	-104.648	0
"EmbBias.C"	0.082	0.054	1.525	0.127
"SC.C"	-0.804	0.118	-6.829	0
"RC.C:compatible.C"	1.19	0.211	5.655	0
"RC.C:ItemMixed_11"	-0.871	0.149	-5.853	0
"RC.C:ItemMixed_12"	-0.046	0.149	-0.306	0.759
"RC.C:ItemMixed_13"	-0.093	0.149	-0.624	0.533
"RC.C:ItemMixed_14"	-0.316	0.149	-2.12	0.034
"RC.C:ItemMixed_15"	-0.388	0.149	-2.605	0.009
"RC.C:ItemMixed_16"	0.074	0.149	0.499	0.618
"RC.C:ItemMixed_17"	0.966	0.149	6.491	0
"RC.C:ItemMixed_18"	1.275	0.149	8.565	0
"RC.C:ItemMixed_19"	-1.318	0.149	-8.855	0
"RC.C:ItemMixed_2"	-1.126	0.149	-7.565	0
"RC.C:ItemMixed_21"	-1.122	0.149	-7.537	0
"RC.C:ItemMixed_22"	-0.881	0.149	-5.922	0
"RC.C:ItemMixed_23"	-0.613	0.149	-4.117	0
"RC.C:ItemMixed_24"	0.475	0.149	3.188	0.001
"RC.C:ItemMixed_25"	-0.235	0.149	-1.579	0.114
"RC.C:ItemMixed_26"	2.166	0.149	14.554	0
"RC.C:ItemMixed_27"	-0.053	0.149	-0.353	0.724
"RC.C:ItemMixed_28"	-0.365	0.149	-2.451	0.014
"RC.C:ItemMixed_29"	0.66	0.149	4.437	0
"RC.C:ItemMixed_3"	-0.341	0.149	-2.294	0.022
"RC.C:ItemMixed_30"	-0.859	0.149	-5.768	0
"RC.C:ItemMixed_31"	-1.948	0.149	-13.089	0
"RC.C:ItemMixed_32"	-0.359	0.149	-2.415	0.016
"RC.C:ItemMixed_33"	-0.291	0.149	-1.956	0.05
"RC.C:ItemMixed_34"	0.232	0.149	1.556	0.12
"RC.C:ItemMixed_35"	-1.354	0.149	-9.099	0
"RC.C:ItemMixed_36"	-1.543	0.149	-10.364	0
"RC.C:ItemMixed_37"	1.055	0.149	7.085	0
"RC.C:ItemMixed_38"	-1.063	0.149	-7.138	0
"RC.C:ItemMixed_39"	-0.752	0.149	-5.052	0
"RC.C:ItemMixed_4"	0.493	0.149	3.31	0.001
"RC.C:ItemMixed_40"	-0.754	0.149	-5.063	0
"RC.C:ItemMixed_41"	1.027	0.149	6.897	0
"RC.C:ItemMixed_42"	-0.242	0.149	-1.629	0.103
"RC.C:ItemMixed_43"	0.02	0.149	0.137	0.891
"RC.C:ItemMixed_5"	-0.804	0.149	-5.398	0
"RC.C:ItemMixed_6"	-1.331	0.149	-8.942	0
"RC.C:ItemMixed_7"	1.786	0.149	11.997	0
"RC.C:ItemMixed_8"	-0.821	0.149	-5.513	0
"RC.C:ItemMixed_9"	-0.156	0.149	-1.046	0.296
"RC.C:Item232_Critical_0"	0.678	0.149	4.554	0
"RC.C:Item232_Critical_1"	-0.03	0.149	-0.199	0.842
"RC.C:Item232_Critical_10"	-2.096	0.149	-14.078	0
"RC.C:Item232_Critical_11"	-1.173	0.149	-7.878	0
"RC.C:Item232_Critical_12"	-0.74	0.149	-4.971	0
"RC.C:Item232_Critical_13"	-0.99	0.149	-6.648	0
"RC.C:Item232_Critical_14"	0.144	0.149	0.97	0.332
"RC.C:Item232_Critical_15"	-0.696	0.149	-4.673	0
"RC.C:Item232_Critical_16"	0.383	0.149	2.573	0.01
"RC.C:Item232_Critical_17"	0.148	0.149	0.996	0.319
"RC.C:Item232_Critical_18"	-0.316	0.149	-2.126	0.034
"RC.C:Item232_Critical_19"	0.438	0.149	2.943	0.003
"RC.C:Item232_Critical_2"	0.532	0.149	3.573	0
"RC.C:Item232_Critical_20"	-1.043	0.149	-7.005	0
"RC.C:Item232_Critical_21"	-1.354	0.149	-9.098	0
"RC.C:Item232_Critical_23"	-1.58	0.149	-10.612	0
"RC.C:Item232_Critical_24"	-0.978	0.149	-6.57	0
"RC.C:Item232_Critical_25"	1.079	0.149	7.25	0
"RC.C:Item232_Critical_26"	1.421	0.149	9.546	0
"RC.C:Item232_Critical_27"	-0.989	0.149	-6.647	0
"RC.C:Item232_Critical_28"	-0.142	0.149	-0.952	0.341
"RC.C:Item232_Critical_3"	-0.43	0.149	-2.887	0.004
"RC.C:Item232_Critical_30"	0.963	0.149	6.469	0
"RC.C:Item232_Critical_4"	0.294	0.149	1.972	0.049
"RC.C:Item232_Critical_5"	-0.637	0.149	-4.278	0
"RC.C:Item232_Critical_6"	-0.144	0.149	-0.967	0.334
"RC.C:Item232_Critical_7"	-1.512	0.149	-10.159	0
"RC.C:Item232_Critical_8"	-0.196	0.149	-1.319	0.187
"RC.C:Item232_Critical_9"	0.427	0.149	2.868	0.004
"RC.C:Item238_Critical_Vadv1"	0.682	0.211	3.238	0.001
"RC.C:Item238_Critical_VAdv1"	-0.38	0.211	-1.806	0.071
"RC.C:Item238_Critical_Vadv2"	-1.302	0.149	-8.745	0
"RC.C:Item238_Critical_Vadv3"	-1.386	0.149	-9.31	0
"RC.C:Item238_Critical_Vadv5"	0.372	0.149	2.5	0.012
"RC.C:Item238_Critical_Vadv6"	-2.099	0.149	-14.1	0
"RC.C:Item238_Critical_Vadv7"	-1.075	0.149	-7.222	0
"RC.C:Item238_Critical_Vadv8"	-0.499	0.149	-3.35	0.001
"RC.C:Item238_Critical_Vadv9"	-0.048	0.149	-0.323	0.747
"RC.C:Item238_Critical_VN1"	0.31	0.149	2.086	0.037
"RC.C:Item238_Critical_VN2"	-0.966	0.149	-6.489	0
"RC.C:Item238_Critical_VN3"	0.852	0.149	5.726	0
"RC.C:Item238_Critical_VN5"	0.375	0.149	2.522	0.012
"RC.C:ItemCritical_6"	1.127	0.149	7.568	0
"compatible.C:ItemMixed_11"	-0.049	0.149	-0.331	0.74
"compatible.C:ItemMixed_12"	0.44	0.149	2.956	0.003
"compatible.C:ItemMixed_13"	0.695	0.149	4.671	0
"compatible.C:ItemMixed_14"	-2.177	0.149	-14.624	0
"compatible.C:ItemMixed_15"	-1.694	0.149	-11.381	0
"compatible.C:ItemMixed_16"	0.465	0.149	3.126	0.002
"compatible.C:ItemMixed_17"	0.585	0.149	3.932	0
"compatible.C:ItemMixed_18"	-1.128	0.149	-7.579	0
"compatible.C:ItemMixed_19"	-1.6	0.149	-10.748	0
"compatible.C:ItemMixed_2"	0.983	0.149	6.607	0
"compatible.C:ItemMixed_21"	-0.017	0.149	-0.113	0.91
"compatible.C:ItemMixed_22"	-0.972	0.149	-6.527	0
"compatible.C:ItemMixed_23"	0.545	0.149	3.665	0
"compatible.C:ItemMixed_24"	0.533	0.149	3.581	0
"compatible.C:ItemMixed_25"	-0.068	0.149	-0.457	0.648
"compatible.C:ItemMixed_26"	-0.265	0.149	-1.78	0.075
"compatible.C:ItemMixed_27"	-0.234	0.149	-1.57	0.116
"compatible.C:ItemMixed_28"	-1.795	0.149	-12.063	0
"compatible.C:ItemMixed_29"	0.705	0.149	4.735	0
"compatible.C:ItemMixed_3"	-0.027	0.149	-0.181	0.856
"compatible.C:ItemMixed_30"	-0.275	0.149	-1.849	0.064
"compatible.C:ItemMixed_31"	0.755	0.149	5.07	0
"compatible.C:ItemMixed_32"	-0.465	0.149	-3.125	0.002
"compatible.C:ItemMixed_33"	1.34	0.149	9	0
"compatible.C:ItemMixed_34"	-1.571	0.149	-10.553	0
"compatible.C:ItemMixed_35"	-1.214	0.149	-8.153	0
"compatible.C:ItemMixed_36"	-0.851	0.149	-5.715	0
"compatible.C:ItemMixed_37"	1.176	0.149	7.903	0
"compatible.C:ItemMixed_38"	-1.615	0.149	-10.848	0
"compatible.C:ItemMixed_39"	0.206	0.149	1.383	0.167
"compatible.C:ItemMixed_4"	0.445	0.149	2.99	0.003
"compatible.C:ItemMixed_40"	-0.975	0.149	-6.547	0
"compatible.C:ItemMixed_41"	1.416	0.149	9.516	0
"compatible.C:ItemMixed_42"	1.068	0.149	7.173	0
"compatible.C:ItemMixed_43"	0.09	0.149	0.604	0.546
"compatible.C:ItemMixed_5"	2.124	0.149	14.272	0
"compatible.C:ItemMixed_6"	-1.194	0.149	-8.022	0
"compatible.C:ItemMixed_7"	-0.906	0.149	-6.09	0
"compatible.C:ItemMixed_8"	-0.811	0.149	-5.448	0
"compatible.C:ItemMixed_9"	0.138	0.149	0.924	0.355
"compatible.C:Item232_Critical_0"	-0.134	0.149	-0.899	0.369
"compatible.C:Item232_Critical_1"	-0.371	0.149	-2.493	0.013
"compatible.C:Item232_Critical_10"	-0.782	0.149	-5.251	0
"compatible.C:Item232_Critical_11"	-1.905	0.149	-12.796	0
"compatible.C:Item232_Critical_12"	-0.326	0.149	-2.191	0.028
"compatible.C:Item232_Critical_13"	-1.21	0.149	-8.13	0
"compatible.C:Item232_Critical_14"	-1.964	0.149	-13.196	0
"compatible.C:Item232_Critical_15"	-0.933	0.149	-6.267	0
"compatible.C:Item232_Critical_16"	1.346	0.149	9.045	0
"compatible.C:Item232_Critical_17"	0.16	0.149	1.072	0.284
"compatible.C:Item232_Critical_18"	-0.016	0.149	-0.104	0.917
"compatible.C:Item232_Critical_19"	0.329	0.149	2.209	0.027
"compatible.C:Item232_Critical_2"	0.309	0.149	2.077	0.038
"compatible.C:Item232_Critical_20"	-0.254	0.149	-1.705	0.088
"compatible.C:Item232_Critical_21"	0.128	0.149	0.862	0.389
