"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	4.441	0.067	66.66	0
"RC.C"	1.462	0.119	12.27	0
"compatible.C"	0.323	0.119	2.71	0.007
"Item232_Critical_1"	4.022	0.094	42.695	0
"Item232_Critical_10"	1.453	0.094	15.427	0
"Item232_Critical_11"	5.447	0.094	57.816	0
"Item232_Critical_12"	6.294	0.094	66.813	0
"Item232_Critical_13"	4.426	0.094	46.985	0
"Item232_Critical_14"	-0.072	0.094	-0.767	0.443
"Item232_Critical_15"	5.091	0.094	54.04	0
"Item232_Critical_16"	5.64	0.094	59.865	0
"Item232_Critical_17"	-0.148	0.094	-1.574	0.115
"Item232_Critical_18"	-0.007	0.094	-0.071	0.944
"Item232_Critical_19"	5.072	0.094	53.837	0
"Item232_Critical_2"	0.163	0.094	1.732	0.083
"Item232_Critical_20"	3.587	0.094	38.07	0
"Item232_Critical_21"	6.853	0.094	72.738	0
"Item232_Critical_23"	4.277	0.094	45.398	0
"Item232_Critical_24"	4.624	0.094	49.083	0
"Item232_Critical_25"	0.126	0.094	1.342	0.18
"Item232_Critical_26"	0.189	0.094	2.011	0.044
"Item232_Critical_27"	6.629	0.094	70.368	0
"Item232_Critical_28"	4.786	0.094	50.799	0
"Item232_Critical_3"	0.915	0.094	9.713	0
"Item232_Critical_30"	0.597	0.094	6.336	0
"Item232_Critical_4"	8.091	0.094	85.882	0
"Item232_Critical_5"	3.722	0.094	39.508	0
"Item232_Critical_6"	2.636	0.094	27.982	0
"Item232_Critical_7"	5.527	0.094	58.666	0
"Item232_Critical_8"	4.268	0.094	45.299	0
"Item232_Critical_9"	0.09	0.094	0.958	0.338
"Item238_Critical_Vadv1"	8.786	0.169	52.137	0
"Item238_Critical_VAdv1"	8.787	0.169	52.14	0
"Item238_Critical_Vadv2"	10.471	0.094	111.143	0
"Item238_Critical_Vadv3"	3.874	0.094	41.124	0
"Item238_Critical_Vadv5"	4.986	0.094	52.925	0
"Item238_Critical_Vadv6"	4.903	0.094	52.047	0
"Item238_Critical_Vadv7"	5.616	0.094	59.61	0
"Item238_Critical_Vadv8"	-0.056	0.094	-0.596	0.551
"Item238_Critical_Vadv9"	5.09	0.094	54.027	0
"Item238_Critical_VN1"	-0.01	0.094	-0.108	0.914
"Item238_Critical_VN2"	4.993	0.094	52.996	0
"Item238_Critical_VN3"	5.864	0.094	62.24	0
"Item238_Critical_VN5"	7.319	0.094	77.684	0
"ItemCritical_6"	0.539	0.094	5.723	0
"EmbBias.C"	-0.069	0.061	-1.138	0.255
"SC.C"	0.703	0.133	5.279	0
"RC.C:compatible.C"	0.379	0.238	1.589	0.112
"RC.C:Item232_Critical_1"	-1.282	0.169	-7.606	0
"RC.C:Item232_Critical_10"	-3.514	0.169	-20.85	0
"RC.C:Item232_Critical_11"	-1.087	0.169	-6.451	0
"RC.C:Item232_Critical_12"	-1.63	0.169	-9.674	0
"RC.C:Item232_Critical_13"	-1.818	0.169	-10.786	0
"RC.C:Item232_Critical_14"	-2.08	0.169	-12.343	0
"RC.C:Item232_Critical_15"	-1.16	0.169	-6.882	0
"RC.C:Item232_Critical_16"	-1.007	0.169	-5.973	0
"RC.C:Item232_Critical_17"	-1.368	0.169	-8.12	0
"RC.C:Item232_Critical_18"	-1.345	0.169	-7.983	0
"RC.C:Item232_Critical_19"	-0.812	0.169	-4.817	0
"RC.C:Item232_Critical_2"	0.247	0.169	1.463	0.143
"RC.C:Item232_Critical_20"	-1.367	0.169	-8.11	0
"RC.C:Item232_Critical_21"	-1.65	0.169	-9.79	0
"RC.C:Item232_Critical_23"	-1.67	0.169	-9.909	0
"RC.C:Item232_Critical_24"	-2.297	0.169	-13.63	0
"RC.C:Item232_Critical_25"	-1.218	0.169	-7.229	0
"RC.C:Item232_Critical_26"	-0.657	0.169	-3.897	0
"RC.C:Item232_Critical_27"	-2.034	0.169	-12.071	0
"RC.C:Item232_Critical_28"	-1.257	0.169	-7.46	0
"RC.C:Item232_Critical_3"	-1.389	0.169	-8.243	0
"RC.C:Item232_Critical_30"	-0.703	0.169	-4.169	0
"RC.C:Item232_Critical_4"	-0.579	0.169	-3.436	0.001
"RC.C:Item232_Critical_5"	-1.609	0.169	-9.548	0
"RC.C:Item232_Critical_6"	-1.782	0.169	-10.572	0
"RC.C:Item232_Critical_7"	-1.585	0.169	-9.402	0
"RC.C:Item232_Critical_8"	-1.932	0.169	-11.465	0
"RC.C:Item232_Critical_9"	-0.082	0.169	-0.487	0.626
"RC.C:Item238_Critical_Vadv1"	-1.517	0.238	-6.365	0
"RC.C:Item238_Critical_VAdv1"	-2.759	0.238	-11.578	0
"RC.C:Item238_Critical_Vadv2"	-1.164	0.169	-6.908	0
"RC.C:Item238_Critical_Vadv3"	-2.239	0.169	-13.284	0
"RC.C:Item238_Critical_Vadv5"	0.006	0.169	0.037	0.97
"RC.C:Item238_Critical_Vadv6"	-1.291	0.169	-7.662	0
"RC.C:Item238_Critical_Vadv7"	-0.926	0.169	-5.495	0
"RC.C:Item238_Critical_Vadv8"	-0.172	0.169	-1.022	0.307
"RC.C:Item238_Critical_Vadv9"	-2.923	0.169	-17.343	0
"RC.C:Item238_Critical_VN1"	-0.658	0.169	-3.905	0
"RC.C:Item238_Critical_VN2"	-2.708	0.169	-16.066	0
"RC.C:Item238_Critical_VN3"	-0.351	0.169	-2.083	0.037
"RC.C:Item238_Critical_VN5"	-0.833	0.169	-4.943	0
"RC.C:ItemCritical_6"	-0.666	0.169	-3.952	0
"compatible.C:Item232_Critical_1"	-0.418	0.169	-2.481	0.013
"compatible.C:Item232_Critical_10"	-0.057	0.169	-0.338	0.735
"compatible.C:Item232_Critical_11"	-2.376	0.169	-14.098	0
"compatible.C:Item232_Critical_12"	0.005	0.169	0.027	0.978
"compatible.C:Item232_Critical_13"	-1.361	0.169	-8.075	0
"compatible.C:Item232_Critical_14"	-0.736	0.169	-4.367	0
"compatible.C:Item232_Critical_15"	-0.67	0.169	-3.973	0
"compatible.C:Item232_Critical_16"	1.53	0.169	9.08	0
"compatible.C:Item232_Critical_17"	0.385	0.169	2.284	0.022
"compatible.C:Item232_Critical_18"	0.657	0.169	3.899	0
"compatible.C:Item232_Critical_19"	0.205	0.169	1.218	0.223
"compatible.C:Item232_Critical_2"	1.25	0.169	7.415	0
"compatible.C:Item232_Critical_20"	-0.058	0.169	-0.346	0.729
"compatible.C:Item232_Critical_21"	0.378	0.169	2.241	0.025
"compatible.C:Item232_Critical_23"	-0.755	0.169	-4.479	0
"compatible.C:Item232_Critical_24"	0.739	0.169	4.383	0
"compatible.C:Item232_Critical_25"	1.349	0.169	8.003	0
"compatible.C:Item232_Critical_26"	0.7	0.169	4.152	0
"compatible.C:Item232_Critical_27"	-0.245	0.169	-1.457	0.145
"compatible.C:Item232_Critical_28"	1.124	0.169	6.667	0
"compatible.C:Item232_Critical_3"	0.948	0.169	5.624	0
"compatible.C:Item232_Critical_30"	0.184	0.169	1.09	0.276
"compatible.C:Item232_Critical_4"	1.213	0.169	7.196	0
"compatible.C:Item232_Critical_5"	1.764	0.169	10.47	0
"compatible.C:Item232_Critical_6"	0.805	0.169	4.776	0
"compatible.C:Item232_Critical_7"	0.606	0.169	3.594	0
"compatible.C:Item232_Critical_8"	-0.083	0.169	-0.49	0.624
"compatible.C:Item232_Critical_9"	-0.83	0.169	-4.926	0
"compatible.C:Item238_Critical_Vadv1"	1.028	0.413	2.49	0.013
"compatible.C:Item238_Critical_VAdv1"	1.567	0.413	3.796	0
"compatible.C:Item238_Critical_Vadv2"	0.141	0.169	0.839	0.402
"compatible.C:Item238_Critical_Vadv3"	2.658	0.169	15.775	0
"compatible.C:Item238_Critical_Vadv5"	-0.444	0.169	-2.634	0.008
"compatible.C:Item238_Critical_Vadv6"	-1.586	0.169	-9.41	0
"compatible.C:Item238_Critical_Vadv7"	0.996	0.169	5.909	0
"compatible.C:Item238_Critical_Vadv8"	0.807	0.169	4.787	0
"compatible.C:Item238_Critical_Vadv9"	-0.513	0.169	-3.044	0.002
"compatible.C:Item238_Critical_VN1"	0.52	0.169	3.085	0.002
"compatible.C:Item238_Critical_VN2"	-1.277	0.169	-7.578	0
"compatible.C:Item238_Critical_VN3"	-0.262	0.169	-1.554	0.12
"compatible.C:Item238_Critical_VN5"	0.26	0.169	1.541	0.123
"compatible.C:ItemCritical_6"	1.833	0.169	10.874	0
"RC.C:EmbBias.C"	0.028	0.109	0.258	0.797
"Item232_Critical_1:EmbBias.C"	-0.144	0.086	-1.673	0.094
"Item232_Critical_10:EmbBias.C"	0.054	0.086	0.624	0.532
"Item232_Critical_11:EmbBias.C"	0.051	0.086	0.587	0.557
"Item232_Critical_12:EmbBias.C"	0.001	0.086	0.009	0.993
"Item232_Critical_13:EmbBias.C"	-0.004	0.086	-0.045	0.964
"Item232_Critical_14:EmbBias.C"	-0.005	0.086	-0.058	0.954
"Item232_Critical_15:EmbBias.C"	0.247	0.086	2.863	0.004
"Item232_Critical_16:EmbBias.C"	-0.04	0.086	-0.466	0.641
"Item232_Critical_17:EmbBias.C"	-0.093	0.086	-1.085	0.278
"Item232_Critical_18:EmbBias.C"	0.041	0.086	0.478	0.633
"Item232_Critical_19:EmbBias.C"	-0.112	0.086	-1.3	0.193
"Item232_Critical_2:EmbBias.C"	0.017	0.086	0.202	0.84
"Item232_Critical_20:EmbBias.C"	0.04	0.086	0.459	0.646
"Item232_Critical_21:EmbBias.C"	0.068	0.086	0.79	0.43
"Item232_Critical_23:EmbBias.C"	0.191	0.086	2.222	0.026
"Item232_Critical_24:EmbBias.C"	0.231	0.086	2.681	0.007
"Item232_Critical_25:EmbBias.C"	0.02	0.086	0.233	0.816
"Item232_Critical_26:EmbBias.C"	-0.131	0.086	-1.514	0.13
"Item232_Critical_27:EmbBias.C"	0.007	0.086	0.081	0.935
"Item232_Critical_28:EmbBias.C"	0.149	0.086	1.723	0.085
"Item232_Critical_3:EmbBias.C"	0.011	0.086	0.127	0.899
"Item232_Critical_30:EmbBias.C"	-0.058	0.086	-0.672	0.502
"Item232_Critical_4:EmbBias.C"	-0.111	0.086	-1.289	0.197
"Item232_Critical_5:EmbBias.C"	0.183	0.086	2.129	0.033
"Item232_Critical_6:EmbBias.C"	0.295	0.086	3.424	0.001
"Item232_Critical_7:EmbBias.C"	0.312	0.086	3.618	0
"Item232_Critical_8:EmbBias.C"	-0.12	0.086	-1.397	0.163
"Item232_Critical_9:EmbBias.C"	0.06	0.086	0.701	0.484
