"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.276	0.057	214.671	0
"RC.C"	-0.057	0.102	-0.554	0.579
"compatible.C"	0.371	0.102	3.625	0
"Item232_Critical_29"	-0.222	0.081	-2.746	0.006
"Item232_Critical_31"	-0.106	0.081	-1.312	0.19
"ItemCritical_0"	-8.932	0.081	-110.451	0
"ItemCritical_1"	-1.653	0.081	-20.445	0
"ItemCritical_10"	-8.861	0.081	-109.567	0
"ItemCritical_11"	-9.008	0.081	-111.385	0
"ItemCritical_12"	-8.944	0.081	-110.604	0
"ItemCritical_13"	-8.327	0.081	-102.973	0
"ItemCritical_14"	-8.347	0.081	-103.211	0
"ItemCritical_15"	-8.645	0.081	-106.897	0
"ItemCritical_16"	-8.418	0.081	-104.1	0
"ItemCritical_17"	-8.66	0.081	-107.091	0
"ItemCritical_18"	0.905	0.081	11.196	0
"ItemCritical_19"	-8.89	0.081	-109.927	0
"ItemCritical_2"	0.718	0.081	8.878	0
"ItemCritical_20"	-4.159	0.081	-51.432	0
"ItemCritical_21"	-9.14	0.081	-113.024	0
"ItemCritical_22"	-4.502	0.081	-55.664	0
"ItemCritical_23"	-1.937	0.081	-23.949	0
"ItemCritical_24"	-8.912	0.081	-110.197	0
"ItemCritical_25"	-8.516	0.081	-105.308	0
"ItemCritical_26"	-0.535	0.081	-6.62	0
"ItemCritical_27"	-5.895	0.081	-72.89	0
"ItemCritical_28"	1.716	0.081	21.224	0
"ItemCritical_29"	1.121	0.081	13.858	0
"ItemCritical_3"	-9.204	0.081	-113.811	0
"ItemCritical_30"	-8.631	0.081	-106.723	0
"ItemCritical_31"	-3.913	0.081	-48.383	0
"ItemCritical_32"	-2.884	0.081	-35.662	0
"ItemCritical_33"	-0.161	0.081	-1.992	0.046
"ItemCritical_34"	-1.518	0.081	-18.765	0
"ItemCritical_35"	0.16	0.081	1.975	0.048
"ItemCritical_36"	0.067	0.081	0.824	0.41
"ItemCritical_4"	-8.83	0.081	-109.183	0
"ItemCritical_5"	-4.778	0.081	-59.088	0
"ItemCritical_7"	-8.767	0.081	-108.414	0
"ItemCritical_8"	-8.731	0.081	-107.96	0
"ItemCritical_9"	-8.635	0.081	-106.772	0
"ItemMixed_1"	1.003	0.081	12.4	0
"ItemMixed_11"	-4.285	0.081	-52.985	0
"ItemMixed_12"	-4.47	0.081	-55.275	0
"ItemMixed_13"	-4.744	0.081	-58.659	0
"ItemMixed_14"	-6.766	0.081	-83.668	0
"ItemMixed_15"	0.06	0.081	0.74	0.46
"ItemMixed_16"	-2.256	0.081	-27.895	0
"ItemMixed_17"	-8.956	0.081	-110.741	0
"ItemMixed_18"	-8.652	0.081	-106.99	0
"ItemMixed_19"	-1.437	0.081	-17.767	0
"ItemMixed_2"	-4.239	0.081	-52.415	0
"ItemMixed_21"	-6.132	0.081	-75.822	0
"ItemMixed_22"	1.747	0.081	21.598	0
"ItemMixed_23"	-4.218	0.081	-52.161	0
"ItemMixed_24"	-2.075	0.081	-25.665	0
"ItemMixed_25"	-4.979	0.081	-61.564	0
"ItemMixed_26"	-3.728	0.081	-46.1	0
"ItemMixed_27"	-5.421	0.081	-67.035	0
"ItemMixed_28"	-4.292	0.081	-53.078	0
"ItemMixed_29"	-8.918	0.081	-110.276	0
"ItemMixed_3"	-8.326	0.081	-102.95	0
"ItemMixed_30"	-4.409	0.081	-54.515	0
"ItemMixed_31"	2.543	0.081	31.443	0
"ItemMixed_32"	-5.362	0.081	-66.305	0
"ItemMixed_33"	-5.557	0.081	-68.714	0
"ItemMixed_34"	-8.621	0.081	-106.6	0
"ItemMixed_35"	1.668	0.081	20.626	0
"ItemMixed_36"	-1.125	0.081	-13.917	0
"ItemMixed_37"	-3.791	0.081	-46.88	0
"ItemMixed_38"	-0.846	0.081	-10.461	0
"ItemMixed_39"	-8.62	0.081	-106.59	0
"ItemMixed_4"	-8.582	0.081	-106.119	0
"ItemMixed_40"	-5.484	0.081	-67.809	0
"ItemMixed_41"	-4.183	0.081	-51.727	0
"ItemMixed_42"	-1.484	0.081	-18.349	0
"ItemMixed_43"	-5.759	0.081	-71.213	0
"ItemMixed_5"	-1.389	0.081	-17.178	0
"ItemMixed_6"	0.898	0.081	11.103	0
"ItemMixed_7"	-8.804	0.081	-108.864	0
"ItemMixed_8"	-5.848	0.081	-72.315	0
"ItemMixed_9"	-8.918	0.081	-110.281	0
"Item232_Critical_0"	-8.779	0.081	-108.557	0
"Item232_Critical_1"	-4.519	0.081	-55.884	0
"Item232_Critical_10"	-6.817	0.081	-84.293	0
"Item232_Critical_11"	-3.363	0.081	-41.586	0
"Item232_Critical_12"	-1.901	0.081	-23.505	0
"Item232_Critical_13"	-4.132	0.081	-51.092	0
"Item232_Critical_14"	-8.982	0.081	-111.064	0
"Item232_Critical_15"	-3.505	0.081	-43.337	0
"Item232_Critical_16"	-3.151	0.081	-38.97	0
"Item232_Critical_17"	-8.794	0.081	-108.742	0
"Item232_Critical_18"	-8.525	0.081	-105.416	0
"Item232_Critical_19"	-3.92	0.081	-48.468	0
"Item232_Critical_2"	-8.6	0.081	-106.341	0
"Item232_Critical_20"	-4.781	0.081	-59.126	0
"Item232_Critical_21"	-1.647	0.081	-20.362	0
"Item232_Critical_23"	-3.871	0.081	-47.863	0
"Item232_Critical_24"	-3.992	0.081	-49.363	0
"Item232_Critical_25"	-8.849	0.081	-109.421	0
"Item232_Critical_26"	-8.757	0.081	-108.284	0
"Item232_Critical_27"	-1.884	0.081	-23.296	0
"Item232_Critical_28"	-3.877	0.081	-47.947	0
"Item232_Critical_3"	-8.006	0.081	-99	0
"Item232_Critical_30"	-8.699	0.081	-107.563	0
"Item232_Critical_4"	-0.424	0.081	-5.244	0
"Item232_Critical_5"	-4.769	0.081	-58.972	0
