"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	13.248	0.06	220.705	0
"RC.C"	1.186	0.107	11.044	0
"compatible.C"	-0.205	0.107	-1.91	0.056
"ItemMixed_11"	-5.318	0.085	-62.645	0
"ItemMixed_12"	-5.53	0.085	-65.15	0
"ItemMixed_13"	-5.854	0.085	-68.956	0
"ItemMixed_14"	-7.732	0.085	-91.081	0
"ItemMixed_15"	-1.017	0.085	-11.977	0
"ItemMixed_16"	-3.315	0.085	-39.049	0
"ItemMixed_17"	-10.108	0.085	-119.071	0
"ItemMixed_18"	-9.814	0.085	-115.612	0
"ItemMixed_19"	-2.514	0.085	-29.615	0
"ItemMixed_2"	-5.309	0.085	-62.544	0
"ItemMixed_21"	-7.182	0.085	-84.611	0
"ItemMixed_22"	0.679	0.085	7.993	0
"ItemMixed_23"	-5.273	0.085	-62.113	0
"ItemMixed_24"	-3.237	0.085	-38.134	0
"ItemMixed_25"	-6.409	0.085	-75.502	0
"ItemMixed_26"	-4.948	0.085	-58.285	0
"ItemMixed_27"	-6.53	0.085	-76.927	0
"ItemMixed_28"	-5.354	0.085	-63.073	0
"ItemMixed_29"	-10.085	0.085	-118.804	0
"ItemMixed_3"	-9.382	0.085	-110.516	0
"ItemMixed_30"	-5.428	0.085	-63.941	0
"ItemMixed_31"	1.518	0.085	17.88	0
"ItemMixed_32"	-6.439	0.085	-75.856	0
"ItemMixed_33"	-6.809	0.085	-80.208	0
"ItemMixed_34"	-9.871	0.085	-116.282	0
"ItemMixed_35"	0.638	0.085	7.513	0
"ItemMixed_36"	-2.141	0.085	-25.219	0
"ItemMixed_37"	-5.017	0.085	-59.096	0
"ItemMixed_38"	-1.879	0.085	-22.13	0
"ItemMixed_39"	-9.653	0.085	-113.71	0
"ItemMixed_4"	-9.729	0.085	-114.609	0
"ItemMixed_40"	-6.528	0.085	-76.897	0
"ItemMixed_41"	-5.328	0.085	-62.769	0
"ItemMixed_42"	-2.537	0.085	-29.89	0
"ItemMixed_43"	-6.991	0.085	-82.356	0
"ItemMixed_5"	-2.446	0.085	-28.811	0
"ItemMixed_6"	-0.095	0.085	-1.117	0.264
