"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.251	0.062	198.503	0
"RC.C"	-0.217	0.11	-1.962	0.05
"compatible.C"	0.228	0.11	2.069	0.039
"Item232_Critical_29"	-0.255	0.087	-2.926	0.003
"Item232_Critical_31"	-0.062	0.087	-0.707	0.48
"ItemCritical_0"	-8.755	0.087	-100.305	0
"ItemCritical_1"	-1.464	0.087	-16.776	0
"ItemCritical_10"	-8.636	0.087	-98.939	0
"ItemCritical_11"	-8.7	0.087	-99.673	0
"ItemCritical_12"	-8.638	0.087	-98.964	0
"ItemCritical_13"	-8.053	0.087	-92.263	0
"ItemCritical_14"	-7.929	0.087	-90.847	0
"ItemCritical_15"	-8.402	0.087	-96.266	0
"ItemCritical_16"	-8.031	0.087	-92.005	0
"ItemCritical_17"	-8.343	0.087	-95.588	0
"ItemCritical_18"	1.035	0.087	11.86	0
"ItemCritical_19"	-8.607	0.087	-98.605	0
"ItemCritical_2"	0.828	0.087	9.49	0
"ItemCritical_20"	-3.671	0.087	-42.059	0
"ItemCritical_21"	-8.903	0.087	-101.996	0
"ItemCritical_22"	-4.185	0.087	-47.944	0
"ItemCritical_23"	-1.805	0.087	-20.676	0
"ItemCritical_24"	-8.632	0.087	-98.895	0
"ItemCritical_25"	-8.405	0.087	-96.299	0
"ItemCritical_26"	-0.362	0.087	-4.148	0
"ItemCritical_27"	-5.627	0.087	-64.472	0
"ItemCritical_28"	2.025	0.087	23.195	0
"ItemCritical_29"	1.145	0.087	13.119	0
"ItemCritical_3"	-8.856	0.087	-101.465	0
"ItemCritical_30"	-8.467	0.087	-97.008	0
"ItemCritical_31"	-3.572	0.087	-40.92	0
"ItemCritical_32"	-2.842	0.087	-32.558	0
"ItemCritical_33"	-0.077	0.087	-0.877	0.381
"ItemCritical_34"	-1.237	0.087	-14.167	0
"ItemCritical_35"	0.234	0.087	2.685	0.007
"ItemCritical_36"	0.216	0.087	2.48	0.013
"ItemCritical_4"	-8.647	0.087	-99.072	0
"ItemCritical_5"	-4.431	0.087	-50.76	0
"ItemCritical_7"	-8.545	0.087	-97.894	0
"ItemCritical_8"	-8.489	0.087	-97.257	0
"ItemCritical_9"	-8.274	0.087	-94.79	0
"ItemMixed_1"	1.225	0.087	14.032	0
"ItemMixed_11"	-3.983	0.087	-45.629	0
"ItemMixed_12"	-4.145	0.087	-47.492	0
"ItemMixed_13"	-4.42	0.087	-50.639	0
"ItemMixed_14"	-6.653	0.087	-76.222	0
"ItemMixed_15"	0.381	0.087	4.369	0
"ItemMixed_16"	-1.959	0.087	-22.45	0
"ItemMixed_17"	-8.746	0.087	-100.207	0
"ItemMixed_18"	-8.548	0.087	-97.936	0
"ItemMixed_19"	-1.133	0.087	-12.986	0
"ItemMixed_2"	-3.889	0.087	-44.559	0
"ItemMixed_21"	-6.02	0.087	-68.976	0
"ItemMixed_22"	1.754	0.087	20.097	0
"ItemMixed_23"	-3.849	0.087	-44.093	0
"ItemMixed_24"	-1.895	0.087	-21.713	0
"ItemMixed_25"	-4.969	0.087	-56.931	0
"ItemMixed_26"	-3.37	0.087	-38.613	0
"ItemMixed_27"	-5.308	0.087	-60.812	0
"ItemMixed_28"	-4.092	0.087	-46.885	0
"ItemMixed_29"	-8.735	0.087	-100.077	0
"ItemMixed_3"	-8.061	0.087	-92.355	0
"ItemMixed_30"	-4.143	0.087	-47.46	0
"ItemMixed_31"	2.761	0.087	31.633	0
