"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	13.403	0.061	219.528	0
"RC.C"	1.798	0.109	16.464	0
"compatible.C"	0.105	0.109	0.96	0.337
"ItemMixed_11"	-5.266	0.086	-60.989	0
"ItemMixed_12"	-5.288	0.086	-61.244	0
"ItemMixed_13"	-5.738	0.086	-66.457	0
"ItemMixed_14"	-7.82	0.086	-90.566	0
"ItemMixed_15"	-0.76	0.086	-8.798	0
"ItemMixed_16"	-3.145	0.086	-36.423	0
"ItemMixed_17"	-9.8	0.086	-113.501	0
"ItemMixed_18"	-9.392	0.086	-108.775	0
"ItemMixed_19"	-2.097	0.086	-24.284	0
"ItemMixed_2"	-5.069	0.086	-58.711	0
"ItemMixed_21"	-7.119	0.086	-82.445	0
"ItemMixed_22"	0.752	0.086	8.706	0
"ItemMixed_23"	-4.983	0.086	-57.706	0
"ItemMixed_24"	-3.015	0.086	-34.92	0
"ItemMixed_25"	-5.527	0.086	-64.007	0
"ItemMixed_26"	-4.256	0.086	-49.289	0
"ItemMixed_27"	-6.295	0.086	-72.909	0
"ItemMixed_28"	-5.242	0.086	-60.716	0
"ItemMixed_29"	-9.734	0.086	-112.74	0
"ItemMixed_3"	-9.146	0.086	-105.928	0
"ItemMixed_30"	-5.316	0.086	-61.573	0
"ItemMixed_31"	1.658	0.086	19.204	0
"ItemMixed_32"	-6.319	0.086	-73.188	0
"ItemMixed_33"	-6.525	0.086	-75.565	0
"ItemMixed_34"	-9.342	0.086	-108.19	0
"ItemMixed_35"	0.705	0.086	8.164	0
"ItemMixed_36"	-1.974	0.086	-22.868	0
"ItemMixed_37"	-4.605	0.086	-53.33	0
"ItemMixed_38"	-1.701	0.086	-19.702	0
"ItemMixed_39"	-9.526	0.086	-110.326	0
"ItemMixed_4"	-9.546	0.086	-110.555	0
"ItemMixed_40"	-6.457	0.086	-74.785	0
"ItemMixed_41"	-5.092	0.086	-58.979	0
"ItemMixed_42"	-2.329	0.086	-26.974	0
"ItemMixed_43"	-6.528	0.086	-75.608	0
"ItemMixed_5"	-2.223	0.086	-25.751	0
"ItemMixed_6"	-0.118	0.086	-1.364	0.173
"ItemMixed_7"	-9.645	0.086	-111.702	0
"ItemMixed_8"	-6.826	0.086	-79.05	0
"ItemMixed_9"	-9.902	0.086	-114.684	0
"Item232_Critical_0"	-9.558	0.086	-110.694	0
"Item232_Critical_1"	-5.453	0.086	-63.154	0
"Item232_Critical_10"	-7.523	0.086	-87.125	0
"Item232_Critical_11"	-4.291	0.086	-49.7	0
"Item232_Critical_12"	-2.761	0.086	-31.972	0
"Item232_Critical_13"	-5.069	0.086	-58.712	0
"Item232_Critical_14"	-9.737	0.086	-112.773	0
"Item232_Critical_15"	-4.357	0.086	-50.463	0
"Item232_Critical_16"	-3.947	0.086	-45.713	0
"Item232_Critical_17"	-9.518	0.086	-110.229	0
"Item232_Critical_18"	-9.497	0.086	-109.985	0
"Item232_Critical_19"	-4.696	0.086	-54.384	0
"Item232_Critical_2"	-9.405	0.086	-108.924	0
"Item232_Critical_20"	-5.747	0.086	-66.565	0
"Item232_Critical_21"	-2.583	0.086	-29.919	0
"Item232_Critical_23"	-4.867	0.086	-56.372	0
"Item232_Critical_24"	-4.889	0.086	-56.622	0
"Item232_Critical_25"	-9.555	0.086	-110.665	0
"Item232_Critical_26"	-9.294	0.086	-107.64	0
"Item232_Critical_27"	-2.71	0.086	-31.39	0
"Item232_Critical_28"	-4.809	0.086	-55.691	0
"Item232_Critical_3"	-8.873	0.086	-102.768	0
"Item232_Critical_30"	-9.342	0.086	-108.192	0
"Item232_Critical_4"	-1.346	0.086	-15.588	0
"Item232_Critical_5"	-5.717	0.086	-66.214	0
"Item232_Critical_6"	-6.832	0.086	-79.122	0
"Item232_Critical_7"	-3.872	0.086	-44.849	0
"Item232_Critical_8"	-5.282	0.086	-61.175	0
"Item232_Critical_9"	-9.409	0.086	-108.967	0
"Item238_Critical_Vadv1"	-1.165	0.154	-7.542	0
"Item238_Critical_VAdv1"	-1.165	0.154	-7.542	0
"Item238_Critical_Vadv2"	0.822	0.086	9.515	0
"Item238_Critical_Vadv3"	-5.812	0.086	-67.31	0
"Item238_Critical_Vadv5"	-4.199	0.086	-48.627	0
"Item238_Critical_Vadv6"	-4.335	0.086	-50.202	0
"Item238_Critical_Vadv7"	-4.104	0.086	-47.526	0
"Item238_Critical_Vadv8"	-9.741	0.086	-112.818	0
"Item238_Critical_Vadv9"	-4.924	0.086	-57.023	0
"Item238_Critical_VN1"	-9.268	0.086	-107.335	0
"Item238_Critical_VN2"	-4.773	0.086	-55.277	0
"Item238_Critical_VN3"	-3.47	0.086	-40.185	0
"Item238_Critical_VN5"	-2.302	0.086	-26.663	0
"ItemCritical_6"	-9.228	0.086	-106.87	0
