"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	6.228	0.793	7.855	0
"RC.C"	-0.205	0.107	-1.909	0.056
"compatible.C"	0.439	0.107	4.085	0
"ItemMixed_1"	7.028	0.795	8.838	0
"ItemMixed_11"	1.711	0.795	2.152	0.031
"ItemMixed_12"	1.502	0.795	1.889	0.059
"ItemMixed_13"	1.173	0.795	1.475	0.14
"ItemMixed_14"	-0.71	0.795	-0.892	0.372
"ItemMixed_15"	6.014	0.795	7.564	0
"ItemMixed_16"	3.717	0.795	4.675	0
"ItemMixed_17"	-3.085	0.795	-3.88	0
"ItemMixed_18"	-2.8	0.795	-3.521	0
"ItemMixed_19"	4.513	0.795	5.675	0
"ItemMixed_2"	1.72	0.795	2.163	0.031
"ItemMixed_21"	-0.15	0.795	-0.188	0.851
"ItemMixed_22"	7.707	0.795	9.692	0
"ItemMixed_23"	1.776	0.795	2.234	0.025
"ItemMixed_24"	3.786	0.795	4.762	0
"ItemMixed_25"	0.629	0.795	0.791	0.429
"ItemMixed_26"	2.071	0.795	2.604	0.009
"ItemMixed_27"	0.488	0.795	0.614	0.539
"ItemMixed_28"	1.673	0.795	2.104	0.035
"ItemMixed_29"	-3.057	0.795	-3.844	0
"ItemMixed_3"	-2.348	0.795	-2.953	0.003
"ItemMixed_30"	1.602	0.795	2.015	0.044
"ItemMixed_31"	8.543	0.795	10.744	0
"ItemMixed_32"	0.586	0.795	0.738	0.461
"ItemMixed_33"	0.215	0.795	0.27	0.787
"ItemMixed_34"	-2.842	0.795	-3.575	0
"ItemMixed_35"	7.661	0.795	9.635	0
"ItemMixed_36"	4.885	0.795	6.143	0
"ItemMixed_37"	2.003	0.795	2.519	0.012
"ItemMixed_38"	5.155	0.795	6.484	0
"ItemMixed_39"	-2.628	0.795	-3.305	0.001
"ItemMixed_4"	-2.704	0.795	-3.401	0.001
"ItemMixed_40"	0.501	0.795	0.63	0.529
"ItemMixed_41"	1.688	0.795	2.123	0.034
"ItemMixed_42"	4.486	0.795	5.642	0
"ItemMixed_43"	0.042	0.795	0.052	0.958
"ItemMixed_5"	4.581	0.795	5.761	0
"ItemMixed_6"	6.929	0.795	8.714	0
"ItemMixed_7"	-2.96	0.795	-3.723	0
"ItemMixed_8"	0.161	0.795	0.203	0.839
"ItemMixed_9"	-2.982	0.795	-3.75	0
"Item232_Critical_0"	-2.843	0.795	-3.575	0
"Item232_Critical_1"	1.445	0.795	1.818	0.069
"Item232_Critical_10"	-0.942	0.795	-1.185	0.236
"Item232_Critical_11"	2.549	0.795	3.205	0.001
"Item232_Critical_12"	4.028	0.795	5.066	0
"Item232_Critical_13"	1.782	0.795	2.241	0.025
"Item232_Critical_14"	-3.069	0.795	-3.86	0
"Item232_Critical_15"	2.392	0.795	3.008	0.003
"Item232_Critical_16"	2.708	0.795	3.405	0.001
"Item232_Critical_17"	-2.904	0.795	-3.653	0
"Item232_Critical_18"	-2.571	0.795	-3.234	0.001
"Item232_Critical_19"	2.021	0.795	2.542	0.011
"Item232_Critical_2"	-2.779	0.795	-3.494	0
"Item232_Critical_20"	1.168	0.795	1.468	0.142
"Item232_Critical_21"	4.293	0.795	5.399	0
"Item232_Critical_23"	2.09	0.795	2.629	0.009
"Item232_Critical_24"	1.955	0.795	2.459	0.014
"Item232_Critical_25"	-2.99	0.795	-3.76	0
"Item232_Critical_26"	-2.918	0.795	-3.67	0
"Item232_Critical_27"	3.966	0.795	4.988	0
"Item232_Critical_28"	2.042	0.795	2.568	0.01
"Item232_Critical_3"	-2.112	0.795	-2.657	0.008
"Item232_Critical_30"	-2.844	0.795	-3.577	0
"Item232_Critical_4"	5.525	0.795	6.949	0
"Item232_Critical_5"	1.185	0.795	1.49	0.136
"Item232_Critical_6"	-0.023	0.795	-0.029	0.977
"Item232_Critical_7"	3.123	0.795	3.928	0
"Item232_Critical_8"	1.647	0.795	2.072	0.038
"Item232_Critical_9"	-2.737	0.795	-3.442	0.001
"Item238_Critical_Vadv1"	6.216	0.807	7.704	0
"Item238_Critical_VAdv1"	6.215	0.807	7.704	0
"Item238_Critical_Vadv2"	7.37	0.795	9.269	0
"Item238_Critical_Vadv3"	0.604	0.795	0.76	0.447
"Item238_Critical_Vadv5"	2.077	0.795	2.612	0.009
"Item238_Critical_Vadv6"	2.643	0.795	3.324	0.001
"Item238_Critical_Vadv7"	2.3	0.795	2.893	0.004
"Item238_Critical_Vadv8"	-3.245	0.795	-4.081	0
"Item238_Critical_Vadv9"	1.642	0.795	2.065	0.039
"Item238_Critical_VN1"	-2.841	0.795	-3.573	0
"Item238_Critical_VN2"	2.052	0.795	2.58	0.01
"Item238_Critical_VN3"	2.79	0.795	3.508	0
"Item238_Critical_VN5"	4.391	0.795	5.522	0
"ItemCritical_6"	-2.722	0.792	-3.436	0.001
"EmbBias.C"	0.071	0.055	1.296	0.195
"SC.C"	-0.795	0.12	-6.621	0
"RC.C:compatible.C"	-0.401	0.215	-1.869	0.062
"RC.C:ItemMixed_1"	1.394	0.152	9.179	0
"RC.C:ItemMixed_11"	0.411	0.152	2.704	0.007
"RC.C:ItemMixed_12"	-0.208	0.152	-1.367	0.172
"RC.C:ItemMixed_13"	-0.062	0.152	-0.41	0.682
"RC.C:ItemMixed_14"	2.009	0.152	13.231	0
"RC.C:ItemMixed_15"	-0.152	0.152	-1	0.318
"RC.C:ItemMixed_16"	-0.429	0.152	-2.827	0.005
"RC.C:ItemMixed_17"	0.476	0.152	3.135	0.002
"RC.C:ItemMixed_18"	-0.236	0.152	-1.549	0.121
"RC.C:ItemMixed_19"	-0.853	0.152	-5.606	0
"RC.C:ItemMixed_2"	-0.394	0.152	-2.594	0.009
"RC.C:ItemMixed_21"	-0.008	0.153	-0.049	0.961
"RC.C:ItemMixed_22"	0.199	0.153	1.305	0.192
"RC.C:ItemMixed_23"	-0.19	0.153	-1.248	0.212
"RC.C:ItemMixed_24"	-0.146	0.152	-0.959	0.337
"RC.C:ItemMixed_25"	-0.713	0.152	-4.697	0
"RC.C:ItemMixed_26"	0.688	0.152	4.529	0
"RC.C:ItemMixed_27"	0.965	0.152	6.354	0
"RC.C:ItemMixed_28"	0.116	0.152	0.765	0.444
"RC.C:ItemMixed_29"	-0.052	0.152	-0.344	0.731
"RC.C:ItemMixed_3"	-0.06	0.152	-0.398	0.691
"RC.C:ItemMixed_30"	0.358	0.152	2.357	0.018
"RC.C:ItemMixed_31"	-0.833	0.152	-5.488	0
"RC.C:ItemMixed_32"	0.064	0.152	0.424	0.671
"RC.C:ItemMixed_33"	0.368	0.152	2.422	0.015
"RC.C:ItemMixed_34"	-0.113	0.152	-0.747	0.455
"RC.C:ItemMixed_35"	-0.013	0.152	-0.083	0.934
"RC.C:ItemMixed_36"	-0.522	0.152	-3.435	0.001
"RC.C:ItemMixed_37"	-0.715	0.152	-4.711	0
"RC.C:ItemMixed_38"	-0.46	0.152	-3.031	0.002
"RC.C:ItemMixed_39"	0.171	0.152	1.125	0.261
"RC.C:ItemMixed_4"	0.071	0.152	0.469	0.639
"RC.C:ItemMixed_40"	0.3	0.152	1.972	0.049
"RC.C:ItemMixed_41"	-0.449	0.152	-2.947	0.003
"RC.C:ItemMixed_42"	0.146	0.152	0.962	0.336
"RC.C:ItemMixed_43"	0.372	0.152	2.447	0.014
"RC.C:ItemMixed_5"	-0.102	0.153	-0.67	0.503
"RC.C:ItemMixed_6"	0.335	0.152	2.198	0.028
"RC.C:ItemMixed_7"	-0.006	0.152	-0.04	0.968
"RC.C:ItemMixed_8"	0.491	0.152	3.236	0.001
"RC.C:ItemMixed_9"	-0.133	0.152	-0.876	0.381
"RC.C:Item232_Critical_0"	0.973	0.152	6.405	0
"RC.C:Item232_Critical_1"	0.565	0.152	3.72	0
"RC.C:Item232_Critical_10"	-2.503	0.152	-16.486	0
"RC.C:Item232_Critical_11"	-0.809	0.152	-5.33	0
"RC.C:Item232_Critical_12"	0.061	0.152	0.403	0.687
"RC.C:Item232_Critical_13"	0.228	0.152	1.502	0.133
"RC.C:Item232_Critical_14"	0.039	0.152	0.254	0.8
"RC.C:Item232_Critical_15"	0.212	0.152	1.394	0.163
"RC.C:Item232_Critical_16"	-0.007	0.152	-0.049	0.961
"RC.C:Item232_Critical_17"	-0.481	0.152	-3.166	0.002
"RC.C:Item232_Critical_18"	1.155	0.152	7.608	0
"RC.C:Item232_Critical_19"	0.496	0.152	3.266	0.001
"RC.C:Item232_Critical_2"	1.045	0.152	6.885	0
"RC.C:Item232_Critical_20"	0.03	0.152	0.197	0.844
"RC.C:Item232_Critical_21"	0.009	0.152	0.062	0.951
"RC.C:Item232_Critical_23"	-0.018	0.152	-0.12	0.904
"RC.C:Item232_Critical_24"	0.416	0.152	2.741	0.006
"RC.C:Item232_Critical_25"	0.635	0.152	4.179	0
"RC.C:Item232_Critical_26"	0.222	0.152	1.46	0.144
"RC.C:Item232_Critical_27"	-0.997	0.152	-6.566	0
"RC.C:Item232_Critical_28"	0.437	0.152	2.879	0.004
"RC.C:Item232_Critical_3"	-0.605	0.152	-3.985	0
"RC.C:Item232_Critical_30"	0.016	0.152	0.106	0.916
"RC.C:Item232_Critical_4"	1.268	0.152	8.348	0
"RC.C:Item232_Critical_5"	0.499	0.152	3.286	0.001
"RC.C:Item232_Critical_6"	0.271	0.152	1.784	0.074
"RC.C:Item232_Critical_7"	0.206	0.152	1.357	0.175
"RC.C:Item232_Critical_8"	0.417	0.152	2.745	0.006
"RC.C:Item232_Critical_9"	0.832	0.152	5.48	0
"RC.C:Item238_Critical_Vadv1"	0.942	0.215	4.388	0
"RC.C:Item238_Critical_VAdv1"	0.582	0.215	2.709	0.007
"RC.C:Item238_Critical_Vadv2"	0.093	0.152	0.609	0.542
"RC.C:Item238_Critical_Vadv3"	0.135	0.152	0.891	0.373
"RC.C:Item238_Critical_Vadv5"	0.266	0.152	1.751	0.08
"RC.C:Item238_Critical_Vadv6"	0.344	0.152	2.265	0.024
"RC.C:Item238_Critical_Vadv7"	-0.148	0.152	-0.973	0.331
"RC.C:Item238_Critical_Vadv8"	0.138	0.152	0.908	0.364
"RC.C:Item238_Critical_Vadv9"	-0.16	0.152	-1.053	0.293
"RC.C:Item238_Critical_VN1"	-0.466	0.152	-3.068	0.002
"RC.C:Item238_Critical_VN2"	0.201	0.152	1.326	0.185
"RC.C:Item238_Critical_VN3"	0.262	0.152	1.726	0.084
"RC.C:Item238_Critical_VN5"	0.009	0.152	0.059	0.953
"compatible.C:ItemMixed_1"	-0.623	0.152	-4.102	0
"compatible.C:ItemMixed_11"	0.213	0.152	1.403	0.16
"compatible.C:ItemMixed_12"	-0.525	0.152	-3.451	0.001
"compatible.C:ItemMixed_13"	0.243	0.152	1.598	0.11
"compatible.C:ItemMixed_14"	-3.441	0.152	-22.663	0
"compatible.C:ItemMixed_15"	-2.559	0.152	-16.854	0
"compatible.C:ItemMixed_16"	0.876	0.152	5.767	0
"compatible.C:ItemMixed_17"	0	0.152	0.001	0.999
"compatible.C:ItemMixed_18"	-1.549	0.152	-10.174	0
"compatible.C:ItemMixed_19"	-2.466	0.152	-16.199	0
"compatible.C:ItemMixed_2"	0.275	0.152	1.808	0.071
"compatible.C:ItemMixed_21"	-0.428	0.153	-2.8	0.005
"compatible.C:ItemMixed_22"	-1.822	0.153	-11.942	0
"compatible.C:ItemMixed_23"	-0.233	0.153	-1.528	0.126
"compatible.C:ItemMixed_24"	-0.357	0.152	-2.349	0.019
"compatible.C:ItemMixed_25"	-0.272	0.152	-1.792	0.073
"compatible.C:ItemMixed_26"	-0.003	0.152	-0.023	0.982
"compatible.C:ItemMixed_27"	-1.097	0.152	-7.228	0
"compatible.C:ItemMixed_28"	-2.14	0.152	-14.092	0
"compatible.C:ItemMixed_29"	-0.144	0.152	-0.946	0.344
"compatible.C:ItemMixed_3"	-0.171	0.152	-1.127	0.26
"compatible.C:ItemMixed_30"	-0.938	0.152	-6.18	0
"compatible.C:ItemMixed_31"	0.837	0.152	5.509	0
"compatible.C:ItemMixed_32"	-0.244	0.152	-1.606	0.108
"compatible.C:ItemMixed_33"	-0.86	0.152	-5.663	0
"compatible.C:ItemMixed_34"	-1.448	0.152	-9.537	0
"compatible.C:ItemMixed_35"	-1.517	0.152	-9.994	0
"compatible.C:ItemMixed_36"	-1.234	0.152	-8.125	0
"compatible.C:ItemMixed_37"	1.12	0.152	7.379	0
"compatible.C:ItemMixed_38"	-1.843	0.152	-12.139	0
"compatible.C:ItemMixed_39"	-1.029	0.152	-6.779	0
"compatible.C:ItemMixed_4"	-0.855	0.152	-5.631	0
"compatible.C:ItemMixed_40"	-1.351	0.152	-8.885	0
"compatible.C:ItemMixed_41"	1.209	0.152	7.936	0
"compatible.C:ItemMixed_42"	0.889	0.152	5.849	0
"compatible.C:ItemMixed_43"	0.359	0.152	2.364	0.018
"compatible.C:ItemMixed_5"	2.261	0.153	14.819	0
"compatible.C:ItemMixed_6"	-2.096	0.152	-13.771	0
"compatible.C:ItemMixed_7"	-0.762	0.152	-5.016	0
"compatible.C:ItemMixed_8"	-1.609	0.152	-10.595	0
"compatible.C:ItemMixed_9"	-0.83	0.152	-5.466	0
"compatible.C:Item232_Critical_0"	-1.646	0.152	-10.843	0
"compatible.C:Item232_Critical_1"	-0.771	0.152	-5.076	0
"compatible.C:Item232_Critical_10"	-2.318	0.152	-15.263	0
"compatible.C:Item232_Critical_11"	-2.426	0.152	-15.976	0
"compatible.C:Item232_Critical_12"	-1.233	0.152	-8.117	0
"compatible.C:Item232_Critical_13"	-3.379	0.152	-22.254	0
"compatible.C:Item232_Critical_14"	-1.865	0.152	-12.282	0
"compatible.C:Item232_Critical_15"	-1.641	0.152	-10.804	0
"compatible.C:Item232_Critical_16"	0.083	0.152	0.549	0.583
"compatible.C:Item232_Critical_17"	-0.648	0.152	-4.269	0
"compatible.C:Item232_Critical_18"	-0.223	0.152	-1.466	0.143
"compatible.C:Item232_Critical_19"	-0.854	0.152	-5.624	0
"compatible.C:Item232_Critical_2"	0.352	0.152	2.319	0.02
"compatible.C:Item232_Critical_20"	-0.434	0.152	-2.857	0.004
"compatible.C:Item232_Critical_21"	-0.674	0.152	-4.436	0
"compatible.C:Item232_Critical_23"	-1.246	0.152	-8.208	0
"compatible.C:Item232_Critical_24"	0.878	0.152	5.785	0
"compatible.C:Item232_Critical_25"	-0.167	0.152	-1.098	0.272
"compatible.C:Item232_Critical_26"	-1.049	0.152	-6.906	0
"compatible.C:Item232_Critical_27"	-0.822	0.152	-5.412	0
"compatible.C:Item232_Critical_28"	0.58	0.152	3.821	0
"compatible.C:Item232_Critical_3"	3.108	0.152	20.469	0
"compatible.C:Item232_Critical_30"	-1.133	0.152	-7.461	0
"compatible.C:Item232_Critical_4"	0.388	0.152	2.555	0.011
"compatible.C:Item232_Critical_5"	0.137	0.152	0.899	0.369
"compatible.C:Item232_Critical_6"	0.259	0.152	1.705	0.088
"compatible.C:Item232_Critical_7"	0.454	0.152	2.988	0.003
"compatible.C:Item232_Critical_8"	-0.41	0.152	-2.699	0.007
"compatible.C:Item232_Critical_9"	-0.279	0.152	-1.837	0.066
"compatible.C:Item238_Critical_Vadv1"	-0.083	0.372	-0.224	0.823
"compatible.C:Item238_Critical_VAdv1"	-0.592	0.372	-1.592	0.111
"compatible.C:Item238_Critical_Vadv2"	-0.087	0.152	-0.571	0.568
"compatible.C:Item238_Critical_Vadv3"	0.132	0.152	0.873	0.383
"compatible.C:Item238_Critical_Vadv5"	-0.861	0.152	-5.669	0
"compatible.C:Item238_Critical_Vadv6"	-2.841	0.152	-18.709	0
"compatible.C:Item238_Critical_Vadv7"	0.238	0.152	1.566	0.117
"compatible.C:Item238_Critical_Vadv8"	-0.429	0.152	-2.828	0.005
"compatible.C:Item238_Critical_Vadv9"	-0.637	0.152	-4.196	0
"compatible.C:Item238_Critical_VN1"	0.552	0.152	3.632	0
"compatible.C:Item238_Critical_VN2"	-1.759	0.152	-11.587	0
"compatible.C:Item238_Critical_VN3"	-1.397	0.152	-9.198	0
"compatible.C:Item238_Critical_VN5"	-0.282	0.152	-1.857	0.063
"RC.C:EmbBias.C"	0.016	0.098	0.166	0.868
"ItemMixed_1:EmbBias.C"	0.076	0.078	0.98	0.327
