"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	14.077	0.047	297.118	0
"RC.C"	-0.269	0.085	-3.173	0.002
"compatible.C"	0.615	0.085	7.259	0
"ItemMixed_11"	-5.014	0.067	-74.832	0
"ItemMixed_12"	-4.381	0.067	-65.39	0
"ItemMixed_13"	-4.242	0.067	-63.311	0
"ItemMixed_14"	-8.792	0.067	-131.216	0
"ItemMixed_15"	-0.273	0.067	-4.074	0
"ItemMixed_16"	-2.159	0.067	-32.226	0
"ItemMixed_17"	-8.575	0.067	-127.979	0
"ItemMixed_18"	-8.404	0.067	-125.428	0
"ItemMixed_19"	-2.673	0.067	-39.898	0
"ItemMixed_2"	-3.344	0.067	-49.912	0
"ItemMixed_21"	-6.016	0.067	-89.78	0
"ItemMixed_22"	1.197	0.067	17.86	0
"ItemMixed_23"	-4.746	0.067	-70.825	0
"ItemMixed_24"	-1.712	0.067	-25.545	0
"ItemMixed_25"	-4.434	0.067	-66.173	0
"ItemMixed_26"	-3.919	0.067	-58.489	0
"ItemMixed_27"	-6.383	0.067	-95.27	0
"ItemMixed_28"	-3.155	0.067	-47.085	0
"ItemMixed_29"	-8.435	0.067	-125.894	0
"ItemMixed_3"	-7.643	0.067	-114.073	0
"ItemMixed_30"	-3.066	0.067	-45.761	0
"ItemMixed_31"	2.083	0.067	31.09	0
"ItemMixed_32"	-6.562	0.067	-97.938	0
"ItemMixed_33"	-5.717	0.067	-85.318	0
"ItemMixed_34"	-8.948	0.067	-133.548	0
"ItemMixed_35"	0.46	0.067	6.866	0
"ItemMixed_36"	-1.397	0.067	-20.853	0
"ItemMixed_37"	-3.221	0.067	-48.073	0
"ItemMixed_38"	-0.611	0.067	-9.12	0
"ItemMixed_39"	-9.424	0.067	-140.647	0
"ItemMixed_4"	-8.534	0.067	-127.364	0
"ItemMixed_40"	-6.377	0.067	-95.177	0
"ItemMixed_41"	-3.422	0.067	-51.073	0
"ItemMixed_42"	-0.494	0.067	-7.379	0
"ItemMixed_43"	-6.09	0.067	-90.886	0
"ItemMixed_5"	-1.679	0.067	-25.062	0
"ItemMixed_6"	-0.463	0.067	-6.906	0
"ItemMixed_7"	-7.867	0.067	-117.416	0
"ItemMixed_8"	-6.736	0.067	-100.534	0
"ItemMixed_9"	-8.336	0.067	-124.407	0
"Item232_Critical_0"	-8.585	0.069	-124.862	0
"Item232_Critical_1"	-4.772	0.069	-69.415	0
"Item232_Critical_10"	-8.765	0.069	-127.493	0
"Item232_Critical_11"	-3.23	0.069	-46.983	0
"Item232_Critical_12"	-3.077	0.069	-44.757	0
"Item232_Critical_13"	-4.834	0.069	-70.306	0
"Item232_Critical_14"	-7.992	0.069	-116.247	0
"Item232_Critical_15"	-4.498	0.069	-65.418	0
"Item232_Critical_16"	-2.962	0.069	-43.084	0
"Item232_Critical_17"	-9.515	0.069	-138.389	0
"Item232_Critical_18"	-8.987	0.069	-130.712	0
"Item232_Critical_19"	-3.448	0.069	-50.151	0
"Item232_Critical_2"	-9.225	0.069	-134.17	0
"Item232_Critical_20"	-5.9	0.069	-85.811	0
"Item232_Critical_21"	-2.567	0.069	-37.343	0
"Item232_Critical_23"	-5.573	0.069	-81.066	0
"Item232_Critical_24"	-5.281	0.069	-76.807	0
"Item232_Critical_25"	-8.9	0.069	-129.449	0
"Item232_Critical_26"	-8.983	0.069	-130.659	0
"Item232_Critical_27"	-2.776	0.069	-40.382	0
"Item232_Critical_28"	-4.982	0.069	-72.462	0
"Item232_Critical_3"	-7.602	0.069	-110.567	0
"Item232_Critical_30"	-9.169	0.069	-133.363	0
"Item232_Critical_4"	-1.068	0.069	-15.533	0
"Item232_Critical_5"	-5.543	0.069	-80.626	0
"Item232_Critical_6"	-6.315	0.069	-91.847	0
"Item232_Critical_7"	-3.847	0.069	-55.953	0
"Item232_Critical_8"	-4.354	0.069	-63.331	0
"Item232_Critical_9"	-8.957	0.069	-130.275	0
"Item238_Critical_Vadv1"	-0.922	0.123	-7.498	0
"Item238_Critical_VAdv1"	-0.993	0.123	-8.071	0
"Item238_Critical_Vadv2"	0.623	0.069	9.065	0
"Item238_Critical_Vadv3"	-5.564	0.069	-80.924	0
"Item238_Critical_Vadv5"	-4.904	0.069	-71.333	0
"Item238_Critical_Vadv6"	-4.989	0.069	-72.569	0
"Item238_Critical_Vadv7"	-4.424	0.069	-64.352	0
"Item238_Critical_Vadv8"	-8.553	0.069	-124.402	0
"Item238_Critical_Vadv9"	-4.753	0.069	-69.132	0
"Item238_Critical_VN1"	-8.896	0.069	-129.385	0
"Item238_Critical_VN2"	-4.416	0.069	-64.228	0
"Item238_Critical_VN3"	-3.325	0.069	-48.36	0
"Item238_Critical_VN5"	-1.353	0.069	-19.683	0
"ItemCritical_6"	-8.446	0.069	-122.84	0
"EmbBias.C"	-0.009	0.043	-0.201	0.841
"SC.C"	1.248	0.095	13.166	0
"RC.C:compatible.C"	-0.28	0.17	-1.651	0.099
"RC.C:ItemMixed_11"	-0.152	0.12	-1.265	0.206
"RC.C:ItemMixed_12"	0.162	0.12	1.356	0.175
"RC.C:ItemMixed_13"	0.287	0.12	2.393	0.017
"RC.C:ItemMixed_14"	0.284	0.12	2.369	0.018
"RC.C:ItemMixed_15"	0.242	0.12	2.02	0.043
"RC.C:ItemMixed_16"	0.267	0.12	2.23	0.026
"RC.C:ItemMixed_17"	0.232	0.12	1.936	0.053
"RC.C:ItemMixed_18"	0.121	0.12	1.009	0.313
"RC.C:ItemMixed_19"	-0.102	0.12	-0.852	0.395
"RC.C:ItemMixed_2"	-0.072	0.12	-0.601	0.548
"RC.C:ItemMixed_21"	0.245	0.12	2.046	0.041
"RC.C:ItemMixed_22"	0.169	0.12	1.411	0.158
"RC.C:ItemMixed_23"	0.159	0.12	1.324	0.185
"RC.C:ItemMixed_24"	0.25	0.12	2.084	0.037
"RC.C:ItemMixed_25"	0.299	0.12	2.493	0.013
"RC.C:ItemMixed_26"	-0.092	0.12	-0.764	0.445
"RC.C:ItemMixed_27"	0.143	0.12	1.197	0.231
"RC.C:ItemMixed_28"	-0.106	0.12	-0.884	0.377
"RC.C:ItemMixed_29"	0.298	0.12	2.482	0.013
"RC.C:ItemMixed_3"	0.164	0.12	1.367	0.172
"RC.C:ItemMixed_30"	-0.022	0.12	-0.187	0.852
"RC.C:ItemMixed_31"	-0.046	0.12	-0.385	0.7
"RC.C:ItemMixed_32"	0.103	0.12	0.858	0.391
"RC.C:ItemMixed_33"	0.16	0.12	1.336	0.181
"RC.C:ItemMixed_34"	0.074	0.12	0.614	0.539
"RC.C:ItemMixed_35"	0.131	0.12	1.094	0.274
"RC.C:ItemMixed_36"	0.005	0.12	0.041	0.968
"RC.C:ItemMixed_37"	-0.103	0.12	-0.861	0.389
"RC.C:ItemMixed_38"	0.199	0.12	1.659	0.097
"RC.C:ItemMixed_39"	-0.175	0.12	-1.464	0.143
"RC.C:ItemMixed_4"	0.19	0.12	1.582	0.114
"RC.C:ItemMixed_40"	0.375	0.12	3.131	0.002
"RC.C:ItemMixed_41"	0.235	0.12	1.961	0.05
"RC.C:ItemMixed_42"	-0.036	0.12	-0.3	0.764
"RC.C:ItemMixed_43"	0.1	0.12	0.835	0.404
"RC.C:ItemMixed_5"	0.218	0.12	1.821	0.069
"RC.C:ItemMixed_6"	0.125	0.12	1.046	0.296
"RC.C:ItemMixed_7"	0.166	0.12	1.382	0.167
"RC.C:ItemMixed_8"	0.132	0.12	1.098	0.272
"RC.C:ItemMixed_9"	0.303	0.12	2.531	0.011
"RC.C:Item232_Critical_0"	0.205	0.123	1.667	0.095
"RC.C:Item232_Critical_1"	0.376	0.123	3.055	0.002
"RC.C:Item232_Critical_10"	0.004	0.123	0.036	0.971
"RC.C:Item232_Critical_11"	0.069	0.123	0.562	0.574
"RC.C:Item232_Critical_12"	0.259	0.123	2.108	0.035
"RC.C:Item232_Critical_13"	0.374	0.123	3.041	0.002
"RC.C:Item232_Critical_14"	0.039	0.123	0.318	0.75
"RC.C:Item232_Critical_15"	0.116	0.123	0.941	0.347
"RC.C:Item232_Critical_16"	0.059	0.123	0.483	0.629
"RC.C:Item232_Critical_17"	0.272	0.123	2.211	0.027
"RC.C:Item232_Critical_18"	0.327	0.123	2.657	0.008
"RC.C:Item232_Critical_19"	0.421	0.123	3.425	0.001
"RC.C:Item232_Critical_2"	0.147	0.123	1.194	0.233
"RC.C:Item232_Critical_20"	0.092	0.123	0.75	0.453
