"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.635	0.231	54.581	0
"RC.C"	-0.606	0.414	-1.462	0.144
"compatible.C"	0.334	0.414	0.806	0.42
"Item232_Critical_29"	-0.355	0.327	-1.084	0.279
"Item232_Critical_31"	0.226	0.327	0.689	0.491
"ItemCritical_0"	-7.202	0.327	-21.998	0
"ItemCritical_1"	0.007	0.327	0.021	0.983
"ItemCritical_10"	-7.431	0.327	-22.701	0
"ItemCritical_11"	-7.156	0.327	-21.86	0
"ItemCritical_12"	-6.713	0.327	-20.506	0
"ItemCritical_13"	-6.672	0.327	-20.381	0
"ItemCritical_14"	-6.59	0.377	-17.492	0
"ItemCritical_15"	-7.199	0.377	-19.108	0
"ItemCritical_16"	-7.392	0.377	-19.621	0
"ItemCritical_17"	-6.856	0.377	-18.198	0
"ItemCritical_18"	1.577	0.377	4.185	0
"ItemCritical_19"	-7.35	0.377	-19.509	0
"ItemCritical_2"	0.251	0.377	0.665	0.506
"ItemCritical_20"	-2.484	0.377	-6.593	0
"ItemCritical_21"	-7.241	0.377	-19.219	0
"ItemCritical_22"	-2.54	0.377	-6.742	0
"ItemCritical_23"	-1.891	0.377	-5.019	0
"ItemCritical_24"	-8.105	0.377	-21.514	0
"ItemCritical_25"	-7.63	0.377	-20.253	0
"ItemCritical_26"	0.38	0.377	1.009	0.313
"ItemCritical_27"	-6.247	0.377	-16.582	0
"ItemCritical_28"	3.716	0.377	9.862	0
"ItemCritical_29"	1.16	0.377	3.079	0.002
"ItemCritical_3"	-6.755	0.377	-17.93	0
"ItemCritical_30"	-8.056	0.377	-21.383	0
"ItemCritical_31"	-3.074	0.377	-8.16	0
"ItemCritical_32"	-2.165	0.377	-5.747	0
"ItemCritical_33"	0.59	0.377	1.567	0.117
"ItemCritical_34"	-0.188	0.377	-0.499	0.618
"ItemCritical_35"	0.81	0.377	2.149	0.032
"ItemCritical_36"	0.941	0.377	2.498	0.012
"ItemCritical_4"	-7.107	0.377	-18.863	0
"ItemCritical_5"	-2.609	0.377	-6.925	0
