"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	4.199	0.065	64.527	0
"RC.C"	-0.309	0.116	-2.657	0.008
"compatible.C"	0.124	0.116	1.061	0.289
"Item232_Critical_1"	3.99	0.092	43.363	0
"Item232_Critical_10"	1.739	0.092	18.895	0
"Item232_Critical_11"	5.325	0.092	57.867	0
"Item232_Critical_12"	6.762	0.092	73.479	0
"Item232_Critical_13"	4.419	0.092	48.021	0
"Item232_Critical_14"	0.153	0.092	1.659	0.097
"Item232_Critical_15"	5.079	0.092	55.192	0
"Item232_Critical_16"	5.452	0.092	59.25	0
"Item232_Critical_17"	-0.091	0.092	-0.992	0.321
"Item232_Critical_18"	0.223	0.092	2.419	0.016
"Item232_Critical_19"	4.68	0.092	50.851	0
"Item232_Critical_2"	0.46	0.092	5.003	0
"Item232_Critical_20"	3.618	0.092	39.312	0
"Item232_Critical_21"	6.898	0.092	74.963	0
"Item232_Critical_23"	4.417	0.092	47.993	0
"Item232_Critical_24"	4.732	0.092	51.418	0
"Item232_Critical_25"	0.425	0.092	4.615	0
"Item232_Critical_26"	0.154	0.092	1.674	0.094
"Item232_Critical_27"	6.834	0.092	74.262	0
"Item232_Critical_28"	4.506	0.092	48.964	0
"Item232_Critical_3"	0.407	0.092	4.428	0
"Item232_Critical_30"	0.284	0.092	3.089	0.002
"Item232_Critical_4"	8.291	0.092	90.097	0
"Item232_Critical_5"	3.825	0.092	41.568	0
"Item232_Critical_6"	2.678	0.092	29.096	0
"Item232_Critical_7"	5.671	0.092	61.62	0
"Item232_Critical_8"	4.504	0.092	48.944	0
"Item232_Critical_9"	0.106	0.092	1.147	0.251
"Item238_Critical_Vadv1"	8.938	0.165	54.294	0
"Item238_Critical_VAdv1"	8.937	0.165	54.292	0
"Item238_Critical_Vadv2"	9.785	0.092	106.332	0
"Item238_Critical_Vadv3"	3.047	0.092	33.108	0
"Item238_Critical_Vadv5"	5.125	0.092	55.693	0
"Item238_Critical_Vadv6"	4.141	0.092	45.001	0
"Item238_Critical_Vadv7"	4.659	0.092	50.626	0
"Item238_Critical_Vadv8"	-0.841	0.092	-9.142	0
"Item238_Critical_Vadv9"	4.68	0.092	50.854	0
"Item238_Critical_VN1"	0.703	0.092	7.634	0
"Item238_Critical_VN2"	5.068	0.092	55.077	0
"Item238_Critical_VN3"	6.426	0.092	69.833	0
"Item238_Critical_VN5"	7.225	0.092	78.512	0
"ItemCritical_6"	0.439	0.092	4.766	0
"EmbBias.C"	0.038	0.06	0.64	0.522
"SC.C"	0.594	0.13	4.566	0
"RC.C:compatible.C"	-2.445	0.233	-10.503	0
"RC.C:Item232_Critical_1"	0.056	0.165	0.339	0.735
"RC.C:Item232_Critical_10"	-1.765	0.165	-10.72	0
"RC.C:Item232_Critical_11"	-1.126	0.165	-6.837	0
"RC.C:Item232_Critical_12"	-0.154	0.165	-0.936	0.349
"RC.C:Item232_Critical_13"	0.149	0.165	0.908	0.364
"RC.C:Item232_Critical_14"	-0.861	0.165	-5.232	0
"RC.C:Item232_Critical_15"	-0.353	0.165	-2.146	0.032
"RC.C:Item232_Critical_16"	0.01	0.165	0.061	0.952
"RC.C:Item232_Critical_17"	-0.327	0.165	-1.985	0.047
"RC.C:Item232_Critical_18"	-0.405	0.165	-2.458	0.014
"RC.C:Item232_Critical_19"	-0.547	0.165	-3.324	0.001
"RC.C:Item232_Critical_2"	0.488	0.165	2.963	0.003
"RC.C:Item232_Critical_20"	-0.876	0.165	-5.32	0
"RC.C:Item232_Critical_21"	-0.672	0.165	-4.081	0
"RC.C:Item232_Critical_23"	-0.149	0.165	-0.907	0.365
"RC.C:Item232_Critical_24"	-1.073	0.165	-6.516	0
"RC.C:Item232_Critical_25"	-0.814	0.165	-4.943	0
"RC.C:Item232_Critical_26"	-0.958	0.165	-5.82	0
"RC.C:Item232_Critical_27"	-1.395	0.165	-8.477	0
"RC.C:Item232_Critical_28"	-0.371	0.165	-2.256	0.024
"RC.C:Item232_Critical_3"	-0.423	0.165	-2.569	0.01
"RC.C:Item232_Critical_30"	-0.949	0.165	-5.765	0
"RC.C:Item232_Critical_4"	0.273	0.165	1.658	0.097
"RC.C:Item232_Critical_5"	-0.561	0.165	-3.407	0.001
"RC.C:Item232_Critical_6"	-0.652	0.165	-3.959	0
"RC.C:Item232_Critical_7"	-0.66	0.165	-4.01	0
"RC.C:Item232_Critical_8"	-1.473	0.165	-8.947	0
"RC.C:Item232_Critical_9"	0.624	0.165	3.791	0
"RC.C:Item238_Critical_Vadv1"	-1.805	0.233	-7.752	0
"RC.C:Item238_Critical_VAdv1"	-1.811	0.233	-7.78	0
"RC.C:Item238_Critical_Vadv2"	-0.032	0.165	-0.193	0.847
"RC.C:Item238_Critical_Vadv3"	-0.268	0.165	-1.627	0.104
"RC.C:Item238_Critical_Vadv5"	3.637	0.165	22.092	0
"RC.C:Item238_Critical_Vadv6"	-0.141	0.165	-0.856	0.392
"RC.C:Item238_Critical_Vadv7"	-0.397	0.165	-2.413	0.016
"RC.C:Item238_Critical_Vadv8"	-0.417	0.165	-2.536	0.011
"RC.C:Item238_Critical_Vadv9"	3.267	0.165	19.844	0
"RC.C:Item238_Critical_VN1"	0.144	0.165	0.872	0.383
"RC.C:Item238_Critical_VN2"	-1.191	0.165	-7.236	0
"RC.C:Item238_Critical_VN3"	1.123	0.165	6.823	0
"RC.C:Item238_Critical_VN5"	-0.511	0.165	-3.103	0.002
"RC.C:ItemCritical_6"	-1.712	0.165	-10.402	0
"compatible.C:Item232_Critical_1"	-0.055	0.165	-0.334	0.739
"compatible.C:Item232_Critical_10"	-0.734	0.165	-4.458	0
"compatible.C:Item232_Critical_11"	-0.906	0.165	-5.502	0
"compatible.C:Item232_Critical_12"	0.482	0.165	2.929	0.003
"compatible.C:Item232_Critical_13"	-1.298	0.165	-7.883	0
"compatible.C:Item232_Critical_14"	-0.155	0.165	-0.943	0.345
"compatible.C:Item232_Critical_15"	-0.293	0.165	-1.779	0.075
"compatible.C:Item232_Critical_16"	1.476	0.165	8.964	0
"compatible.C:Item232_Critical_17"	0.684	0.165	4.152	0
"compatible.C:Item232_Critical_18"	0.317	0.165	1.926	0.054
"compatible.C:Item232_Critical_19"	0.897	0.165	5.451	0
"compatible.C:Item232_Critical_2"	1.521	0.165	9.242	0
"compatible.C:Item232_Critical_20"	0.214	0.165	1.297	0.195
"compatible.C:Item232_Critical_21"	-0.395	0.165	-2.399	0.016
"compatible.C:Item232_Critical_23"	-0.438	0.165	-2.663	0.008
"compatible.C:Item232_Critical_24"	0.972	0.165	5.907	0
"compatible.C:Item232_Critical_25"	1.342	0.165	8.152	0
"compatible.C:Item232_Critical_26"	0.534	0.165	3.242	0.001
"compatible.C:Item232_Critical_27"	-0.509	0.165	-3.089	0.002
"compatible.C:Item232_Critical_28"	0.907	0.165	5.509	0
"compatible.C:Item232_Critical_3"	3.531	0.165	21.449	0
"compatible.C:Item232_Critical_30"	0.926	0.165	5.628	0
"compatible.C:Item232_Critical_4"	1.802	0.165	10.949	0
"compatible.C:Item232_Critical_5"	2.205	0.165	13.395	0
"compatible.C:Item232_Critical_6"	1.347	0.165	8.18	0
"compatible.C:Item232_Critical_7"	2.052	0.165	12.466	0
"compatible.C:Item232_Critical_8"	0.277	0.165	1.68	0.093
"compatible.C:Item232_Critical_9"	-0.072	0.165	-0.44	0.66
"compatible.C:Item238_Critical_Vadv1"	0.322	0.403	0.799	0.425
"compatible.C:Item238_Critical_VAdv1"	2.157	0.403	5.35	0
"compatible.C:Item238_Critical_Vadv2"	-0.01	0.165	-0.062	0.95
"compatible.C:Item238_Critical_Vadv3"	0.923	0.165	5.609	0
"compatible.C:Item238_Critical_Vadv5"	0.213	0.165	1.294	0.196
"compatible.C:Item238_Critical_Vadv6"	-1.549	0.165	-9.409	0
"compatible.C:Item238_Critical_Vadv7"	0.589	0.165	3.577	0
"compatible.C:Item238_Critical_Vadv8"	0.145	0.165	0.882	0.378
"compatible.C:Item238_Critical_Vadv9"	-0.102	0.165	-0.618	0.536
"compatible.C:Item238_Critical_VN1"	1.135	0.165	6.893	0
"compatible.C:Item238_Critical_VN2"	-0.728	0.165	-4.42	0
"compatible.C:Item238_Critical_VN3"	0.276	0.165	1.676	0.094
"compatible.C:Item238_Critical_VN5"	0.088	0.165	0.535	0.593
"compatible.C:ItemCritical_6"	2.053	0.165	12.473	0
"RC.C:EmbBias.C"	0.285	0.106	2.678	0.007
"Item232_Critical_1:EmbBias.C"	-0.161	0.084	-1.91	0.056
"Item232_Critical_10:EmbBias.C"	0.03	0.084	0.355	0.722
"Item232_Critical_11:EmbBias.C"	0.022	0.084	0.266	0.79
"Item232_Critical_12:EmbBias.C"	-0.057	0.084	-0.681	0.496
"Item232_Critical_13:EmbBias.C"	-0.05	0.084	-0.595	0.552
"Item232_Critical_14:EmbBias.C"	-0.08	0.084	-0.953	0.34
"Item232_Critical_15:EmbBias.C"	0.138	0.084	1.642	0.101
"Item232_Critical_16:EmbBias.C"	-0.063	0.084	-0.745	0.456
"Item232_Critical_17:EmbBias.C"	-0.057	0.084	-0.679	0.497
"Item232_Critical_18:EmbBias.C"	-0.02	0.084	-0.232	0.816
"Item232_Critical_19:EmbBias.C"	-0.112	0.084	-1.333	0.183
"Item232_Critical_2:EmbBias.C"	-0.016	0.084	-0.185	0.853
"Item232_Critical_20:EmbBias.C"	-0.023	0.084	-0.277	0.781
"Item232_Critical_21:EmbBias.C"	0.042	0.084	0.493	0.622
"Item232_Critical_23:EmbBias.C"	0.105	0.084	1.246	0.213
"Item232_Critical_24:EmbBias.C"	0.194	0.084	2.306	0.021
"Item232_Critical_25:EmbBias.C"	-0.043	0.084	-0.515	0.606
"Item232_Critical_26:EmbBias.C"	-0.131	0.084	-1.558	0.119
"Item232_Critical_27:EmbBias.C"	-0.054	0.084	-0.647	0.517
"Item232_Critical_28:EmbBias.C"	0.079	0.084	0.937	0.349
"Item232_Critical_3:EmbBias.C"	-0.02	0.084	-0.241	0.809
"Item232_Critical_30:EmbBias.C"	-0.106	0.084	-1.255	0.209
"Item232_Critical_4:EmbBias.C"	-0.137	0.084	-1.631	0.103
"Item232_Critical_5:EmbBias.C"	0.158	0.084	1.878	0.06
"Item232_Critical_6:EmbBias.C"	0.258	0.084	3.064	0.002
"Item232_Critical_7:EmbBias.C"	0.197	0.084	2.346	0.019
"Item232_Critical_8:EmbBias.C"	-0.13	0.084	-1.544	0.123
"Item232_Critical_9:EmbBias.C"	-0.008	0.084	-0.098	0.922
"Item238_Critical_Vadv1:EmbBias.C"	-0.025	0.151	-0.167	0.867
"Item238_Critical_VAdv1:EmbBias.C"	-0.025	0.151	-0.167	0.867
"Item238_Critical_Vadv2:EmbBias.C"	0.054	0.084	0.64	0.522
"Item238_Critical_Vadv3:EmbBias.C"	0.204	0.084	2.423	0.015
"Item238_Critical_Vadv5:EmbBias.C"	0.027	0.084	0.32	0.749
"Item238_Critical_Vadv6:EmbBias.C"	0.168	0.084	1.996	0.046
