"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.551	0.064	197.23	0
"RC.C"	-0.273	0.114	-2.396	0.017
"compatible.C"	0.324	0.114	2.851	0.004
"Item232_Critical_29"	-0.676	0.09	-7.506	0
"Item232_Critical_31"	-0.188	0.09	-2.091	0.037
"ItemCritical_0"	-8.796	0.09	-97.743	0
"ItemCritical_1"	-1.563	0.09	-17.37	0
"ItemCritical_10"	-8.187	0.09	-90.969	0
"ItemCritical_11"	-8.441	0.09	-93.801	0
"ItemCritical_12"	-8.634	0.09	-95.941	0
"ItemCritical_13"	-7.81	0.09	-86.786	0
"ItemCritical_14"	-7.554	0.09	-83.941	0
"ItemCritical_15"	-8.195	0.09	-91.059	0
"ItemCritical_16"	-7.726	0.09	-85.857	0
"ItemCritical_17"	-8.003	0.09	-88.928	0
"ItemCritical_18"	0.951	0.09	10.57	0
"ItemCritical_19"	-8.42	0.09	-93.561	0
"ItemCritical_2"	0.862	0.09	9.583	0
"ItemCritical_20"	-3.547	0.09	-39.409	0
"ItemCritical_21"	-8.729	0.09	-97	0
"ItemCritical_22"	-3.91	0.09	-43.45	0
"ItemCritical_23"	-1.762	0.09	-19.575	0
"ItemCritical_24"	-8.595	0.09	-95.51	0
"ItemCritical_25"	-8.445	0.09	-93.842	0
"ItemCritical_26"	-0.375	0.09	-4.163	0
"ItemCritical_27"	-5.844	0.09	-64.941	0
"ItemCritical_28"	2.195	0.09	24.391	0
"ItemCritical_29"	1.19	0.09	13.219	0
"ItemCritical_3"	-8.596	0.09	-95.52	0
"ItemCritical_30"	-8.291	0.09	-92.132	0
"ItemCritical_31"	-3.489	0.09	-38.767	0
"ItemCritical_32"	-2.679	0.09	-29.771	0
"ItemCritical_33"	-0.257	0.09	-2.854	0.004
"ItemCritical_34"	-1.163	0.09	-12.929	0
"ItemCritical_35"	0.124	0.09	1.376	0.169
"ItemCritical_36"	0.249	0.09	2.769	0.006
"ItemCritical_4"	-8.371	0.09	-93.019	0
"ItemCritical_5"	-3.958	0.09	-43.984	0
"ItemCritical_7"	-8.408	0.09	-93.427	0
"ItemCritical_8"	-8.284	0.09	-92.048	0
"ItemCritical_9"	-7.642	0.09	-84.923	0
"ItemMixed_1"	1.373	0.09	15.255	0
"ItemMixed_11"	-4.074	0.09	-45.268	0
"ItemMixed_12"	-3.532	0.09	-39.25	0
"ItemMixed_13"	-4.412	0.09	-49.027	0
"ItemMixed_14"	-6.861	0.09	-76.236	0
"ItemMixed_15"	0.657	0.09	7.305	0
"ItemMixed_16"	-1.526	0.09	-16.954	0
"ItemMixed_17"	-8.759	0.09	-97.327	0
"ItemMixed_18"	-8.407	0.09	-93.42	0
"ItemMixed_19"	-0.746	0.09	-8.293	0
"ItemMixed_2"	-3.79	0.09	-42.118	0
"ItemMixed_21"	-6.006	0.09	-66.739	0
"ItemMixed_22"	1.661	0.09	18.454	0
"ItemMixed_23"	-3.402	0.09	-37.806	0
"ItemMixed_24"	-1.873	0.09	-20.813	0
"ItemMixed_25"	-4.847	0.09	-53.862	0
"ItemMixed_26"	-2.932	0.09	-32.581	0
"ItemMixed_27"	-5.345	0.09	-59.395	0
"ItemMixed_28"	-3.943	0.09	-43.812	0
"ItemMixed_29"	-8.642	0.09	-96.033	0
"ItemMixed_3"	-7.821	0.09	-86.907	0
"ItemMixed_30"	-4.051	0.09	-45.016	0
"ItemMixed_31"	2.839	0.09	31.549	0
"ItemMixed_32"	-5.393	0.09	-59.927	0
"ItemMixed_33"	-5.651	0.09	-62.798	0
"ItemMixed_34"	-8.439	0.09	-93.778	0
"ItemMixed_35"	1.739	0.09	19.322	0
"ItemMixed_36"	-0.72	0.09	-7.998	0
"ItemMixed_37"	-3.668	0.09	-40.755	0
"ItemMixed_38"	-0.319	0.09	-3.546	0
"ItemMixed_39"	-8.022	0.09	-89.138	0
"ItemMixed_4"	-8.231	0.09	-91.463	0
"ItemMixed_40"	-5.131	0.09	-57.014	0
"ItemMixed_41"	-3.731	0.09	-41.457	0
"ItemMixed_42"	-0.774	0.09	-8.596	0
"ItemMixed_43"	-5.644	0.09	-62.717	0
"ItemMixed_5"	-0.843	0.09	-9.363	0
"ItemMixed_6"	0.962	0.09	10.693	0
"ItemMixed_7"	-8.34	0.09	-92.675	0
"ItemMixed_8"	-5.608	0.09	-62.311	0
"ItemMixed_9"	-8.421	0.09	-93.576	0
"Item232_Critical_0"	-8.462	0.09	-94.03	0
"Item232_Critical_1"	-4.33	0.09	-48.114	0
"Item232_Critical_10"	-6.474	0.09	-71.943	0
"Item232_Critical_11"	-2.988	0.09	-33.197	0
"Item232_Critical_12"	-1.689	0.09	-18.772	0
"Item232_Critical_13"	-3.965	0.09	-44.056	0
"Item232_Critical_14"	-8.309	0.09	-92.327	0
"Item232_Critical_15"	-3.192	0.09	-35.473	0
"Item232_Critical_16"	-2.746	0.09	-30.512	0
"Item232_Critical_17"	-8.411	0.09	-93.466	0
"Item232_Critical_18"	-8.313	0.09	-92.376	0
"Item232_Critical_19"	-3.381	0.09	-37.57	0
"Item232_Critical_2"	-8.192	0.09	-91.032	0
"Item232_Critical_20"	-4.682	0.09	-52.025	0
"Item232_Critical_21"	-1.346	0.09	-14.959	0
"Item232_Critical_23"	-3.898	0.09	-43.309	0
"Item232_Critical_24"	-3.558	0.09	-39.542	0
"Item232_Critical_25"	-8.044	0.09	-89.388	0
"Item232_Critical_26"	-8.083	0.09	-89.814	0
"Item232_Critical_27"	-1.551	0.09	-17.233	0
