"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.227	0.061	201.775	0
"RC.C"	-0.469	0.108	-4.322	0
"compatible.C"	0.423	0.108	3.904	0
"Item232_Critical_29"	-0.132	0.086	-1.545	0.122
"Item232_Critical_31"	-0.119	0.086	-1.39	0.165
"ItemCritical_0"	-8.974	0.086	-104.709	0
"ItemCritical_1"	-1.666	0.086	-19.442	0
"ItemCritical_10"	-8.947	0.086	-104.403	0
"ItemCritical_11"	-8.976	0.086	-104.734	0
"ItemCritical_12"	-8.92	0.086	-104.084	0
"ItemCritical_13"	-8.305	0.086	-96.908	0
"ItemCritical_14"	-8.28	0.086	-96.612	0
"ItemCritical_15"	-8.692	0.086	-101.42	0
"ItemCritical_16"	-8.343	0.086	-97.347	0
"ItemCritical_17"	-8.648	0.086	-100.912	0
"ItemCritical_18"	0.957	0.086	11.162	0
"ItemCritical_19"	-8.85	0.086	-103.267	0
"ItemCritical_2"	0.771	0.086	8.995	0
"ItemCritical_20"	-4.122	0.086	-48.104	0
"ItemCritical_21"	-9.13	0.086	-106.534	0
"ItemCritical_22"	-4.461	0.086	-52.05	0
"ItemCritical_23"	-2.057	0.086	-24.002	0
"ItemCritical_24"	-8.897	0.086	-103.811	0
"ItemCritical_25"	-8.574	0.086	-100.049	0
"ItemCritical_26"	-0.515	0.086	-6.01	0
"ItemCritical_27"	-5.897	0.086	-68.806	0
"ItemCritical_28"	1.635	0.086	19.077	0
"ItemCritical_29"	0.972	0.086	11.341	0
"ItemCritical_3"	-9.178	0.086	-107.092	0
"ItemCritical_30"	-8.75	0.086	-102.095	0
"ItemCritical_31"	-3.846	0.086	-44.879	0
"ItemCritical_32"	-3.15	0.086	-36.751	0
"ItemCritical_33"	-0.153	0.086	-1.788	0.074
"ItemCritical_34"	-1.467	0.086	-17.113	0
"ItemCritical_35"	0.084	0.086	0.974	0.33
"ItemCritical_36"	0.073	0.086	0.851	0.395
"ItemCritical_4"	-8.919	0.086	-104.077	0
"ItemCritical_5"	-4.744	0.086	-55.351	0
"ItemCritical_7"	-8.869	0.086	-103.491	0
"ItemCritical_8"	-8.813	0.086	-102.83	0
"ItemCritical_9"	-8.62	0.086	-100.588	0
"ItemMixed_1"	1.07	0.086	12.481	0
"ItemMixed_11"	-4.192	0.086	-48.913	0
"ItemMixed_12"	-4.412	0.086	-51.484	0
"ItemMixed_13"	-4.753	0.086	-55.462	0
"ItemMixed_14"	-6.712	0.086	-78.319	0
"ItemMixed_15"	0.07	0.086	0.817	0.414
"ItemMixed_16"	-2.225	0.086	-25.966	0
"ItemMixed_17"	-9.048	0.086	-105.576	0
"ItemMixed_18"	-8.742	0.086	-102.009	0
"ItemMixed_19"	-1.436	0.086	-16.751	0
"ItemMixed_2"	-4.215	0.086	-49.181	0
"ItemMixed_21"	-6.141	0.086	-71.661	0
"ItemMixed_22"	1.644	0.086	19.185	0
"ItemMixed_23"	-4.157	0.086	-48.506	0
"ItemMixed_24"	-2.134	0.086	-24.895	0
"ItemMixed_25"	-5.311	0.086	-61.977	0
"ItemMixed_26"	-3.866	0.086	-45.106	0
"ItemMixed_27"	-5.528	0.086	-64.499	0
"ItemMixed_28"	-4.31	0.086	-50.296	0
"ItemMixed_29"	-8.997	0.086	-104.985	0
"ItemMixed_3"	-8.298	0.086	-96.826	0
"ItemMixed_30"	-4.373	0.086	-51.031	0
"ItemMixed_31"	2.602	0.086	30.359	0
"ItemMixed_32"	-5.382	0.086	-62.8	0
"ItemMixed_33"	-5.706	0.086	-66.58	0
"ItemMixed_34"	-8.781	0.086	-102.466	0
"ItemMixed_35"	1.707	0.086	19.922	0
"ItemMixed_36"	-1.093	0.086	-12.754	0
"ItemMixed_37"	-3.945	0.086	-46.032	0
"ItemMixed_38"	-0.787	0.086	-9.182	0
"ItemMixed_39"	-8.584	0.086	-100.164	0
"ItemMixed_4"	-8.636	0.086	-100.768	0
"ItemMixed_40"	-5.452	0.086	-63.614	0
"ItemMixed_41"	-4.238	0.086	-49.447	0
"ItemMixed_42"	-1.456	0.086	-16.986	0
"ItemMixed_43"	-5.874	0.086	-68.536	0
"ItemMixed_5"	-1.342	0.086	-15.656	0
"ItemMixed_6"	0.951	0.086	11.091	0
"ItemMixed_7"	-8.9	0.086	-103.846	0
"ItemMixed_8"	-5.808	0.086	-67.773	0
"ItemMixed_9"	-8.931	0.086	-104.21	0
"Item232_Critical_0"	-8.813	0.086	-102.83	0
"Item232_Critical_1"	-4.39	0.086	-51.221	0
"Item232_Critical_10"	-6.876	0.086	-80.228	0
"Item232_Critical_11"	-3.323	0.086	-38.772	0
"Item232_Critical_12"	-1.902	0.086	-22.198	0
"Item232_Critical_13"	-4.176	0.086	-48.727	0
"Item232_Critical_14"	-8.984	0.086	-104.828	0
"Item232_Critical_15"	-3.572	0.086	-41.677	0
"Item232_Critical_16"	-3.251	0.086	-37.937	0
"Item232_Critical_17"	-8.85	0.086	-103.269	0
"Item232_Critical_18"	-8.561	0.086	-99.894	0
"Item232_Critical_19"	-3.926	0.086	-45.815	0
"Item232_Critical_2"	-8.743	0.086	-102.015	0
"Item232_Critical_20"	-4.812	0.086	-56.147	0
"Item232_Critical_21"	-1.664	0.086	-19.417	0
"Item232_Critical_23"	-3.84	0.086	-44.807	0
"Item232_Critical_24"	-3.937	0.086	-45.934	0
"Item232_Critical_25"	-8.943	0.086	-104.354	0
"Item232_Critical_26"	-8.856	0.086	-103.342	0
"Item232_Critical_27"	-1.979	0.086	-23.09	0
"Item232_Critical_28"	-3.924	0.086	-45.786	0
"Item232_Critical_3"	-8.08	0.086	-94.277	0
"Item232_Critical_30"	-8.789	0.086	-102.552	0
"Item232_Critical_4"	-0.429	0.086	-5.01	0
"Item232_Critical_5"	-4.786	0.086	-55.844	0
"Item232_Critical_6"	-5.928	0.086	-69.169	0
"Item232_Critical_7"	-2.845	0.086	-33.193	0
"Item232_Critical_8"	-4.246	0.086	-49.546	0
"Item232_Critical_9"	-8.643	0.086	-100.852	0
"Item238_Critical_Vadv1"	0	0.153	0	1
"Item238_Critical_VAdv1"	0	0.153	0	1
"Item238_Critical_Vadv2"	1.437	0.086	16.765	0
"Item238_Critical_Vadv3"	-5.318	0.086	-62.051	0
"Item238_Critical_Vadv5"	-3.862	0.086	-45.06	0
"Item238_Critical_Vadv6"	-3.398	0.086	-39.645	0
"Item238_Critical_Vadv7"	-3.63	0.086	-42.361	0
"Item238_Critical_Vadv8"	-9.208	0.086	-107.44	0
"Item238_Critical_Vadv9"	-4.273	0.086	-49.855	0
"Item238_Critical_VN1"	-8.764	0.086	-102.259	0
"Item238_Critical_VN2"	-3.861	0.086	-45.049	0
"Item238_Critical_VN3"	-3.147	0.086	-36.715	0
"Item238_Critical_VN5"	-1.476	0.086	-17.225	0
"ItemCritical_6"	-8.633	0.086	-100.733	0
"EmbBias.C"	0.037	0.055	0.667	0.505
"SC.C"	-1.224	0.121	-10.1	0
"RC.C:compatible.C"	1.061	0.217	4.892	0
"RC.C:Item232_Critical_29"	0.375	0.153	2.446	0.014
"RC.C:Item232_Critical_31"	0.017	0.153	0.113	0.91
"RC.C:ItemCritical_0"	-0.005	0.153	-0.03	0.976
"RC.C:ItemCritical_1"	0.614	0.153	4.005	0
"RC.C:ItemCritical_10"	0.293	0.153	1.913	0.056
"RC.C:ItemCritical_11"	0.528	0.153	3.447	0.001
"RC.C:ItemCritical_12"	0.38	0.153	2.482	0.013
"RC.C:ItemCritical_13"	0.272	0.153	1.773	0.076
"RC.C:ItemCritical_14"	0.376	0.153	2.452	0.014
"RC.C:ItemCritical_15"	0.423	0.153	2.761	0.006
"RC.C:ItemCritical_16"	0.394	0.153	2.569	0.01
"RC.C:ItemCritical_17"	0.921	0.153	6.006	0
"RC.C:ItemCritical_18"	0.532	0.153	3.47	0.001
"RC.C:ItemCritical_19"	0.839	0.153	5.471	0
"RC.C:ItemCritical_2"	1.343	0.153	8.762	0
"RC.C:ItemCritical_20"	-0.019	0.153	-0.122	0.903
"RC.C:ItemCritical_21"	0.47	0.153	3.064	0.002
"RC.C:ItemCritical_22"	0.237	0.153	1.547	0.122
"RC.C:ItemCritical_23"	-0.043	0.153	-0.28	0.779
"RC.C:ItemCritical_24"	0.432	0.153	2.819	0.005
"RC.C:ItemCritical_25"	-0.117	0.153	-0.761	0.447
"RC.C:ItemCritical_26"	-0.3	0.153	-1.958	0.05
"RC.C:ItemCritical_27"	0.14	0.153	0.915	0.36
"RC.C:ItemCritical_28"	0.307	0.153	2.002	0.045
"RC.C:ItemCritical_29"	-0.672	0.153	-4.386	0
"RC.C:ItemCritical_3"	0.6	0.153	3.914	0
"RC.C:ItemCritical_30"	-0.097	0.153	-0.63	0.529
"RC.C:ItemCritical_31"	0.538	0.153	3.509	0
"RC.C:ItemCritical_32"	0.576	0.153	3.756	0
"RC.C:ItemCritical_33"	0.775	0.153	5.054	0
"RC.C:ItemCritical_34"	0.599	0.153	3.91	0
"RC.C:ItemCritical_35"	0.399	0.153	2.603	0.009
"RC.C:ItemCritical_36"	0.294	0.153	1.919	0.055
"RC.C:ItemCritical_4"	0.043	0.153	0.28	0.779
"RC.C:ItemCritical_5"	0.027	0.153	0.174	0.862
"RC.C:ItemCritical_7"	0.328	0.153	2.137	0.033
"RC.C:ItemCritical_8"	0.777	0.153	5.071	0
