"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.318	0.062	199.715	0
"RC.C"	-0.051	0.11	-0.464	0.643
"compatible.C"	0.163	0.11	1.477	0.14
"Item232_Critical_29"	-0.445	0.087	-5.099	0
"Item232_Critical_31"	-0.042	0.087	-0.483	0.629
"ItemCritical_0"	-8.562	0.087	-98.159	0
"ItemCritical_1"	-1.315	0.087	-15.072	0
"ItemCritical_10"	-8.357	0.087	-95.812	0
"ItemCritical_11"	-8.469	0.087	-97.101	0
"ItemCritical_12"	-8.283	0.087	-94.959	0
"ItemCritical_13"	-7.881	0.087	-90.359	0
"ItemCritical_14"	-7.656	0.087	-87.772	0
"ItemCritical_15"	-8.104	0.087	-92.914	0
"ItemCritical_16"	-7.831	0.087	-89.784	0
"ItemCritical_17"	-7.987	0.087	-91.566	0
"ItemCritical_18"	1.035	0.087	11.872	0
"ItemCritical_19"	-8.377	0.087	-96.045	0
"ItemCritical_2"	0.746	0.087	8.548	0
"ItemCritical_20"	-3.114	0.087	-35.699	0
"ItemCritical_21"	-8.571	0.087	-98.26	0
"ItemCritical_22"	-3.823	0.087	-43.836	0
"ItemCritical_23"	-1.629	0.087	-18.676	0
"ItemCritical_24"	-8.427	0.087	-96.617	0
"ItemCritical_25"	-8.262	0.087	-94.719	0
"ItemCritical_26"	-0.256	0.087	-2.933	0.003
"ItemCritical_27"	-5.545	0.087	-63.57	0
"ItemCritical_28"	2.346	0.087	26.892	0
"ItemCritical_29"	1.234	0.087	14.146	0
"ItemCritical_3"	-8.387	0.087	-96.161	0
"ItemCritical_30"	-8.262	0.087	-94.724	0
"ItemCritical_31"	-3.353	0.087	-38.444	0
"ItemCritical_32"	-2.559	0.087	-29.338	0
"ItemCritical_33"	-0.064	0.087	-0.734	0.463
"ItemCritical_34"	-1.045	0.087	-11.984	0
"ItemCritical_35"	0.279	0.087	3.198	0.001
"ItemCritical_36"	0.307	0.087	3.521	0
"ItemCritical_4"	-8.463	0.087	-97.028	0
"ItemCritical_5"	-4.089	0.087	-46.877	0
"ItemCritical_7"	-8.383	0.087	-96.11	0
"ItemCritical_8"	-8.149	0.087	-93.433	0
"ItemCritical_9"	-7.828	0.087	-89.752	0
"ItemMixed_1"	1.401	0.087	16.061	0
"ItemMixed_11"	-3.886	0.087	-44.555	0
"ItemMixed_12"	-3.808	0.087	-43.663	0
"ItemMixed_13"	-4.161	0.087	-47.704	0
"ItemMixed_14"	-6.668	0.087	-76.447	0
"ItemMixed_15"	0.652	0.087	7.471	0
"ItemMixed_16"	-1.619	0.087	-18.565	0
"ItemMixed_17"	-8.493	0.087	-97.37	0
"ItemMixed_18"	-8.45	0.087	-96.879	0
"ItemMixed_19"	-0.934	0.087	-10.708	0
"ItemMixed_2"	-3.49	0.087	-40.007	0
"ItemMixed_21"	-5.785	0.087	-66.323	0
"ItemMixed_22"	1.804	0.087	20.688	0
"ItemMixed_23"	-3.665	0.087	-42.024	0
"ItemMixed_24"	-1.735	0.087	-19.897	0
"ItemMixed_25"	-4.631	0.087	-53.088	0
"ItemMixed_26"	-2.786	0.087	-31.939	0
"ItemMixed_27"	-5.193	0.087	-59.536	0
"ItemMixed_28"	-3.948	0.087	-45.264	0
"ItemMixed_29"	-8.499	0.087	-97.436	0
"ItemMixed_3"	-7.86	0.087	-90.12	0
"ItemMixed_30"	-3.971	0.087	-45.529	0
"ItemMixed_31"	2.918	0.087	33.454	0
"ItemMixed_32"	-5.208	0.087	-59.707	0
"ItemMixed_33"	-5.523	0.087	-63.32	0
"ItemMixed_34"	-8.12	0.087	-93.095	0
"ItemMixed_35"	1.835	0.087	21.036	0
"ItemMixed_36"	-0.558	0.087	-6.395	0
"ItemMixed_37"	-3.008	0.087	-34.482	0
"ItemMixed_38"	-0.135	0.087	-1.546	0.122
"ItemMixed_39"	-8.101	0.087	-92.874	0
"ItemMixed_4"	-8.039	0.087	-92.163	0
"ItemMixed_40"	-5.148	0.087	-59.018	0
"ItemMixed_41"	-3.601	0.087	-41.287	0
"ItemMixed_42"	-0.749	0.087	-8.586	0
"ItemMixed_43"	-5.441	0.087	-62.377	0
"ItemMixed_5"	-0.865	0.087	-9.921	0
"ItemMixed_6"	1.031	0.087	11.824	0
"ItemMixed_7"	-8.425	0.087	-96.587	0
"ItemMixed_8"	-5.549	0.087	-63.623	0
"ItemMixed_9"	-8.432	0.087	-96.677	0
"Item232_Critical_0"	-8.275	0.087	-94.873	0
"Item232_Critical_1"	-4.107	0.087	-47.089	0
"Item232_Critical_10"	-6.492	0.087	-74.434	0
"Item232_Critical_11"	-2.941	0.087	-33.713	0
"Item232_Critical_12"	-1.735	0.087	-19.896	0
"Item232_Critical_13"	-3.768	0.087	-43.196	0
"Item232_Critical_14"	-8.346	0.087	-95.689	0
"Item232_Critical_15"	-3.264	0.087	-37.42	0
"Item232_Critical_16"	-2.717	0.087	-31.149	0
"Item232_Critical_17"	-8.373	0.087	-95.995	0
"Item232_Critical_18"	-8.203	0.087	-94.047	0
"Item232_Critical_19"	-3.437	0.087	-39.408	0
"Item232_Critical_2"	-8.24	0.087	-94.473	0
"Item232_Critical_20"	-4.685	0.087	-53.709	0
"Item232_Critical_21"	-1.295	0.087	-14.844	0
"Item232_Critical_23"	-3.7	0.087	-42.415	0
"Item232_Critical_24"	-3.491	0.087	-40.02	0
"Item232_Critical_25"	-8.331	0.087	-95.519	0
"Item232_Critical_26"	-8.257	0.087	-94.664	0
"Item232_Critical_27"	-1.608	0.087	-18.434	0
"Item232_Critical_28"	-3.632	0.087	-41.64	0
"Item232_Critical_3"	-7.454	0.087	-85.464	0
"Item232_Critical_30"	-8.004	0.087	-91.77	0
"Item232_Critical_4"	-0.217	0.087	-2.484	0.013
"Item232_Critical_5"	-4.458	0.087	-51.105	0
"Item232_Critical_6"	-5.575	0.087	-63.916	0
"Item232_Critical_7"	-2.594	0.087	-29.739	0
"Item232_Critical_8"	-3.87	0.087	-44.371	0
"Item232_Critical_9"	-8.167	0.087	-93.632	0
"Item238_Critical_Vadv1"	0.021	0.156	0.134	0.893
"Item238_Critical_VAdv1"	0.024	0.156	0.151	0.88
"Item238_Critical_Vadv2"	1.72	0.087	19.716	0
"Item238_Critical_Vadv3"	-5.137	0.087	-58.9	0
