"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.509	0.059	213.75	0
"RC.C"	0.839	0.105	8.015	0
"compatible.C"	0.24	0.105	2.296	0.022
"Item232_Critical_29"	-0.497	0.083	-6.001	0
"Item232_Critical_31"	-0.167	0.083	-2.021	0.043
"ItemCritical_0"	-8.923	0.083	-107.819	0
"ItemCritical_1"	-1.667	0.083	-20.144	0
"ItemCritical_10"	-8.579	0.083	-103.657	0
"ItemCritical_11"	-8.863	0.083	-107.086	0
"ItemCritical_12"	-8.922	0.083	-107.808	0
"ItemCritical_13"	-8.174	0.083	-98.768	0
"ItemCritical_14"	-8.063	0.083	-97.427	0
"ItemCritical_15"	-8.548	0.083	-103.284	0
"ItemCritical_16"	-8.355	0.083	-100.948	0
"ItemCritical_17"	-8.366	0.083	-101.086	0
"ItemCritical_18"	0.817	0.083	9.869	0
"ItemCritical_19"	-8.769	0.083	-105.957	0
"ItemCritical_2"	0.613	0.083	7.412	0
"ItemCritical_20"	-3.794	0.083	-45.845	0
"ItemCritical_21"	-9.005	0.083	-108.808	0
"ItemCritical_22"	-4.366	0.083	-52.758	0
"ItemCritical_23"	-1.528	0.083	-18.464	0
"ItemCritical_24"	-8.826	0.083	-106.645	0
"ItemCritical_25"	-8.531	0.083	-103.081	0
"ItemCritical_26"	-0.542	0.083	-6.554	0
"ItemCritical_27"	-6.082	0.083	-73.482	0
"ItemCritical_28"	2.032	0.083	24.554	0
"ItemCritical_29"	1.094	0.083	13.215	0
"ItemCritical_3"	-9.098	0.083	-109.934	0
"ItemCritical_30"	-8.243	0.083	-99.597	0
"ItemCritical_31"	-3.902	0.083	-47.15	0
"ItemCritical_32"	-2.51	0.083	-30.328	0
"ItemCritical_33"	-0.266	0.083	-3.211	0.001
"ItemCritical_34"	-1.344	0.083	-16.234	0
"ItemCritical_35"	0.219	0.083	2.649	0.008
"ItemCritical_36"	0.077	0.083	0.932	0.351
"ItemCritical_4"	-8.591	0.083	-103.805	0
"ItemCritical_5"	-4.597	0.083	-55.546	0
"ItemCritical_7"	-8.633	0.083	-104.308	0
"ItemCritical_8"	-8.599	0.083	-103.896	0
"ItemCritical_9"	-8.385	0.083	-101.316	0
"ItemMixed_1"	0.945	0.083	11.419	0
"ItemMixed_11"	-4.362	0.083	-52.702	0
"ItemMixed_12"	-4.245	0.083	-51.292	0
"ItemMixed_13"	-4.775	0.083	-57.699	0
"ItemMixed_14"	-6.936	0.083	-83.809	0
"ItemMixed_15"	0.224	0.083	2.708	0.007
"ItemMixed_16"	-2.137	0.083	-25.824	0
"ItemMixed_17"	-8.911	0.083	-107.669	0
"ItemMixed_18"	-8.639	0.083	-104.385	0
"ItemMixed_19"	-1.188	0.083	-14.357	0
"ItemMixed_2"	-4.172	0.083	-50.406	0
"ItemMixed_21"	-6.162	0.083	-74.455	0
"ItemMixed_22"	1.631	0.083	19.705	0
"ItemMixed_23"	-3.994	0.083	-48.254	0
"ItemMixed_24"	-2.065	0.083	-24.946	0
"ItemMixed_25"	-4.562	0.083	-55.124	0
"ItemMixed_26"	-3.502	0.083	-42.319	0
"ItemMixed_27"	-5.448	0.083	-65.827	0
"ItemMixed_28"	-4.216	0.083	-50.943	0
"ItemMixed_29"	-8.878	0.083	-107.272	0
"ItemMixed_3"	-8.207	0.083	-99.165	0
"ItemMixed_30"	-4.382	0.083	-52.944	0
"ItemMixed_31"	2.538	0.083	30.671	0
"ItemMixed_32"	-5.454	0.083	-65.897	0
"ItemMixed_33"	-5.491	0.083	-66.35	0
"ItemMixed_34"	-8.421	0.083	-101.749	0
"ItemMixed_35"	1.613	0.083	19.491	0
"ItemMixed_36"	-1.06	0.083	-12.804	0
"ItemMixed_37"	-3.662	0.083	-44.246	0
"ItemMixed_38"	-0.759	0.083	-9.169	0
"ItemMixed_39"	-8.575	0.083	-103.612	0
"ItemMixed_4"	-8.596	0.083	-103.869	0
"ItemMixed_40"	-5.518	0.083	-66.676	0
"ItemMixed_41"	-4.09	0.083	-49.421	0
"ItemMixed_42"	-1.319	0.083	-15.938	0
"ItemMixed_43"	-5.553	0.083	-67.091	0
"ItemMixed_5"	-1.247	0.083	-15.071	0
"ItemMixed_6"	0.788	0.083	9.516	0
"ItemMixed_7"	-8.621	0.083	-104.165	0
"ItemMixed_8"	-5.912	0.083	-71.437	0
"ItemMixed_9"	-8.985	0.083	-108.56	0
"Item232_17"	-9.944	0.77	-12.92	0
"Item232_Cr8_Critical_Vadv9"	-4.765	0.77	-6.191	0
"Item232_Critical_0"	-8.803	0.083	-106.361	0
"Item232_Critical_1"	-4.602	0.083	-55.601	0
"Item232_Critical_10"	-6.779	0.083	-81.905	0
"Item232_Critical_11"	-3.42	0.083	-41.324	0
"Item232_Critical_12"	-1.937	0.083	-23.407	0
"Item232_Critical_13"	-4.17	0.083	-50.384	0
"Item232_Critical_14"	-8.939	0.083	-108.008	0
"Item232_Critical_15"	-3.504	0.083	-42.341	0
"Item232_Critical_16"	-3.102	0.083	-37.486	0
"Item232_Critical_17"	-8.651	0.083	-104.531	0
"Item232_Critical_18"	-8.614	0.083	-104.079	0
"Item232_Critical_19"	-3.879	0.083	-46.873	0
"Item232_Critical_2"	-8.551	0.083	-103.322	0
"Item232_Critical_20"	-4.859	0.083	-58.714	0
"Item232_Critical_21"	-1.734	0.083	-20.957	0
"Item232_Critical_23"	-3.988	0.083	-48.182	0
"Item232_Critical_24"	-4.052	0.083	-48.963	0
"Item232_Critical_25"	-8.672	0.083	-104.778	0
"Item232_Critical_26"	-8.584	0.083	-103.723	0
"Item232_Critical_27"	-1.796	0.083	-21.695	0
"Item232_Critical_28"	-3.887	0.083	-46.971	0
"Item232_Critical_3"	-7.981	0.083	-96.433	0
"Item232_Critical_30"	-8.547	0.083	-103.274	0
"Item232_Critical_4"	-0.496	0.083	-5.988	0
"Item232_Critical_5"	-4.803	0.083	-58.032	0
"Item232_Critical_6"	-5.953	0.083	-71.931	0
"Item232_Critical_7"	-2.983	0.083	-36.044	0
"Item232_Critical_8"	-4.417	0.083	-53.368	0
