"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	13.185	0.045	289.956	0
"RC.C"	-0.333	0.081	-4.099	0
"compatible.C"	-0.434	0.081	-5.329	0
"Item232_Critical_29"	-1.643	0.064	-25.554	0
"Item232_Critical_31"	-0.518	0.064	-8.06	0
"ItemCritical_0"	-7.959	0.064	-123.758	0
"ItemCritical_1"	-1.464	0.064	-22.759	0
"ItemCritical_10"	-7.078	0.064	-110.059	0
"ItemCritical_11"	-7.61	0.064	-118.327	0
"ItemCritical_12"	-7.211	0.064	-112.122	0
"ItemCritical_13"	-7.08	0.064	-110.094	0
"ItemCritical_14"	-7.239	0.064	-112.572	0
"ItemCritical_15"	-6.872	0.064	-106.856	0
"ItemCritical_16"	-7.876	0.064	-122.477	0
"ItemCritical_17"	-7.349	0.064	-114.272	0
"ItemCritical_18"	0.632	0.064	9.835	0
"ItemCritical_19"	-7.416	0.064	-115.313	0
"ItemCritical_2"	0.414	0.064	6.444	0
"ItemCritical_20"	-3.107	0.064	-48.314	0
"ItemCritical_21"	-7.544	0.064	-117.308	0
"ItemCritical_22"	-2.973	0.064	-46.227	0
"ItemCritical_23"	-1.666	0.064	-25.909	0
"ItemCritical_24"	-8.167	0.064	-126.991	0
"ItemCritical_25"	-7.568	0.064	-117.684	0
"ItemCritical_26"	-0.46	0.064	-7.154	0
"ItemCritical_27"	-6.178	0.064	-96.071	0
"ItemCritical_28"	3.244	0.064	50.444	0
"ItemCritical_29"	1.06	0.064	16.482	0
"ItemCritical_3"	-7.708	0.064	-119.863	0
"ItemCritical_30"	-8.266	0.064	-128.536	0
"ItemCritical_31"	-3.296	0.064	-51.248	0
"ItemCritical_32"	-2.391	0.064	-37.178	0
"ItemCritical_33"	-0.606	0.064	-9.43	0
"ItemCritical_34"	-0.76	0.064	-11.817	0
"ItemCritical_35"	-0.036	0.064	-0.554	0.58
"ItemCritical_36"	0.178	0.064	2.774	0.006
"ItemCritical_4"	-7.154	0.064	-111.249	0
"ItemCritical_5"	-3.696	0.064	-57.479	0
"ItemCritical_7"	-7.083	0.064	-110.133	0
"ItemCritical_8"	-7.559	0.064	-117.547	0
"ItemCritical_9"	-7.215	0.064	-112.191	0
"ItemMixed_1"	1.161	0.064	18.054	0
"ItemMixed_11"	-4.661	0.064	-72.482	0
"ItemMixed_12"	-3.572	0.064	-55.548	0
"ItemMixed_13"	-4.091	0.064	-63.617	0
"ItemMixed_14"	-7.75	0.064	-120.507	0
"ItemMixed_15"	0.519	0.064	8.073	0
"ItemMixed_16"	-1.464	0.064	-22.765	0
"ItemMixed_17"	-8.331	0.064	-129.551	0
"ItemMixed_18"	-7.201	0.064	-111.968	0
"ItemMixed_19"	-1.326	0.064	-20.619	0
"ItemMixed_2"	-3.109	0.064	-48.338	0
"ItemMixed_21"	-4.879	0.064	-75.864	0
"ItemMixed_22"	1.664	0.064	25.877	0
"ItemMixed_23"	-3.481	0.064	-54.133	0
