"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	13.256	0.06	222.124	0
"RC.C"	1.2	0.107	11.238	0
"compatible.C"	-0.191	0.107	-1.792	0.073
"ItemMixed_11"	-5.314	0.084	-62.961	0
"ItemMixed_12"	-5.525	0.084	-65.462	0
"ItemMixed_13"	-5.852	0.084	-69.339	0
"ItemMixed_14"	-7.743	0.084	-91.736	0
"ItemMixed_15"	-1.009	0.084	-11.95	0
"ItemMixed_16"	-3.313	0.084	-39.255	0
"ItemMixed_17"	-10.107	0.084	-119.756	0
"ItemMixed_18"	-9.816	0.084	-116.297	0
"ItemMixed_19"	-2.508	0.084	-29.721	0
"ItemMixed_2"	-5.298	0.084	-62.774	0
"ItemMixed_21"	-7.186	0.084	-85.145	0
"ItemMixed_22"	0.676	0.084	8.006	0
"ItemMixed_23"	-5.267	0.084	-62.401	0
"ItemMixed_24"	-3.237	0.084	-38.358	0
"ItemMixed_25"	-6.32	0.084	-74.881	0
"ItemMixed_26"	-4.945	0.084	-58.592	0
"ItemMixed_27"	-6.537	0.084	-77.458	0
"ItemMixed_28"	-5.351	0.084	-63.402	0
"ItemMixed_29"	-10.078	0.084	-119.404	0
"ItemMixed_3"	-9.371	0.084	-111.034	0
"ItemMixed_30"	-5.426	0.084	-64.287	0
"ItemMixed_31"	1.517	0.084	17.976	0
"ItemMixed_32"	-6.438	0.084	-76.276	0
"ItemMixed_33"	-6.785	0.084	-80.392	0
"ItemMixed_34"	-9.807	0.084	-116.194	0
"ItemMixed_35"	0.64	0.084	7.577	0
"ItemMixed_36"	-2.137	0.084	-25.321	0
"ItemMixed_37"	-5.021	0.084	-59.494	0
"ItemMixed_38"	-1.871	0.084	-22.168	0
"ItemMixed_39"	-9.648	0.084	-114.314	0
"ItemMixed_4"	-9.733	0.084	-115.314	0
"ItemMixed_40"	-6.526	0.084	-77.319	0
"ItemMixed_41"	-5.332	0.084	-63.179	0
"ItemMixed_42"	-2.529	0.084	-29.96	0
"ItemMixed_43"	-6.943	0.084	-82.266	0
"ItemMixed_5"	-2.435	0.084	-28.848	0
"ItemMixed_6"	-0.101	0.084	-1.193	0.233
"ItemMixed_7"	-9.983	0.084	-118.282	0
"ItemMixed_8"	-6.869	0.084	-81.385	0
"ItemMixed_9"	-10.011	0.084	-118.615	0
"Item232_Critical_0"	-9.874	0.084	-116.992	0
"Item232_Critical_1"	-5.593	0.084	-66.269	0
"Item232_Critical_10"	-7.973	0.084	-94.461	0
"Item232_Critical_11"	-4.492	0.084	-53.224	0
"Item232_Critical_12"	-2.997	0.084	-35.504	0
"Item232_Critical_13"	-5.242	0.084	-62.113	0
"Item232_Critical_14"	-10.1	0.084	-119.666	0
"Item232_Critical_15"	-4.629	0.084	-54.846	0
"Item232_Critical_16"	-4.317	0.084	-51.146	0
"Item232_Critical_17"	-9.928	0.084	-117.63	0
"Item232_Critical_18"	-9.6	0.084	-113.739	0
"Item232_Critical_19"	-5.008	0.084	-59.335	0
"Item232_Critical_2"	-9.802	0.084	-116.132	0
"Item232_Critical_20"	-5.858	0.084	-69.41	0
"Item232_Critical_21"	-2.739	0.084	-32.451	0
"Item232_Critical_23"	-4.935	0.084	-58.472	0
"Item232_Critical_24"	-5.072	0.084	-60.093	0
"Item232_Critical_25"	-10.015	0.084	-118.661	0
"Item232_Critical_26"	-9.942	0.084	-117.799	0
"Item232_Critical_27"	-3.056	0.084	-36.212	0
"Item232_Critical_28"	-4.985	0.084	-59.062	0
"Item232_Critical_3"	-9.141	0.084	-108.305	0
"Item232_Critical_30"	-9.867	0.084	-116.907	0
"Item232_Critical_4"	-1.499	0.084	-17.763	0
"Item232_Critical_5"	-5.839	0.084	-69.184	0
"Item232_Critical_6"	-7.052	0.084	-83.552	0
"Item232_Critical_7"	-3.902	0.084	-46.228	0
"Item232_Critical_8"	-5.389	0.084	-63.847	0
"Item232_Critical_9"	-9.761	0.084	-115.655	0
"Item238_Critical_Vadv1"	-1.165	0.151	-7.715	0
"Item238_Critical_VAdv1"	-1.165	0.151	-7.715	0
"Item238_Critical_Vadv2"	0.373	0.084	4.414	0
"Item238_Critical_Vadv3"	-6.371	0.084	-75.486	0
"Item238_Critical_Vadv5"	-4.893	0.084	-57.979	0
"Item238_Critical_Vadv6"	-4.373	0.084	-51.814	0
"Item238_Critical_Vadv7"	-4.693	0.084	-55.605	0
"Item238_Critical_Vadv8"	-10.236	0.084	-121.284	0
"Item238_Critical_Vadv9"	-5.359	0.084	-63.494	0
"Item238_Critical_VN1"	-9.861	0.084	-116.835	0
"Item238_Critical_VN2"	-4.979	0.084	-58.987	0
"Item238_Critical_VN3"	-4.157	0.084	-49.254	0
"Item238_Critical_VN5"	-2.633	0.084	-31.194	0
"ItemCritical_6"	-9.751	0.084	-115.531	0
"EmbBias.C"	0.148	0.055	2.706	0.007
"SC.C"	-1.496	0.119	-12.533	0
"RC.C:compatible.C"	0.688	0.214	3.22	0.001
"RC.C:ItemMixed_11"	-0.971	0.151	-6.429	0
"RC.C:ItemMixed_12"	-1.587	0.151	-10.509	0
"RC.C:ItemMixed_13"	-1.47	0.151	-9.739	0
"RC.C:ItemMixed_14"	0.588	0.151	3.895	0
"RC.C:ItemMixed_15"	-1.531	0.151	-10.14	0
"RC.C:ItemMixed_16"	-1.834	0.151	-12.15	0
"RC.C:ItemMixed_17"	-0.929	0.151	-6.154	0
"RC.C:ItemMixed_18"	-1.626	0.151	-10.768	0
"RC.C:ItemMixed_19"	-2.256	0.151	-14.941	0
"RC.C:ItemMixed_2"	-1.747	0.151	-11.569	0
"RC.C:ItemMixed_21"	-1.429	0.151	-9.464	0
"RC.C:ItemMixed_22"	-1.168	0.151	-7.737	0
"RC.C:ItemMixed_23"	-1.603	0.151	-10.615	0
"RC.C:ItemMixed_24"	-1.534	0.151	-10.158	0
"RC.C:ItemMixed_25"	-1.752	0.151	-11.603	0
"RC.C:ItemMixed_26"	-0.696	0.151	-4.611	0
"RC.C:ItemMixed_27"	-0.428	0.151	-2.837	0.005
