"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	3.953	0.056	70.509	0
"RC.C"	2.483	0.1	24.756	0
"compatible.C"	0.535	0.1	5.337	0
"Item232_Critical_1"	4.115	0.079	51.896	0
"Item232_Critical_10"	2.147	0.079	27.08	0
"Item232_Critical_11"	5.293	0.079	66.755	0
"Item232_Critical_12"	6.853	0.079	86.428	0
"Item232_Critical_13"	4.471	0.079	56.391	0
"Item232_Critical_14"	0.154	0.079	1.938	0.053
"Item232_Critical_15"	5.149	0.079	64.941	0
"Item232_Critical_16"	5.82	0.079	73.395	0
"Item232_Critical_17"	0.214	0.079	2.698	0.007
"Item232_Critical_18"	0.068	0.079	0.861	0.39
"Item232_Critical_19"	4.932	0.079	62.197	0
"Item232_Critical_2"	0.268	0.079	3.379	0.001
"Item232_Critical_20"	3.762	0.079	47.451	0
"Item232_Critical_21"	6.979	0.079	88.02	0
"Item232_Critical_23"	4.455	0.079	56.187	0
"Item232_Critical_24"	4.755	0.079	59.967	0
"Item232_Critical_25"	0.538	0.079	6.789	0
"Item232_Critical_26"	0.538	0.079	6.783	0
"Item232_Critical_27"	6.964	0.079	87.825	0
"Item232_Critical_28"	4.66	0.079	58.776	0
"Item232_Critical_3"	0.902	0.079	11.381	0
"Item232_Critical_30"	0.55	0.079	6.935	0
"Item232_Critical_4"	8.374	0.079	105.606	0
"Item232_Critical_5"	3.844	0.079	48.485	0
"Item232_Critical_6"	2.82	0.079	35.566	0
"Item232_Critical_7"	5.778	0.079	72.871	0
"Item232_Critical_8"	4.631	0.079	58.402	0
"Item232_Critical_9"	0.251	0.079	3.166	0.002
"Item238_Critical_Vadv1"	8.936	0.142	62.999	0
"Item238_Critical_VAdv1"	8.938	0.142	63.014	0
"Item238_Critical_Vadv2"	10.517	0.079	132.638	0
"Item238_Critical_Vadv3"	4.137	0.079	52.176	0
"Item238_Critical_Vadv5"	5.445	0.079	68.671	0
"Item238_Critical_Vadv6"	5.02	0.079	63.308	0
"Item238_Critical_Vadv7"	5.639	0.079	71.117	0
"Item238_Critical_Vadv8"	0.194	0.079	2.443	0.015
"Item238_Critical_Vadv9"	4.63	0.079	58.395	0
"Item238_Critical_VN1"	0.626	0.079	7.898	0
"Item238_Critical_VN2"	4.947	0.079	62.384	0
"Item238_Critical_VN3"	5.629	0.079	70.996	0
"Item238_Critical_VN5"	7.51	0.079	94.71	0
"ItemCritical_6"	0.689	0.079	8.69	0
"EmbBias.C"	0.088	0.051	1.714	0.087
"SC.C"	0.104	0.112	0.925	0.355
"RC.C:compatible.C"	1.686	0.201	8.404	0
"RC.C:Item232_Critical_1"	-0.274	0.142	-1.935	0.053
"RC.C:Item232_Critical_10"	-2.239	0.142	-15.784	0
"RC.C:Item232_Critical_11"	-0.904	0.142	-6.372	0
"RC.C:Item232_Critical_12"	-1.077	0.142	-7.596	0
"RC.C:Item232_Critical_13"	-1.316	0.142	-9.281	0
"RC.C:Item232_Critical_14"	0.384	0.142	2.707	0.007
"RC.C:Item232_Critical_15"	-0.614	0.142	-4.332	0
"RC.C:Item232_Critical_16"	0.427	0.142	3.008	0.003
"RC.C:Item232_Critical_17"	-0.463	0.142	-3.266	0.001
"RC.C:Item232_Critical_18"	-0.838	0.142	-5.911	0
"RC.C:Item232_Critical_19"	1.076	0.142	7.588	0
"RC.C:Item232_Critical_2"	0.621	0.142	4.375	0
"RC.C:Item232_Critical_20"	-0.559	0.142	-3.944	0
"RC.C:Item232_Critical_21"	-0.965	0.142	-6.8	0
"RC.C:Item232_Critical_23"	-1.797	0.142	-12.668	0
"RC.C:Item232_Critical_24"	-0.15	0.142	-1.059	0.289
"RC.C:Item232_Critical_25"	2.142	0.142	15.105	0
"RC.C:Item232_Critical_26"	1.287	0.142	9.071	0
"RC.C:Item232_Critical_27"	-1.4	0.142	-9.868	0
"RC.C:Item232_Critical_28"	-0.635	0.142	-4.479	0
"RC.C:Item232_Critical_3"	-0.573	0.142	-4.039	0
"RC.C:Item232_Critical_30"	1.386	0.142	9.771	0
"RC.C:Item232_Critical_4"	0.009	0.142	0.062	0.951
