"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.699	0.057	221.389	0
"RC.C"	0.502	0.103	4.897	0
"compatible.C"	0.232	0.103	2.259	0.024
"Item232_Critical_29"	-0.832	0.081	-10.259	0
"Item232_Critical_31"	-0.369	0.081	-4.552	0
"ItemCritical_0"	-8.921	0.081	-109.976	0
"ItemCritical_1"	-1.685	0.081	-20.771	0
"ItemCritical_10"	-8.528	0.081	-105.132	0
"ItemCritical_11"	-8.881	0.081	-109.479	0
"ItemCritical_12"	-8.977	0.081	-110.66	0
"ItemCritical_13"	-8.341	0.081	-102.821	0
"ItemCritical_14"	-8.143	0.081	-100.383	0
"ItemCritical_15"	-8.548	0.081	-105.377	0
"ItemCritical_16"	-8.399	0.081	-103.542	0
"ItemCritical_17"	-8.567	0.081	-105.615	0
"ItemCritical_18"	0.66	0.081	8.139	0
"ItemCritical_19"	-8.806	0.081	-108.553	0
"ItemCritical_2"	0.458	0.081	5.643	0
"ItemCritical_20"	-4.053	0.081	-49.969	0
"ItemCritical_21"	-9.168	0.081	-113.02	0
"ItemCritical_2_12"	-9.058	0.754	-12.012	0
"ItemCritical_22"	-4.452	0.081	-54.877	0
"ItemCritical_23"	-1.812	0.081	-22.339	0
"ItemCritical_24"	-8.924	0.081	-110.012	0
"ItemCritical_25"	-8.67	0.081	-106.879	0
"ItemCritical_26"	-0.6	0.081	-7.402	0
"ItemCritical_27"	-6.226	0.081	-76.753	0
"ItemCritical_28"	1.932	0.081	23.816	0
"ItemCritical_29"	0.973	0.081	11.991	0
"ItemCritical_3"	-9.218	0.081	-113.631	0
"ItemCritical_30"	-8.354	0.081	-102.983	0
"ItemCritical_31"	-3.753	0.081	-46.268	0
"ItemCritical_32"	-2.666	0.081	-32.871	0
"ItemCritical_33"	-0.425	0.081	-5.234	0
"ItemCritical_34"	-1.45	0.081	-17.88	0
"ItemCritical_35"	0.015	0.081	0.181	0.856
"ItemCritical_36"	-0.037	0.081	-0.453	0.65
"ItemCritical_4"	-8.56	0.081	-105.522	0
"ItemCritical_5"	-4.641	0.081	-57.21	0
"ItemCritical_7"	-8.676	0.081	-106.952	0
"ItemCritical_8"	-8.626	0.081	-106.335	0
"ItemCritical_9"	-8.273	0.081	-101.984	0
"ItemCritical_l_4"	-7.427	0.756	-9.823	0
"ItemMixed_1"	0.904	0.081	11.146	0
"ItemMixed_11"	-4.37	0.081	-53.871	0
"ItemMixed_12"	-4.047	0.081	-49.89	0
"ItemMixed_13"	-4.575	0.081	-56.396	0
"ItemMixed_14"	-7.159	0.081	-88.251	0
"ItemMixed_15"	0.318	0.081	3.922	0
"ItemMixed_16"	-1.875	0.081	-23.111	0
"ItemMixed_17"	-8.776	0.081	-108.188	0
"ItemMixed_18"	-8.414	0.081	-103.729	0
"ItemMixed_19"	-1.168	0.081	-14.395	0
"ItemMixed_2"	-4.113	0.081	-50.706	0
"ItemMixed_21"	-6.184	0.081	-76.227	0
"ItemMixed_22"	1.59	0.081	19.601	0
"ItemMixed_23"	-3.809	0.081	-46.953	0
"ItemMixed_24"	-1.917	0.081	-23.637	0
"ItemMixed_25"	-4.541	0.081	-55.973	0
"ItemMixed_26"	-2.978	0.081	-36.717	0
"ItemMixed_27"	-5.413	0.081	-66.728	0
"ItemMixed_28"	-4.186	0.081	-51.606	0
"ItemMixed_29"	-8.707	0.081	-107.337	0
"ItemMixed_3"	-8.222	0.081	-101.355	0
"ItemMixed_30"	-4.397	0.081	-54.199	0
"ItemMixed_31"	2.54	0.081	31.312	0
"ItemMixed_32"	-5.467	0.081	-67.395	0
"ItemMixed_33"	-5.678	0.081	-69.991	0
"ItemMixed_34"	-8.441	0.081	-104.059	0
"ItemMixed_35"	1.534	0.081	18.916	0
"ItemMixed_36"	-1.111	0.081	-13.695	0
"ItemMixed_37"	-3.501	0.081	-43.157	0
"ItemMixed_38"	-0.637	0.081	-7.851	0
"ItemMixed_39"	-8.44	0.081	-104.045	0
"ItemMixed_4"	-8.328	0.081	-102.664	0
"ItemMixed_40"	-5.525	0.081	-68.107	0
"ItemMixed_41"	-3.841	0.081	-47.348	0
"ItemMixed_42"	-1.252	0.081	-15.432	0
"ItemMixed_43"	-5.566	0.081	-68.615	0
"ItemMixed_5"	-1.242	0.081	-15.305	0
"ItemMixed_6"	0.71	0.081	8.758	0
"ItemMixed_7"	-8.457	0.081	-104.25	0
"ItemMixed_8"	-5.954	0.081	-73.401	0
"ItemMixed_9"	-8.699	0.081	-107.236	0
"Item232_Crit4"	-4.391	0.755	-5.816	0
"Item232_Critical_0"	-8.808	0.081	-108.586	0
"Item232_Critical_1"	-4.593	0.081	-56.615	0
"Item232_Critical_10"	-6.834	0.081	-84.24	0
"Item232_Critical_11"	-3.399	0.081	-41.896	0
"Item232_Critical_12"	-1.95	0.081	-24.041	0
"Item232_Critical_13"	-4.317	0.081	-53.215	0
"Item232_Critical_14"	-8.879	0.081	-109.461	0
"Item232_Critical_15"	-3.611	0.081	-44.518	0
"Item232_Critical_16"	-3.147	0.081	-38.789	0
"Item232_Critical_17"	-8.768	0.081	-108.091	0
"Item232_Critical_18"	-8.762	0.081	-108.012	0
"Item232_Critical_19"	-3.919	0.081	-48.313	0
"Item232_Critical_2"	-8.538	0.081	-105.248	0
"Item232_Critical_20"	-4.981	0.081	-61.409	0
"Item232_Critical_21"	-1.774	0.081	-21.873	0
"Item232_Critical_23"	-4.122	0.081	-50.813	0
"Item232_Critical_24"	-4.088	0.081	-50.395	0
"Item232_Critical_25"	-8.699	0.081	-107.241	0
"Item232_Critical_26"	-8.586	0.081	-105.843	0
"Item232_Critical_27"	-1.901	0.081	-23.439	0
"Item232_Critical_28"	-4.003	0.081	-49.344	0
"Item232_Critical_3"	-8.078	0.081	-99.585	0
"Item232_Critical_30"	-8.543	0.081	-105.309	0
"Item232_Critical_4"	-0.537	0.081	-6.621	0
"Item232_Critical_5"	-4.936	0.081	-60.849	0
"Item232_Critical_6"	-6.018	0.081	-74.192	0
"Item232_Critical_7"	-2.941	0.081	-36.257	0
"Item232_Critical_8"	-4.374	0.081	-53.918	0
"Item232_Critical_9"	-8.569	0.081	-105.637	0
"Item238_Critical_Vaditical_16"	-5.972	0.768	-7.775	0
"Item238_Critical_Vadv1"	0	0.145	0	1
"Item238_Critical_VAdv1"	0	0.145	0	1
"Item238_Critical_Vadv2"	1.648	0.081	20.312	0
"Item238_Critical_Vadv3"	-4.958	0.081	-61.125	0
"Item238_Critical_Vadv5"	-3.495	0.081	-43.087	0
"Item238_Critical_Vadv6"	-3.673	0.081	-45.283	0
"Item238_Critical_Vadv7"	-3.256	0.081	-40.142	0
"Item238_Critical_Vadv8"	-8.848	0.081	-109.07	0
"Item238_Critical_Vadv9"	-4.114	0.081	-50.714	0
"Item238_Critical_VN1"	-8.405	0.081	-103.617	0
"Item238_Critical_VN2"	-3.768	0.081	-46.453	0
"Item238_Critical_VN3"	-2.672	0.081	-32.934	0
"Item238_Critical_VN5"	-1.475	0.081	-18.18	0
"ItemCritical_6"	-8.311	0.081	-102.459	0
"EmbBias.C"	0.025	0.052	0.468	0.64
"SC.C"	-0.281	0.115	-2.451	0.014
"RC.C:compatible.C"	0.48	0.205	2.339	0.019
"RC.C:Item232_Critical_29"	-1.012	0.145	-6.972	0
"RC.C:Item232_Critical_31"	-0.476	0.145	-3.277	0.001
"RC.C:ItemCritical_0"	-0.2	0.145	-1.381	0.167
"RC.C:ItemCritical_1"	0.035	0.145	0.241	0.809
"RC.C:ItemCritical_10"	1.062	0.145	7.318	0
"RC.C:ItemCritical_11"	0.888	0.145	6.117	0
"RC.C:ItemCritical_12"	0.126	0.145	0.865	0.387
"RC.C:ItemCritical_13"	0.433	0.145	2.981	0.003
"RC.C:ItemCritical_14"	0.842	0.145	5.8	0
"RC.C:ItemCritical_15"	0.537	0.145	3.702	0
"RC.C:ItemCritical_16"	0.079	0.145	0.546	0.585
"RC.C:ItemCritical_17"	1.178	0.145	8.118	0
"RC.C:ItemCritical_18"	-0.117	0.145	-0.804	0.421
"RC.C:ItemCritical_19"	0.935	0.145	6.445	0
"RC.C:ItemCritical_2"	0.498	0.145	3.431	0.001
