"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"compatible.C:Item232_Critical_20"	1.021	0.137	7.453	0
"compatible.C:Item232_Critical_21"	0.708	0.137	5.172	0
"compatible.C:Item232_Critical_23"	0.287	0.137	2.097	0.036
"compatible.C:Item232_Critical_24"	2.195	0.137	16.028	0
"compatible.C:Item232_Critical_25"	1.392	0.137	10.164	0
"compatible.C:Item232_Critical_26"	0.439	0.137	3.207	0.001
"compatible.C:Item232_Critical_27"	0.556	0.137	4.061	0
"compatible.C:Item232_Critical_28"	1.77	0.137	12.925	0
"compatible.C:Item232_Critical_3"	4.62	0.137	33.73	0
"compatible.C:Item232_Critical_30"	0.369	0.137	2.696	0.007
"compatible.C:Item232_Critical_4"	1.794	0.137	13.102	0
"compatible.C:Item232_Critical_5"	1.733	0.137	12.649	0
"compatible.C:Item232_Critical_6"	1.651	0.137	12.057	0
"compatible.C:Item232_Critical_7"	2.046	0.137	14.937	0
"compatible.C:Item232_Critical_8"	0.879	0.137	6.42	0
"compatible.C:Item232_Critical_9"	0.71	0.137	5.182	0
"compatible.C:Item238_Critical_Vadv1"	1.305	0.335	3.89	0
"compatible.C:Item238_Critical_VAdv1"	1.078	0.335	3.214	0.001
"compatible.C:Item238_Critical_Vadv2"	1.711	0.137	12.489	0
"compatible.C:Item238_Critical_Vadv3"	3.544	0.137	25.873	0
"compatible.C:Item238_Critical_Vadv5"	1.12	0.137	8.18	0
"compatible.C:Item238_Critical_Vadv6"	-0.35	0.137	-2.553	0.011
"compatible.C:Item238_Critical_Vadv7"	2.288	0.137	16.703	0
"compatible.C:Item238_Critical_Vadv8"	0.755	0.137	5.512	0
"compatible.C:Item238_Critical_Vadv9"	2.404	0.137	17.55	0
"compatible.C:Item238_Critical_VN1"	2.17	0.137	15.846	0
"compatible.C:Item238_Critical_VN2"	-0.156	0.137	-1.139	0.255
"compatible.C:Item238_Critical_VN3"	1.065	0.137	7.775	0
"compatible.C:Item238_Critical_VN5"	1.209	0.137	8.829	0
"compatible.C:ItemCritical_6"	1.487	0.137	10.858	0
"RC.C:EmbBias.C"	0.017	0.089	0.195	0.846
"Item232_Critical_1:EmbBias.C"	-0.124	0.07	-1.767	0.077
"Item232_Critical_10:EmbBias.C"	0	0.07	0.006	0.995
"Item232_Critical_11:EmbBias.C"	0.052	0.07	0.749	0.454
"Item232_Critical_12:EmbBias.C"	-0.075	0.07	-1.069	0.285
"Item232_Critical_13:EmbBias.C"	-0.058	0.07	-0.824	0.41
"Item232_Critical_14:EmbBias.C"	-0.009	0.07	-0.126	0.899
"Item232_Critical_15:EmbBias.C"	0.125	0.07	1.783	0.075
"Item232_Critical_16:EmbBias.C"	-0.042	0.07	-0.594	0.553
"Item232_Critical_17:EmbBias.C"	-0.036	0.07	-0.51	0.61
"Item232_Critical_18:EmbBias.C"	0.001	0.07	0.009	0.993
"Item232_Critical_19:EmbBias.C"	-0.133	0.07	-1.895	0.058
"Item232_Critical_2:EmbBias.C"	-0.003	0.07	-0.04	0.968
"Item232_Critical_20:EmbBias.C"	-0.022	0.07	-0.307	0.759
"Item232_Critical_21:EmbBias.C"	0.059	0.07	0.839	0.402
"Item232_Critical_23:EmbBias.C"	0.082	0.07	1.175	0.24
"Item232_Critical_24:EmbBias.C"	0.164	0.07	2.345	0.019
"Item232_Critical_25:EmbBias.C"	-0.012	0.07	-0.167	0.868
"Item232_Critical_26:EmbBias.C"	-0.012	0.07	-0.172	0.864
"Item232_Critical_27:EmbBias.C"	-0.036	0.07	-0.517	0.605
"Item232_Critical_28:EmbBias.C"	0.126	0.07	1.794	0.073
"Item232_Critical_3:EmbBias.C"	-0.034	0.07	-0.482	0.63
"Item232_Critical_30:EmbBias.C"	-0.024	0.07	-0.344	0.731
"Item232_Critical_4:EmbBias.C"	-0.104	0.07	-1.49	0.136
"Item232_Critical_5:EmbBias.C"	0.13	0.07	1.855	0.064
"Item232_Critical_6:EmbBias.C"	0.278	0.07	3.964	0
"Item232_Critical_7:EmbBias.C"	0.206	0.07	2.946	0.003
"Item232_Critical_8:EmbBias.C"	-0.126	0.07	-1.795	0.073
"Item232_Critical_9:EmbBias.C"	-0.001	0.07	-0.007	0.994
"Item238_Critical_Vadv1:EmbBias.C"	-0.024	0.125	-0.193	0.847
"Item238_Critical_VAdv1:EmbBias.C"	-0.024	0.125	-0.195	0.845
"Item238_Critical_Vadv2:EmbBias.C"	-0.001	0.07	-0.021	0.983
"Item238_Critical_Vadv3:EmbBias.C"	0.152	0.07	2.176	0.03
"Item238_Critical_Vadv5:EmbBias.C"	-0.073	0.07	-1.038	0.299
"Item238_Critical_Vadv6:EmbBias.C"	0.115	0.07	1.643	0.1
"Item238_Critical_Vadv7:EmbBias.C"	0.032	0.07	0.46	0.646
