"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	13.264	0.059	226.47	0
"RC.C"	1.226	0.105	11.699	0
"compatible.C"	-0.184	0.105	-1.757	0.079
"ItemMixed_11"	-5.294	0.083	-63.913	0
"ItemMixed_12"	-5.5	0.083	-66.397	0
"ItemMixed_13"	-5.824	0.083	-70.308	0
"ItemMixed_14"	-7.754	0.083	-93.619	0
"ItemMixed_15"	-0.971	0.083	-11.72	0
"ItemMixed_16"	-3.277	0.083	-39.559	0
"ItemMixed_17"	-10.053	0.083	-121.374	0
"ItemMixed_18"	-9.747	0.083	-117.677	0
"ItemMixed_19"	-2.481	0.083	-29.955	0
"ItemMixed_2"	-5.261	0.083	-63.513	0
"ItemMixed_21"	-7.174	0.083	-86.613	0
"ItemMixed_22"	0.697	0.083	8.419	0
"ItemMixed_23"	-5.255	0.083	-63.444	0
"ItemMixed_24"	-3.187	0.083	-38.476	0
"ItemMixed_25"	-6.278	0.083	-75.801	0
"ItemMixed_26"	-4.905	0.083	-59.216	0
"ItemMixed_27"	-6.501	0.083	-78.484	0
"ItemMixed_28"	-5.34	0.083	-64.466	0
"ItemMixed_29"	-10.017	0.083	-120.94	0
"ItemMixed_3"	-9.354	0.083	-112.927	0
"ItemMixed_30"	-5.418	0.083	-65.413	0
"ItemMixed_31"	1.531	0.083	18.484	0
"ItemMixed_32"	-6.411	0.083	-77.395	0
"ItemMixed_33"	-6.805	0.083	-82.162	0
"ItemMixed_34"	-9.789	0.083	-118.188	0
"ItemMixed_35"	0.653	0.083	7.884	0
"ItemMixed_36"	-2.13	0.083	-25.715	0
"ItemMixed_37"	-4.941	0.083	-59.649	0
"ItemMixed_38"	-1.855	0.083	-22.391	0
"ItemMixed_39"	-9.646	0.083	-116.458	0
"ItemMixed_4"	-9.689	0.083	-116.972	0
"ItemMixed_40"	-6.508	0.083	-78.568	0
"ItemMixed_41"	-5.292	0.083	-63.889	0
"ItemMixed_42"	-2.486	0.083	-30.02	0
"ItemMixed_43"	-6.895	0.083	-83.241	0
"ItemMixed_5"	-2.398	0.083	-28.95	0
"ItemMixed_6"	-0.1	0.083	-1.207	0.228
"ItemMixed_7"	-9.913	0.083	-119.683	0
"ItemMixed_8"	-6.858	0.083	-82.803	0
"ItemMixed_9"	-9.98	0.083	-120.494	0
"Item232_Critical_0"	-9.844	0.083	-118.847	0
"Item232_Critical_1"	-5.556	0.083	-67.083	0
"Item232_Critical_10"	-7.9	0.083	-95.382	0
"Item232_Critical_11"	-4.436	0.083	-53.557	0
"Item232_Critical_12"	-2.96	0.083	-35.736	0
"Item232_Critical_13"	-5.203	0.083	-62.813	0
"Item232_Critical_14"	-10.05	0.083	-121.333	0
"Item232_Critical_15"	-4.58	0.083	-55.292	0
"Item232_Critical_16"	-4.271	0.083	-51.561	0
"Item232_Critical_17"	-9.871	0.083	-119.177	0
"Item232_Critical_18"	-9.559	0.083	-115.405	0
"Item232_Critical_19"	-4.965	0.083	-59.943	0
"Item232_Critical_2"	-9.724	0.083	-117.396	0
"Item232_Critical_20"	-5.837	0.083	-70.476	0
"Item232_Critical_21"	-2.699	0.083	-32.58	0
"Item232_Critical_23"	-4.902	0.083	-59.185	0
"Item232_Critical_24"	-5.021	0.083	-60.619	0
"Item232_Critical_25"	-9.953	0.083	-120.16	0
"Item232_Critical_26"	-9.865	0.083	-119.099	0
"Item232_Critical_27"	-2.986	0.083	-36.053	0
"Item232_Critical_28"	-4.939	0.083	-59.633	0
"Item232_Critical_3"	-9.098	0.083	-109.845	0
"Item232_Critical_30"	-9.808	0.083	-118.416	0
"Item232_Critical_4"	-1.465	0.083	-17.69	0
"Item232_Critical_5"	-5.807	0.083	-70.108	0
"Item232_Critical_6"	-7.003	0.083	-84.554	0
"Item232_Critical_7"	-3.872	0.083	-46.751	0
"Item232_Critical_8"	-5.36	0.083	-64.718	0
"Item232_Critical_9"	-9.684	0.083	-116.913	0
"Item238_Critical_Vadv1"	-1.165	0.148	-7.862	0
"Item238_Critical_VAdv1"	-1.165	0.148	-7.862	0
"Item238_Critical_Vadv2"	0.354	0.083	4.269	0
"Item238_Critical_Vadv3"	-6.42	0.083	-77.504	0
"Item238_Critical_Vadv5"	-4.873	0.083	-58.833	0
"Item238_Critical_Vadv6"	-4.444	0.083	-53.649	0
"Item238_Critical_Vadv7"	-4.676	0.083	-56.449	0
"Item238_Critical_Vadv8"	-10.173	0.083	-122.817	0
"Item238_Critical_Vadv9"	-5.339	0.083	-64.454	0
"Item238_Critical_VN1"	-9.764	0.083	-117.882	0
"Item238_Critical_VN2"	-4.944	0.083	-59.686	0
"Item238_Critical_VN3"	-4.123	0.083	-49.774	0
"Item238_Critical_VN5"	-2.569	0.083	-31.01	0
"ItemCritical_6"	-9.656	0.083	-116.583	0
"EmbBias.C"	0.143	0.054	2.674	0.008
"SC.C"	-1.481	0.117	-12.641	0
"RC.C:compatible.C"	0.705	0.21	3.366	0.001
"RC.C:ItemMixed_11"	-0.875	0.148	-5.906	0
"RC.C:ItemMixed_12"	-1.478	0.148	-9.977	0
"RC.C:ItemMixed_13"	-1.354	0.148	-9.138	0
"RC.C:ItemMixed_14"	0.55	0.148	3.71	0
"RC.C:ItemMixed_15"	-1.364	0.148	-9.203	0
"RC.C:ItemMixed_16"	-1.679	0.148	-11.329	0
"RC.C:ItemMixed_17"	-0.688	0.148	-4.644	0
"RC.C:ItemMixed_18"	-1.367	0.148	-9.226	0
"RC.C:ItemMixed_19"	-2.132	0.148	-14.39	0
"RC.C:ItemMixed_2"	-1.576	0.148	-10.635	0
"RC.C:ItemMixed_21"	-1.354	0.148	-9.139	0
"RC.C:ItemMixed_22"	-1.098	0.148	-7.408	0
"RC.C:ItemMixed_23"	-1.533	0.148	-10.348	0
"RC.C:ItemMixed_24"	-1.345	0.148	-9.077	0
"RC.C:ItemMixed_25"	-1.662	0.148	-11.216	0
"RC.C:ItemMixed_26"	-0.511	0.148	-3.446	0.001
"RC.C:ItemMixed_27"	-0.293	0.148	-1.976	0.048
"RC.C:ItemMixed_28"	-1.203	0.148	-8.122	0
"RC.C:ItemMixed_29"	-1.187	0.148	-8.013	0
"RC.C:ItemMixed_3"	-1.326	0.148	-8.951	0
"RC.C:ItemMixed_30"	-0.997	0.148	-6.732	0
"RC.C:ItemMixed_31"	-2.16	0.148	-14.576	0
"RC.C:ItemMixed_32"	-1.201	0.148	-8.103	0
"RC.C:ItemMixed_33"	-1.029	0.148	-6.942	0
"RC.C:ItemMixed_34"	-1.187	0.148	-8.011	0
"RC.C:ItemMixed_35"	-1.328	0.148	-8.96	0
"RC.C:ItemMixed_36"	-1.868	0.148	-12.61	0
"RC.C:ItemMixed_37"	-1.765	0.148	-11.909	0
"RC.C:ItemMixed_38"	-1.758	0.148	-11.862	0
"RC.C:ItemMixed_39"	-1.183	0.148	-7.987	0
"RC.C:ItemMixed_4"	-1.14	0.148	-7.695	0
"RC.C:ItemMixed_40"	-1.005	0.148	-6.786	0
"RC.C:ItemMixed_41"	-1.708	0.148	-11.525	0
"RC.C:ItemMixed_42"	-1.036	0.148	-6.992	0
"RC.C:ItemMixed_43"	-0.67	0.148	-4.525	0
"RC.C:ItemMixed_5"	-1.325	0.148	-8.94	0
"RC.C:ItemMixed_6"	-1.065	0.148	-7.188	0
"RC.C:ItemMixed_7"	-1.128	0.148	-7.61	0
"RC.C:ItemMixed_8"	-0.867	0.148	-5.853	0
"RC.C:ItemMixed_9"	-1.391	0.148	-9.385	0
"RC.C:Item232_Critical_0"	-0.311	0.148	-2.096	0.036
"RC.C:Item232_Critical_1"	-0.732	0.148	-4.942	0
"RC.C:Item232_Critical_10"	-3.62	0.148	-24.435	0
"RC.C:Item232_Critical_11"	-2.039	0.148	-13.765	0
"RC.C:Item232_Critical_12"	-1.18	0.148	-7.962	0
"RC.C:Item232_Critical_13"	-1.002	0.148	-6.762	0
"RC.C:Item232_Critical_14"	-1.17	0.148	-7.899	0
"RC.C:Item232_Critical_15"	-0.974	0.148	-6.571	0
"RC.C:Item232_Critical_16"	-1.193	0.148	-8.05	0
"RC.C:Item232_Critical_17"	-1.619	0.148	-10.93	0
"RC.C:Item232_Critical_18"	-0.083	0.148	-0.563	0.574
"RC.C:Item232_Critical_19"	-0.728	0.148	-4.91	0
"RC.C:Item232_Critical_2"	-0.029	0.148	-0.196	0.845
"RC.C:Item232_Critical_20"	-1.275	0.148	-8.608	0
"RC.C:Item232_Critical_21"	-1.236	0.148	-8.343	0
"RC.C:Item232_Critical_23"	-1.28	0.148	-8.636	0
"RC.C:Item232_Critical_24"	-0.806	0.148	-5.442	0
"RC.C:Item232_Critical_25"	-0.495	0.148	-3.343	0.001
"RC.C:Item232_Critical_26"	-0.854	0.148	-5.766	0
"RC.C:Item232_Critical_27"	-2.133	0.148	-14.397	0
"RC.C:Item232_Critical_28"	-0.768	0.148	-5.182	0
"RC.C:Item232_Critical_3"	-1.836	0.148	-12.389	0
"RC.C:Item232_Critical_30"	-1.111	0.148	-7.5	0
"RC.C:Item232_Critical_4"	-0.001	0.148	-0.009	0.993
"RC.C:Item232_Critical_5"	-0.757	0.148	-5.107	0
"RC.C:Item232_Critical_6"	-0.948	0.148	-6.398	0
"RC.C:Item232_Critical_7"	-1.066	0.148	-7.194	0
"RC.C:Item232_Critical_8"	-0.93	0.148	-6.279	0
"RC.C:Item232_Critical_9"	-0.278	0.148	-1.875	0.061
"RC.C:Item238_Critical_Vadv1"	0.138	0.21	0.66	0.509
"RC.C:Item238_Critical_VAdv1"	-1.224	0.21	-5.839	0
"RC.C:Item238_Critical_Vadv2"	-1.361	0.148	-9.183	0
"RC.C:Item238_Critical_Vadv3"	-1.354	0.148	-9.139	0
"RC.C:Item238_Critical_Vadv5"	-0.825	0.148	-5.566	0
"RC.C:Item238_Critical_Vadv6"	-1.294	0.148	-8.735	0
"RC.C:Item238_Critical_Vadv7"	-1.4	0.148	-9.448	0
"RC.C:Item238_Critical_Vadv8"	-1	0.148	-6.751	0
"RC.C:Item238_Critical_Vadv9"	-1.423	0.148	-9.604	0
"RC.C:Item238_Critical_VN1"	-1.463	0.148	-9.871	0
"RC.C:Item238_Critical_VN2"	-1.063	0.148	-7.174	0
"RC.C:Item238_Critical_VN3"	-0.659	0.148	-4.445	0
"RC.C:Item238_Critical_VN5"	-1.123	0.148	-7.58	0
"RC.C:ItemCritical_6"	-1.033	0.148	-6.971	0
"compatible.C:ItemMixed_11"	0.787	0.148	5.31	0
"compatible.C:ItemMixed_12"	0.179	0.148	1.209	0.227
"compatible.C:ItemMixed_13"	0.91	0.148	6.142	0
"compatible.C:ItemMixed_14"	-2.762	0.148	-18.642	0
"compatible.C:ItemMixed_15"	-1.92	0.148	-12.959	0
"compatible.C:ItemMixed_16"	1.484	0.148	10.014	0
"compatible.C:ItemMixed_17"	0.657	0.148	4.434	0
"compatible.C:ItemMixed_18"	-0.955	0.148	-6.443	0
"compatible.C:ItemMixed_19"	-1.774	0.148	-11.971	0
"compatible.C:ItemMixed_2"	0.949	0.148	6.402	0
"compatible.C:ItemMixed_21"	0.203	0.148	1.372	0.17
"compatible.C:ItemMixed_22"	-1.142	0.148	-7.709	0
"compatible.C:ItemMixed_23"	0.358	0.148	2.419	0.016
"compatible.C:ItemMixed_24"	0.277	0.148	1.869	0.062
"compatible.C:ItemMixed_25"	0.32	0.148	2.159	0.031
"compatible.C:ItemMixed_26"	0.644	0.148	4.345	0
"compatible.C:ItemMixed_27"	-0.484	0.148	-3.27	0.001
"compatible.C:ItemMixed_28"	-1.526	0.148	-10.301	0
"compatible.C:ItemMixed_29"	0.506	0.148	3.413	0.001
"compatible.C:ItemMixed_3"	0.451	0.148	3.046	0.002
"compatible.C:ItemMixed_30"	-0.284	0.148	-1.919	0.055
"compatible.C:ItemMixed_31"	1.476	0.148	9.964	0
"compatible.C:ItemMixed_32"	0.344	0.148	2.318	0.02
"compatible.C:ItemMixed_33"	-0.326	0.148	-2.202	0.028
"compatible.C:ItemMixed_34"	-0.835	0.148	-5.635	0
"compatible.C:ItemMixed_35"	-0.882	0.148	-5.954	0
"compatible.C:ItemMixed_36"	-0.55	0.148	-3.713	0
"compatible.C:ItemMixed_37"	1.729	0.148	11.667	0
"compatible.C:ItemMixed_38"	-1.244	0.148	-8.399	0
"compatible.C:ItemMixed_39"	-0.338	0.148	-2.278	0.023
"compatible.C:ItemMixed_4"	-0.154	0.148	-1.037	0.3
"compatible.C:ItemMixed_40"	-0.72	0.148	-4.859	0
"compatible.C:ItemMixed_41"	1.902	0.148	12.839	0
"compatible.C:ItemMixed_42"	1.494	0.148	10.084	0
"compatible.C:ItemMixed_43"	1.015	0.148	6.853	0
"compatible.C:ItemMixed_5"	2.837	0.148	19.148	0
"compatible.C:ItemMixed_6"	-1.43	0.148	-9.652	0
"compatible.C:ItemMixed_7"	-0.181	0.148	-1.219	0.223
"compatible.C:ItemMixed_8"	-0.924	0.148	-6.234	0
"compatible.C:ItemMixed_9"	-0.079	0.148	-0.53	0.596
"compatible.C:Item232_Critical_0"	-0.938	0.148	-6.333	0
"compatible.C:Item232_Critical_1"	-0.104	0.148	-0.704	0.481
"compatible.C:Item232_Critical_10"	-1.612	0.148	-10.877	0
"compatible.C:Item232_Critical_11"	-1.748	0.148	-11.799	0
"compatible.C:Item232_Critical_12"	-0.486	0.148	-3.283	0.001
"compatible.C:Item232_Critical_13"	-2.594	0.148	-17.509	0
"compatible.C:Item232_Critical_14"	-1.218	0.148	-8.217	0
"compatible.C:Item232_Critical_15"	-0.835	0.148	-5.637	0
"compatible.C:Item232_Critical_16"	0.794	0.148	5.356	0
"compatible.C:Item232_Critical_17"	0.035	0.148	0.238	0.812
"compatible.C:Item232_Critical_18"	0.344	0.148	2.323	0.02
"compatible.C:Item232_Critical_19"	-0.093	0.148	-0.629	0.53
"compatible.C:Item232_Critical_2"	1.07	0.148	7.223	0
"compatible.C:Item232_Critical_20"	0.187	0.148	1.26	0.208
"compatible.C:Item232_Critical_21"	0.017	0.148	0.116	0.908
"compatible.C:Item232_Critical_23"	-0.52	0.148	-3.507	0
"compatible.C:Item232_Critical_24"	1.567	0.148	10.573	0
"compatible.C:Item232_Critical_25"	0.522	0.148	3.524	0
"compatible.C:Item232_Critical_26"	-0.346	0.148	-2.335	0.02
"compatible.C:Item232_Critical_27"	-0.166	0.148	-1.122	0.262
"compatible.C:Item232_Critical_28"	1.211	0.148	8.176	0
"compatible.C:Item232_Critical_3"	3.795	0.148	25.611	0
"compatible.C:Item232_Critical_30"	-0.448	0.148	-3.021	0.003
"compatible.C:Item232_Critical_4"	1.052	0.148	7.103	0
"compatible.C:Item232_Critical_5"	0.914	0.148	6.171	0
"compatible.C:Item232_Critical_6"	0.977	0.148	6.595	0
"compatible.C:Item232_Critical_7"	1.192	0.148	8.046	0
"compatible.C:Item232_Critical_8"	0.26	0.148	1.756	0.079
"compatible.C:Item232_Critical_9"	0.256	0.148	1.728	0.084
"compatible.C:Item238_Critical_Vadv1"	-0.872	0.363	-2.402	0.016
"compatible.C:Item238_Critical_VAdv1"	1.578	0.363	4.347	0
"compatible.C:Item238_Critical_Vadv2"	0.453	0.148	3.059	0.002
"compatible.C:Item238_Critical_Vadv3"	0.801	0.148	5.403	0
"compatible.C:Item238_Critical_Vadv5"	-0.155	0.148	-1.043	0.297
"compatible.C:Item238_Critical_Vadv6"	-2.076	0.148	-14.012	0
"compatible.C:Item238_Critical_Vadv7"	0.801	0.148	5.405	0
"compatible.C:Item238_Critical_Vadv8"	0.273	0.148	1.841	0.066
"compatible.C:Item238_Critical_Vadv9"	0.112	0.148	0.753	0.452
"compatible.C:Item238_Critical_VN1"	1.212	0.148	8.179	0
"compatible.C:Item238_Critical_VN2"	-1.077	0.148	-7.266	0
"compatible.C:Item238_Critical_VN3"	-0.659	0.148	-4.447	0
"compatible.C:Item238_Critical_VN5"	0.383	0.148	2.582	0.01
"compatible.C:ItemCritical_6"	0.706	0.148	4.767	0
"RC.C:EmbBias.C"	0.048	0.096	0.501	0.616
"ItemMixed_11:EmbBias.C"	-0.006	0.076	-0.078	0.938
"ItemMixed_12:EmbBias.C"	0.056	0.076	0.742	0.458
"ItemMixed_13:EmbBias.C"	-0.22	0.076	-2.908	0.004
"ItemMixed_14:EmbBias.C"	-0.019	0.076	-0.245	0.807
"ItemMixed_15:EmbBias.C"	-0.055	0.076	-0.721	0.471
"ItemMixed_16:EmbBias.C"	-0.285	0.076	-3.759	0
