"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.16	0.059	207.13	0
"RC.C"	-0.463	0.105	-4.408	0
"compatible.C"	0.425	0.105	4.049	0
"Item232_Critical_29"	-0.053	0.083	-0.637	0.524
"Item232_Critical_31"	-0.052	0.083	-0.631	0.528
"ItemCritical_0"	-8.931	0.083	-107.57	0
"ItemCritical_1"	-1.659	0.083	-19.978	0
"ItemCritical_10"	-8.899	0.083	-107.176	0
"ItemCritical_11"	-8.957	0.083	-107.875	0
"ItemCritical_12"	-8.897	0.083	-107.162	0
"ItemCritical_13"	-8.293	0.083	-99.887	0
"ItemCritical_14"	-8.318	0.083	-100.183	0
"ItemCritical_15"	-8.682	0.083	-104.573	0
"ItemCritical_16"	-8.338	0.083	-100.42	0
"ItemCritical_17"	-8.644	0.083	-104.107	0
"ItemCritical_18"	0.998	0.083	12.019	0
"ItemCritical_19"	-8.854	0.083	-106.636	0
"ItemCritical_2"	0.813	0.083	9.792	0
"ItemCritical_20"	-4.143	0.083	-49.897	0
"ItemCritical_21"	-9.115	0.083	-109.787	0
"ItemCritical_22"	-4.475	0.083	-53.899	0
"ItemCritical_23"	-2.033	0.083	-24.488	0
"ItemCritical_24"	-8.914	0.083	-107.356	0
"ItemCritical_25"	-8.472	0.083	-102.038	0
"ItemCritical_26"	-0.494	0.083	-5.955	0
"ItemCritical_27"	-5.832	0.083	-70.241	0
"ItemCritical_28"	1.665	0.083	20.056	0
"ItemCritical_29"	1.118	0.083	13.471	0
"ItemCritical_3"	-9.157	0.083	-110.286	0
"ItemCritical_30"	-8.745	0.083	-105.328	0
"ItemCritical_31"	-3.879	0.083	-46.723	0
"ItemCritical_32"	-3.129	0.083	-37.682	0
"ItemCritical_33"	-0.092	0.083	-1.114	0.265
"ItemCritical_34"	-1.529	0.083	-18.417	0
"ItemCritical_35"	0.093	0.083	1.125	0.26
"ItemCritical_36"	0.078	0.083	0.934	0.35
"ItemCritical_4"	-8.887	0.083	-107.036	0
"ItemCritical_5"	-4.73	0.083	-56.968	0
"ItemCritical_7"	-8.834	0.083	-106.404	0
"ItemCritical_8"	-8.831	0.083	-106.366	0
"ItemCritical_9"	-8.622	0.083	-103.84	0
"ItemMixed_1"	1.09	0.083	13.133	0
"ItemMixed_11"	-4.22	0.083	-50.822	0
"ItemMixed_12"	-4.43	0.083	-53.355	0
"ItemMixed_13"	-4.745	0.083	-57.148	0
"ItemMixed_14"	-6.647	0.083	-80.057	0
"ItemMixed_15"	0.084	0.083	1.009	0.313
"ItemMixed_16"	-2.22	0.083	-26.732	0
"ItemMixed_17"	-8.986	0.083	-108.232	0
"ItemMixed_18"	-8.674	0.083	-104.473	0
"ItemMixed_19"	-1.419	0.083	-17.089	0
"ItemMixed_2"	-4.214	0.083	-50.749	0
"ItemMixed_21"	-6.094	0.083	-73.391	0
"ItemMixed_22"	1.782	0.083	21.461	0
"ItemMixed_23"	-4.176	0.083	-50.293	0
"ItemMixed_24"	-2.124	0.083	-25.578	0
"ItemMixed_25"	-5.23	0.083	-62.996	0
"ItemMixed_26"	-3.848	0.083	-46.34	0
"ItemMixed_27"	-5.425	0.083	-65.335	0
"ItemMixed_28"	-4.263	0.083	-51.348	0
"ItemMixed_29"	-8.956	0.083	-107.869	0
"ItemMixed_3"	-8.283	0.083	-99.765	0
"ItemMixed_30"	-4.335	0.083	-52.214	0
"ItemMixed_31"	2.61	0.083	31.436	0
"ItemMixed_32"	-5.332	0.083	-64.217	0
"ItemMixed_33"	-5.711	0.083	-68.789	0
"ItemMixed_34"	-8.732	0.083	-105.172	0
"ItemMixed_35"	1.729	0.083	20.83	0
"ItemMixed_36"	-1.05	0.083	-12.65	0
"ItemMixed_37"	-3.879	0.083	-46.713	0
"ItemMixed_38"	-0.783	0.083	-9.43	0
"ItemMixed_39"	-8.562	0.083	-103.125	0
"ItemMixed_4"	-8.608	0.083	-103.671	0
"ItemMixed_40"	-5.436	0.083	-65.475	0
"ItemMixed_41"	-4.225	0.083	-50.887	0
"ItemMixed_42"	-1.441	0.083	-17.362	0
"ItemMixed_43"	-5.84	0.083	-70.335	0
"ItemMixed_5"	-1.35	0.083	-16.257	0
"ItemMixed_6"	0.994	0.083	11.967	0
"ItemMixed_7"	-8.856	0.083	-106.669	0
"ItemMixed_8"	-5.776	0.083	-69.564	0
"ItemMixed_9"	-8.894	0.083	-107.123	0
"Item232_Critical_0"	-8.776	0.083	-105.694	0
"Item232_Critical_1"	-4.491	0.083	-54.094	0
"Item232_Critical_10"	-6.862	0.083	-82.645	0
"Item232_Critical_11"	-3.389	0.083	-40.822	0
"Item232_Critical_12"	-1.898	0.083	-22.863	0
"Item232_Critical_13"	-4.137	0.083	-49.83	0
"Item232_Critical_14"	-9.001	0.083	-108.411	0
"Item232_Critical_15"	-3.527	0.083	-42.474	0
"Item232_Critical_16"	-3.219	0.083	-38.768	0
"Item232_Critical_17"	-8.827	0.083	-106.315	0
"Item232_Critical_18"	-8.498	0.083	-102.353	0
"Item232_Critical_19"	-3.911	0.083	-47.107	0
"Item232_Critical_2"	-8.692	0.083	-104.689	0
"Item232_Critical_20"	-4.764	0.083	-57.377	0
"Item232_Critical_21"	-1.633	0.083	-19.668	0
"Item232_Critical_23"	-3.836	0.083	-46.206	0
"Item232_Critical_24"	-3.977	0.083	-47.899	0
"Item232_Critical_25"	-8.911	0.083	-107.329	0
"Item232_Critical_26"	-8.846	0.083	-106.547	0
"Item232_Critical_27"	-1.946	0.083	-23.438	0
"Item232_Critical_28"	-3.877	0.083	-46.69	0
"Item232_Critical_3"	-8.032	0.083	-96.739	0
"Item232_Critical_30"	-8.764	0.083	-105.558	0
"Item232_Critical_4"	-0.401	0.083	-4.831	0
"Item232_Critical_5"	-4.737	0.083	-57.047	0
"Item232_Critical_6"	-5.942	0.083	-71.568	0
"Item232_Critical_7"	-2.803	0.083	-33.756	0
"Item232_Critical_8"	-4.295	0.083	-51.73	0
"Item232_Critical_9"	-8.649	0.083	-104.169	0
"Item238_Critical_Vadv1"	0	0.149	0	1
"Item238_Critical_VAdv1"	0	0.149	0	1
"Item238_Critical_Vadv2"	1.443	0.083	17.376	0
"Item238_Critical_Vadv3"	-5.322	0.083	-64.101	0
"Item238_Critical_Vadv5"	-3.82	0.083	-46.015	0
"Item238_Critical_Vadv6"	-3.295	0.083	-39.681	0
"Item238_Critical_Vadv7"	-3.628	0.083	-43.694	0
"Item238_Critical_Vadv8"	-9.162	0.083	-110.355	0
"Item238_Critical_Vadv9"	-4.262	0.083	-51.334	0
"Item238_Critical_VN1"	-8.743	0.083	-105.305	0
"Item238_Critical_VN2"	-3.882	0.083	-46.755	0
"Item238_Critical_VN3"	-3.082	0.083	-37.12	0
"Item238_Critical_VN5"	-1.528	0.083	-18.4	0
"ItemCritical_6"	-8.638	0.083	-104.04	0
"EmbBias.C"	0.048	0.054	0.895	0.371
"SC.C"	-1.358	0.117	-11.566	0
"RC.C:compatible.C"	1.096	0.21	5.22	0
"RC.C:Item232_Critical_29"	0.45	0.149	3.032	0.002
"RC.C:Item232_Critical_31"	0.15	0.149	1.013	0.311
"RC.C:ItemCritical_0"	0.083	0.149	0.56	0.575
"RC.C:ItemCritical_1"	0.672	0.149	4.528	0
"RC.C:ItemCritical_10"	0.439	0.149	2.955	0.003
"RC.C:ItemCritical_11"	0.477	0.149	3.211	0.001
"RC.C:ItemCritical_12"	0.349	0.149	2.353	0.019
"RC.C:ItemCritical_13"	0.194	0.149	1.309	0.191
"RC.C:ItemCritical_14"	0.177	0.149	1.195	0.232
"RC.C:ItemCritical_15"	0.44	0.149	2.96	0.003
"RC.C:ItemCritical_16"	0.309	0.149	2.079	0.038
"RC.C:ItemCritical_17"	0.842	0.149	5.669	0
"RC.C:ItemCritical_18"	0.527	0.149	3.545	0
"RC.C:ItemCritical_19"	0.779	0.149	5.248	0
"RC.C:ItemCritical_2"	1.36	0.149	9.159	0
"RC.C:ItemCritical_20"	-0.246	0.149	-1.657	0.097
"RC.C:ItemCritical_21"	0.368	0.149	2.477	0.013
"RC.C:ItemCritical_22"	0.032	0.149	0.215	0.83
"RC.C:ItemCritical_23"	-0.008	0.149	-0.055	0.956
"RC.C:ItemCritical_24"	0.47	0.149	3.163	0.002
"RC.C:ItemCritical_25"	0.865	0.149	5.824	0
"RC.C:ItemCritical_26"	-0.356	0.149	-2.397	0.017
"RC.C:ItemCritical_27"	0.203	0.149	1.364	0.173
"RC.C:ItemCritical_28"	0.342	0.149	2.302	0.021
"RC.C:ItemCritical_29"	-0.264	0.149	-1.774	0.076
"RC.C:ItemCritical_3"	0.579	0.149	3.896	0
"RC.C:ItemCritical_30"	-0.05	0.149	-0.337	0.736
"RC.C:ItemCritical_31"	0.505	0.149	3.4	0.001
"RC.C:ItemCritical_32"	0.612	0.149	4.123	0
"RC.C:ItemCritical_33"	0.914	0.149	6.157	0
"RC.C:ItemCritical_34"	0.365	0.149	2.457	0.014
"RC.C:ItemCritical_35"	0.546	0.149	3.676	0
"RC.C:ItemCritical_36"	0.294	0.149	1.977	0.048
"RC.C:ItemCritical_4"	0.124	0.149	0.837	0.403
"RC.C:ItemCritical_5"	0.028	0.149	0.192	0.848
"RC.C:ItemCritical_7"	0.321	0.149	2.164	0.03
"RC.C:ItemCritical_8"	0.783	0.149	5.27	0
"RC.C:ItemCritical_9"	-0.137	0.149	-0.921	0.357
"RC.C:ItemMixed_1"	1.662	0.149	11.187	0
"RC.C:ItemMixed_11"	0.695	0.149	4.68	0
"RC.C:ItemMixed_12"	0.087	0.149	0.582	0.56
"RC.C:ItemMixed_13"	0.252	0.149	1.695	0.09
"RC.C:ItemMixed_14"	2.249	0.149	15.143	0
"RC.C:ItemMixed_15"	0.144	0.149	0.97	0.332
"RC.C:ItemMixed_16"	-0.173	0.149	-1.165	0.244
"RC.C:ItemMixed_17"	0.874	0.149	5.884	0
"RC.C:ItemMixed_18"	0.236	0.149	1.587	0.113
"RC.C:ItemMixed_19"	-0.604	0.149	-4.069	0
"RC.C:ItemMixed_2"	-0.115	0.149	-0.773	0.439
"RC.C:ItemMixed_21"	0.244	0.149	1.643	0.1
"RC.C:ItemMixed_22"	0.555	0.149	3.734	0
"RC.C:ItemMixed_23"	0.052	0.149	0.347	0.728
"RC.C:ItemMixed_24"	0.21	0.149	1.414	0.157
"RC.C:ItemMixed_25"	-0.108	0.149	-0.729	0.466
"RC.C:ItemMixed_26"	1.007	0.149	6.777	0
"RC.C:ItemMixed_27"	1.325	0.149	8.92	0
"RC.C:ItemMixed_28"	0.379	0.149	2.552	0.011
"RC.C:ItemMixed_29"	0.371	0.149	2.498	0.013
"RC.C:ItemMixed_3"	0.225	0.149	1.514	0.13
"RC.C:ItemMixed_30"	0.625	0.149	4.207	0
"RC.C:ItemMixed_31"	-0.559	0.149	-3.766	0
"RC.C:ItemMixed_32"	0.415	0.149	2.793	0.005
"RC.C:ItemMixed_33"	0.662	0.149	4.455	0
"RC.C:ItemMixed_34"	0.335	0.149	2.255	0.024
"RC.C:ItemMixed_35"	0.255	0.149	1.718	0.086
"RC.C:ItemMixed_36"	-0.27	0.149	-1.819	0.069
"RC.C:ItemMixed_37"	-0.23	0.149	-1.546	0.122
"RC.C:ItemMixed_38"	-0.196	0.149	-1.318	0.188
"RC.C:ItemMixed_39"	0.441	0.149	2.969	0.003
"RC.C:ItemMixed_4"	0.488	0.149	3.287	0.001
"RC.C:ItemMixed_40"	0.568	0.149	3.823	0
"RC.C:ItemMixed_41"	-0.132	0.149	-0.89	0.373
"RC.C:ItemMixed_42"	0.429	0.149	2.887	0.004
"RC.C:ItemMixed_43"	0.854	0.149	5.752	0
"RC.C:ItemMixed_5"	0.15	0.149	1.011	0.312
"RC.C:ItemMixed_6"	0.592	0.149	3.987	0
"RC.C:ItemMixed_7"	0.433	0.149	2.917	0.004
"RC.C:ItemMixed_8"	0.741	0.149	4.992	0
"RC.C:ItemMixed_9"	0.251	0.149	1.69	0.091
"RC.C:Item232_Critical_0"	1.264	0.149	8.51	0
"RC.C:Item232_Critical_1"	0.827	0.149	5.571	0
"RC.C:Item232_Critical_10"	-2.183	0.149	-14.701	0
"RC.C:Item232_Critical_11"	-0.565	0.149	-3.805	0
"RC.C:Item232_Critical_12"	0.377	0.149	2.538	0.011
"RC.C:Item232_Critical_13"	0.559	0.149	3.761	0
"RC.C:Item232_Critical_14"	0.344	0.149	2.314	0.021
"RC.C:Item232_Critical_15"	0.538	0.149	3.62	0
"RC.C:Item232_Critical_16"	0.305	0.149	2.054	0.04
"RC.C:Item232_Critical_17"	-0.148	0.149	-0.993	0.321
"RC.C:Item232_Critical_18"	1.475	0.149	9.932	0
"RC.C:Item232_Critical_19"	0.797	0.149	5.365	0
"RC.C:Item232_Critical_2"	1.401	0.149	9.43	0
"RC.C:Item232_Critical_20"	0.31	0.149	2.09	0.037
"RC.C:Item232_Critical_21"	0.323	0.149	2.173	0.03
"RC.C:Item232_Critical_23"	0.278	0.149	1.869	0.062
"RC.C:Item232_Critical_24"	0.689	0.149	4.639	0
"RC.C:Item232_Critical_25"	0.987	0.149	6.644	0
"RC.C:Item232_Critical_26"	0.54	0.149	3.637	0
"RC.C:Item232_Critical_27"	-0.638	0.149	-4.294	0
"RC.C:Item232_Critical_28"	0.786	0.149	5.293	0
"RC.C:Item232_Critical_3"	-0.276	0.149	-1.859	0.063
"RC.C:Item232_Critical_30"	0.362	0.149	2.44	0.015
"RC.C:Item232_Critical_4"	1.568	0.149	10.556	0
"RC.C:Item232_Critical_5"	0.816	0.149	5.494	0
"RC.C:Item232_Critical_6"	0.593	0.149	3.99	0
"RC.C:Item232_Critical_7"	0.511	0.149	3.441	0.001
"RC.C:Item232_Critical_8"	0.655	0.149	4.411	0
"RC.C:Item232_Critical_9"	1.196	0.149	8.054	0
"RC.C:Item238_Critical_Vadv1"	1.972	0.21	9.387	0
"RC.C:Item238_Critical_VAdv1"	0.164	0.21	0.782	0.434
"RC.C:Item238_Critical_Vadv2"	0.366	0.149	2.462	0.014
"RC.C:Item238_Critical_Vadv3"	0.416	0.149	2.803	0.005
"RC.C:Item238_Critical_Vadv5"	0.716	0.149	4.817	0
"RC.C:Item238_Critical_Vadv6"	0.581	0.149	3.914	0
"RC.C:Item238_Critical_Vadv7"	0.105	0.149	0.704	0.482
"RC.C:Item238_Critical_Vadv8"	0.434	0.149	2.923	0.003
"RC.C:Item238_Critical_Vadv9"	0.224	0.149	1.508	0.132
"RC.C:Item238_Critical_VN1"	-0.053	0.149	-0.357	0.721
"RC.C:Item238_Critical_VN2"	0.486	0.149	3.272	0.001
"RC.C:Item238_Critical_VN3"	0.794	0.149	5.345	0
"RC.C:Item238_Critical_VN5"	0.362	0.149	2.434	0.015
"RC.C:ItemCritical_6"	0.369	0.149	2.486	0.013
"compatible.C:Item232_Critical_29"	2.836	0.149	19.096	0
"compatible.C:Item232_Critical_31"	-1.628	0.149	-10.962	0
"compatible.C:ItemCritical_0"	-0.036	0.149	-0.241	0.809
"compatible.C:ItemCritical_1"	-2.469	0.149	-16.625	0
"compatible.C:ItemCritical_10"	-0.849	0.149	-5.718	0
"compatible.C:ItemCritical_11"	-0.608	0.149	-4.093	0
"compatible.C:ItemCritical_12"	-1.209	0.149	-8.143	0
"compatible.C:ItemCritical_13"	-0.149	0.149	-1.006	0.315
"compatible.C:ItemCritical_14"	-1.314	0.149	-8.844	0
"compatible.C:ItemCritical_15"	1.016	0.149	6.838	0
"compatible.C:ItemCritical_16"	-1.102	0.149	-7.42	0
"compatible.C:ItemCritical_17"	-1.264	0.149	-8.509	0
"compatible.C:ItemCritical_18"	-1.991	0.149	-13.402	0
"compatible.C:ItemCritical_19"	-1.065	0.149	-7.172	0
"compatible.C:ItemCritical_2"	-0.177	0.149	-1.193	0.233
"compatible.C:ItemCritical_20"	1.228	0.149	8.268	0
"compatible.C:ItemCritical_21"	0.3	0.149	2.02	0.043
"compatible.C:ItemCritical_22"	-1.351	0.149	-9.099	0
"compatible.C:ItemCritical_23"	-2.139	0.149	-14.402	0
"compatible.C:ItemCritical_24"	0.186	0.149	1.249	0.211
"compatible.C:ItemCritical_25"	0.609	0.149	4.103	0
"compatible.C:ItemCritical_26"	-2.426	0.149	-16.337	0
"compatible.C:ItemCritical_27"	-0.694	0.149	-4.672	0
"compatible.C:ItemCritical_28"	-0.06	0.149	-0.402	0.688
"compatible.C:ItemCritical_29"	-0.949	0.149	-6.393	0
"compatible.C:ItemCritical_3"	-0.181	0.149	-1.222	0.222
"compatible.C:ItemCritical_30"	0.587	0.149	3.953	0
"compatible.C:ItemCritical_31"	-1.729	0.149	-11.639	0
"compatible.C:ItemCritical_32"	-1.35	0.149	-9.086	0
"compatible.C:ItemCritical_33"	-0.671	0.149	-4.515	0
"compatible.C:ItemCritical_34"	-0.234	0.149	-1.577	0.115
"compatible.C:ItemCritical_35"	-2.44	0.149	-16.426	0
"compatible.C:ItemCritical_36"	-1.305	0.149	-8.787	0
"compatible.C:ItemCritical_4"	-1.334	0.149	-8.985	0
"compatible.C:ItemCritical_5"	-0.495	0.149	-3.331	0.001
"compatible.C:ItemCritical_7"	-1.581	0.149	-10.644	0
"compatible.C:ItemCritical_8"	-0.22	0.149	-1.481	0.139
"compatible.C:ItemCritical_9"	0.987	0.149	6.644	0
"compatible.C:ItemMixed_1"	-0.613	0.149	-4.127	0
"compatible.C:ItemMixed_11"	0.2	0.149	1.343	0.179
"compatible.C:ItemMixed_12"	-0.489	0.149	-3.295	0.001
"compatible.C:ItemMixed_13"	0.288	0.149	1.941	0.052
"compatible.C:ItemMixed_14"	-3.418	0.149	-23.012	0
"compatible.C:ItemMixed_15"	-2.579	0.149	-17.364	0
"compatible.C:ItemMixed_16"	0.895	0.149	6.029	0
"compatible.C:ItemMixed_17"	0.04	0.149	0.271	0.787
"compatible.C:ItemMixed_18"	-1.57	0.149	-10.571	0
"compatible.C:ItemMixed_19"	-2.433	0.149	-16.381	0
"compatible.C:ItemMixed_2"	0.27	0.149	1.818	0.069
"compatible.C:ItemMixed_21"	-0.42	0.149	-2.825	0.005
"compatible.C:ItemMixed_22"	-1.824	0.149	-12.279	0
