"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"RC.C:ItemMixed_31"	-2.177	0.15	-14.513	0
"RC.C:ItemMixed_32"	-1.376	0.15	-9.176	0
"RC.C:ItemMixed_33"	-0.661	0.15	-4.405	0
"RC.C:ItemMixed_34"	-0.727	0.15	-4.848	0
"RC.C:ItemMixed_35"	-1.344	0.15	-8.96	0
"RC.C:ItemMixed_36"	-1.895	0.15	-12.632	0
"RC.C:ItemMixed_37"	-2.003	0.15	-13.354	0
"RC.C:ItemMixed_38"	-1.774	0.15	-11.826	0
"RC.C:ItemMixed_39"	-1.168	0.15	-7.787	0
"RC.C:ItemMixed_4"	-1.331	0.15	-8.875	0
"RC.C:ItemMixed_40"	-1.046	0.15	-6.975	0
"RC.C:ItemMixed_41"	-1.882	0.15	-12.546	0
"RC.C:ItemMixed_42"	-1.126	0.15	-7.509	0
"RC.C:ItemMixed_43"	-0.191	0.15	-1.275	0.202
"RC.C:ItemMixed_5"	-1.389	0.15	-9.259	0
"RC.C:ItemMixed_6"	-1.089	0.15	-7.256	0
"RC.C:ItemMixed_7"	-1.403	0.15	-9.356	0
"RC.C:ItemMixed_8"	-0.91	0.15	-6.068	0
"RC.C:ItemMixed_9"	-1.528	0.15	-10.183	0
"RC.C:Item232_Critical_0"	-0.34	0.15	-2.268	0.023
"RC.C:Item232_Critical_1"	-0.761	0.15	-5.075	0
"RC.C:Item232_Critical_10"	-3.608	0.15	-24.052	0
"RC.C:Item232_Critical_11"	-1.947	0.15	-12.977	0
"RC.C:Item232_Critical_12"	-1.193	0.15	-7.955	0
"RC.C:Item232_Critical_13"	-1.084	0.15	-7.228	0
"RC.C:Item232_Critical_14"	-1.096	0.15	-7.309	0
"RC.C:Item232_Critical_15"	-0.963	0.15	-6.419	0
"RC.C:Item232_Critical_16"	-1	0.15	-6.663	0
"RC.C:Item232_Critical_17"	-1.48	0.15	-9.869	0
"RC.C:Item232_Critical_18"	-0.257	0.15	-1.714	0.086
"RC.C:Item232_Critical_19"	-0.712	0.15	-4.749	0
"RC.C:Item232_Critical_2"	0.115	0.15	0.764	0.445
"RC.C:Item232_Critical_20"	-1.337	0.15	-8.915	0
"RC.C:Item232_Critical_21"	-1.448	0.15	-9.655	0
"RC.C:Item232_Critical_23"	-1.36	0.15	-9.069	0
"RC.C:Item232_Critical_24"	-0.866	0.15	-5.772	0
"RC.C:Item232_Critical_25"	-0.438	0.15	-2.918	0.004
"RC.C:Item232_Critical_26"	-0.862	0.15	-5.743	0
"RC.C:Item232_Critical_27"	-2.148	0.15	-14.318	0
"RC.C:Item232_Critical_28"	-0.896	0.15	-5.976	0
"RC.C:Item232_Critical_3"	-1.664	0.15	-11.093	0
"RC.C:Item232_Critical_30"	-1.034	0.15	-6.894	0
"RC.C:Item232_Critical_4"	0.014	0.15	0.095	0.924
"RC.C:Item232_Critical_5"	-0.76	0.15	-5.064	0
"RC.C:Item232_Critical_6"	-0.997	0.15	-6.649	0
"RC.C:Item232_Critical_7"	-1.114	0.15	-7.425	0
"RC.C:Item232_Critical_8"	-0.966	0.15	-6.441	0
"RC.C:Item232_Critical_9"	-0.244	0.15	-1.627	0.104
"RC.C:Item238_Critical_Vadv1"	-0.015	0.212	-0.069	0.945
"RC.C:Item238_Critical_VAdv1"	-1.457	0.212	-6.87	0
