"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	6.07941282414194	0.785986626263174	4.55092820289405	7.64084940498639	1.00194550469561	1924	3295
"RC.C"	0.656092098836911	0.106357171376793	0.449138338079054	0.867213177891082	1.00084445107067	3991	5931
"compatible.C"	0.190320575678999	0.253075758678729	-0.310781231309117	0.681556833473349	1.0010837176486	2184	3935
"EmbBias.C"	-0.229943887040958	0.0532721928390764	-0.334224773718053	-0.127668066655237	1.00095165933422	2481	4208
"RC.C:compatible.C"	0.363708203540465	0.186775814624364	-0.00412293913932515	0.733940299567665	1.00080383871823	4969	5687
"RC.C:EmbBias.C"	-0.0933826458896118	0.0235445776529169	-0.139396176903902	-0.0461220536853342	1.0000759254791	5454	7752
"compatible.C:EmbBias.C"	-0.0171004623326227	0.0209371606616477	-0.0595285959937247	0.0233726079082916	1.00020804291709	9532	7439
