"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	4.365	0.06	73.192	0
"RC.C"	0.049	0.107	0.458	0.647
"compatible.C"	0.443	0.107	4.154	0
"Item232_Critical_1"	3.998	0.084	47.405	0
"Item232_Critical_10"	1.918	0.084	22.74	0
"Item232_Critical_11"	5.435	0.084	64.44	0
"Item232_Critical_12"	6.813	0.084	80.787	0
"Item232_Critical_13"	4.205	0.084	49.861	0
"Item232_Critical_14"	0.313	0.084	3.711	0
"Item232_Critical_15"	5.221	0.084	61.902	0
"Item232_Critical_16"	5.731	0.084	67.957	0
"Item232_Critical_17"	0.291	0.084	3.452	0.001
"Item232_Critical_18"	0.074	0.084	0.875	0.382
"Item232_Critical_19"	5.054	0.084	59.931	0
"Item232_Critical_2"	0.626	0.084	7.421	0
"Item232_Critical_20"	3.734	0.084	44.273	0
"Item232_Critical_21"	7.109	0.084	84.292	0
"Item232_Critical_23"	4.34	0.084	51.462	0
"Item232_Critical_24"	4.909	0.084	58.203	0
"Item232_Critical_25"	0.704	0.084	8.342	0
"Item232_Critical_26"	0.818	0.084	9.704	0
"Item232_Critical_27"	7.048	0.084	83.572	0
"Item232_Critical_28"	4.704	0.084	55.779	0
"Item232_Critical_3"	0.879	0.084	10.426	0
"Item232_Critical_30"	0.595	0.084	7.058	0
"Item232_Critical_4"	8.245	0.084	97.764	0
"Item232_Critical_5"	3.992	0.084	47.332	0
"Item232_Critical_6"	2.979	0.084	35.325	0
"Item232_Critical_7"	5.835	0.084	69.188	0
"Item232_Critical_8"	4.517	0.084	53.559	0
"Item232_Critical_9"	0.296	0.084	3.506	0
"Item238_Critical_Vadv1"	8.94	0.151	59.262	0
"Item238_Critical_VAdv1"	8.933	0.151	59.211	0
"Item238_Critical_Vadv2"	10.172	0.084	120.613	0
"Item238_Critical_Vadv3"	3.534	0.084	41.902	0
"Item238_Critical_Vadv5"	5.189	0.084	61.523	0
"Item238_Critical_Vadv6"	4.769	0.084	56.545	0
"Item238_Critical_Vadv7"	5.412	0.084	64.175	0
"Item238_Critical_Vadv8"	-0.044	0.084	-0.52	0.603
"Item238_Critical_Vadv9"	4.446	0.084	52.72	0
"Item238_Critical_VN1"	0.493	0.084	5.851	0
"Item238_Critical_VN2"	5.308	0.084	62.935	0
"Item238_Critical_VN3"	5.934	0.084	70.361	0
"Item238_Critical_VN5"	7.521	0.084	89.179	0
"ItemCritical_6"	0.876	0.084	10.389	0
"EmbBias.C"	0.079	0.055	1.444	0.149
"SC.C"	0.896	0.119	7.51	0
"RC.C:compatible.C"	1.57	0.213	7.357	0
"RC.C:Item232_Critical_1"	-0.197	0.151	-1.306	0.192
"RC.C:Item232_Critical_10"	-0.804	0.151	-5.33	0
"RC.C:Item232_Critical_11"	-0.541	0.151	-3.588	0
"RC.C:Item232_Critical_12"	-0.804	0.151	-5.33	0
"RC.C:Item232_Critical_13"	-1.072	0.151	-7.108	0
"RC.C:Item232_Critical_14"	-1.017	0.151	-6.742	0
"RC.C:Item232_Critical_15"	0.087	0.151	0.577	0.564
"RC.C:Item232_Critical_16"	0.113	0.151	0.75	0.453
"RC.C:Item232_Critical_17"	-0.507	0.151	-3.363	0.001
"RC.C:Item232_Critical_18"	-1.17	0.151	-7.756	0
"RC.C:Item232_Critical_19"	0.542	0.151	3.591	0
"RC.C:Item232_Critical_2"	0.146	0.151	0.967	0.333
"RC.C:Item232_Critical_20"	-0.451	0.151	-2.987	0.003
"RC.C:Item232_Critical_21"	-0.646	0.151	-4.284	0
"RC.C:Item232_Critical_23"	-0.713	0.151	-4.726	0
"RC.C:Item232_Critical_24"	-0.365	0.151	-2.42	0.016
"RC.C:Item232_Critical_25"	1.342	0.151	8.896	0
"RC.C:Item232_Critical_26"	0.005	0.151	0.03	0.976
"RC.C:Item232_Critical_27"	-0.674	0.151	-4.465	0
"RC.C:Item232_Critical_28"	0.208	0.151	1.376	0.169
"RC.C:Item232_Critical_3"	0.142	0.151	0.941	0.347
"RC.C:Item232_Critical_30"	0.557	0.151	3.695	0
"RC.C:Item232_Critical_4"	1.424	0.151	9.442	0
"RC.C:Item232_Critical_5"	0.179	0.151	1.189	0.234
"RC.C:Item232_Critical_6"	-1.766	0.151	-11.704	0
"RC.C:Item232_Critical_7"	0.279	0.151	1.851	0.064
"RC.C:Item232_Critical_8"	-0.128	0.151	-0.845	0.398
"RC.C:Item232_Critical_9"	0.093	0.151	0.615	0.538
"RC.C:Item238_Critical_Vadv1"	-0.549	0.213	-2.575	0.01
"RC.C:Item238_Critical_VAdv1"	-0.812	0.213	-3.808	0
"RC.C:Item238_Critical_Vadv2"	0.253	0.151	1.674	0.094
"RC.C:Item238_Critical_Vadv3"	1.288	0.151	8.539	0
"RC.C:Item238_Critical_Vadv5"	0.063	0.151	0.42	0.675
"RC.C:Item238_Critical_Vadv6"	0.217	0.151	1.435	0.151
"RC.C:Item238_Critical_Vadv7"	0.975	0.151	6.462	0
"RC.C:Item238_Critical_Vadv8"	1.322	0.151	8.764	0
"RC.C:Item238_Critical_Vadv9"	-0.615	0.151	-4.078	0
"RC.C:Item238_Critical_VN1"	1.22	0.151	8.088	0
"RC.C:Item238_Critical_VN2"	-1.269	0.151	-8.415	0
"RC.C:Item238_Critical_VN3"	-0.542	0.151	-3.593	0
"RC.C:Item238_Critical_VN5"	-1.156	0.151	-7.662	0
"RC.C:ItemCritical_6"	0.196	0.151	1.297	0.195
"compatible.C:Item232_Critical_1"	-0.499	0.151	-3.306	0.001
"compatible.C:Item232_Critical_10"	-0.477	0.151	-3.164	0.002
"compatible.C:Item232_Critical_11"	-1.995	0.151	-13.222	0
"compatible.C:Item232_Critical_12"	-0.208	0.151	-1.381	0.167
"compatible.C:Item232_Critical_13"	-1.527	0.151	-10.12	0
"compatible.C:Item232_Critical_14"	-2.297	0.151	-15.225	0
"compatible.C:Item232_Critical_15"	-0.49	0.151	-3.246	0.001
"compatible.C:Item232_Critical_16"	2.552	0.151	16.916	0
"compatible.C:Item232_Critical_17"	0.149	0.151	0.991	0.322
"compatible.C:Item232_Critical_18"	-0.297	0.151	-1.968	0.049
"compatible.C:Item232_Critical_19"	0.553	0.151	3.665	0
"compatible.C:Item232_Critical_2"	0.969	0.151	6.421	0
"compatible.C:Item232_Critical_20"	-0.292	0.151	-1.939	0.053
"compatible.C:Item232_Critical_21"	-0.339	0.151	-2.246	0.025
"compatible.C:Item232_Critical_23"	-1.011	0.151	-6.7	0
"compatible.C:Item232_Critical_24"	0.436	0.151	2.888	0.004
"compatible.C:Item232_Critical_25"	0.147	0.151	0.977	0.329
"compatible.C:Item232_Critical_26"	1.056	0.151	7	0
"compatible.C:Item232_Critical_27"	-1.154	0.151	-7.65	0
"compatible.C:Item232_Critical_28"	0.079	0.151	0.526	0.599
"compatible.C:Item232_Critical_3"	3.255	0.151	21.578	0
"compatible.C:Item232_Critical_30"	0.449	0.151	2.979	0.003
"compatible.C:Item232_Critical_4"	0.787	0.151	5.215	0
"compatible.C:Item232_Critical_5"	1.61	0.151	10.672	0
"compatible.C:Item232_Critical_6"	0.611	0.151	4.048	0
"compatible.C:Item232_Critical_7"	0.758	0.151	5.022	0
"compatible.C:Item232_Critical_8"	-0.52	0.151	-3.447	0.001
"compatible.C:Item232_Critical_9"	-2.006	0.151	-13.294	0
"compatible.C:Item238_Critical_Vadv1"	0.712	0.37	1.928	0.054
"compatible.C:Item238_Critical_VAdv1"	0.056	0.37	0.152	0.879
"compatible.C:Item238_Critical_Vadv2"	0.028	0.151	0.186	0.852
"compatible.C:Item238_Critical_Vadv3"	1.341	0.151	8.887	0
"compatible.C:Item238_Critical_Vadv5"	0.753	0.151	4.992	0
"compatible.C:Item238_Critical_Vadv6"	-1.627	0.151	-10.787	0
"compatible.C:Item238_Critical_Vadv7"	0.813	0.151	5.387	0
"compatible.C:Item238_Critical_Vadv8"	0.263	0.151	1.746	0.081
"compatible.C:Item238_Critical_Vadv9"	0.777	0.151	5.15	0
"compatible.C:Item238_Critical_VN1"	1.28	0.151	8.482	0
"compatible.C:Item238_Critical_VN2"	-1.121	0.151	-7.433	0
"compatible.C:Item238_Critical_VN3"	-0.621	0.151	-4.116	0
"compatible.C:Item238_Critical_VN5"	-0.907	0.151	-6.011	0
"compatible.C:ItemCritical_6"	1.161	0.151	7.695	0
"RC.C:EmbBias.C"	-0.418	0.098	-4.287	0
"Item232_Critical_1:EmbBias.C"	-0.169	0.077	-2.186	0.029
"Item232_Critical_10:EmbBias.C"	-0.041	0.077	-0.531	0.595
"Item232_Critical_11:EmbBias.C"	0.103	0.077	1.337	0.181
"Item232_Critical_12:EmbBias.C"	-0.083	0.077	-1.078	0.281
"Item232_Critical_13:EmbBias.C"	-0.106	0.077	-1.374	0.169
"Item232_Critical_14:EmbBias.C"	-0.065	0.077	-0.844	0.398
"Item232_Critical_15:EmbBias.C"	0.158	0.077	2.053	0.04
"Item232_Critical_16:EmbBias.C"	-0.096	0.077	-1.246	0.213
"Item232_Critical_17:EmbBias.C"	-0.011	0.077	-0.144	0.885
"Item232_Critical_18:EmbBias.C"	-0.05	0.077	-0.647	0.518
"Item232_Critical_19:EmbBias.C"	-0.121	0.077	-1.571	0.116
"Item232_Critical_2:EmbBias.C"	0.039	0.077	0.503	0.615
"Item232_Critical_20:EmbBias.C"	-0.042	0.077	-0.538	0.59
"Item232_Critical_21:EmbBias.C"	0.072	0.077	0.93	0.352
"Item232_Critical_23:EmbBias.C"	0.059	0.077	0.765	0.444
"Item232_Critical_24:EmbBias.C"	0.204	0.077	2.65	0.008
"Item232_Critical_25:EmbBias.C"	0.018	0.077	0.233	0.816
"Item232_Critical_26:EmbBias.C"	-0.033	0.077	-0.426	0.67
"Item232_Critical_27:EmbBias.C"	-0.053	0.077	-0.689	0.491
"Item232_Critical_28:EmbBias.C"	0.121	0.077	1.563	0.118
"Item232_Critical_3:EmbBias.C"	-0.044	0.077	-0.565	0.572
"Item232_Critical_30:EmbBias.C"	-0.06	0.077	-0.782	0.434
"Item232_Critical_4:EmbBias.C"	-0.064	0.077	-0.834	0.404
"Item232_Critical_5:EmbBias.C"	0.122	0.077	1.581	0.114
"Item232_Critical_6:EmbBias.C"	0.218	0.077	2.822	0.005
"Item232_Critical_7:EmbBias.C"	0.24	0.077	3.117	0.002
"Item232_Critical_8:EmbBias.C"	-0.142	0.077	-1.835	0.066
"Item232_Critical_9:EmbBias.C"	-0.018	0.077	-0.239	0.811
"Item238_Critical_Vadv1:EmbBias.C"	-0.027	0.138	-0.194	0.846
"Item238_Critical_VAdv1:EmbBias.C"	-0.024	0.138	-0.172	0.864
"Item238_Critical_Vadv2:EmbBias.C"	0.014	0.077	0.184	0.854
"Item238_Critical_Vadv3:EmbBias.C"	0.175	0.077	2.272	0.023
"Item238_Critical_Vadv5:EmbBias.C"	-0.129	0.077	-1.668	0.095
"Item238_Critical_Vadv6:EmbBias.C"	0.149	0.077	1.934	0.053
"Item238_Critical_Vadv7:EmbBias.C"	0.052	0.077	0.676	0.499
