"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"Item238_Critical_Vadv6"	-3.273	0.084	-39.039	0
"Item238_Critical_Vadv7"	-3.62	0.084	-43.189	0
"Item238_Critical_Vadv8"	-9.17	0.084	-109.389	0
"Item238_Critical_Vadv9"	-4.275	0.084	-50.994	0
"Item238_Critical_VN1"	-8.759	0.084	-104.491	0
"Item238_Critical_VN2"	-3.871	0.084	-46.172	0
"Item238_Critical_VN3"	-3.127	0.084	-37.306	0
"Item238_Critical_VN5"	-1.525	0.084	-18.196	0
"ItemCritical_6"	-8.649	0.084	-103.173	0
"EmbBias.C"	0.051	0.054	0.941	0.347
"SC.C"	-1.371	0.119	-11.565	0
"RC.C:compatible.C"	1.112	0.212	5.245	0
"RC.C:Item232_Critical_29"	0.531	0.15	3.542	0
"RC.C:Item232_Critical_31"	0.159	0.15	1.062	0.288
"RC.C:ItemCritical_0"	0.066	0.15	0.443	0.657
"RC.C:ItemCritical_1"	0.674	0.15	4.495	0
"RC.C:ItemCritical_10"	0.317	0.15	2.112	0.035
"RC.C:ItemCritical_11"	0.52	0.15	3.465	0.001
"RC.C:ItemCritical_12"	0.415	0.15	2.771	0.006
"RC.C:ItemCritical_13"	0.262	0.15	1.745	0.081
"RC.C:ItemCritical_14"	0.232	0.15	1.549	0.121
"RC.C:ItemCritical_15"	0.418	0.15	2.786	0.005
"RC.C:ItemCritical_16"	0.378	0.15	2.52	0.012
"RC.C:ItemCritical_17"	0.879	0.15	5.86	0
"RC.C:ItemCritical_18"	0.583	0.15	3.887	0
"RC.C:ItemCritical_19"	0.815	0.15	5.432	0
"RC.C:ItemCritical_2"	1.402	0.15	9.35	0
"RC.C:ItemCritical_20"	-0.189	0.15	-1.261	0.207
"RC.C:ItemCritical_21"	0.449	0.15	2.996	0.003
"RC.C:ItemCritical_22"	0.107	0.15	0.711	0.477
"RC.C:ItemCritical_23"	-0.009	0.15	-0.061	0.952
"RC.C:ItemCritical_24"	0.463	0.15	3.089	0.002
"RC.C:ItemCritical_25"	0.433	0.15	2.885	0.004
"RC.C:ItemCritical_26"	-0.339	0.15	-2.261	0.024
"RC.C:ItemCritical_27"	0.179	0.15	1.194	0.233
"RC.C:ItemCritical_28"	0.273	0.15	1.818	0.069
"RC.C:ItemCritical_29"	-0.323	0.15	-2.155	0.031
"RC.C:ItemCritical_3"	0.655	0.15	4.367	0
"RC.C:ItemCritical_30"	-0.119	0.15	-0.791	0.429
"RC.C:ItemCritical_31"	0.506	0.15	3.372	0.001
"RC.C:ItemCritical_32"	0.59	0.15	3.937	0
"RC.C:ItemCritical_33"	0.975	0.15	6.504	0
"RC.C:ItemCritical_34"	0.34	0.15	2.268	0.023
"RC.C:ItemCritical_35"	0.569	0.15	3.793	0
"RC.C:ItemCritical_36"	0.331	0.15	2.207	0.027
"RC.C:ItemCritical_4"	0.069	0.15	0.461	0.645
"RC.C:ItemCritical_5"	0.081	0.15	0.542	0.588
"RC.C:ItemCritical_7"	0.25	0.15	1.669	0.095
"RC.C:ItemCritical_8"	0.798	0.15	5.319	0
"RC.C:ItemCritical_9"	-0.032	0.15	-0.212	0.832
"RC.C:ItemMixed_1"	1.709	0.15	11.397	0
"RC.C:ItemMixed_11"	0.726	0.15	4.844	0
"RC.C:ItemMixed_12"	0.125	0.15	0.834	0.404
"RC.C:ItemMixed_13"	0.228	0.15	1.522	0.128
"RC.C:ItemMixed_14"	2.313	0.15	15.426	0
"RC.C:ItemMixed_15"	0.143	0.15	0.954	0.34
"RC.C:ItemMixed_16"	-0.119	0.15	-0.791	0.429
"RC.C:ItemMixed_17"	0.778	0.15	5.189	0
"RC.C:ItemMixed_18"	0.074	0.15	0.495	0.621
"RC.C:ItemMixed_19"	-0.55	0.15	-3.668	0
"RC.C:ItemMixed_2"	-0.069	0.15	-0.459	0.646
"RC.C:ItemMixed_21"	0.291	0.15	1.938	0.053
"RC.C:ItemMixed_22"	0.363	0.15	2.418	0.016
"RC.C:ItemMixed_23"	0.088	0.15	0.587	0.557
"RC.C:ItemMixed_24"	0.174	0.15	1.158	0.247
"RC.C:ItemMixed_25"	-0.442	0.15	-2.947	0.003
"RC.C:ItemMixed_26"	0.97	0.15	6.469	0
"RC.C:ItemMixed_27"	1.299	0.15	8.665	0
"RC.C:ItemMixed_28"	0.416	0.15	2.772	0.006
"RC.C:ItemMixed_29"	0.28	0.15	1.87	0.062
"RC.C:ItemMixed_3"	0.273	0.15	1.818	0.069
"RC.C:ItemMixed_30"	0.693	0.15	4.619	0
"RC.C:ItemMixed_31"	-0.521	0.15	-3.474	0.001
"RC.C:ItemMixed_32"	0.372	0.15	2.483	0.013
"RC.C:ItemMixed_33"	0.67	0.15	4.469	0
"RC.C:ItemMixed_34"	0.216	0.15	1.442	0.149
"RC.C:ItemMixed_35"	0.288	0.15	1.919	0.055
"RC.C:ItemMixed_36"	-0.185	0.15	-1.234	0.217
"RC.C:ItemMixed_37"	-0.404	0.15	-2.695	0.007
"RC.C:ItemMixed_38"	-0.148	0.15	-0.989	0.323
"RC.C:ItemMixed_39"	0.483	0.15	3.224	0.001
"RC.C:ItemMixed_4"	0.406	0.15	2.71	0.007
"RC.C:ItemMixed_40"	0.59	0.15	3.932	0
"RC.C:ItemMixed_41"	-0.152	0.15	-1.012	0.312
"RC.C:ItemMixed_42"	0.481	0.15	3.21	0.001
"RC.C:ItemMixed_43"	0.682	0.15	4.548	0
"RC.C:ItemMixed_5"	0.172	0.15	1.148	0.251
"RC.C:ItemMixed_6"	0.643	0.15	4.288	0
"RC.C:ItemMixed_7"	0.31	0.15	2.064	0.039
"RC.C:ItemMixed_8"	0.781	0.15	5.209	0
"RC.C:ItemMixed_9"	0.18	0.15	1.2	0.23
"RC.C:Item232_Critical_0"	1.288	0.15	8.592	0
"RC.C:Item232_Critical_1"	0.902	0.15	6.015	0
"RC.C:Item232_Critical_10"	-2.162	0.15	-14.418	0
"RC.C:Item232_Critical_11"	-0.361	0.15	-2.407	0.016
"RC.C:Item232_Critical_12"	0.396	0.15	2.643	0.008
"RC.C:Item232_Critical_13"	0.553	0.15	3.689	0
"RC.C:Item232_Critical_14"	0.367	0.15	2.448	0.014
"RC.C:Item232_Critical_15"	0.538	0.15	3.591	0
"RC.C:Item232_Critical_16"	0.318	0.15	2.117	0.034
"RC.C:Item232_Critical_17"	-0.123	0.15	-0.821	0.411
"RC.C:Item232_Critical_18"	1.484	0.15	9.895	0
"RC.C:Item232_Critical_19"	0.837	0.15	5.579	0
"RC.C:Item232_Critical_2"	1.37	0.15	9.138	0
"RC.C:Item232_Critical_20"	0.36	0.15	2.403	0.016
"RC.C:Item232_Critical_21"	0.347	0.15	2.317	0.02
"RC.C:Item232_Critical_23"	0.305	0.15	2.036	0.042
"RC.C:Item232_Critical_24"	0.726	0.15	4.84	0
"RC.C:Item232_Critical_25"	0.937	0.15	6.247	0
"RC.C:Item232_Critical_26"	0.547	0.15	3.646	0
"RC.C:Item232_Critical_27"	-0.666	0.15	-4.444	0
"RC.C:Item232_Critical_28"	0.754	0.15	5.031	0
"RC.C:Item232_Critical_3"	-0.281	0.15	-1.873	0.061
"RC.C:Item232_Critical_30"	0.351	0.15	2.339	0.019
"RC.C:Item232_Critical_4"	1.581	0.15	10.541	0
"RC.C:Item232_Critical_5"	0.843	0.15	5.622	0
"RC.C:Item232_Critical_6"	0.59	0.15	3.936	0
"RC.C:Item232_Critical_7"	0.524	0.15	3.493	0
"RC.C:Item232_Critical_8"	0.709	0.15	4.729	0
"RC.C:Item232_Critical_9"	1.168	0.15	7.792	0
"RC.C:Item238_Critical_Vadv1"	2.006	0.212	9.457	0
"RC.C:Item238_Critical_VAdv1"	0.149	0.212	0.703	0.482
"RC.C:Item238_Critical_Vadv2"	0.415	0.15	2.765	0.006
"RC.C:Item238_Critical_Vadv3"	0.443	0.15	2.955	0.003
"RC.C:Item238_Critical_Vadv5"	0.551	0.15	3.674	0
"RC.C:Item238_Critical_Vadv6"	0.664	0.15	4.425	0
"RC.C:Item238_Critical_Vadv7"	0.159	0.15	1.058	0.29
"RC.C:Item238_Critical_Vadv8"	0.446	0.15	2.974	0.003
"RC.C:Item238_Critical_Vadv9"	0.122	0.15	0.813	0.416
"RC.C:Item238_Critical_VN1"	-0.125	0.15	-0.834	0.404
"RC.C:Item238_Critical_VN2"	0.505	0.15	3.365	0.001
"RC.C:Item238_Critical_VN3"	0.614	0.15	4.096	0
"RC.C:Item238_Critical_VN5"	0.348	0.15	2.323	0.02
"RC.C:ItemCritical_6"	0.295	0.15	1.967	0.049
"compatible.C:Item232_Critical_29"	2.838	0.15	18.923	0
"compatible.C:Item232_Critical_31"	-1.645	0.15	-10.968	0
"compatible.C:ItemCritical_0"	-0.054	0.15	-0.363	0.717
"compatible.C:ItemCritical_1"	-2.467	0.15	-16.453	0
"compatible.C:ItemCritical_10"	-0.87	0.15	-5.801	0
"compatible.C:ItemCritical_11"	-0.617	0.15	-4.114	0
"compatible.C:ItemCritical_12"	-1.193	0.15	-7.956	0
"compatible.C:ItemCritical_13"	-0.136	0.15	-0.908	0.364
"compatible.C:ItemCritical_14"	-1.301	0.15	-8.678	0
"compatible.C:ItemCritical_15"	1.05	0.15	7	0
"compatible.C:ItemCritical_16"	-1.063	0.15	-7.089	0
"compatible.C:ItemCritical_17"	-1.269	0.15	-8.465	0
"compatible.C:ItemCritical_18"	-1.977	0.15	-13.183	0
"compatible.C:ItemCritical_19"	-1.094	0.15	-7.297	0
"compatible.C:ItemCritical_2"	-0.172	0.15	-1.148	0.251
"compatible.C:ItemCritical_20"	1.238	0.15	8.255	0
"compatible.C:ItemCritical_21"	0.297	0.15	1.983	0.047
"compatible.C:ItemCritical_22"	-1.335	0.15	-8.903	0
"compatible.C:ItemCritical_23"	-2.111	0.15	-14.075	0
"compatible.C:ItemCritical_24"	0.166	0.15	1.109	0.267
"compatible.C:ItemCritical_25"	0.181	0.15	1.204	0.228
"compatible.C:ItemCritical_26"	-2.422	0.15	-16.149	0
"compatible.C:ItemCritical_27"	-0.759	0.15	-5.062	0
"compatible.C:ItemCritical_28"	-0.091	0.15	-0.604	0.546
"compatible.C:ItemCritical_29"	-0.887	0.15	-5.918	0
"compatible.C:ItemCritical_3"	-0.157	0.15	-1.049	0.294
"compatible.C:ItemCritical_30"	0.575	0.15	3.837	0
"compatible.C:ItemCritical_31"	-1.75	0.15	-11.671	0
"compatible.C:ItemCritical_32"	-1.389	0.15	-9.264	0
"compatible.C:ItemCritical_33"	-0.669	0.15	-4.46	0
"compatible.C:ItemCritical_34"	-0.256	0.15	-1.708	0.088
"compatible.C:ItemCritical_35"	-2.437	0.15	-16.255	0
"compatible.C:ItemCritical_36"	-1.34	0.15	-8.935	0
"compatible.C:ItemCritical_4"	-1.337	0.15	-8.916	0
"compatible.C:ItemCritical_5"	-0.485	0.15	-3.235	0.001
"compatible.C:ItemCritical_7"	-1.63	0.15	-10.868	0
"compatible.C:ItemCritical_8"	-0.224	0.15	-1.49	0.136
"compatible.C:ItemCritical_9"	0.989	0.15	6.593	0
"compatible.C:ItemMixed_1"	-0.616	0.15	-4.107	0
"compatible.C:ItemMixed_11"	0.211	0.15	1.405	0.16
"compatible.C:ItemMixed_12"	-0.505	0.15	-3.365	0.001
"compatible.C:ItemMixed_13"	0.253	0.15	1.684	0.092
"compatible.C:ItemMixed_14"	-3.403	0.15	-22.696	0
"compatible.C:ItemMixed_15"	-2.548	0.15	-16.995	0
"compatible.C:ItemMixed_16"	0.894	0.15	5.964	0
"compatible.C:ItemMixed_17"	0.009	0.15	0.061	0.951
"compatible.C:ItemMixed_18"	-1.57	0.15	-10.473	0
"compatible.C:ItemMixed_19"	-2.433	0.15	-16.228	0
"compatible.C:ItemMixed_2"	0.285	0.15	1.902	0.057
"compatible.C:ItemMixed_21"	-0.414	0.15	-2.762	0.006
"compatible.C:ItemMixed_22"	-1.65	0.15	-11.001	0
"compatible.C:ItemMixed_23"	-0.235	0.15	-1.569	0.117
"compatible.C:ItemMixed_24"	-0.337	0.15	-2.245	0.025
"compatible.C:ItemMixed_25"	-0.272	0.15	-1.812	0.07
"compatible.C:ItemMixed_26"	0.015	0.15	0.103	0.918
"compatible.C:ItemMixed_27"	-1.074	0.15	-7.165	0
"compatible.C:ItemMixed_28"	-2.136	0.15	-14.242	0
"compatible.C:ItemMixed_29"	-0.132	0.15	-0.878	0.38
"compatible.C:ItemMixed_3"	-0.155	0.15	-1.035	0.301
"compatible.C:ItemMixed_30"	-0.903	0.15	-6.019	0
"compatible.C:ItemMixed_31"	0.845	0.15	5.635	0
"compatible.C:ItemMixed_32"	-0.227	0.15	-1.513	0.13
"compatible.C:ItemMixed_33"	-0.831	0.15	-5.541	0
"compatible.C:ItemMixed_34"	-1.442	0.15	-9.617	0
"compatible.C:ItemMixed_35"	-1.497	0.15	-9.984	0
"compatible.C:ItemMixed_36"	-1.193	0.15	-7.953	0
"compatible.C:ItemMixed_37"	1.135	0.15	7.567	0
"compatible.C:ItemMixed_38"	-1.815	0.15	-12.104	0
"compatible.C:ItemMixed_39"	-1.002	0.15	-6.679	0
"compatible.C:ItemMixed_4"	-0.853	0.15	-5.691	0
"compatible.C:ItemMixed_40"	-1.335	0.15	-8.902	0
"compatible.C:ItemMixed_41"	1.25	0.15	8.333	0
"compatible.C:ItemMixed_42"	0.917	0.15	6.117	0
"compatible.C:ItemMixed_43"	0.364	0.15	2.425	0.015
"compatible.C:ItemMixed_5"	2.274	0.15	15.162	0
"compatible.C:ItemMixed_6"	-2.073	0.15	-13.827	0
"compatible.C:ItemMixed_7"	-0.78	0.15	-5.2	0
"compatible.C:ItemMixed_8"	-1.602	0.15	-10.683	0
"compatible.C:ItemMixed_9"	-0.819	0.15	-5.463	0
"compatible.C:Item232_Critical_0"	-1.627	0.15	-10.848	0
"compatible.C:Item232_Critical_1"	-0.751	0.15	-5.01	0
"compatible.C:Item232_Critical_10"	-2.297	0.15	-15.317	0
"compatible.C:Item232_Critical_11"	-2.478	0.15	-16.524	0
"compatible.C:Item232_Critical_12"	-1.217	0.15	-8.113	0
"compatible.C:Item232_Critical_13"	-3.354	0.15	-22.369	0
"compatible.C:Item232_Critical_14"	-1.859	0.15	-12.396	0
"compatible.C:Item232_Critical_15"	-1.627	0.15	-10.85	0
"compatible.C:Item232_Critical_16"	0.087	0.15	0.578	0.564
"compatible.C:Item232_Critical_17"	-0.645	0.15	-4.3	0
"compatible.C:Item232_Critical_18"	-0.216	0.15	-1.439	0.15
"compatible.C:Item232_Critical_19"	-0.834	0.15	-5.563	0
"compatible.C:Item232_Critical_2"	0.359	0.15	2.396	0.017
"compatible.C:Item232_Critical_20"	-0.419	0.15	-2.793	0.005
"compatible.C:Item232_Critical_21"	-0.653	0.15	-4.357	0
"compatible.C:Item232_Critical_23"	-1.24	0.15	-8.27	0
"compatible.C:Item232_Critical_24"	0.899	0.15	5.997	0
"compatible.C:Item232_Critical_25"	-0.175	0.15	-1.167	0.243
"compatible.C:Item232_Critical_26"	-1.044	0.15	-6.963	0
"compatible.C:Item232_Critical_27"	-0.826	0.15	-5.508	0
"compatible.C:Item232_Critical_28"	0.606	0.15	4.044	0
"compatible.C:Item232_Critical_3"	3.118	0.15	20.795	0
"compatible.C:Item232_Critical_30"	-1.117	0.15	-7.448	0
"compatible.C:Item232_Critical_4"	0.414	0.15	2.76	0.006
"compatible.C:Item232_Critical_5"	0.17	0.15	1.13	0.258
"compatible.C:Item232_Critical_6"	0.289	0.15	1.926	0.054
"compatible.C:Item232_Critical_7"	0.465	0.15	3.098	0.002
"compatible.C:Item232_Critical_8"	-0.394	0.15	-2.628	0.009
"compatible.C:Item232_Critical_9"	-0.253	0.15	-1.685	0.092
"compatible.C:Item238_Critical_Vadv1"	-1.228	0.367	-3.344	0.001
"compatible.C:Item238_Critical_VAdv1"	0.572	0.367	1.558	0.119
"compatible.C:Item238_Critical_Vadv2"	-0.065	0.15	-0.431	0.666
"compatible.C:Item238_Critical_Vadv3"	0.136	0.15	0.908	0.364
"compatible.C:Item238_Critical_Vadv5"	-0.858	0.15	-5.725	0
"compatible.C:Item238_Critical_Vadv6"	-2.842	0.15	-18.95	0
"compatible.C:Item238_Critical_Vadv7"	0.25	0.15	1.665	0.096
"compatible.C:Item238_Critical_Vadv8"	-0.428	0.15	-2.852	0.004
"compatible.C:Item238_Critical_Vadv9"	-0.627	0.15	-4.18	0
"compatible.C:Item238_Critical_VN1"	0.566	0.15	3.773	0
"compatible.C:Item238_Critical_VN2"	-1.76	0.15	-11.738	0
"compatible.C:Item238_Critical_VN3"	-1.375	0.15	-9.173	0
"compatible.C:Item238_Critical_VN5"	-0.257	0.15	-1.711	0.087
"compatible.C:ItemCritical_6"	0.001	0.15	0.01	0.992
"RC.C:EmbBias.C"	-0.095	0.097	-0.976	0.329
"Item232_Critical_29:EmbBias.C"	-0.104	0.077	-1.361	0.174
"Item232_Critical_31:EmbBias.C"	-0.043	0.077	-0.554	0.579
"ItemCritical_0:EmbBias.C"	0.04	0.077	0.521	0.602
"ItemCritical_1:EmbBias.C"	0.253	0.077	3.295	0.001
"ItemCritical_10:EmbBias.C"	0.036	0.077	0.471	0.637
"ItemCritical_11:EmbBias.C"	0.025	0.077	0.327	0.743
"ItemCritical_12:EmbBias.C"	0.05	0.077	0.655	0.512
"ItemCritical_13:EmbBias.C"	-0.002	0.077	-0.022	0.982
"ItemCritical_14:EmbBias.C"	-0.003	0.077	-0.042	0.967
"ItemCritical_15:EmbBias.C"	0.012	0.077	0.16	0.873
"ItemCritical_16:EmbBias.C"	0.046	0.077	0.605	0.545
"ItemCritical_17:EmbBias.C"	0.04	0.077	0.52	0.603
"ItemCritical_18:EmbBias.C"	-0.019	0.077	-0.25	0.803
"ItemCritical_19:EmbBias.C"	0.051	0.077	0.667	0.505
"ItemCritical_2:EmbBias.C"	0.07	0.077	0.913	0.361
"ItemCritical_20:EmbBias.C"	-0.157	0.077	-2.054	0.04
"ItemCritical_21:EmbBias.C"	0.052	0.077	0.673	0.501
"ItemCritical_22:EmbBias.C"	-0.144	0.077	-1.884	0.06
"ItemCritical_23:EmbBias.C"	0.306	0.077	3.992	0
"ItemCritical_24:EmbBias.C"	0.029	0.077	0.384	0.701
"ItemCritical_25:EmbBias.C"	0.084	0.077	1.094	0.274
"ItemCritical_26:EmbBias.C"	-0.058	0.077	-0.759	0.448
"ItemCritical_27:EmbBias.C"	0.362	0.077	4.723	0
"ItemCritical_28:EmbBias.C"	0.094	0.077	1.22	0.223
"ItemCritical_29:EmbBias.C"	0.151	0.077	1.963	0.05
"ItemCritical_3:EmbBias.C"	0.026	0.077	0.344	0.731
"ItemCritical_30:EmbBias.C"	0.049	0.077	0.633	0.527
"ItemCritical_31:EmbBias.C"	-0.142	0.077	-1.849	0.064
"ItemCritical_32:EmbBias.C"	-0.042	0.077	-0.546	0.585
"ItemCritical_33:EmbBias.C"	0.019	0.077	0.248	0.804
"ItemCritical_34:EmbBias.C"	0.121	0.077	1.579	0.114
"ItemCritical_35:EmbBias.C"	0.01	0.077	0.132	0.895
"ItemCritical_36:EmbBias.C"	0.099	0.077	1.294	0.196
"ItemCritical_4:EmbBias.C"	0.01	0.077	0.13	0.897
"ItemCritical_5:EmbBias.C"	0.127	0.077	1.659	0.097
"ItemCritical_7:EmbBias.C"	0.012	0.077	0.158	0.875
"ItemCritical_8:EmbBias.C"	0.033	0.077	0.427	0.67
