"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	13.249	0.06	220.891	0
"RC.C"	1.177	0.107	10.973	0
"compatible.C"	-0.203	0.107	-1.888	0.059
"ItemMixed_11"	-5.316	0.085	-62.671	0
"ItemMixed_12"	-5.529	0.085	-65.184	0
"ItemMixed_13"	-5.856	0.085	-69.038	0
"ItemMixed_14"	-7.733	0.085	-91.168	0
"ItemMixed_15"	-1.011	0.085	-11.92	0
"ItemMixed_16"	-3.313	0.085	-39.062	0
"ItemMixed_17"	-10.116	0.085	-119.263	0
"ItemMixed_18"	-9.82	0.085	-115.771	0
"ItemMixed_19"	-2.512	0.085	-29.619	0
"ItemMixed_2"	-5.31	0.085	-62.6	0
"ItemMixed_21"	-7.178	0.085	-84.623	0
"ItemMixed_22"	0.672	0.085	7.926	0
"ItemMixed_23"	-5.273	0.085	-62.165	0
"ItemMixed_24"	-3.24	0.085	-38.201	0
"ItemMixed_25"	-6.402	0.085	-75.474	0
"ItemMixed_26"	-4.945	0.085	-58.294	0
"ItemMixed_27"	-6.535	0.085	-77.046	0
"ItemMixed_28"	-5.353	0.085	-63.106	0
"ItemMixed_29"	-10.083	0.085	-118.87	0
"ItemMixed_3"	-9.377	0.085	-110.55	0
"ItemMixed_30"	-5.425	0.085	-63.955	0
"ItemMixed_31"	1.519	0.085	17.91	0
"ItemMixed_32"	-6.441	0.085	-75.934	0
"ItemMixed_33"	-6.809	0.085	-80.275	0
"ItemMixed_34"	-9.869	0.085	-116.35	0
"ItemMixed_35"	0.639	0.085	7.537	0
"ItemMixed_36"	-2.139	0.085	-25.213	0
"ItemMixed_37"	-5.025	0.085	-59.246	0
"ItemMixed_38"	-1.875	0.085	-22.102	0
"ItemMixed_39"	-9.65	0.085	-113.773	0
"ItemMixed_4"	-9.735	0.085	-114.774	0
"ItemMixed_40"	-6.521	0.085	-76.874	0
"ItemMixed_41"	-5.336	0.085	-62.906	0
"ItemMixed_42"	-2.537	0.085	-29.907	0
"ItemMixed_43"	-6.99	0.085	-82.411	0
"ItemMixed_5"	-2.435	0.085	-28.712	0
"ItemMixed_6"	-0.095	0.085	-1.124	0.261
"ItemMixed_7"	-9.986	0.085	-117.734	0
"ItemMixed_8"	-6.867	0.085	-80.957	0
"ItemMixed_9"	-10.014	0.085	-118.057	0
"Item232_Critical_0"	-9.874	0.085	-116.354	0
"Item232_Critical_1"	-5.592	0.085	-65.891	0
"Item232_Critical_10"	-7.972	0.085	-93.987	0
"Item232_Critical_11"	-4.489	0.085	-52.919	0
"Item232_Critical_12"	-2.999	0.085	-35.352	0
"Item232_Critical_13"	-5.246	0.085	-61.845	0
"Item232_Critical_14"	-10.103	0.085	-119.111	0
"Item232_Critical_15"	-4.634	0.085	-54.634	0
"Item232_Critical_16"	-4.323	0.085	-50.96	0
"Item232_Critical_17"	-9.932	0.085	-117.099	0
"Item232_Critical_18"	-9.6	0.085	-113.174	0
"Item232_Critical_19"	-5.011	0.085	-59.076	0
"Item232_Critical_2"	-9.803	0.085	-115.573	0
"Item232_Critical_20"	-5.858	0.085	-69.065	0
"Item232_Critical_21"	-2.774	0.085	-32.551	0
"Item232_Critical_23"	-4.936	0.085	-58.198	0
"Item232_Critical_24"	-5.097	0.085	-59.835	0
"Item232_Critical_25"	-10.024	0.085	-118.176	0
"Item232_Critical_26"	-9.95	0.085	-117.281	0
"Item232_Critical_27"	-3.054	0.085	-35.845	0
"Item232_Critical_28"	-4.981	0.085	-58.469	0
"Item232_Critical_3"	-9.14	0.085	-107.708	0
"Item232_Critical_30"	-9.875	0.085	-116.419	0
"Item232_Critical_4"	-1.501	0.085	-17.699	0
"Item232_Critical_5"	-5.837	0.085	-68.819	0
"Item232_Critical_6"	-7.051	0.085	-83.129	0
"Item232_Critical_7"	-3.903	0.085	-46.014	0
"Item232_Critical_8"	-5.39	0.085	-63.269	0
"Item232_Critical_9"	-9.768	0.085	-115.127	0
"Item238_Critica3"	-3.146	0.789	-3.99	0
"Item238_Critical_Vadv1"	-1.165	0.152	-7.68	0
"Item238_Critical_VAdv1"	-1.165	0.152	-7.678	0
"Item238_Critical_Vadv2"	0.341	0.085	4.023	0
"Item238_Critical_Vadv3"	-6.424	0.085	-75.732	0
