"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.144	0.059	206	0
"RC.C"	-0.532	0.105	-5.048	0
"compatible.C"	0.435	0.105	4.129	0
"Item232_Critical_29"	-0.031	0.083	-0.37	0.711
"Item232_Critical_31"	-0.043	0.083	-0.52	0.603
"ItemCritical_0"	-8.927	0.083	-107.077	0
"ItemCritical_1"	-1.655	0.083	-19.854	0
"ItemCritical_10"	-8.909	0.083	-106.861	0
"ItemCritical_11"	-8.941	0.083	-107.246	0
"ItemCritical_12"	-8.878	0.083	-106.496	0
"ItemCritical_13"	-8.27	0.083	-99.193	0
"ItemCritical_14"	-8.297	0.083	-99.527	0
"ItemCritical_15"	-8.678	0.083	-104.089	0
"ItemCritical_16"	-8.317	0.083	-99.761	0
"ItemCritical_17"	-8.625	0.083	-103.451	0
"ItemCritical_18"	1.016	0.083	12.19	0
"ItemCritical_19"	-8.834	0.083	-105.965	0
"ItemCritical_2"	0.832	0.083	9.975	0
"ItemCritical_20"	-4.125	0.083	-49.474	0
"ItemCritical_21"	-9.093	0.083	-109.076	0
"ItemCritical_22"	-4.457	0.083	-53.456	0
"ItemCritical_23"	-2.027	0.083	-24.313	0
"ItemCritical_24"	-8.911	0.083	-106.889	0
"ItemCritical_25"	-8.461	0.083	-101.486	0
"ItemCritical_26"	-0.485	0.083	-5.82	0
"ItemCritical_27"	-5.818	0.083	-69.783	0
"ItemCritical_28"	1.649	0.083	19.783	0
"ItemCritical_29"	1.125	0.083	13.495	0
"ItemCritical_3"	-9.133	0.083	-109.551	0
"ItemCritical_30"	-8.76	0.083	-105.082	0
"ItemCritical_31"	-3.871	0.083	-46.432	0
"ItemCritical_32"	-3.114	0.083	-37.355	0
"ItemCritical_33"	-0.077	0.083	-0.925	0.355
"ItemCritical_34"	-1.529	0.083	-18.346	0
"ItemCritical_35"	0.105	0.083	1.26	0.208
"ItemCritical_36"	0.086	0.083	1.026	0.305
"ItemCritical_4"	-8.89	0.083	-106.637	0
"ItemCritical_5"	-4.709	0.083	-56.486	0
"ItemCritical_7"	-8.841	0.083	-106.048	0
"ItemCritical_8"	-8.812	0.083	-105.7	0
"ItemCritical_9"	-8.598	0.083	-103.13	0
"ItemMixed_1"	1.106	0.083	13.263	0
"ItemMixed_11"	-4.209	0.083	-50.488	0
"ItemMixed_12"	-4.424	0.083	-53.068	0
"ItemMixed_13"	-4.747	0.083	-56.936	0
"ItemMixed_14"	-6.629	0.083	-79.514	0
"ItemMixed_15"	0.09	0.083	1.084	0.278
