"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.785	0.062	205.83	0
"RC.C"	-0.044	0.111	-0.392	0.695
"compatible.C"	0.112	0.111	1.008	0.313
"Item232_Critical_29"	-1.112	0.088	-12.657	0
"Item232_Critical_31"	-0.564	0.088	-6.423	0
"ItemCritical_0"	-8.902	0.088	-101.343	0
"ItemCritical_1"	-1.807	0.088	-20.569	0
"ItemCritical_10"	-8.461	0.088	-96.32	0
"ItemCritical_11"	-8.731	0.088	-99.39	0
"ItemCritical_12"	-8.549	0.088	-97.319	0
"ItemCritical_13"	-7.964	0.088	-90.658	0
"ItemCritical_14"	-7.822	0.088	-89.044	0
"ItemCritical_15"	-8.313	0.088	-94.632	0
"ItemCritical_16"	-7.983	0.088	-90.879	0
"ItemCritical_17"	-8.221	0.088	-93.584	0
"ItemCritical_18"	0.634	0.088	7.219	0
"ItemCritical_19"	-8.618	0.088	-98.103	0
"ItemCritical_2"	0.553	0.088	6.295	0
"ItemCritical_20"	-3.53	0.088	-40.19	0
"ItemCritical_21"	-8.365	0.088	-95.227	0
"ItemCritical_22"	-3.987	0.088	-45.384	0
"ItemCritical_23"	-2.156	0.088	-24.547	0
"ItemCritical_24"	-8.982	0.088	-102.25	0
"ItemCritical_25"	-8.507	0.088	-96.848	0
"ItemCritical_26"	-0.567	0.088	-6.459	0
"ItemCritical_27"	-6.377	0.088	-72.591	0
"ItemCritical_28"	2.515	0.088	28.627	0
"ItemCritical_29"	0.929	0.088	10.572	0
"ItemCritical_3"	-8.74	0.088	-99.498	0
"ItemCritical_30"	-8.602	0.088	-97.922	0
"ItemCritical_31"	-3.556	0.088	-40.479	0
"ItemCritical_32"	-2.554	0.088	-29.078	0
"ItemCritical_33"	-0.361	0.088	-4.11	0
"ItemCritical_34"	-1.252	0.088	-14.257	0
"ItemCritical_35"	0.23	0.088	2.615	0.009
"ItemCritical_36"	-0.013	0.088	-0.144	0.886
"ItemCritical_4"	-8.388	0.088	-95.487	0
"ItemCritical_5"	-4.216	0.088	-47.997	0
"ItemCritical_7"	-8.415	0.088	-95.794	0
"ItemCritical_8"	-8.382	0.088	-95.423	0
"ItemCritical_9"	-8.163	0.088	-92.931	0
"ItemMixed_1"	1.026	0.088	11.681	0
"ItemMixed_11"	-4.327	0.088	-49.257	0
"ItemMixed_12"	-3.974	0.088	-45.236	0
"ItemMixed_13"	-4.88	0.088	-55.555	0
"ItemMixed_14"	-7.283	0.088	-82.913	0
"ItemMixed_15"	0.469	0.088	5.336	0
"ItemMixed_16"	-2.018	0.088	-22.978	0
"ItemMixed_17"	-9.047	0.088	-102.996	0
"ItemMixed_18"	-8.416	0.088	-95.803	0
"ItemMixed_19"	-1.056	0.088	-12.019	0
"ItemMixed_2"	-3.918	0.088	-44.6	0
"ItemMixed_21"	-6.038	0.088	-68.736	0
"ItemMixed_22"	1.522	0.088	17.324	0
"ItemMixed_23"	-3.671	0.088	-41.788	0
"ItemMixed_24"	-2.182	0.088	-24.842	0
"ItemMixed_25"	-4.535	0.088	-51.628	0
"ItemMixed_26"	-3.296	0.088	-37.519	0
"ItemMixed_27"	-5.595	0.088	-63.698	0
"ItemMixed_28"	-4.122	0.088	-46.923	0
"ItemMixed_29"	-8.781	0.088	-99.964	0
"ItemMixed_3"	-7.979	0.088	-90.834	0
"ItemMixed_30"	-4.167	0.088	-47.433	0
"ItemMixed_31"	2.744	0.088	31.24	0
"ItemMixed_32"	-5.947	0.088	-67.697	0
"ItemMixed_33"	-5.72	0.088	-65.121	0
"ItemMixed_34"	-8.411	0.088	-95.754	0
"ItemMixed_35"	1.601	0.088	18.223	0
"ItemMixed_36"	-1.032	0.088	-11.752	0
"ItemMixed_37"	-3.529	0.088	-40.173	0
"ItemMixed_38"	-0.506	0.088	-5.757	0
"ItemMixed_39"	-8.336	0.088	-94.901	0
"ItemMixed_4"	-8.561	0.088	-97.464	0
"ItemMixed_40"	-5.3	0.088	-60.331	0
"ItemMixed_41"	-3.994	0.088	-45.473	0
"ItemMixed_42"	-1.103	0.088	-12.554	0
"ItemMixed_43"	-5.75	0.088	-65.464	0
"ItemMixed_5"	-1.099	0.088	-12.511	0
"ItemMixed_6"	0.626	0.088	7.127	0
"ItemMixed_7"	-8.564	0.088	-97.494	0
"ItemMixed_8"	-5.827	0.088	-66.333	0
"ItemMixed_9"	-8.751	0.088	-99.62	0
"Item232_Critical_0"	-8.382	0.088	-95.419	0
"Item232_Critical_1"	-4.44	0.088	-50.546	0
"Item232_Critical_10"	-6.644	0.088	-75.635	0
"Item232_Critical_11"	-3.247	0.088	-36.964	0
"Item232_Critical_12"	-1.775	0.088	-20.21	0
"Item232_Critical_13"	-4.307	0.088	-49.035	0
"Item232_Critical_14"	-8.427	0.088	-95.937	0
"Item232_Critical_15"	-3.346	0.088	-38.088	0
"Item232_Critical_16"	-2.871	0.088	-32.68	0
"Item232_Critical_17"	-8.284	0.088	-94.307	0
"Item232_Critical_18"	-8.438	0.088	-96.053	0
"Item232_Critical_19"	-3.66	0.088	-41.667	0
"Item232_Critical_2"	-8.192	0.088	-93.26	0
"Item232_Critical_20"	-4.84	0.088	-55.101	0
"Item232_Critical_21"	-1.736	0.088	-19.76	0
"Item232_Critical_23"	-4.177	0.088	-47.547	0
"Item232_Critical_24"	-3.89	0.088	-44.284	0
"Item232_Critical_25"	-8.019	0.088	-91.292	0
"Item232_Critical_26"	-8.099	0.088	-92.202	0
"Item232_Critical_27"	-1.625	0.088	-18.5	0
"Item232_Critical_28"	-3.928	0.088	-44.716	0
"Item232_Critical_3"	-7.593	0.088	-86.435	0
"Item232_Critical_30"	-8.029	0.088	-91.398	0
"Item232_Critical_4"	-0.376	0.088	-4.276	0
"Item232_Critical_5"	-4.557	0.088	-51.877	0
"Item232_Critical_6"	-5.859	0.088	-66.698	0
"Item232_Critical_7"	-2.787	0.088	-31.729	0
"Item232_Critical_8"	-4.08	0.088	-46.449	0
"Item232_Critical_9"	-8.259	0.088	-94.022	0
"Item238_Critical_Vadv1"	0.004	0.157	0.025	0.98
"Item238_Critical_VAdv1"	0.007	0.157	0.044	0.965
"Item238_Critical_Vadv2"	1.593	0.088	18.133	0
"Item238_Critical_Vadv3"	-5.347	0.088	-60.868	0
"Item238_Critical_Vadv5"	-2.958	0.088	-33.675	0
"Item238_Critical_Vadv6"	-3.705	0.088	-42.176	0
"Item238_Critical_Vadv7"	-3.196	0.088	-36.384	0
"Item238_Critical_Vadv8"	-8.239	0.088	-93.797	0
"Item238_Critical_Vadv9"	-3.943	0.088	-44.887	0
"Item238_Critical_VN1"	-7.983	0.088	-90.883	0
"Item238_Critical_VN2"	-3.333	0.088	-37.939	0
"Item238_Critical_VN3"	-2.382	0.088	-27.115	0
"Item238_Critical_VN5"	-1.453	0.088	-16.536	0
"ItemCritical_6"	-7.766	0.088	-88.408	0
"EmbBias.C"	0.078	0.057	1.373	0.17
"SC.C"	-0.113	0.124	-0.91	0.363
"RC.C:compatible.C"	0.55	0.222	2.473	0.013
"RC.C:Item232_Critical_29"	-0.299	0.157	-1.901	0.057
"RC.C:Item232_Critical_31"	0.4	0.157	2.542	0.011
"RC.C:ItemCritical_0"	0.049	0.157	0.31	0.757
"RC.C:ItemCritical_1"	0.297	0.157	1.889	0.059
"RC.C:ItemCritical_10"	1.126	0.157	7.167	0
"RC.C:ItemCritical_11"	2.003	0.157	12.746	0
"RC.C:ItemCritical_12"	1.95	0.157	12.409	0
"RC.C:ItemCritical_13"	2.195	0.157	13.969	0
