"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	13.287	0.06	222.088	0
"RC.C"	1.18	0.107	11.026	0
"compatible.C"	-0.151	0.107	-1.414	0.157
"ItemMixed_11"	-5.303	0.085	-62.681	0
"ItemMixed_12"	-5.491	0.085	-64.9	0
"ItemMixed_13"	-5.835	0.085	-68.969	0
"ItemMixed_14"	-7.763	0.085	-91.748	0
"ItemMixed_15"	-0.998	0.085	-11.801	0
"ItemMixed_16"	-3.296	0.085	-38.958	0
"ItemMixed_17"	-10.091	0.085	-119.266	0
"ItemMixed_18"	-9.692	0.085	-114.55	0
"ItemMixed_19"	-2.489	0.085	-29.416	0
"ItemMixed_2"	-5.286	0.085	-62.474	0
"ItemMixed_21"	-6.77	0.085	-80.01	0
"ItemMixed_22"	0.648	0.085	7.654	0
"ItemMixed_23"	-5.241	0.085	-61.94	0
"ItemMixed_24"	-3.213	0.085	-37.972	0
"ItemMixed_25"	-6.362	0.085	-75.194	0
"ItemMixed_26"	-4.904	0.085	-57.956	0
"ItemMixed_27"	-6.545	0.085	-77.357	0
"ItemMixed_28"	-5.242	0.085	-61.952	0
"ItemMixed_29"	-10.065	0.085	-118.959	0
"ItemMixed_3"	-9.373	0.085	-110.783	0
"ItemMixed_30"	-5.425	0.085	-64.121	0
"ItemMixed_31"	1.521	0.085	17.978	0
"ItemMixed_32"	-6.462	0.085	-76.376	0
"ItemMixed_33"	-6.597	0.085	-77.972	0
"ItemMixed_34"	-9.846	0.085	-116.37	0
"ItemMixed_35"	0.63	0.085	7.451	0
"ItemMixed_36"	-2.149	0.085	-25.396	0
"ItemMixed_37"	-4.99	0.085	-58.982	0
"ItemMixed_38"	-1.864	0.085	-22.027	0
"ItemMixed_39"	-9.64	0.085	-113.937	0
"ItemMixed_4"	-9.701	0.085	-114.654	0
"ItemMixed_40"	-6.53	0.085	-77.173	0
"ItemMixed_41"	-5.298	0.085	-62.619	0
"ItemMixed_42"	-2.527	0.085	-29.866	0
"ItemMixed_43"	-6.97	0.085	-82.384	0
"ItemMixed_5"	-2.425	0.085	-28.659	0
"ItemMixed_6"	-0.117	0.085	-1.384	0.166
"ItemMixed_7"	-9.947	0.085	-117.564	0
