"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.318	0.06	204.273	0
"RC.C"	-0.318	0.108	-2.953	0.003
"compatible.C"	0.454	0.108	4.205	0
"Item232_Critical_29"	-0.281	0.085	-3.297	0.001
"Item232_Critical_31"	-0.152	0.085	-1.783	0.075
"ItemCritical_0"	-8.937	0.085	-104.802	0
"ItemCritical_1"	-1.631	0.085	-19.128	0
"ItemCritical_10"	-8.8	0.085	-103.19	0
"ItemCritical_11"	-8.915	0.085	-104.545	0
"ItemCritical_12"	-8.923	0.085	-104.639	0
"ItemCritical_13"	-8.284	0.085	-97.137	0
"ItemCritical_14"	-8.227	0.085	-96.474	0
"ItemCritical_15"	-8.628	0.085	-101.18	0
"ItemCritical_16"	-8.328	0.085	-97.655	0
"ItemCritical_17"	-8.631	0.085	-101.21	0
"ItemCritical_18"	0.885	0.085	10.383	0
"ItemCritical_19"	-8.827	0.085	-103.513	0
"ItemCritical_2"	0.727	0.085	8.528	0
"ItemCritical_20"	-4.09	0.085	-47.957	0
"ItemCritical_21"	-9.114	0.085	-106.879	0
"ItemCritical_22"	-4.463	0.085	-52.335	0
"ItemCritical_23"	-2.006	0.085	-23.52	0
"ItemCritical_24"	-8.915	0.085	-104.538	0
"ItemCritical_25"	-8.551	0.085	-100.268	0
"ItemCritical_26"	-0.515	0.085	-6.044	0
"ItemCritical_27"	-5.943	0.085	-69.691	0
"ItemCritical_28"	1.741	0.085	20.42	0
"ItemCritical_29"	1.045	0.085	12.251	0
"ItemCritical_3"	-9.161	0.085	-107.428	0
"ItemCritical_30"	-8.662	0.085	-101.572	0
"ItemCritical_31"	-3.801	0.085	-44.575	0
"ItemCritical_32"	-2.98	0.085	-34.94	0
"ItemCritical_33"	-0.196	0.085	-2.3	0.021
"ItemCritical_34"	-1.471	0.085	-17.251	0
"ItemCritical_35"	0.087	0.085	1.023	0.306
"ItemCritical_36"	0.061	0.085	0.715	0.475
"ItemCritical_4"	-8.806	0.085	-103.267	0
"ItemCritical_5"	-4.692	0.085	-55.025	0
"ItemCritical_7"	-8.774	0.085	-102.886	0
"ItemCritical_8"	-8.779	0.085	-102.945	0
"ItemCritical_9"	-8.535	0.085	-100.08	0
"ItemMixed_1"	1.004	0.085	11.77	0
"ItemMixed_11"	-4.271	0.085	-50.084	0
"ItemMixed_12"	-4.443	0.085	-52.098	0
"ItemMixed_13"	-4.793	0.085	-56.205	0
"ItemMixed_14"	-6.786	0.085	-79.576	0
"ItemMixed_15"	0.049	0.085	0.579	0.563
"ItemMixed_16"	-2.251	0.085	-26.398	0
"ItemMixed_17"	-9.065	0.085	-106.298	0
"ItemMixed_18"	-8.73	0.085	-102.373	0
"ItemMixed_19"	-1.437	0.085	-16.851	0
"ItemMixed_2"	-4.237	0.085	-49.689	0
"ItemMixed_21"	-6.182	0.085	-72.495	0
"ItemMixed_22"	1.647	0.085	19.314	0
"ItemMixed_23"	-4.172	0.085	-48.927	0
"ItemMixed_24"	-2.148	0.085	-25.187	0
"ItemMixed_25"	-5.221	0.085	-61.225	0
"ItemMixed_26"	-3.788	0.085	-44.416	0
"ItemMixed_27"	-5.533	0.085	-64.878	0
"ItemMixed_28"	-4.343	0.085	-50.925	0
"ItemMixed_29"	-9.022	0.085	-105.799	0
"ItemMixed_3"	-8.337	0.085	-97.76	0
"ItemMixed_30"	-4.412	0.085	-51.733	0
"ItemMixed_31"	2.536	0.085	29.739	0
"ItemMixed_32"	-5.431	0.085	-63.684	0
"ItemMixed_33"	-5.768	0.085	-67.641	0
"ItemMixed_34"	-8.757	0.085	-102.686	0
"ItemMixed_35"	1.652	0.085	19.367	0
"ItemMixed_36"	-1.136	0.085	-13.32	0
"ItemMixed_37"	-3.937	0.085	-46.166	0
"ItemMixed_38"	-0.828	0.085	-9.704	0
"ItemMixed_39"	-8.617	0.085	-101.043	0
"ItemMixed_4"	-8.653	0.085	-101.464	0
"ItemMixed_40"	-5.49	0.085	-64.381	0
"ItemMixed_41"	-4.257	0.085	-49.924	0
"ItemMixed_42"	-1.455	0.085	-17.067	0
"ItemMixed_43"	-5.856	0.085	-68.672	0
"ItemMixed_5"	-1.381	0.085	-16.196	0
"ItemMixed_6"	0.878	0.085	10.295	0
"ItemMixed_7"	-8.878	0.085	-104.109	0
"ItemMixed_8"	-5.871	0.085	-68.851	0
"ItemMixed_9"	-8.957	0.085	-105.036	0
"Item232_Critical_0"	-8.842	0.085	-103.684	0
"Item232_Critical_1"	-4.498	0.085	-52.75	0
"Item232_Critical_10"	-6.913	0.085	-81.068	0
"Item232_Critical_11"	-3.411	0.085	-40.001	0
"Item232_Critical_12"	-1.948	0.085	-22.846	0
"Item232_Critical_13"	-4.221	0.085	-49.499	0
"Item232_Critical_14"	-9.019	0.085	-105.756	0
"Item232_Critical_15"	-3.591	0.085	-42.114	0
"Item232_Critical_16"	-3.271	0.085	-38.357	0
"Item232_Critical_17"	-8.873	0.085	-104.044	0
"Item232_Critical_18"	-8.593	0.085	-100.766	0
"Item232_Critical_19"	-3.96	0.085	-46.431	0
"Item232_Critical_2"	-8.731	0.085	-102.377	0
"Item232_Critical_20"	-4.849	0.085	-56.859	0
"Item232_Critical_21"	-1.698	0.085	-19.911	0
"Item232_Critical_23"	-3.91	0.085	-45.847	0
"Item232_Critical_24"	-3.989	0.085	-46.775	0
"Item232_Critical_25"	-8.911	0.085	-104.49	0
"Item232_Critical_26"	-8.858	0.085	-103.875	0
"Item232_Critical_27"	-1.994	0.085	-23.38	0
"Item232_Critical_28"	-3.953	0.085	-46.359	0
"Item232_Critical_3"	-8.106	0.085	-95.049	0
"Item232_Critical_30"	-8.798	0.085	-103.168	0
"Item232_Critical_4"	-0.48	0.085	-5.634	0
"Item232_Critical_5"	-4.827	0.085	-56.603	0
"Item232_Critical_6"	-5.994	0.085	-70.288	0
"Item232_Critical_7"	-2.876	0.085	-33.727	0
"Item232_Critical_8"	-4.318	0.085	-50.629	0
"Item232_Critical_9"	-8.671	0.085	-101.676	0
"Item238_Critical_Vadv1"	-0.002	0.153	-0.015	0.988
"Item238_Critical_VAdv1"	-0.002	0.153	-0.016	0.987
"Item238_Critical_Vadv2"	1.449	0.085	16.991	0
"Item238_Critical_Vadv3"	-5.242	0.085	-61.464	0
"Item238_Critical_Vadv5"	-3.808	0.085	-44.65	0
"Item238_Critical_Vadv6"	-3.435	0.085	-40.276	0
"Item238_Critical_Vadv7"	-3.59	0.085	-42.094	0
"Item238_Critical_Vadv8"	-9.17	0.085	-107.531	0
"Item238_Critical_Vadv9"	-4.297	0.085	-50.385	0
"Item238_Critical_VN1"	-8.743	0.085	-102.521	0
"Item238_Critical_VN2"	-3.895	0.085	-45.67	0
"Item238_Critical_VN3"	-3.078	0.085	-36.09	0
"Item238_Critical_VN5"	-1.54	0.085	-18.053	0
"ItemCritical_6"	-8.648	0.085	-101.407	0
"EmbBias.C"	0.028	0.055	0.514	0.607
"SC.C"	-1.05	0.121	-8.704	0
"RC.C:compatible.C"	1.034	0.216	4.791	0
"RC.C:Item232_Critical_29"	0.252	0.153	1.652	0.098
"RC.C:Item232_Critical_31"	-0.002	0.153	-0.013	0.99
"RC.C:ItemCritical_0"	-0.174	0.153	-1.141	0.254
"RC.C:ItemCritical_1"	0.547	0.153	3.589	0
"RC.C:ItemCritical_10"	0.289	0.153	1.897	0.058
"RC.C:ItemCritical_11"	0.644	0.153	4.221	0
"RC.C:ItemCritical_12"	0.229	0.153	1.501	0.133
"RC.C:ItemCritical_13"	0.377	0.153	2.472	0.013
"RC.C:ItemCritical_14"	0.449	0.153	2.944	0.003
"RC.C:ItemCritical_15"	0.336	0.153	2.204	0.028
"RC.C:ItemCritical_16"	0.397	0.153	2.601	0.009
"RC.C:ItemCritical_17"	0.876	0.153	5.742	0
"RC.C:ItemCritical_18"	0.393	0.153	2.575	0.01
"RC.C:ItemCritical_19"	0.858	0.153	5.626	0
"RC.C:ItemCritical_2"	1.204	0.153	7.895	0
"RC.C:ItemCritical_20"	0.011	0.153	0.075	0.94
"RC.C:ItemCritical_21"	0.43	0.153	2.821	0.005
"RC.C:ItemCritical_22"	0.213	0.153	1.396	0.163
"RC.C:ItemCritical_23"	0.044	0.153	0.288	0.773
"RC.C:ItemCritical_24"	0.377	0.153	2.47	0.014
"RC.C:ItemCritical_25"	0.124	0.153	0.811	0.417
"RC.C:ItemCritical_26"	-0.371	0.153	-2.434	0.015
"RC.C:ItemCritical_27"	0.062	0.153	0.405	0.686
"RC.C:ItemCritical_28"	0.154	0.153	1.008	0.313
"RC.C:ItemCritical_29"	-0.531	0.153	-3.481	0
"RC.C:ItemCritical_3"	0.608	0.153	3.987	0
"RC.C:ItemCritical_30"	-0.013	0.153	-0.084	0.933
"RC.C:ItemCritical_31"	0.189	0.153	1.238	0.216
"RC.C:ItemCritical_32"	1.064	0.153	6.973	0
"RC.C:ItemCritical_33"	0.793	0.153	5.199	0
"RC.C:ItemCritical_34"	0.355	0.153	2.325	0.02
"RC.C:ItemCritical_35"	0.422	0.153	2.766	0.006
"RC.C:ItemCritical_36"	0.32	0.153	2.1	0.036
"RC.C:ItemCritical_4"	0.052	0.153	0.34	0.734
"RC.C:ItemCritical_5"	0.138	0.153	0.906	0.365
"RC.C:ItemCritical_7"	0.319	0.153	2.09	0.037
"RC.C:ItemCritical_8"	0.574	0.153	3.76	0
"RC.C:ItemCritical_9"	0.303	0.153	1.984	0.047
"RC.C:ItemMixed_1"	1.544	0.153	10.12	0
"RC.C:ItemMixed_11"	0.759	0.153	4.973	0
"RC.C:ItemMixed_12"	0.271	0.153	1.775	0.076
"RC.C:ItemMixed_13"	0.171	0.153	1.122	0.262
"RC.C:ItemMixed_14"	2.107	0.153	13.811	0
"RC.C:ItemMixed_15"	0.177	0.153	1.157	0.247
"RC.C:ItemMixed_16"	-0.114	0.153	-0.75	0.453
"RC.C:ItemMixed_17"	0.707	0.153	4.637	0
"RC.C:ItemMixed_18"	-0.015	0.153	-0.097	0.923
"RC.C:ItemMixed_19"	-0.47	0.153	-3.083	0.002
"RC.C:ItemMixed_2"	-0.114	0.153	-0.748	0.454
"RC.C:ItemMixed_21"	0.154	0.153	1.008	0.314
"RC.C:ItemMixed_22"	0.197	0.153	1.291	0.197
"RC.C:ItemMixed_23"	0.216	0.153	1.418	0.156
"RC.C:ItemMixed_24"	0.174	0.153	1.142	0.253
"RC.C:ItemMixed_25"	-0.236	0.153	-1.547	0.122
"RC.C:ItemMixed_26"	1.056	0.153	6.92	0
"RC.C:ItemMixed_27"	1.001	0.153	6.564	0
"RC.C:ItemMixed_28"	0.349	0.153	2.287	0.022
"RC.C:ItemMixed_29"	0.154	0.153	1.007	0.314
"RC.C:ItemMixed_3"	0.288	0.153	1.886	0.059
"RC.C:ItemMixed_30"	0.481	0.153	3.154	0.002
"RC.C:ItemMixed_31"	-0.591	0.153	-3.875	0
"RC.C:ItemMixed_32"	0.16	0.153	1.051	0.293
"RC.C:ItemMixed_33"	0.482	0.153	3.161	0.002
"RC.C:ItemMixed_34"	0.212	0.153	1.39	0.165
"RC.C:ItemMixed_35"	0.208	0.153	1.363	0.173
"RC.C:ItemMixed_36"	-0.289	0.153	-1.898	0.058
"RC.C:ItemMixed_37"	-0.335	0.153	-2.196	0.028
"RC.C:ItemMixed_38"	-0.16	0.153	-1.05	0.294
"RC.C:ItemMixed_39"	0.389	0.153	2.552	0.011
