"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	-0.212454371348309	0.276219126316254	-0.748806006973395	0.338974618492946	1.00418341918582	1465	2025
"True_Minus_False.C"	-0.229273321330106	0.0544015976633346	-0.339728109796545	-0.123710116464413	1.00086456699964	4051	2929
