"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	-1.6273851326884	0.571631753935841	-2.83137953300078	-0.552358574619539	1.00255882351008	860	1613
"True_Minus_False.C"	-0.284634087547207	0.135057859727729	-0.568846388030361	-0.0375394707186723	1.00207773893796	2471	2290
