"","Noun","False_False_False","False_True_False","True_False_False","True_False_True","True_True_False","True_True_True","ForgettingVerbLogOdds","ForgettingMiddleVerbLogOdds"
"1","belief",9.4180859811103,6.86380339145295,8.9621353900666,NA,5.66642668811243,NA,-1.21562833724989,0.581697751531002
"2","disclosure",7.12286665859908,4.83628190695148,3.63758615972639,NA,1.09861228866811,NA,-0.584960089974837,2.29243190775537
"3","evidence",9.56808474387294,7.74975340627444,6.69826805411541,2.19722457733622,4.47733681447821,0.693147180559945,-0.0106991552928375,0.542422811527655
"4","fact",11.7716214711359,9.51731023333525,11.399319941347,NA,8.91489490890657,NA,-2.07711096117176,-0.428114405652828
"5","information",10.052079956586,8.09040229659332,7.11314210870709,NA,4.71849887129509,NA,-0.145745672301884,2.77084424062205
"6","myth",9.29990681533523,7.13727843726039,6.03548143252476,0,3.55534806148941,0,0.40040584611541,2.24874970019186
"7","reminder",5.51745289646471,2.56494935746154,3.04452243772342,NA,0,NA,0.00277716281713725,1.59492522737376
"8","report",10.2354496336795,9.64368001685033,5.70711026474888,2.56494935746154,3.73766961828337,0,0.0630857845336021,0.87697060425613
"9","rumor",7.83201418050547,6.07073772800249,5.4249500174814,0,3.3322045101752,0,0.376994266933147,1.1956930825446
"10","story",11.7092485414,10.6950537119368,7.21670948670946,0.693147180559945,5.16478597392351,0,-0.5865761583538,0.691308023631447
"11","suggestion",8.92598608961708,6.49223983502047,7.23201033166476,0,5.08140436498446,0,-1.57617435309488,1.76115160680673
"12","thought",8.60282027738367,6.15909538849193,6.4085287910595,NA,3.63758615972639,NA,-1.99480486353327,0.699634723678934
"13","ballad",NA,NA,NA,NA,NA,NA,-0.182008604676655,1.73992991740297
"14","dollar",NA,NA,NA,NA,NA,NA,-0.385285371224295,2.10353928003523
"15","lawyer",NA,NA,NA,NA,NA,NA,0.433629813068705,NA
"16","manuscript",NA,NA,NA,NA,NA,NA,-0.248160447543316,2.94409407500876
"17","map",NA,NA,NA,NA,NA,NA,-0.618859914372123,2.53307009348877
"18","pen",NA,NA,NA,NA,NA,NA,-0.5769777459977,2.35489179062052
"19","priest",NA,NA,NA,NA,NA,NA,-0.2599014229107,NA
"20","reporter",NA,NA,NA,NA,NA,NA,-0.334898553600386,NA
"21","soldier",NA,NA,NA,NA,NA,NA,-0.327581370974713,NA
"22","trap",NA,NA,NA,NA,NA,NA,-0.583525353872917,2.36780527854068
"23","waiter",NA,NA,NA,NA,NA,NA,0.300845867405065,NA
"24","window-washer",NA,NA,NA,NA,NA,NA,-0.416596223354369,NA
