predictability_weight	deletion_rate	ID	NData	AIC	Coefficient	Correlation	
1	0.45	620414278	726	0.7328353	-0.51552	
1	0.25	710934227	727	0.7159387	-0.5156093	
1	0.25	490361276	727	0.714421	-0.5156093	
1	0.75	164752572	727	0.7480498	-0.5156093	
1	0.25	89960553	727	0.7184869	-0.5156093	
1	0.65	859564660	727	0.7376777	-0.5156093	
1	0.6	589092479	727	0.7392667	-0.5156093	
1	0.7	273304898	727	0.7419548	-0.5156093	
1	0.7	650067544	727	0.7425127	-0.5156093	
1	0.2	751621216	727	0.7149109	-0.5156093	
1	0.45	234526961	727	0.7375086	-0.5156093	
1	0.55	923405328	606	0.7396287	-0.5241843	
1	0.2	896283343	727	0.7141249	-0.5156093	
1	0.65	819210553	727	0.7366903	-0.5156093	
1	0.4	551689616	727	0.734793	-0.5156093	
1	0.3	873361662	727	0.7134263	-0.5156093	
1	0.75	273752896	727	0.7460872	-0.5156093	
1	0.65	25100658	727	0.7476309	-0.5156093	
1	0.6	15798591	727	0.7457124	-0.5156093	
1	0.5	941343936	727	0.7282949	-0.5156093	
1	0.7	756291678	727	0.7432554	-0.5156093	
1	0.4	198867744	727	0.7243489	-0.5156093	
1	0.3	695134334	727	0.7137345	-0.5156093	
1	0.4	973565860	727	0.7336617	-0.5156093	
1	0.65	789425709	727	0.7438086	-0.5156093	
1	0.5	346516233	727	0.7268759	-0.5156093	
1	0.6	28943147	727	0.7318548	-0.5156093	
1	0.25	742793765	727	0.7139231	-0.5156093	
1	0.45	851480847	727	0.7213565	-0.5156093	
1	0.35	478372464	727	0.7226297	-0.5156093	
1	0.3	221390427	727	0.7287717	-0.5156093	
1	0.05	279691005	727	0.7110011	-0.5156093	
1	0.75	210987598	727	0.7492288	-0.5156093	
1	0.65	567650690	456	0.7318336	-0.4973151	
1	0.7	662329282	726	0.746843	-0.5161469	
1	0.85	213818438	727	0.753725	-0.5156093	
1	0.6	237525330	727	0.7295038	-0.5156093	
1	0.4	292546825	727	0.726297	-0.5156093	
1	0.95	974675637	727	0.7115883	-0.5156093	
1	0.55	127593579	727	0.730683	-0.5156093	
1	0.25	634649141	727	0.7177612	-0.5156093	
1	0.7	545644363	727	0.7333249	-0.5156093	
1	0.95	767723767	727	0.6969706	-0.5156093	
1	0.25	420714022	727	0.7215857	-0.5156093	
1	0.25	844017695	727	0.7292068	-0.5156093	
1	0.25	442176776	304	0.7238957	-0.4919305	
1	0.75	813448630	727	0.7413227	-0.5156093	
1	0.3	980037857	456	0.7177707	-0.4973151	
1	0.3	206223774	304	0.7250111	-0.4919305	
1	0.25	556534047	727	0.7207528	-0.5156093	
1	0.5	971692210	727	0.7255201	-0.5156093	
1	0.35	682440797	727	0.7180244	-0.5156093	
1	0.2	916830717	727	0.7142047	-0.5156093	
1	0.75	560664366	727	0.7503996	-0.5156093	
1	0.35	281194943	727	0.7203618	-0.5156093	
1	0.55	873616728	727	0.7328317	-0.5156093	
1	0.45	562739043	727	0.7298649	-0.5156093	
1	0.6	418127330	727	0.7314497	-0.5156093	
1	0.75	633003840	727	0.7475895	-0.5156093	
1	0.7	294504860	727	0.7444634	-0.5156093	
1	0.2	246913872	727	0.712646	-0.5156093	
1	0.5	442028400	304	0.7330635	-0.4919305	
1	0.4	679999641	304	0.7357563	-0.4919305	
1	0.9	622371608	151	0.7222225	-0.4775916	
1	0.05	125106310	153	0.69991	-0.4614681	
1	0.55	709931587	152	0.7090869	-0.4621389	
1	0.4	612691588	304	0.737385	-0.4919305	
1	0.8	784649362	303	0.7598492	-0.4999222	
1	0.5	600846769	153	0.7128021	-0.4614681	
