predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0.75	0.55	7271	94873.33	5.506991	
1	0.5	7271	94875.83	5.172975	
0.75	0.15	7271	94877.48	4.971182	
0.75	0.6	7271	94871.32	5.773825	
0	0.65	7271	94874.52	6.188354	
0.75	0.75	7271	94869.01	5.98207	
0.75	0.8	7271	94868.86	6.150759	
0.5	0.85	7271	94872.5	6.033168	
0	0.75	7271	94890.67	3.593692	
1	0.45	7271	94875.98	5.166505	
1	0.75	7271	94872.54	5.693003	
0.75	0.45	7271	94873.58	5.429789	
1	0.7	7263	94756.25	5.592994	
1	0.6	7271	94876.46	5.10441	
1	0.35	7271	94875.6	5.212253	
0.25	0.2	7271	94877.59	4.957537	
0.5	0.15	7271	94877.21	5.014156	
0.75	0.5	7271	94871.83	5.603941	
1	0.95	7271	94881.93	5.562158	
0.25	0.65	7271	94871.97	6.05701	
1	0.15	7271	94877.87	4.938426	
1	0.8	7271	94872.37	5.768235	
1	0.3	7271	94876.05	5.156391	
1	0.65	7271	94873.95	5.381104	
0.25	0.95	7271	94881.51	5.301712	
0.25	0.45	7271	94870.72	5.730217	
1	0.25	7271	94877.22	5.018663	
0.25	0.1	7271	94877.57	4.959197	
0.75	0.35	7271	94873.56	5.451001	
0.25	0.6	7271	94868.22	6.22748	
0.25	0.85	7271	94875.19	6.012226	
0.75	0.7	7271	94869.53	5.985336	
0.75	0.3	7259	94728.62	4.939448	
0.5	0.35	7271	94876.43	5.126866	
0.75	0.2	7271	94878.09	4.905818	
0.75	0.85	7271	94871.36	5.996062	
1	0.2	7271	94877.45	4.992171	
0.75	0.4	7271	94873.76	5.410251	
0	0.85	7271	94893.37	1.86976	
1	0.55	7271	94876.82	5.068089	
0.25	0.5	7271	94868.25	6.015321	
0.75	0.9	7271	94872.02	6.386538	
0	0.7	7271	94887.91	1.887241	
0.5	0.6	7271	94871.86	5.691208	
0.25	0.3	7271	94877.87	4.938526	
0	0.6	7271	94875.82	5.684526	
0.75	0.25	7271	94876.29	5.118209	
0	0.95	7179	93753.63	0.8783972	
0	0.1	7271	94877.57	4.960315	
0.75	0.95	7271	94884.33	4.788198	
1	0.4	7271	94876.34	5.124629	
0	0.8	7271	94893.73	-0.1195648	
0.25	0.8	7271	94875.83	5.595039	
0.75	0.65	7271	94871.75	5.690392	
0.5	0.3	7271	94877.08	5.024131	
1	0.85	7271	94869.82	6.240101	
0	0.4	7271	94875.5	5.187071	
0.5	0.2	7271	94877.13	5.022867	
0.5	0.75	7271	94873.76	5.503725	
0.5	0.7	7271	94867.39	6.217659	
0.5	0.1	7271	94877.49	4.97213	
1	0.9	7271	94873.87	6.148243	
1	0.1	7271	94877.52	4.968312	
0.25	0.35	7271	94875.65	5.191249	
0	0.9	7271	94891.84	-1.150028	
1	0.05	7271	94877.55	4.967219	
0.5	0.65	7271	94868.26	6.041371	
0	0.45	7271	94877.46	4.646981	
0.25	0.7	7271	94870.96	6.029479	
0.5	0.9	7271	94871.39	6.453379	
0.5	0.45	7271	94872.52	5.500966	
0	0.5	7271	94873.31	5.553712	
0.5	0.05	7271	94877.57	4.95593	
0.25	0.9	7271	94880.36	5.303961	
0.5	0.8	7271	94870.33	6.094915	
0.5	0.55	7271	94873.14	5.606749	
0.25	0.75	7271	94870.82	5.89185	
0.25	0.25	7271	94877.71	4.952565	
0.75	0.05	7271	94877.62	4.954242	
0.5	0.5	7271	94872.7	5.53373	
0.25	0.55	7271	94870	5.983728	
0.5	0.4	7271	94871.62	5.629322	
0.5	0.25	7271	94877.77	4.950534	
0	0.35	7271	94877.03	5.053463	
0.25	0.4	7271	94875.37	5.231392	
0.25	0.05	7271	94877.56	4.957606	
0.25	0.15	7271	94877.52	4.971018	
0	0.55	7271	94870.07	6.072443	
0	0.2	7271	94876.71	5.053338	
0	0.3	7271	94876.42	5.115451	
0	0.05	7271	94877.62	4.954235	
0.75	0.1	7271	94877.47	4.972468	
0	0.15	7271	94877.53	4.966057	
0	0.25	7271	94874.68	5.324118	
0.5	0.95	7271	94880.32	5.552309	
