predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0.75	0.55	251291	74400.98	-0.027613	
1	0.5	251291	74407.57	-0.02324936	
0.75	0.15	251291	74430.31	-0.02683312	
0.75	0.6	251291	74395.43	-0.02317168	
0	0.65	251291	74501.26	-0.005324622	
0.75	0.75	251291	74397.11	-0.01251142	
0.75	0.8	251291	74399.38	-0.007239502	
0.5	0.85	251291	74425.43	-0.004819452	
0	0.75	251291	74577.89	-0.05994915	
1	0.45	251291	74403.28	-0.02455765	
1	0.75	251291	74389.77	-0.01099773	
0.75	0.45	251291	74406.43	-0.027984	
1	0.7	251291	74391.04	-0.01712443	
1	0.6	251291	74401.51	-0.02220855	
1	0.35	251291	74412.64	-0.02608587	
0.25	0.2	251291	74431.39	-0.02642751	
0.5	0.15	251291	74428.52	-0.02626807	
0.75	0.5	251291	74403.35	-0.02711689	
1	0.95	251291	74536.78	-0.003195661	
0.25	0.65	251291	74441.8	-0.0193713	
1	0.15	251291	74429.21	-0.02791865	
1	0.8	251291	74391.88	-0.004738953	
1	0.3	251291	74415.34	-0.02678378	
1	0.65	251291	74394.72	-0.0183643	
0.25	0.95	251291	74548.26	-0.0007201631	
0.25	0.45	251291	74406.2	-0.02453062	
1	0.25	251291	74419.07	-0.02798641	
0.25	0.1	251291	74431.77	-0.02668454	
0.75	0.35	251291	74407.29	-0.02497249	
0.25	0.6	251291	74429.46	-0.01305366	
0.25	0.85	251291	74479.19	-0.00269747	
0.75	0.7	251291	74389.16	-0.01527318	
0.75	0.3	251291	74425.15	-0.02667834	
0.5	0.35	251291	74423.55	-0.02970552	
0.75	0.2	251291	74428.56	-0.02821777	
0.75	0.85	251291	74405.83	-0.001216073	
1	0.2	251291	74422.65	-0.02754223	
0.75	0.4	251291	74416.14	-0.02827487	
0	0.85	251291	74608.29	-0.05218723	
1	0.55	251291	74403.57	-0.02695204	
0.25	0.5	251291	74403.28	-0.02603503	
0.75	0.9	251291	74478.19	-0.006982818	
0	0.7	251291	74570.52	-0.05311865	
0.5	0.6	251291	74391.94	-0.02487662	
0.25	0.3	251291	74429.24	-0.02988492	
0	0.6	251291	74501.95	-0.01091592	
0.75	0.25	251291	74424.33	-0.02686711	
0	0.95	250923	74324.48	-0.05263629	
0	0.1	251291	74432.31	-0.02675501	
0.75	0.95	251291	74548.55	-0.01412516	
1	0.4	251291	74410.27	-0.02721343	
0	0.8	251291	74600.57	-0.04681159	
0.25	0.8	251291	74459.21	-0.002969078	
0.75	0.65	251291	74394.21	-0.02261893	
0.5	0.3	251291	74425.1	-0.02717692	
1	0.85	251291	74409.08	-0.006755313	
0	0.4	251291	74439.86	-0.01527057	
0.5	0.2	251291	74427.94	-0.02662256	
0.5	0.75	251291	74433.34	-0.0156117	
0.5	0.7	251291	74408.67	-0.01682418	
0.5	0.1	251291	74431.07	-0.0265604	
1	0.9	251291	74470.04	-0.007922204	
1	0.1	251291	74427.91	-0.02686758	
0.25	0.35	251291	74421.79	-0.0292617	
0	0.9	251291	74606.07	-0.05040771	
1	0.05	251291	74430.47	-0.02631909	
0.5	0.65	251291	74403.96	-0.02211461	
0	0.45	251291	74454.88	0.0004490906	
0.25	0.7	251291	74458.18	-0.007767017	
0.5	0.9	251291	74470.9	-0.01037649	
0.5	0.45	251291	74407.09	-0.02951895	
0	0.5	251291	74452.5	-0.00763825	
0.5	0.05	251291	74431.53	-0.02679335	
0.25	0.9	251291	74511.79	-0.02633617	
0.5	0.8	251291	74413.99	-0.01370079	
0.5	0.55	251291	74403.49	-0.02541326	
0.25	0.75	251291	74455.41	-0.007994661	
0.25	0.25	251291	74429.85	-0.02774623	
0.75	0.05	251291	74431.15	-0.0262647	
0.5	0.5	251291	74405.74	-0.02859266	
0.25	0.55	251291	74418.93	-0.01585917	
0.5	0.4	251291	74406.08	-0.02582024	
0.5	0.25	251291	74427.61	-0.02708612	
0	0.35	251291	74431.5	-0.0257699	
0.25	0.4	251291	74420	-0.02962823	
0.25	0.05	251291	74431.55	-0.02656848	
0.25	0.15	251291	74430.53	-0.02697604	
0	0.55	251291	74447.9	-0.01323809	
0	0.2	251291	74428.3	-0.02562991	
0	0.3	251291	74431.8	-0.0223477	
0	0.05	251291	74431.87	-0.02620518	
0.75	0.1	251291	74431.8	-0.0266234	
0	0.15	251291	74431.28	-0.02760967	
0	0.25	251291	74433.13	-0.02322088	
0.5	0.95	251291	74546.33	-0.0130183	
