predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0.75	0.55	7271	91802.18	4.479217	
1	0.5	7271	91804.64	4.158565	
0.75	0.15	7271	91806.87	3.833792	
0.75	0.6	7271	91799.8	4.723042	
0	0.65	7271	91804.14	5.390568	
0.75	0.75	7271	91795.42	5.149505	
0.75	0.8	7271	91794.45	5.270008	
0.5	0.85	7271	91797.35	5.361312	
0	0.75	7271	91818.2	5.160665	
1	0.45	7271	91805.11	4.142784	
1	0.75	7271	91798.49	4.837924	
0.75	0.45	7271	91802.47	4.387766	
1	0.7	7263	91671.18	4.664976	
1	0.6	7271	91804.95	4.165825	
1	0.35	7271	91804.47	4.148446	
0.25	0.2	7271	91807	3.833433	
0.5	0.15	7271	91806.53	3.873501	
0.75	0.5	7271	91801.33	4.502893	
1	0.95	7271	91806.97	5.382591	
0.25	0.65	7271	91798.84	5.298604	
1	0.15	7271	91807.19	3.819948	
1	0.8	7271	91797.16	4.976753	
1	0.3	7271	91805.69	4.034934	
1	0.65	7271	91802.61	4.440608	
0.25	0.95	7271	91810.66	4.593007	
0.25	0.45	7271	91800.84	4.578595	
1	0.25	7271	91806.1	3.945325	
0.25	0.1	7271	91806.99	3.825482	
0.75	0.35	7271	91803.19	4.283594	
0.25	0.6	7271	91794.88	5.297574	
0.25	0.85	7271	91800.03	5.489953	
0.75	0.7	7271	91797.66	4.955329	
0.75	0.3	7259	91664.03	3.800218	
0.5	0.35	7271	91806.38	3.941216	
0.75	0.2	7271	91807.79	3.761626	
0.75	0.85	7271	91797.24	5.159718	
1	0.2	7271	91806.64	3.88915	
0.75	0.4	7271	91803.81	4.277075	
0	0.85	7271	91825.51	2.573493	
1	0.55	7271	91805.69	4.052984	
0.25	0.5	7271	91796.22	4.91038	
0.75	0.9	7271	91793.94	6.029737	
0	0.7	7271	91822.9	2.218189	
0.5	0.6	7271	91799.24	4.723946	
0.25	0.3	7271	91807.02	3.832792	
0	0.6	7271	91806.92	4.758327	
0.75	0.25	7271	91805.9	3.956675	
0	0.95	7179	90706.89	3.7924	
0	0.1	7271	91807.02	3.826448	
0.75	0.95	7271	91811.43	4.727192	
1	0.4	7271	91805.62	4.060167	
0	0.8	7271	91827.15	0.9264096	
0.25	0.8	7271	91799.63	5.227896	
0.75	0.65	7271	91799.34	4.799962	
0.5	0.3	7271	91806.91	3.867485	
1	0.85	7271	91793.83	5.464227	
0	0.4	7271	91809.31	3.934572	
0.5	0.2	7271	91806.76	3.880813	
0.5	0.75	7271	91800.45	4.770206	
0.5	0.7	7271	91791.18	5.465404	
0.5	0.1	7271	91806.86	3.838888	
1	0.9	7271	91796.71	5.783169	
1	0.1	7271	91806.72	3.869725	
0.25	0.35	7271	91806.72	3.947651	
0	0.9	7271	91825.65	2.495159	
1	0.05	7271	91806.94	3.840007	
0.5	0.65	7271	91794.9	5.185334	
0	0.45	7271	91811.9	3.514914	
0.25	0.7	7271	91797.8	5.19388	
0.5	0.9	7271	91793.36	5.965957	
0.5	0.45	7271	91802.56	4.391712	
0	0.5	7271	91807.4	4.367625	
0.5	0.05	7271	91807.05	3.823883	
0.25	0.9	7271	91803.28	5.238318	
0.5	0.8	7271	91794.21	5.436444	
0.5	0.55	7271	91801.11	4.675545	
0.25	0.75	7271	91797.37	5.17998	
0.25	0.25	7271	91807.07	3.82421	
0.75	0.05	7271	91807.03	3.823561	
0.5	0.5	7271	91801.89	4.458187	
0.25	0.55	7271	91799	4.976411	
0.5	0.4	7271	91802.47	4.401689	
0.5	0.25	7271	91806.98	3.826473	
0	0.35	7271	91808.58	3.830739	
0.25	0.4	7271	91806.33	3.983519	
0.25	0.05	7271	91807.01	3.824603	
0.25	0.15	7271	91806.93	3.839998	
0	0.55	7271	91800.21	5.119201	
0	0.2	7271	91806.95	3.868177	
0	0.3	7271	91808.04	3.913297	
0	0.05	7271	91807.25	3.807511	
0.75	0.1	7271	91806.91	3.830955	
0	0.15	7271	91807.13	3.835733	
0	0.25	7271	91805.54	4.126928	
0.5	0.95	7271	91807.89	5.051542	
