predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0.75	0.55	7271	101754.8	11.64749	
1	0.5	7271	101756.9	10.97485	
0.75	0.15	7271	101759.9	10.01557	
0.75	0.6	7271	101752.8	12.22239	
0	0.65	7271	101748.5	15.69637	
0.75	0.75	7271	101750.4	12.81709	
0.75	0.8	7271	101748.4	13.43764	
0.5	0.85	7271	101754.3	12.6157	
0	0.75	7271	101765.1	14.82757	
1	0.45	7271	101756.9	11.01156	
1	0.75	7271	101753.3	12.19534	
0.75	0.45	7271	101754.9	11.4989	
1	0.7	7263	101584.9	11.97724	
1	0.6	7271	101757.1	10.99815	
1	0.35	7271	101758	10.67205	
0.25	0.2	7271	101759.9	10.01328	
0.5	0.15	7271	101759.7	10.07958	
0.75	0.5	7271	101753.3	11.88438	
1	0.95	7271	101761.6	12.32558	
0.25	0.65	7271	101752.4	13.19052	
1	0.15	7271	101759.9	10.05005	
1	0.8	7271	101752.8	12.38153	
1	0.3	7271	101758.2	10.61849	
1	0.65	7271	101754.6	11.67525	
0.25	0.95	7271	101760.8	11.54536	
0.25	0.45	7271	101753.7	11.74422	
1	0.25	7271	101759.4	10.24705	
0.25	0.1	7271	101760	9.989289	
0.75	0.35	7271	101756.3	11.08362	
0.25	0.6	7271	101747.1	13.73584	
0.25	0.85	7271	101753.3	13.59865	
0.75	0.7	7271	101750.6	12.81899	
0.75	0.3	7259	101599	10.23566	
0.5	0.35	7271	101758.4	10.51327	
0.75	0.2	7271	101760.2	9.949373	
0.75	0.85	7271	101753.2	12.52808	
1	0.2	7271	101759.4	10.22571	
0.75	0.4	7271	101755.6	11.33822	
0	0.85	7271	101769.4	11.53268	
1	0.55	7271	101757.5	10.83395	
0.25	0.5	7271	101749.4	12.72308	
0.75	0.9	7271	101753.4	13.56513	
0	0.7	7271	101757.7	13.90174	
0.5	0.6	7271	101753.7	11.946	
0.25	0.3	7271	101760.1	9.999683	
0	0.6	7271	101750.7	14.15553	
0.75	0.25	7271	101759	10.29333	
0	0.95	7179	100527.9	17.5406	
0	0.1	7271	101759.9	10.01329	
0.75	0.95	7271	101765.7	10.29925	
1	0.4	7271	101758	10.70525	
0	0.8	7271	101767.8	10.88088	
0.25	0.8	7271	101750	13.61321	
0.75	0.65	7271	101751.8	12.49049	
0.5	0.3	7271	101759.3	10.2073	
1	0.85	7271	101750.6	13.27688	
0	0.4	7271	101752.7	12.13206	
0.5	0.2	7271	101759	10.28429	
0.5	0.75	7271	101755.3	11.54237	
0.5	0.7	7271	101746.7	13.67219	
0.5	0.1	7271	101759.9	10.01505	
1	0.9	7271	101755.3	12.96382	
1	0.1	7271	101759.7	10.09516	
0.25	0.35	7271	101757.5	10.74757	
0	0.9	7271	101768.6	13.58765	
1	0.05	7271	101759.7	10.08856	
0.5	0.65	7271	101749.1	13.05924	
0	0.45	7271	101755.2	10.86593	
0.25	0.7	7271	101750.7	13.11029	
0.5	0.9	7271	101750.9	14.01003	
0.5	0.45	7271	101754.8	11.44299	
0	0.5	7271	101745.8	13.79289	
0.5	0.05	7271	101760	9.985034	
0.25	0.9	7271	101761.8	11.10993	
0.5	0.8	7271	101748.6	13.64837	
0.5	0.55	7271	101756.1	11.4546	
0.25	0.75	7271	101744.7	14.05845	
0.25	0.25	7271	101760	10.01578	
0.75	0.05	7271	101760	10.00397	
0.5	0.5	7271	101754.5	11.60596	
0.25	0.55	7271	101748.5	13.39403	
0.5	0.4	7271	101754.3	11.5948	
0.5	0.25	7271	101760	9.997357	
0	0.35	7271	101758.1	10.68244	
0.25	0.4	7271	101757.1	10.85273	
0.25	0.05	7271	101760	9.96798	
0.25	0.15	7271	101760	9.987429	
0	0.55	7271	101745.3	14.33077	
0	0.2	7271	101758.3	10.47092	
0	0.3	7271	101756	11.24074	
0	0.05	7271	101759.8	10.03386	
0.75	0.1	7271	101760	9.988373	
0	0.15	7271	101759.6	10.10911	
0	0.25	7271	101755.7	11.29384	
0.5	0.95	7271	101761.7	11.794	
