"item"	"embBias"	"compatibility"	"embBias_one"	"embBias_two"	"embBias_three"	"compatibility_two"	"compatibility_three"	"depth"	"intercept"
"1"	"232_Critical_8"	-0.0244966315155766	0.150846998081131	0.0499422084609375	-0.0226616960710097	-0.0263315669601434	0.107302456405598	0.194391539756663	0.282807502380758	7.02768785404761
"2"	"232_Critical_2"	-0.0304753389810509	0.226057868796003	0.0551760204319851	-0.0339172476884266	-0.0270334302736751	0.189284357606195	0.262831379985812	0.258885293480616	6.82351447776134
"3"	"Critical_19"	-0.0473218570345318	0.0623309230466837	0.0487509179744891	-0.0196556185557287	-0.0749880955133348	0.0460875547927771	0.0785742913005903	0.225388381870946	6.84971087952804
"4"	"232_Critical_7"	-0.0347157887352043	0.0722012250818152	0.0582098521898591	-0.0262051028701928	-0.0432264746002158	0.0314384809710049	0.112963969192625	0.275797108400644	7.18940159072383
"5"	"232_Critical_0"	-0.0392508282925999	0.0408510814114372	0.0408434086689758	-0.0126879555268011	-0.0658137010583987	0.00205668994483196	0.0796454728780424	0.31616661133118	6.80502051101534
"6"	"238_Critical_Vadv10"	-0.0410944601073606	0.0112273532654435	0.0496333244611605	-0.0127163398724107	-0.0694725803423106	-0.0186270755579269	0.0410817820888139	0.291212083038525	7.27529750922744
"7"	"Critical_11"	-0.037322449411343	0.0637976271848589	0.0417433362096865	-0.0209723381204956	-0.0536725607021904	0.0282959099092178	0.0992993444604999	0.27040199797374	6.80959701867157
"8"	"Mixed_11"	-0.026702326324408	0.0208316293432818	0.049190934468223	-0.0284603599346922	-0.0249442927141239	-0.0141268497201355	0.055790108406699	0.260493092175839	7.34919928824851
"9"	"238_Critical_VN3"	-0.0227731363421086	0.00341793884354029	0.0548417865903998	-0.0277946975427128	-0.0177515751415045	-0.0116592592671709	0.0184951369542515	0.326861226458794	7.25618391078552
"10"	"Critical_12"	-0.037127412054278	-0.0113407836237613	0.0501829454882327	-0.00563749541175073	-0.0686173286968052	-0.0250430337530623	0.00236146650553976	0.389658790482622	6.91678083467361
"11"	"Mixed_40"	-0.0304107348462429	0.072823744547157	0.0500571878131264	-0.0269497766603588	-0.0338716930321271	0.0362321246904561	0.109415364403858	0.260059592978387	7.13289870091064
"12"	"Mixed_43"	-0.0297173673450059	0.130717876787954	0.0536994370466982	-0.0208057009267282	-0.0386290337632836	0.094305769559085	0.167129984016822	0.271111771053002	6.96693270695222
"13"	"Critical_16"	-0.0366586676047332	0.0594266092960311	0.0345712536911234	-0.0166870036339119	-0.0566303315755546	0.0269580745873136	0.0918951440047486	0.308647292276702	6.81867482595439
"14"	"Critical_5"	-0.0220106628364995	0.0655376100835914	0.0472951102581969	-0.0160390645675884	-0.0279822611054105	0.040171815733571	0.0909034044336118	0.296738784944173	7.12380912340722
"15"	"Mixed_13"	-0.0339186007568256	0.0666591701223005	0.0458858436950584	-0.01149157213581	-0.0563456293778413	0.0402988238049066	0.0930195164396944	0.323401847669815	6.89943634024289
"16"	"Critical_9"	-0.0452138671478158	0.0670003676416594	0.0439232232262508	-0.0102684421926444	-0.0801592921029873	0.0310363848722823	0.102964350411037	0.352513315570534	6.88944005161554
"17"	"Critical_10"	-0.044836063432214	0.0614565866724316	0.0510874083244086	-0.0160856704832776	-0.0735864563811504	0.0433973698617608	0.0795158034831024	0.322751811896745	6.84901006812961
"18"	"232_Critical_6"	-0.0286339015606526	0.0616541119451801	0.0499067233065177	-0.00778247915087487	-0.0494853239704304	0.0240549389998308	0.0992532848905294	0.314418396972269	7.06927419657389
"19"	"238_Critical_VN1"	-0.0233781442290065	0.166347204247403	0.0387292428057865	-0.0302953172107785	-0.0164609712472345	0.111906919858847	0.220787488635959	0.311288323350216	6.90475109532349
"20"	"Critical_1"	-0.0221101632732943	0.117157771637757	0.0521907161244792	-0.0205293023226922	-0.0236910242238965	0.0791529380940081	0.155162605181505	0.289774310348534	7.22886710140614
"21"	"Mixed_33"	-0.0279233991790511	0.0862009858040514	0.0515493863377393	-0.0261592330099417	-0.0296875653481605	0.047745006127296	0.124656965480807	0.24932809708271	7.02266284524764
"22"	"Mixed_19"	-0.0319590677078041	0.0415151789693657	0.0447637138479247	-0.0180148042294192	-0.0459033311861889	0.0032753968476877	0.0797549610910438	0.260101273861041	7.35762753417691
