"item"	"embBias"	"compatibility"	"embBias_one"	"embBias_two"	"embBias_three"	"compatibility_two"	"compatibility_three"	"depth"	"intercept"
"1"	"232_Critical_8"	-0.0243085627073903	0.150673569761082	0.0493804561068301	-0.0226117124833306	-0.02600541293145	0.10654893281564	0.194798206706523	0.282364116373445	7.02744401150584
"2"	"232_Critical_2"	-0.0304688706398679	0.225446955931841	0.0548813141452397	-0.0336248099545073	-0.0273129313252285	0.188125689215821	0.26276822264786	0.258876762012609	6.8234611566331
"3"	"Critical_19"	-0.0475352803015638	0.0625701060841438	0.0488528050362091	-0.0193164075717522	-0.0757541530313755	0.0468342387600589	0.0783059734082287	0.225607645803285	6.84869998006688
"4"	"232_Critical_7"	-0.0346006490289356	0.0729473136354731	0.0587969162670504	-0.0257033615656883	-0.043497936492183	0.0317614544825192	0.114133172788427	0.276416465142126	7.18944754545906
"5"	"232_Critical_0"	-0.0392477140781692	0.0403494212645662	0.0407394565109073	-0.0126371841497992	-0.0658582440065392	0.000863389220399209	0.0798354533087331	0.318516284831429	6.80499657184244
"6"	"238_Critical_Vadv10"	-0.0408220347756225	0.0111133943598604	0.0497839491597227	-0.0124055109238331	-0.0692385586274119	-0.0196308743160033	0.041857663035724	0.292384083678919	7.27530316080287
"7"	"Critical_11"	-0.0373685480329488	0.0649055227131629	0.0416071532914926	-0.0212426515139802	-0.0534944445519174	0.029341702373847	0.100469343052479	0.270923055012288	6.80917039128608
"8"	"Mixed_11"	-0.0266860996726118	0.0197293893810675	0.0491512364223339	-0.0284804096364558	-0.0248917897087677	-0.0142277512104181	0.0536865299725531	0.260588910555962	7.35004548902513
"9"	"238_Critical_VN3"	-0.0225609872474485	0.00238110407102887	0.0546363979894784	-0.027368951474485	-0.017753023020412	-0.0134693912664721	0.0182315994085299	0.327513279375732	7.25601653646389
"10"	"Critical_12"	-0.0370619850541658	-0.0118170185517879	0.049670932674094	-0.00542999121133218	-0.0686939788969994	-0.0265115921082365	0.00287755500466069	0.389353805271686	6.91588780814488
"11"	"Mixed_40"	-0.0303430906401519	0.0723345217906841	0.0493072053275535	-0.0269782435113162	-0.0337079377689876	0.0363360957081355	0.108332947873233	0.261346277301078	7.13327881222598
"12"	"Mixed_43"	-0.0293375993709795	0.130068527550844	0.0531482098980807	-0.0204720299760052	-0.0382031687659538	0.0928654256293708	0.167271629472317	0.271759411286146	6.96691837848784
"13"	"Critical_16"	-0.036817126647241	0.0587244808939643	0.0346782191988106	-0.0167405141431965	-0.0568937391512854	0.0264893941333431	0.0909595676545854	0.308896316985705	6.81872550855529
"14"	"Critical_5"	-0.021829035199626	0.0664976340887951	0.0473388511158696	-0.0157679225829574	-0.0278901478162945	0.0414591019761174	0.0915361662014728	0.296021031575526	7.12210466811528
"15"	"Mixed_13"	-0.0336674736093737	0.0686578222283965	0.0458556741096238	-0.0109321496909621	-0.0564027975277853	0.041454189197655	0.095861455259138	0.324104197771743	6.90067411443653
"16"	"Critical_9"	-0.045708500614166	0.0672688342138867	0.0436944005492799	-0.0102283366632337	-0.0811886645650984	0.0303952341871471	0.104142434240626	0.351589927409712	6.88982171089245
"17"	"Critical_10"	-0.0448494660319839	0.0617762472610392	0.0504419892557973	-0.0157401692841856	-0.0739587627797821	0.0439795436055328	0.0795729509165456	0.323386632941364	6.84879306416639
"18"	"232_Critical_6"	-0.0286640448470018	0.061518305640635	0.0497932386143955	-0.00762549021155494	-0.0497025994824486	0.0240778861257953	0.0989587251554747	0.314442815480271	7.06945017592771
"19"	"238_Critical_VN1"	-0.0234500198911119	0.16507286581472	0.0388707571257721	-0.0303947412912408	-0.016505298490983	0.110395433014641	0.219750298614799	0.311235387255174	6.90498642519569
"20"	"Critical_1"	-0.0221919703962862	0.116137915095069	0.0516780923927667	-0.0210051507820498	-0.0233787900105226	0.0787878654218809	0.153487964768258	0.289140607990879	7.22887895671053
"21"	"Mixed_33"	-0.0276894945450516	0.0846400938152161	0.0516749757429433	-0.0258804950295434	-0.0294984940605598	0.0466999867480208	0.122580200882411	0.251789076756859	7.02256082263745
"22"	"Mixed_19"	-0.0315942779048481	0.0421037611424898	0.0449825626837323	-0.0180023276549851	-0.0451862281547111	0.00371062120360684	0.0804969010813728	0.26038903129477	7.35770808014127
"23"	"238_Critical_VN2"	-0.0403129645189271	0.0654100648122938	0.0479758414800166	-0.0225374260069072	-0.0580885030309471	0.0267261944269027	0.104093935197685	0.261622054925534	7.19620033684122
"24"	"Critical_30"	-0.0339682987987369	0.0670370887798934	0.0450012633184153	-0.0174909084227722	-0.0504456891747017	0.0357253439973687	0.098348833562418	0.30721674810757	6.81003870570492
"25"	"Critical_36"	-0.0322153719344933	0.0410127936766177	0.0447453719202721	-0.0202635224045673	-0.0441672214644193	0.00826223845200753	0.0737633489012278	0.281954923068229	7.10962858743407
"26"	"Critical_24"	-0.0334019347693624	0.0938975260287103	0.0453039498902614	-0.0179905726587381	-0.0488132968799866	0.0611924472487981	0.126602604808622	0.290666442795161	6.87081538182743
"27"	"Mixed_15"	-0.0191667601456414	0.0776118056451394	0.0564007738766001	-0.0257364698016613	-0.0125970504896215	0.0421611555817327	0.113062455708546	0.25498264761414	7.26937122158481
"28"	"238_Critical_VN6"	-0.0374137810246937	-0.0520257580054519	0.049212216553454	-0.0166316409633462	-0.0581959210860411	-0.0798004999562712	-0.0242510160546327	0.293300301688434	7.30253261079527
"29"	"Critical_17"	-0.0334477057018583	-0.0502504060769774	0.0445858614726748	-0.0213947924701225	-0.045500618933594	-0.0719909460735865	-0.0285098660803684	0.325877787332751	6.97894066207002
"30"	"Mixed_39"	-0.0297939698832093	0.151537210528556	0.0548860495118162	-0.0299776730226312	-0.0296102667437874	0.109488126454024	0.193586294603087	0.233466322339592	6.94415255904884
"31"	"238_Critical_VN7"	-0.0337332094871166	0.0947976322380968	0.0502481912389835	-0.0169548237353832	-0.0505115952388499	0.0636661163011376	0.125929148175056	0.279149532340893	7.27279784816184
"32"	"Critical_29"	-0.0279386261610409	0.0774847389803529	0.0493792881332108	-0.021105540544791	-0.0347717117772909	0.0476960540295837	0.107273423931122	0.246801051108493	7.1921077018379
"33"	"Critical_32"	-0.0303595215550004	0.0708534487318396	0.0525879864256684	-0.0227051664001986	-0.0380138767098022	0.035773110075346	0.105933787388333	0.271421521605377	7.20974174314503
"34"	"Mixed_8"	-0.0370567443633765	0.0468731621950573	0.0436752071891477	-0.0197690656047172	-0.0543444231220359	0.01975001213828	0.0739963122518347	0.317023503317501	7.07433441341361
"35"	"Critical_27"	-0.0320470358612491	0.0856376422377	0.0423120655854817	-0.0261193883193289	-0.0379746834031692	0.055197241961734	0.116078042513666	0.269452500574839	7.10693310259593
"36"	"232_Critical_16"	-0.028989545977055	0.0180183861120301	0.0467682360234057	-0.0297162973643499	-0.0282627945897601	0.00220521378908125	0.0338315584349789	0.309841234900301	7.13240519813595
"37"	"232_Critical_23"	-0.0297977722895499	0.00553520798872731	0.0509176739801985	-0.0280066480057248	-0.0315888965733751	-0.0376505177945307	0.0487209337719853	0.287311785358059	7.25035338468861
"38"	"Mixed_7"	-0.0353288022913197	0.050286725521668	0.0456944006838231	-0.0139140414193871	-0.0567435631632523	0.0221563992253283	0.0784170518180077	0.311831262709985	6.95291904923129
"39"	"232_Critical_29"	-0.0218856104750735	0.0593102146415619	0.0518628767722933	-0.0304507552601876	-0.0133204656899594	0.0262576096113244	0.0923628196717993	0.248949257258062	7.45723771432665
"40"	"232_Critical_3"	-0.0334054173312823	0.153971506618823	0.0507042442940196	-0.0149932045723158	-0.0518176300902489	0.117925981671825	0.190017031565822	0.278027854892144	6.88605836612688
"41"	"238_Critical_Vadv5"	-0.0325434022050911	0.0618295724962395	0.0453322161123932	-0.0175430122807758	-0.0475437921294064	0.0227516795423902	0.100907465450089	0.336761304796599	7.21400630987245
"42"	"232_Critical_5"	-0.0301304889660232	0.0442662185237728	0.04877172976491	-0.00645712515341835	-0.053803852778628	0.0198785930564649	0.0686538439910807	0.330997195222819	7.08631848631775
"43"	"238_Critical_Vadv2"	-0.039400978174057	0.0945580882423417	0.0518236496475851	-0.0169519919335722	-0.0618499644145419	0.0562342247050944	0.132881951779589	0.220559969732035	7.26850712922709
"44"	"Critical_4"	-0.0339781703211828	0.0731777949241509	0.043739038065848	-0.0194643743633617	-0.048491966279004	0.0462274650135678	0.100128124834734	0.288584341549014	6.8171559171165
"45"	"232_Critical_15"	-0.0359073334023362	0.0256199937806423	0.0533938413247878	-0.00803128966145889	-0.0637833771432135	-0.00738452805901651	0.0586245156203012	0.319464027233316	7.23605582629675
"46"	"232_Critical_14"	-0.0330450756869012	0.0504387650368714	0.0483107527561318	-0.0156980648267384	-0.050392086547064	0.0225837003655351	0.0782938297082078	0.321352230793801	6.90408733816207
"47"	"232_Critical_12"	-0.0265932504340577	0.142019098669284	0.0561185152513721	-0.0319892334888857	-0.0211972673792297	0.10655379624403	0.177484401094538	0.234092388467007	7.33432947639782
