"deletion_rate"	"predictability_weight"	"condition"	"noun"	"Condition"	"HasRC"	"HasSC"	"compatible"	"EmbeddingBias"	"SurprisalReweighted"	"LogRT"	"rt"
"41"	0.05	1	"critical_incompatible"	"contention"	"SC_in"	FALSE	TRUE	FALSE	-0.650587566141149	7.33534210526316	6.88790787198942	1035.21052631579
"42"	0.05	1	"critical_incompatible"	"declaration"	"SC_in"	FALSE	TRUE	FALSE	-3.80214343753486	8.28408333333333	6.86588129842488	1002.5
"43"	0.05	1	"critical_incompatible"	"disclosure"	"SC_in"	FALSE	TRUE	FALSE	-3.4852804988727	7.89846428571429	6.87549551881561	1018.35714285714
"44"	0.05	1	"critical_incompatible"	"fact"	"SC_in"	FALSE	TRUE	FALSE	-0.372301529788876	6.78676923076923	6.91684055351753	1035.07692307692
"45"	0.05	1	"critical_incompatible"	"impression"	"SC_in"	FALSE	TRUE	FALSE	-0.787062301582269	5.718375	6.93138166594197	1134.66666666667
"46"	0.05	1	"critical_incompatible"	"intuition"	"SC_in"	FALSE	TRUE	FALSE	-1.36636014621907	6.02404166666667	6.90954001317984	1036.58333333333
"47"	0.05	1	"critical_incompatible"	"message"	"SC_in"	FALSE	TRUE	FALSE	-2.63823425350908	7.57929166666667	6.75261580217469	881.083333333333
"48"	0.05	1	"critical_incompatible"	"news"	"SC_in"	FALSE	TRUE	FALSE	-3.06668200460218	7.74825	6.76746321063293	905.071428571429
"49"	0.05	1	"critical_incompatible"	"notion"	"SC_in"	FALSE	TRUE	FALSE	-1.22565894230935	5.82475	6.67232633428172	816.25
"50"	0.05	1	"critical_incompatible"	"opinion"	"SC_in"	FALSE	TRUE	FALSE	-1.18763147838701	5.8284	7.07432932318769	1373.7
"51"	0.05	1	"critical_incompatible"	"proof"	"SC_in"	FALSE	TRUE	FALSE	-2.85064690852377	7.24309090909091	6.9376192797802	1147.18181818182
"52"	0.05	1	"critical_incompatible"	"realization"	"SC_in"	FALSE	TRUE	FALSE	-0.977268418388717	6.28071052631579	6.75983671307645	901.368421052632
"53"	0.05	1	"critical_incompatible"	"remark"	"SC_in"	FALSE	TRUE	FALSE	-3.27834197946862	5.8039375	6.87291961644679	1017.25
"54"	0.05	1	"critical_incompatible"	"report"	"SC_in"	FALSE	TRUE	FALSE	-4.52833936893058	7.195	7.01673007948498	1216.23076923077
"55"	0.05	1	"critical_incompatible"	"sense"	"SC_in"	FALSE	TRUE	FALSE	-1.18238456128549	5.51484210526316	6.78058154383365	935.421052631579
"56"	0.05	1	"critical_incompatible"	"statement"	"SC_in"	FALSE	TRUE	FALSE	-2.13490985171733	7.52279166666667	7.08323679246677	1274.16666666667
"57"	0.05	1	"critical_incompatible"	"story"	"SC_in"	FALSE	TRUE	FALSE	-4.49253905469054	7.3655	7.15565817690722	1453.57142857143
"58"	0.05	1	"critical_incompatible"	"suggestion"	"SC_in"	FALSE	TRUE	FALSE	-1.69397575795232	7.272325	7.10302932113561	1354.45
"59"	0.05	1	"critical_incompatible"	"suspicion"	"SC_in"	FALSE	TRUE	FALSE	-1.44675780959405	5.55339285714286	6.95156782976973	1095.5
"60"	0.05	1	"critical_incompatible"	"truth"	"SC_in"	FALSE	TRUE	FALSE	-4.02569212914745	7.03733333333333	6.89226062601415	1032.4
"61"	0.05	1	"critical_NoSC"	"admission"	"NoSC_ne"	FALSE	FALSE	FALSE	-4.47385855010188	5.54135714285714	6.89323173592371	1069.21428571429
"62"	0.05	1	"critical_NoSC"	"announcement"	"NoSC_ne"	FALSE	FALSE	FALSE	-2.29349828960863	7.5893	6.91907574030485	1063.05
"63"	0.05	1	"critical_NoSC"	"assertion"	"NoSC_ne"	FALSE	FALSE	FALSE	-0.769280360774168	7.6095	6.98187702205342	1090.16666666667
"64"	0.05	1	"critical_NoSC"	"assessment"	"NoSC_ne"	FALSE	FALSE	FALSE	-3.82079821902807	4.89166666666667	6.767701023604	905.555555555556
"65"	0.05	1	"critical_NoSC"	"assumption"	"NoSC_ne"	FALSE	FALSE	FALSE	-0.576562057256959	7.598	7.18080930561883	1413.11111111111
"66"	0.05	1	"critical_NoSC"	"assurance"	"NoSC_ne"	FALSE	FALSE	FALSE	-1.07983917416018	8.40425	7.19142937941942	1457.21428571429
"67"	0.05	1	"critical_NoSC"	"belief"	"NoSC_ne"	FALSE	FALSE	FALSE	-0.455950591043695	8.56341666666667	7.10823272474479	1325.08333333333
"68"	0.05	1	"critical_NoSC"	"complaint"	"NoSC_ne"	FALSE	FALSE	FALSE	-3.95780800629851	6.4485	6.92131397605741	1076.54545454545
"69"	0.05	1	"critical_NoSC"	"conclusion"	"NoSC_ne"	FALSE	FALSE	FALSE	-1.7311988703202	6.41673076923077	6.96866281778796	1206.76923076923
"70"	0.05	1	"critical_NoSC"	"confirmation"	"NoSC_ne"	FALSE	FALSE	FALSE	-3.3360930439149	9.49911764705882	7.07983940289704	1307.64705882353
"71"	0.05	1	"critical_NoSC"	"contention"	"NoSC_ne"	FALSE	FALSE	FALSE	-0.650587566141149	7.1484375	7.14866948665788	1329.5
"72"	0.05	1	"critical_NoSC"	"declaration"	"NoSC_ne"	FALSE	FALSE	FALSE	-3.80214343753486	6.45375	7.09339431829859	1277.42857142857
"73"	0.05	1	"critical_NoSC"	"disclosure"	"NoSC_ne"	FALSE	FALSE	FALSE	-3.4852804988727	6.7	7.10241940357619	1312.88888888889
"74"	0.05	1	"critical_NoSC"	"fact"	"NoSC_ne"	FALSE	FALSE	FALSE	-0.372301529788876	9.615625	7.28888577834036	1571.5
"75"	0.05	1	"critical_NoSC"	"impression"	"NoSC_ne"	FALSE	FALSE	FALSE	-0.787062301582269	7.231625	7.01900183793573	1171.25
"76"	0.05	1	"critical_NoSC"	"intuition"	"NoSC_ne"	FALSE	FALSE	FALSE	-1.36636014621907	8.4698	7.02431934071409	1249.66666666667
"77"	0.05	1	"critical_NoSC"	"message"	"NoSC_ne"	FALSE	FALSE	FALSE	-2.63823425350908	5.30886363636364	7.04243637738757	1264.27272727273
"78"	0.05	1	"critical_NoSC"	"news"	"NoSC_ne"	FALSE	FALSE	FALSE	-3.06668200460218	5.23990909090909	6.91774708653861	1046.36363636364
"79"	0.05	1	"critical_NoSC"	"notion"	"NoSC_ne"	FALSE	FALSE	FALSE	-1.22565894230935	11.1265454545455	7.17255910590265	1339.72727272727
"80"	0.05	1	"critical_NoSC"	"opinion"	"NoSC_ne"	FALSE	FALSE	FALSE	-1.18763147838701	6.9008	7.02164396587187	1203.53333333333
"81"	0.05	1	"critical_NoSC"	"proof"	"NoSC_ne"	FALSE	FALSE	FALSE	-2.85064690852377	9.16769230769231	7.22992184332897	1534.53846153846
"82"	0.05	1	"critical_NoSC"	"realization"	"NoSC_ne"	FALSE	FALSE	FALSE	-0.977268418388717	8.607	7.13208462556486	1336.93333333333
"83"	0.05	1	"critical_NoSC"	"remark"	"NoSC_ne"	FALSE	FALSE	FALSE	-3.27834197946862	4.491125	6.84122889176664	972.125
"84"	0.05	1	"critical_NoSC"	"report"	"NoSC_ne"	FALSE	FALSE	FALSE	-4.52833936893058	6.99921428571429	6.88133934194147	1027.21428571429
"85"	0.05	1	"critical_NoSC"	"sense"	"NoSC_ne"	FALSE	FALSE	FALSE	-1.18238456128549	9.85633333333333	7.12963993477606	1403.83333333333
"86"	0.05	1	"critical_NoSC"	"statement"	"NoSC_ne"	FALSE	FALSE	FALSE	-2.13490985171733	6.767125	6.98680764983486	1111.75
"87"	0.05	1	"critical_NoSC"	"story"	"NoSC_ne"	FALSE	FALSE	FALSE	-4.49253905469054	8.26454545454545	6.88045950614345	1033.45454545455
"88"	0.05	1	"critical_NoSC"	"suggestion"	"NoSC_ne"	FALSE	FALSE	FALSE	-1.69397575795232	7.17371428571429	6.97774204702517	1151.07142857143
"89"	0.05	1	"critical_NoSC"	"suspicion"	"NoSC_ne"	FALSE	FALSE	FALSE	-1.44675780959405	6.832	7.1359125588259	1374.54545454545
"90"	0.05	1	"critical_NoSC"	"truth"	"NoSC_ne"	FALSE	FALSE	FALSE	-4.02569212914745	10.305	7.07357841468352	1243.47058823529
"91"	0.05	1	"critical_SCRC_compatible"	"admission"	"SCRC_co"	TRUE	TRUE	TRUE	-4.47385855010188	6.01297222222222	7.34521390369182	1739.72222222222
"92"	0.05	1	"critical_SCRC_compatible"	"announcement"	"SCRC_co"	TRUE	TRUE	TRUE	-2.29349828960863	6.37555	7.26583297197227	1572
"93"	0.05	1	"critical_SCRC_compatible"	"assertion"	"SCRC_co"	TRUE	TRUE	TRUE	-0.769280360774168	9.1362	7.19988148894485	1445
"94"	0.05	1	"critical_SCRC_compatible"	"assessment"	"SCRC_co"	TRUE	TRUE	TRUE	-3.82079821902807	4.171	7.04693833413722	1322.42857142857
"95"	0.05	1	"critical_SCRC_compatible"	"assumption"	"SCRC_co"	TRUE	TRUE	TRUE	-0.576562057256959	8.09215384615385	7.22189304506812	1439.15384615385
"96"	0.05	1	"critical_SCRC_compatible"	"assurance"	"SCRC_co"	TRUE	TRUE	TRUE	-1.07983917416018	6.81325	7.07217018677914	1293.16666666667
"97"	0.05	1	"critical_SCRC_compatible"	"belief"	"SCRC_co"	TRUE	TRUE	TRUE	-0.455950591043695	6.62122222222222	7.26895340422871	1550.33333333333
"98"	0.05	1	"critical_SCRC_compatible"	"complaint"	"SCRC_co"	TRUE	TRUE	TRUE	-3.95780800629851	6.80257692307692	7.45451033591014	1807.07692307692
"99"	0.05	1	"critical_SCRC_compatible"	"conclusion"	"SCRC_co"	TRUE	TRUE	TRUE	-1.7311988703202	6.514825	7.40144917708158	1772.55
"100"	0.05	1	"critical_SCRC_compatible"	"confirmation"	"SCRC_co"	TRUE	TRUE	TRUE	-3.3360930439149	6.22185714285714	7.6530544877413	2312.71428571429
"101"	0.05	1	"critical_SCRC_compatible"	"contention"	"SCRC_co"	TRUE	TRUE	TRUE	-0.650587566141149	6.99992857142857	7.36319550213085	1617.28571428571
"102"	0.05	1	"critical_SCRC_compatible"	"declaration"	"SCRC_co"	TRUE	TRUE	TRUE	-3.80214343753486	7.01794444444444	7.42879729608524	1766.88888888889
"103"	0.05	1	"critical_SCRC_compatible"	"disclosure"	"SCRC_co"	TRUE	TRUE	TRUE	-3.4852804988727	8.1279375	7.20759248593818	1486
"104"	0.05	1	"critical_SCRC_compatible"	"fact"	"SCRC_co"	TRUE	TRUE	TRUE	-0.372301529788876	6.67685	7.11295287622576	1316.5
"105"	0.05	1	"critical_SCRC_compatible"	"impression"	"SCRC_co"	TRUE	TRUE	TRUE	-0.787062301582269	5.83680769230769	7.22042933405603	1527.69230769231
"106"	0.05	1	"critical_SCRC_compatible"	"intuition"	"SCRC_co"	TRUE	TRUE	TRUE	-1.36636014621907	7.47770833333333	6.97425568886507	1154.25
"107"	0.05	1	"critical_SCRC_compatible"	"message"	"SCRC_co"	TRUE	TRUE	TRUE	-2.63823425350908	5.58071052631579	7.17643564559901	1411.15789473684
"108"	0.05	1	"critical_SCRC_compatible"	"news"	"SCRC_co"	TRUE	TRUE	TRUE	-3.06668200460218	5.04021428571429	7.25038478900484	1545.42857142857
"109"	0.05	1	"critical_SCRC_compatible"	"notion"	"SCRC_co"	TRUE	TRUE	TRUE	-1.22565894230935	7.95215	7.16059910779164	1531.4
"110"	0.05	1	"critical_SCRC_compatible"	"opinion"	"SCRC_co"	TRUE	TRUE	TRUE	-1.18763147838701	7.39061538461538	7.16061460301901	1443.61538461538
"111"	0.05	1	"critical_SCRC_compatible"	"proof"	"SCRC_co"	TRUE	TRUE	TRUE	-2.85064690852377	8.77136666666667	7.09564624282116	1308.33333333333
"112"	0.05	1	"critical_SCRC_compatible"	"realization"	"SCRC_co"	TRUE	TRUE	TRUE	-0.977268418388717	5.85272222222222	7.18607346212765	1380.77777777778
"113"	0.05	1	"critical_SCRC_compatible"	"remark"	"SCRC_co"	TRUE	TRUE	TRUE	-3.27834197946862	6.66291666666667	7.34019926638444	1897.33333333333
"114"	0.05	1	"critical_SCRC_compatible"	"report"	"SCRC_co"	TRUE	TRUE	TRUE	-4.52833936893058	6.52779166666667	7.13876050697301	1459.91666666667
"115"	0.05	1	"critical_SCRC_compatible"	"sense"	"SCRC_co"	TRUE	TRUE	TRUE	-1.18238456128549	5.14358333333333	7.07032950203325	1283.91666666667
"116"	0.05	1	"critical_SCRC_compatible"	"statement"	"SCRC_co"	TRUE	TRUE	TRUE	-2.13490985171733	6.8921875	7.32096887173357	1659
"117"	0.05	1	"critical_SCRC_compatible"	"story"	"SCRC_co"	TRUE	TRUE	TRUE	-4.49253905469054	6.13565384615385	7.45787890937303	1830.69230769231
"118"	0.05	1	"critical_SCRC_compatible"	"suggestion"	"SCRC_co"	TRUE	TRUE	TRUE	-1.69397575795232	6.01909090909091	7.23629308054769	1530.72727272727
"119"	0.05	1	"critical_SCRC_compatible"	"suspicion"	"SCRC_co"	TRUE	TRUE	TRUE	-1.44675780959405	5.8433	7.06142978593619	1278.5
"120"	0.05	1	"critical_SCRC_compatible"	"truth"	"SCRC_co"	TRUE	TRUE	TRUE	-4.02569212914745	7.1885	7.24939165247352	1546.45454545455
"121"	0.05	1	"critical_SCRC_incompatible"	"admission"	"SCRC_in"	TRUE	TRUE	FALSE	-4.47385855010188	5.26781578947368	6.98907742811396	1153.52631578947
"122"	0.05	1	"critical_SCRC_incompatible"	"announcement"	"SCRC_in"	TRUE	TRUE	FALSE	-2.29349828960863	5.8495	6.98781521246291	1170.09090909091
"123"	0.05	1	"critical_SCRC_incompatible"	"assertion"	"SCRC_in"	TRUE	TRUE	FALSE	-0.769280360774168	5.26427272727273	7.26314972114334	1637.72727272727
"124"	0.05	1	"critical_SCRC_incompatible"	"assessment"	"SCRC_in"	TRUE	TRUE	FALSE	-3.82079821902807	7.48475	7.26696484528514	1568.5
"125"	0.05	1	"critical_SCRC_incompatible"	"assumption"	"SCRC_in"	TRUE	TRUE	FALSE	-0.576562057256959	7.05075	6.9935042888056	1234.8125
"126"	0.05	1	"critical_SCRC_incompatible"	"assurance"	"SCRC_in"	TRUE	TRUE	FALSE	-1.07983917416018	7.0385	7.20707041458551	1463.5625
"127"	0.05	1	"critical_SCRC_incompatible"	"belief"	"SCRC_in"	TRUE	TRUE	FALSE	-0.455950591043695	6.2186875	7.13597021934464	1333.4375
"128"	0.05	1	"critical_SCRC_incompatible"	"complaint"	"SCRC_in"	TRUE	TRUE	FALSE	-3.95780800629851	5.18983333333333	7.08328731794627	1376.16666666667
"129"	0.05	1	"critical_SCRC_incompatible"	"conclusion"	"SCRC_in"	TRUE	TRUE	FALSE	-1.7311988703202	5.55507142857143	7.28441900419333	1643.85714285714
"130"	0.05	1	"critical_SCRC_incompatible"	"confirmation"	"SCRC_in"	TRUE	TRUE	FALSE	-3.3360930439149	6.40725	7.18624020464703	1503.625
"131"	0.05	1	"critical_SCRC_incompatible"	"contention"	"SCRC_in"	TRUE	TRUE	FALSE	-0.650587566141149	7.4826	7.43906284710383	1888
"132"	0.05	1	"critical_SCRC_incompatible"	"declaration"	"SCRC_in"	TRUE	TRUE	FALSE	-3.80214343753486	5.832875	7.18479156447152	1580.91666666667
"133"	0.05	1	"critical_SCRC_incompatible"	"disclosure"	"SCRC_in"	TRUE	TRUE	FALSE	-3.4852804988727	8.09666666666667	7.46628177100779	1966.33333333333
"134"	0.05	1	"critical_SCRC_incompatible"	"fact"	"SCRC_in"	TRUE	TRUE	FALSE	-0.372301529788876	7.67540476190476	7.04636122260101	1214.95238095238
"135"	0.05	1	"critical_SCRC_incompatible"	"impression"	"SCRC_in"	TRUE	TRUE	FALSE	-0.787062301582269	6.06966666666667	7.02621611769887	1234.06666666667
"136"	0.05	1	"critical_SCRC_incompatible"	"intuition"	"SCRC_in"	TRUE	TRUE	FALSE	-1.36636014621907	6.14644444444444	7.45217545785858	1879.11111111111
"137"	0.05	1	"critical_SCRC_incompatible"	"message"	"SCRC_in"	TRUE	TRUE	FALSE	-2.63823425350908	7.1784375	7.09621266850152	1318.25
"138"	0.05	1	"critical_SCRC_incompatible"	"news"	"SCRC_in"	TRUE	TRUE	FALSE	-3.06668200460218	7.34027777777778	7.30774502622908	1602.33333333333
"139"	0.05	1	"critical_SCRC_incompatible"	"notion"	"SCRC_in"	TRUE	TRUE	FALSE	-1.22565894230935	7.09	6.89506706660018	1088.5
"140"	0.05	1	"critical_SCRC_incompatible"	"opinion"	"SCRC_in"	TRUE	TRUE	FALSE	-1.18763147838701	8.60225	7.14284353137011	1356.375
"141"	0.05	1	"critical_SCRC_incompatible"	"proof"	"SCRC_in"	TRUE	TRUE	FALSE	-2.85064690852377	7.5671	6.98719481757129	1155.1
"142"	0.05	1	"critical_SCRC_incompatible"	"realization"	"SCRC_in"	TRUE	TRUE	FALSE	-0.977268418388717	8.20841666666667	7.22280683254777	1459.83333333333
"143"	0.05	1	"critical_SCRC_incompatible"	"remark"	"SCRC_in"	TRUE	TRUE	FALSE	-3.27834197946862	7.17004545454545	7.20318973989966	1441.09090909091
"144"	0.05	1	"critical_SCRC_incompatible"	"report"	"SCRC_in"	TRUE	TRUE	FALSE	-4.52833936893058	8.79055555555556	7.23092408451695	1453.33333333333
"145"	0.05	1	"critical_SCRC_incompatible"	"sense"	"SCRC_in"	TRUE	TRUE	FALSE	-1.18238456128549	6.1769	6.97629336423191	1228.5
