"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	4.25800285007253	0.240480637965789	3.81701689138516	4.75514872958177	1.00635249386391	950	1532
"HasRC.C"	-1.76878255110773	0.392878952651655	-2.59194047405576	-1.05015074350889	1.00139130621681	1180	2461
"compatible.C"	-0.259474073495501	0.246175009339064	-0.731919420337861	0.219607958942492	1.00047798598212	3552	3381
"EmbeddingBias.C"	0.015394722689758	0.082479488777013	-0.143169533056379	0.172063741212728	1.00154158738267	2579	2941
"HasSC.C"	-0.112015810797992	0.405987184361498	-1.01790079660534	0.609436342824812	1.00245853880852	1447	1990
"HasRC.C:compatible.C"	-0.0916365279570678	0.445650784759416	-1.03155998543057	0.767376572512124	1.00106319964176	2864	3008
"HasRC.C:EmbeddingBias.C"	-0.194991662215302	0.180137500486813	-0.566951548600882	0.142904921746943	1.00159033548007	2287	2788
"EmbeddingBias.C:HasSC.C"	0.244901202382331	0.226383762062903	-0.191948882222405	0.722688515464203	1.00036248998831	2504	2718
"compatible.C:EmbeddingBias.C"	-0.0768933462672848	0.141407997430968	-0.354964287042925	0.20006759214498	1.00014333479917	4120	2960
