"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	7.06381793427445	0.0209338880069246	7.0237418719576	7.10413989926447	1.00833756038283	821	1673
"HasRC.C"	0.283458052222874	0.0155817008273166	0.251647770259663	0.313509507176427	1.00070925226152	4687	3544
"compatible.C"	0.0716424960189807	0.0157919931856507	0.0410857251036046	0.101691869520043	1.00103134866601	4548	3362
"EmbeddingBias.C"	-0.0157822861586622	0.00452740440547049	-0.0247401096602584	-0.00719422951023533	1.00023822299384	4909	3391
"HasSC.C"	0.0416529692330356	0.0235710671151909	-0.00529412638986609	0.0891891169745871	1.00009308802384	4486	3219
"HasRC.C:compatible.C"	0.0662537572442453	0.0253935274764179	0.01789596460317	0.117111832262787	1.00044212910251	6026	3246
"HasRC.C:EmbeddingBias.C"	-0.0215645455968758	0.0101381764436023	-0.0410848836753884	-0.00162678066664904	1.00056844333041	4925	2705
"EmbeddingBias.C:HasSC.C"	-0.0792060336730373	0.0161989854494333	-0.111133748936962	-0.0473888261530141	0.999761421547021	3813	3357
"compatible.C:EmbeddingBias.C"	-0.0014674047207162	0.00851200567295292	-0.0182953305640213	0.0157307304673944	1.00115987975834	5378	3264
