"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	6.81822086247164	0.0320898773297782	6.75477616317082	6.87931150097188	0.999947903272843	3349.13584100138	3402.52065036257
"EmbeddingBias.C"	-0.0347448774624481	0.0185244869985475	-0.0713137388404512	0.00174801214767323	1.00060483903383	3818.24383638718	3044.60310444565
"HasSC.C"	0.0169487588640204	0.0803764010544632	-0.147763147644068	0.180137885263667	1.00116406803505	2842.58926965769	2452.54010022022
"EmbeddingBias.C:HasSC.C"	-0.113603230449268	0.0380918355999853	-0.189269732103835	-0.0410014774720096	1.00041798669906	3698.2486535732	2818.46356189183
