workerid	byWords	condition	item	sentence	slide_number
0	[{'region': 'The', 'correct': 'yes', 'rt': 468, 'word': 'The'}, {'region': 'rebels', 'correct': 'yes', 'rt': 1074, 'word': 'rebels'}, {'region': 'who', 'correct': 'yes', 'rt': 618, 'word': 'who'}, {'region': 'were', 'correct': 'yes', 'rt': 1128, 'word': 'were'}, {'region': 'in', 'correct': 'yes', 'rt': 585, 'word': 'in'}, {'region': 'the', 'correct': 'no', 'rt': 554, 'word': 'the'}, {'region': 'jungle', 'correct': 'yes', 'rt': 717, 'word': 'jungle'}, {'region': 'captured', 'correct': 'yes', 'rt': 848, 'word': 'captured'}, {'region': 'the', 'correct': 'yes', 'rt': 707, 'word': 'the'}, {'region': 'diplomat', 'correct': 'yes', 'rt': 1038, 'word': 'diplomat'}, {'region': 'after', 'correct': 'yes', 'rt': 984, 'word': 'after'}, {'region': 'they', 'correct': 'yes', 'rt': 928, 'word': 'they'}, {'region': 'threatened', 'correct': 'yes', 'rt': 931, 'word': 'threatened'}, {'region': 'to', 'correct': 'yes', 'rt': 747, 'word': 'to'}, {'region': 'kill', 'correct': 'yes', 'rt': 945, 'word': 'kill'}, {'region': 'his', 'correct': 'yes', 'rt': 692, 'word': 'his'}, {'region': 'family', 'correct': 'yes', 'rt': 786, 'word': 'family'}, {'region': 'for', 'correct': 'yes', 'rt': 848, 'word': 'for'}, {'region': 'not', 'correct': 'yes', 'rt': 1047, 'word': 'not'}, {'region': 'complying', 'correct': 'yes', 'rt': 832, 'word': 'complying'}, {'region': 'with', 'correct': 'yes', 'rt': 596, 'word': 'with'}, {'region': 'their', 'correct': 'yes', 'rt': 711, 'word': 'their'}, {'region': 'demands.', 'correct': 'yes', 'rt': 627, 'word': 'demands.'}]	filler	Filler_51	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	44
0	[{'region': 'REGION_D0', 'correct': 'yes', 'rt': 504, 'word': 'The'}, {'region': 'REGION_N0', 'correct': 'yes', 'rt': 842, 'word': 'fact'}, {'region': 'REGION_0_0', 'correct': 'yes', 'rt': 823, 'word': 'that'}, {'region': 'REGION_0_1', 'correct': 'yes', 'rt': 541, 'word': 'the'}, {'region': 'REGION_0_2', 'correct': 'yes', 'rt': 936, 'word': 'criminal'}, {'region': 'REGION_2_0', 'correct': 'yes', 'rt': 1199, 'word': 'stunned'}, {'region': 'REGION_2_1', 'correct': 'yes', 'rt': 667, 'word': 'everyone'}, {'region': 'REGION_3_0', 'correct': 'yes', 'rt': 651, 'word': 'was'}, {'region': 'REGION_3_1', 'correct': 'yes', 'rt': 1078, 'word': 'disconcerting.'}]	condition_2	Critical_5	The fact that the criminal stunned everyone was disconcerting.	45
0	[{'region': 'After', 'correct': 'yes', 'rt': 553, 'word': 'After'}, {'region': 'the', 'correct': 'yes', 'rt': 944, 'word': 'the'}, {'region': 'argument,', 'correct': 'yes', 'rt': 939, 'word': 'argument,'}, {'region': 'the', 'correct': 'yes', 'rt': 600, 'word': 'the'}, {'region': 'husband', 'correct': 'yes', 'rt': 1338, 'word': 'husband'}, {'region': 'ignored', 'correct': 'yes', 'rt': 867, 'word': 'ignored'}, {'region': 'his', 'correct': 'yes', 'rt': 831, 'word': 'his'}, {'region': 'wife.', 'correct': 'yes', 'rt': 471, 'word': 'wife.'}]	filler	Filler_13	After the argument, the husband ignored his wife.	11
0	[{'region': 'During', 'correct': 'yes', 'rt': 1965, 'word': 'During'}, {'region': 'the', 'correct': 'yes', 'rt': 693, 'word': 'the'}, {'region': 'season,', 'correct': 'yes', 'rt': 1187, 'word': 'season,'}, {'region': 'the', 'correct': 'yes', 'rt': 882, 'word': 'the'}, {'region': 'choir', 'correct': 'yes', 'rt': 949, 'word': 'choir'}, {'region': 'holds', 'correct': 'yes', 'rt': 914, 'word': 'holds'}, {'region': 'rehearsals', 'correct': 'yes', 'rt': 920, 'word': 'rehearsals'}, {'region': 'in', 'correct': 'yes', 'rt': 859, 'word': 'in'}, {'region': 'the', 'correct': 'yes', 'rt': 724, 'word': 'the'}, {'region': 'church', 'correct': 'yes', 'rt': 733, 'word': 'church'}, {'region': 'regularly.', 'correct': 'yes', 'rt': 1063, 'word': 'regularly.'}]	filler	Filler_7	During the season, the choir holds rehearsals in the church regularly.	25
0	[{'region': 'The', 'correct': 'yes', 'rt': 1346, 'word': 'The'}, {'region': 'librarian', 'correct': 'yes', 'rt': 814, 'word': 'librarian'}, {'region': 'put', 'correct': 'yes', 'rt': 689, 'word': 'put'}, {'region': 'the', 'correct': 'yes', 'rt': 653, 'word': 'the'}, {'region': 'book', 'correct': 'yes', 'rt': 933, 'word': 'book'}, {'region': 'onto', 'correct': 'yes', 'rt': 758, 'word': 'onto'}, {'region': 'the', 'correct': 'yes', 'rt': 590, 'word': 'the'}, {'region': 'shelf.', 'correct': 'yes', 'rt': 929, 'word': 'shelf.'}]	filler	Filler_15	The librarian put the book onto the shelf.	28
0	[{'region': 'The', 'correct': 'yes', 'rt': 465, 'word': 'The'}, {'region': 'gangster', 'correct': 'yes', 'rt': 698, 'word': 'gangster'}, {'region': 'who', 'correct': 'yes', 'rt': 723, 'word': 'who'}, {'region': 'the', 'correct': 'yes', 'rt': 857, 'word': 'the'}, {'region': 'detective', 'correct': 'yes', 'rt': 1183, 'word': 'detective'}, {'region': 'at', 'correct': 'yes', 'rt': 822, 'word': 'at'}, {'region': 'the', 'correct': 'yes', 'rt': 606, 'word': 'the'}, {'region': 'club', 'correct': 'yes', 'rt': 849, 'word': 'club'}, {'region': 'followed', 'correct': 'yes', 'rt': 1214, 'word': 'followed'}, {'region': 'implicated', 'correct': 'yes', 'rt': 1808, 'word': 'implicated'}, {'region': 'the', 'correct': 'yes', 'rt': 528, 'word': 'the'}, {'region': 'waitress', 'correct': 'yes', 'rt': 979, 'word': 'waitress'}, {'region': 'because', 'correct': 'yes', 'rt': 521, 'word': 'because'}, {'region': 'the', 'correct': 'yes', 'rt': 729, 'word': 'the'}, {'region': 'police', 'correct': 'yes', 'rt': 1199, 'word': 'police'}, {'region': 'suspected', 'correct': 'yes', 'rt': 1115, 'word': 'suspected'}, {'region': 'he', 'correct': 'yes', 'rt': 655, 'word': 'he'}, {'region': 'had', 'correct': 'yes', 'rt': 620, 'word': 'had'}, {'region': 'murdered', 'correct': 'yes', 'rt': 1312, 'word': 'murdered'}, {'region': 'the', 'correct': 'yes', 'rt': 537, 'word': 'the'}, {'region': 'shopkeeper.', 'correct': 'yes', 'rt': 1156, 'word': 'shopkeeper.'}]	filler	Filler_37	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	33
0	[{'region': 'The', 'correct': 'yes', 'rt': 2364, 'word': 'The'}, {'region': 'customer', 'correct': 'yes', 'rt': 858, 'word': 'customer'}, {'region': 'who', 'correct': 'yes', 'rt': 717, 'word': 'who'}, {'region': 'was', 'correct': 'yes', 'rt': 699, 'word': 'was'}, {'region': 'on', 'correct': 'yes', 'rt': 813, 'word': 'on'}, {'region': 'the', 'correct': 'yes', 'rt': 617, 'word': 'the'}, {'region': 'phone', 'correct': 'yes', 'rt': 776, 'word': 'phone'}, {'region': 'contacted', 'correct': 'yes', 'rt': 1408, 'word': 'contacted'}, {'region': 'the', 'correct': 'yes', 'rt': 762, 'word': 'the'}, {'region': 'operator', 'correct': 'yes', 'rt': 761, 'word': 'operator'}, {'region': 'because', 'correct': 'yes', 'rt': 725, 'word': 'because'}, {'region': 'the', 'correct': 'yes', 'rt': 541, 'word': 'the'}, {'region': 'new', 'correct': 'yes', 'rt': 1493, 'word': 'new'}, {'region': 'long-distance', 'correct': 'yes', 'rt': 2175, 'word': 'long-distance'}, {'region': 'pricing', 'correct': 'yes', 'rt': 1643, 'word': 'pricing'}, {'region': 'plan', 'correct': 'yes', 'rt': 536, 'word': 'plan'}, {'region': 'was', 'correct': 'yes', 'rt': 912, 'word': 'was'}, {'region': 'extremely', 'correct': 'yes', 'rt': 1131, 'word': 'extremely'}, {'region': 'inconvenient.', 'correct': 'yes', 'rt': 1075, 'word': 'inconvenient.'}]	filler	Filler_19	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	19
0	[{'region': 'The', 'correct': 'yes', 'rt': 415, 'word': 'The'}, {'region': 'teacher', 'correct': 'yes', 'rt': 875, 'word': 'teacher'}, {'region': 'doubted', 'correct': 'yes', 'rt': 1104, 'word': 'doubted'}, {'region': 'that', 'correct': 'yes', 'rt': 708, 'word': 'that'}, {'region': 'the', 'correct': 'yes', 'rt': 618, 'word': 'the'}, {'region': 'test', 'correct': 'yes', 'rt': 798, 'word': 'test'}, {'region': 'that', 'correct': 'yes', 'rt': 742, 'word': 'that'}, {'region': 'had', 'correct': 'yes', 'rt': 1440, 'word': 'had'}, {'region': 'taken', 'correct': 'yes', 'rt': 719, 'word': 'taken'}, {'region': 'him', 'correct': 'yes', 'rt': 952, 'word': 'him'}, {'region': 'a', 'correct': 'yes', 'rt': 713, 'word': 'a'}, {'region': 'long', 'correct': 'yes', 'rt': 943, 'word': 'long'}, {'region': 'time', 'correct': 'yes', 'rt': 586, 'word': 'time'}, {'region': 'to', 'correct': 'yes', 'rt': 822, 'word': 'to'}, {'region': 'design', 'correct': 'yes', 'rt': 1282, 'word': 'design'}, {'region': 'would', 'correct': 'yes', 'rt': 1048, 'word': 'would'}, {'region': 'be', 'correct': 'yes', 'rt': 596, 'word': 'be'}, {'region': 'easy', 'correct': 'yes', 'rt': 728, 'word': 'easy'}, {'region': 'to', 'correct': 'yes', 'rt': 1191, 'word': 'to'}, {'region': 'answer.', 'correct': 'yes', 'rt': 1175, 'word': 'answer.'}]	filler	Filler_54	The teacher doubted that the test that had taken him a long time to design would be easy to answer.	27
0	[{'region': 'The', 'correct': 'yes', 'rt': 393, 'word': 'The'}, {'region': 'sportsman', 'correct': 'yes', 'rt': 784, 'word': 'sportsman'}, {'region': 'goes', 'correct': 'yes', 'rt': 1049, 'word': 'goes'}, {'region': 'jogging', 'correct': 'yes', 'rt': 1342, 'word': 'jogging'}, {'region': 'in', 'correct': 'yes', 'rt': 649, 'word': 'in'}, {'region': 'the', 'correct': 'yes', 'rt': 654, 'word': 'the'}, {'region': 'park', 'correct': 'yes', 'rt': 662, 'word': 'park'}, {'region': 'regularly.', 'correct': 'yes', 'rt': 923, 'word': 'regularly.'}]	filler	Filler_18	The sportsman goes jogging in the park regularly.	37
0	[{'region': 'REGION_D0', 'correct': 'yes', 'rt': 447, 'word': 'The'}, {'region': 'REGION_N0', 'correct': 'yes', 'rt': 1128, 'word': 'assessment'}, {'region': 'REGION_0_0', 'correct': 'yes', 'rt': 434, 'word': 'that'}, {'region': 'REGION_0_1', 'correct': 'yes', 'rt': 795, 'word': 'the'}, {'region': 'REGION_0_2', 'correct': 'yes', 'rt': 835, 'word': 'politician'}, {'region': 'REGION_2_0', 'correct': 'yes', 'rt': 901, 'word': 'was'}, {'region': 'REGION_2_1', 'correct': 'no', 'rt': 4904, 'word': 'refuted'}, {'region': 'REGION_3_0', 'correct': 'yes', 'rt': 857, 'word': 'did'}, {'region': 'REGION_3_1', 'correct': 'yes', 'rt': 725, 'word': 'not'}, {'region': 'REGION_3_2', 'correct': 'yes', 'rt': 693, 'word': 'bother'}, {'region': 'REGION_3_3', 'correct': 'yes', 'rt': 589, 'word': 'the'}, {'region': 'REGION_3_4', 'correct': 'yes', 'rt': 1550, 'word': 'farmer.'}]	condition_2	Critical_8	The assessment that the politician was refuted did not bother the farmer.	39
