Noun	theNOUN	theNOUNthat
, probability	0	0
.git	0	0
README.md	0	0
accident	3780	133
accusation	591	124
admission	530	34
allegation	608	146
amazement	87	4
annnouncement	0	0
announcement	2680	215
answer	19863	200
anticipation	468	31
argument	6640	1716
assertion	716	358
assessment	2955	41
assumption	3919	2348
assurance	353	145
beginning	30574	360
belief	3861	2753
bet	409	16
bid	614	4
bond	2147	64
care	3203	115
certainty	637	165
chance	10094	570
charge	3529	380
claim	2897	1075
coincidence	232	14
complaint	1486	70
concept	12176	450
concern	2309	276
conclusion	4771	1937
condition	4547	511
confidence	2276	237
confirmation	759	20
conjecture	43	12
contention	474	293
conviction	1246	494
correspondence	463	10
criticism	1975	255
day	68333	1612
decision	14594	470
declaration	2159	50
defense	15818	114
defensive	2089	0
delusion	159	71
demand	3601	95
desire	4484	41
disappointment	501	34
disbelief	59	3
disclosure	648	56
disqualification	30	0
doubt	938	45
dream	5161	111
duck	686	3
effect	14232	822
estimate	631	13
estimation	297	0
event	12651	846
evidence	12882	1024
expectation	1610	605
extent	14284	3622
fact	73381	57928
fear	5830	862
feeling	7426	1934
figure	5470	92
finding	1664	688
forecast	722	13
function	1841	34
gamble	243	10
ground	47527	569
grounds	4192	1322
guarantee	305	22
guess	102	6
hand	6357	429
hope	5215	1646
hunch	36	11
idea	46709	11856
implication	1455	269
impression	5027	2640
indication	124	33
indicator	224	1
information	16987	1290
inkling	9	1
insight	384	76
insinuation	69	25
insistence	392	65
instruction	1153	32
insurance	4076	17
intention	1616	32
intuition	111	35
joy	2589	118
justification	546	22
knowledge	5968	1429
law	34454	619
lie	1003	91
likelihood	4866	1339
meaning	6727	75
message	11880	1441
myth	2356	369
nervousness	75	5
news	24387	1369
note	2492	71
notice	606	10
notion	12292	5520
objection	303	40
observation	1595	397
odds	5107	332
opinion	2196	488
optimism	369	42
perception	3424	892
point	34625	3198
position	8259	843
possibility	17981	4577
precedent	408	31
prediction	798	76
premonition	28	9
presumption	779	199
pretext	289	31
principle	4324	615
probability	2526	568
projection	473	6
promise	4700	286
proof	1214	107
proposal	3638	138
prospect	6097	337
prospects	1977	37
protest	1075	16
provision	2254	86
proviso	177	56
question	45115	1419
realization	2184	1124
reason	21566	1740
reassurance	139	36
recognition	2025	493
reflection	849	22
relief	1557	40
remark	531	29
reminder	217	61
report	13207	288
request	2690	54
requirement	1423	395
research	12507	327
resolution	2850	93
responsibility	4905	123
result	20679	470
retort	54	10
revelation	921	213
rise	9236	5
risk	15007	650
rule	6930	224
ruling	3977	47
rumbling	220	4
rumor	775	151
self-confidence	89	8
sense	12043	4604
showing	135	0
sign	3883	162
signal	2379	155
skepticism	218	15
speculation	474	60
stand	3545	50
statement	4413	527
story	46069	1197
stress	3088	103
suggestion	1979	793
suspicion	521	212
talk	3965	64
theory	6017	1010
thought	8898	1198
threat	8798	323
time	136483	3328
truth	31646	332
understanding	2225	565
view	10184	1730
way	166841	6009
wish	475	38
word	28967	647
work	30662	1308
worry	615	78
