deletion_rate	predictability_weight	AICRaw	AIC	AICFull	N1	0.35	1	5190.077	5207.055	4673.931	5332	
2	0.5	1	4959.03	4954.922	4668.558	5332	
3	0.55	1	4848.157	4850.051	4668.713	5332	
4	0.75	1	5263.005	5269.856	4679.451	5332	
5	0.65	1	4985.399	4994.117	4674.283	5332	
6	0.95	1	5274.528	5252.4	4601.242	5219	
7	0.3	1	5107.628	5121.586	4670.581	5332	
8	0.25	1	5077.181	5088.348	4665.791	5332	
9	0.7	1	5113.802	5129.641	4681.818	5332	
10	0.15	1	5281.377	5287.679	4678.756	5332	
11	0.85	1	5418.177	5356.74	4679.898	5332	
12	0.45	1	4938.897	4934.921	4665.958	5332	
13	0.8	1	5416.989	5356.732	4685.302	5332	
14	0.1	1	5257.625	5268.587	4677.245	5332	
15	0.6	1	4860.74	4869.321	4675.368	5332	
16	0.05	1	5295.837	5298.741	4678.733	5332	
17	0.2	1	5168.727	5185.591	4667.811	5332	
18	0.4	1	4926.364	4921.831	4664.867	5332	
19	0.9	1	5348.38	5333.078	4678.734	5332	
