deletion_rate	predictability_weight	AICRaw	AIC	AICFull	N	None
1	0.35	1	2367.422	2381.012	2363.461	2095	
2	0.75	1	2406.175	2398.146	2369.834	2095	
3	0.15	0.5	2387.422	2394.341	2365.709	2095	
4	0.65	0.5	2374.947	2386.616	2367.762	2095	
5	0.5	1	2363.61	2377.76	2362.735	2095	
6	0.55	0.75	2362.836	2375.859	2362.886	2095	
7	0.45	0	2355.52	2369.147	2361.778	2095	
8	0.5	0.5	2352.875	2366.613	2361.05	2095	
9	0.4	0.25	2367.564	2380.687	2365.022	2095	
10	0.05	0.5	2387.636	2394.378	2365.624	2095	
11	0.75	0.5	2409.388	2397.742	2369.174	2095	
12	0.4	1	2364.67	2378.935	2362.797	2095	
13	0.6	0	2386.815	2394.832	2369.687	2095	
14	0.8	1	2411.536	2396.943	2370.072	2095	
15	0.35	0	2389.4	2395.694	2366.929	2095	
16	0.55	0.5	2364.439	2376.921	2363.441	2095	
17	0.45	0.5	2349.945	2364.164	2360.76	2095	
18	0.4	0.75	2366.926	2381.006	2362.843	2095	
19	0.3	0.25	2387.93	2394.58	2365.807	2095	
20	0.6	0.75	2365.564	2378.405	2364.519	2095	
21	0.5	0.75	2366.115	2380.291	2364.819	2095	
22	0.65	0	2394.129	2398.185	2369.53	2095	
23	0.55	0.25	2375.772	2387.965	2365.699	2095	
24	0.15	0.75	2388.035	2394.618	2365.912	2095	
25	0.85	0.5	2404.862	2397.039	2369.573	2095	
26	0.55	0	2378.634	2390.291	2367.472	2095	
27	0.4	0.5	2012.288	2021.623	2007.228	1745	
28	0.35	0.5	2380.394	2390.88	2365.451	2095	
29	0.4	0	2376.635	2388.55	2364.34	2095	
30	0.45	1	2361.647	2375.986	2361.313	2095	
31	0.6	0.5	2367.254	2378.788	2366.419	2095	
32	0.8	0.75	2410.93	2397.549	2370.126	2095	
33	0.5	0	2364.307	2377.223	2366.346	2095	
34	0.7	1	2400.882	2398.656	2369.345	2095	
35	0.2	1	2370.679	2383.889	2363.122	2095	
36	0.95	0	630.5481	642.0817	635.7209	537	
37	0.6	1	2369.163	2382.422	2364.699	2095	
38	0.2	0.25	2384.576	2390.513	2362.5	2090	
39	0.55	1	2367.289	2380.84	2364.13	2095	
40	0.75	0.75	2403.661	2398.888	2370.215	2095	
41	0.25	1	2361.322	2375.677	2361.064	2095	
42	0.1	0	2388.566	2394.823	2365.936	2095	
43	0.65	1	2376.067	2388.192	2366.48	2095	
44	0.7	0.5	2394.782	2397.784	2368.771	2095	
45	0.85	0.25	2402.782	2396.967	2369.663	2095	
46	0.05	0	2318.794	2324.277	2297.348	2043	
47	0.75	0	2393.538	2397.812	2368.777	2095	
48	0.05	0.25	2388.547	2394.785	2365.893	2095	
49	0.9	1	2406.213	2397.662	2370.026	2095	
50	0.85	1	2410.387	2397.178	2369.95	2095	
51	0.8	0.5	2413.633	2394.959	2369.918	2095	
52	0.7	0.75	2394.108	2397.831	2367.84	2095	
53	0.6	0.25	2399.831	2398.616	2369.983	2095	
54	0.3	1	2365.224	2379.549	2361.965	2095	
55	0.2	0	2388.363	2394.788	2365.856	2095	
56	0.45	0.75	2367.452	2381.557	2362.546	2095	
57	0.95	1	2396.715	2398.191	2369.757	2095	
58	0.9	0.5	2402.219	2397.541	2369.721	2095	
59	0.1	1	2382.592	2391.726	2365.398	2095	
60	0.85	0.75	1723.553	1707.244	1693.451	1471	
61	0.3	0.75	2387.824	2394.622	2366.207	2095	
62	0.35	0.25	2386.807	2394.238	2367.1	2095	
63	0.2	0.5	2387.294	2394.33	2366.182	2095	
64	0.9	0.25	850.9525	857.0821	858.2595	759	
65	0.5	0.25	2384.104	2391.703	2367.572	2095	
66	0.05	1	2387.221	2394.282	2365.662	2095	
67	0.25	0.25	2388.365	2394.747	2365.935	2095	
68	0.85	0	2360.822	2348.478	2321.191	2036	
69	0.7	0.25	2390.778	2396.49	2370.255	2095	
70	0.1	0.25	2264.993	2271.372	2246.728	1974	
71	0.95	0.75	1730.768	1726.405	1718.189	1477	
72	0.05	0.75	2388.978	2395.058	2366.07	2095	
73	0.1	0.5	2388.837	2394.972	2366.239	2095	
74	0.3	0.5	2388.309	2394.978	2366.229	2095	
75	0.15	1	2382.189	2392.016	2364.491	2095	
76	0.65	0.75	2376.278	2388.85	2368.136	2095	
77	0.15	0	2388.987	2395.041	2366.238	2095	
78	0.65	0.25	2386.321	2395.313	2366.78	2095	
79	0.95	0.5	1825.203	1821.858	1814.336	1575	
80	0.45	0.25	2366.337	2379.363	2363.569	2095	
81	0.1	0.75	2387.742	2394.388	2365.621	2095	
82	0.75	0.25	2256.104	2235.199	2210.17	1960	
83	0.25	0.75	2382.056	2391.699	2365.06	2095	
84	0.2	0.75	2388.335	2394.752	2365.554	2095	
85	0.7	0	2401.422	2398.318	2369.765	2095	
86	0.35	0.75	2378.933	2389.136	2363.319	2095	
87	0.25	0.5	2388.293	2394.743	2365.845	2095	
88	0.9	0	2350.581	2349.716	2324.758	2045	
89	0.95	0.25	2403.512	2398.158	2369.819	2095	
90	0.3	0	2381.143	2391.299	2366.061	2095	
91	0.25	0	2383.025	2392.26	2364.35	2095	
92	0.8	0	2377.257	2388.103	2362.008	2095	
