deletion_rate	predictability_weight	AICRaw	AIC	AICFull	N	None
1	0.35	1	5133.997	5148.815	4670.314	5332	
2	0.45	0	5173.803	5189.883	4653.378	5332	
3	0.8	1	5405.908	5355.253	4680.9	5332	
4	0.65	1	4935.593	4941.513	4677.646	5332	
5	0.85	1	5399.39	5354.086	4677.987	5332	
6	0.6	0	4470.084	4466.196	3897.57	4439	
7	0.4	0	5257.964	5271.104	4666.937	5332	
8	0.05	0.5	4831.772	4831.971	4256.191	4820	
9	0.4	1	5000.602	5001.572	4668.403	5332	
10	0.3	0.25	5304.483	5304.948	4680.947	5332	
11	0.7	1	5079.403	5093.865	4680.596	5332	
12	0.1	1	5259.092	5269.821	4677.167	5332	
13	0.45	1	4982.273	4978.925	4662.783	5332	
14	0.4	0.25	5191.509	5208.258	4668.802	5332	
15	0.5	1	4959.472	4956.18	4667.615	5332	
16	0.6	0.5	5316.235	5306.888	4670.068	5332	
17	0.3	1	5085.585	5096.345	4666.255	5332	
18	0.5	0.75	5040.593	5047.13	4668.327	5332	
19	0.6	1	4869.414	4872.402	4669.218	5332	
20	0.65	0.5	4274.599	4289.787	3893.299	4439	
21	0.15	0.5	5298.655	5301.037	4679.227	5332	
22	0.2	1	5143.666	5159.338	4669.92	5332	
23	0.55	0.75	4901.207	4899.486	4660.961	5332	
24	0.55	0.25	5213.005	5226.635	4656.365	5332	
25	0.6	0.75	5164.314	5180.796	4672.024	5332	
26	0.55	0	5262.923	5272.548	4674.598	5332	
27	0.5	0.5	5143.636	5159.755	4665.342	5332	
28	0.75	1	5269.883	5274.995	4677.524	5332	
29	0.15	1	5271.094	5280.245	4675.178	5332	
30	0.4	0.75	5187.598	5204.844	4670.424	5332	
31	0.75	0.5	5265.698	5269.65	4679.977	5332	
32	0.55	1	4839.835	4842.108	4667.685	5332	
33	0.95	1	5361.421	5340.716	4677.813	5332	
34	0.5	0	5173.62	5187.021	4667.451	5332	
35	0.05	1	5298.719	5300.835	4678.892	5332	
36	0.35	0.5	5264.582	5275.57	4673.953	5332	
37	0.8	0.75	5388.808	5349.002	4691.314	5332	
38	0.45	0.5	5140.965	5157.623	4663.059	5332	
39	0.35	0	5301.293	5303.922	4678.244	5332	
40	0.15	0.75	4459.892	4460.674	3900.99	4439	
41	0.65	0	5315.029	5313.063	4673.93	5332	
42	0.4	0.5	4419.872	4429.682	3892.176	4439	
43	0.9	1	5348.331	5333.825	4679.945	5332	
44	0.85	0.5	5350.411	5332.829	4679.209	5332	
45	0.25	1	5043.836	5051.655	4665.185	5332	
46	0.55	0.5	4944.153	4956.266	4517.506	5132	
47	0.75	0	5400.85	5355.587	4707.073	5332	
48	0.95	0	890.8405	883.367	851.3455	893	
49	0.7	0	5418.323	5354.007	4718.653	5332	
50	0.9	0.5	5331.173	5322.138	4681.699	5332	
51	0.8	0	1515.318	1494.403	1408.62	1508	
52	0.8	0.5	5393.644	5351.274	4676.915	5332	
53	0.3	0.75	5278.01	5285.361	4680.974	5332	
54	0.85	0.25	5175.515	5161.005	4567.437	5175	
55	0.6	0.25	5213.062	5226.769	4674.342	5332	
56	0.2	0	5306.566	5306.585	4679.942	5332	
57	0.75	0.75	5359.277	5334.492	4686.616	5332	
58	0.95	0.5	1334.485	1328.257	1271.903	1321	
59	0.95	0.75	1330.505	1337.73	1199.559	1180	
60	0.25	0.75	5267.91	5277.549	4674.12	5332	
61	0.3	0.5	5296.911	5300.088	4681.978	5332	
62	0.7	0.75	5107.067	5123.662	4692.51	5332	
63	0.65	0.75	5086.731	5100.665	4684.553	5332	
64	0.35	0.75	5187.303	5204.232	4678.528	5332	
65	0.2	0.5	5293.94	5297.55	4679.153	5332	
66	0.35	0.25	854.9649	868.3209	842.7211	893	
67	0.85	0.75	2417.555	2393.959	2173.843	2346	
68	0.9	0	5225.566	5210.861	4623.585	5176	
69	0.1	0.25	4808.643	4808.573	4262.27	4789	
70	0.9	0.25	885.072	884.0801	847.4475	893	
71	0.1	0.5	5304.161	5304.722	4680.101	5332	
72	0.7	0.5	5203.446	5215.248	4675.527	5332	
73	0.7	0.25	5340.871	5324.581	4684.046	5332	
74	0.5	0.25	5207.054	5215.08	4674.084	5332	
75	0.3	0	5279.2	5286.993	4677.209	5332	
76	0.45	0.25	5196.864	5213.249	4668.064	5332	
77	0.45	0.75	5124.896	5138.608	4664.082	5332	
78	0.2	0.75	5305.013	5305.35	4679.815	5332	
79	0.1	0.75	5302.885	5303.615	4679.527	5332	
80	0.65	0.25	4975.864	4990.239	4452.462	5074	
81	0.05	0.25	4464.154	4463.545	3900.27	4439	
82	0.2	0.25	4461.077	4460.003	3897.001	4430	
83	0.05	0	4464.101	4463.537	3900.627	4439	
84	0.95	0.25	4490.63	4480.047	3904.107	4439	
85	0.25	0.5	4462.227	4462.347	3901.146	4439	
86	0.75	0.25	4444.64	4442.359	3902.46	4439	
