LowerCaseToken	Frequency
cry	1745
satisfied	2170
recognized	1554
ignored	2040
impressed	1702
vendor	195
hated	969
historian	471
grandmother	486
stranger	785
attacked	1589
singer	539
cigarettes	561
hurt	2602
apartment	385
backed	1621
keeper	391
novels	371
mayor	679
shelf	724
guess	1725
kim	294
opponent	532
dancing	1426
opposed	1496
defender	246
delighted	1683
reporter	450
remark	865
packages	596
injured	1634
confirmation	660
complained	1223
assignment	328
welcomed	1428
rally	690
dean	761
feared	1327
quoted	1675
politician	503
photographer	474
damaged	1619
tutor	428
bothered	1063
foolish	715
crack	1064
disappointed	1582
surgeon	452
kicked	969
upset	2192
painter	505
rebels	459
absurd	587
bride	433
confused	2025
businessman	528
butler	517
phoned	676
jeremy	370
questioned	1217
fix	983
acknowledged	1475
jungle	452
murdered	964
choir	385
talented	471
disclosure	354
assertion	455
cook	1778
dated	968
captured	1219
lazy	516
scared	896
administrators	377
homework	345
frightened	1702
investor	245
defeated	1106
suspected	1467
interviewed	942
librarian	173
jill	227
gardener	318
encountered	1285
gaining	950
fired	1253
demonstrators	217
tribe	288
hopeful	485
cardboard	450
greeted	970
consulted	841
thief	340
incorrect	414
disturbed	1270
contention	445
administrator	366
deserved	686
criticized	522
fits	924
shocked	1396
therapist	138
dragon	382
alien	798
runner	355
puzzled	831
convicted	826
marathon	370
headlines	527
blamed	952
attorney	262
censorship	231
sponsors	445
coroner	227
contacted	740
shepherd	500
mansion	358
instructed	893
musician	311
analyst	403
interrupted	949
assignments	209
relied	978
knight	524
admired	851
banker	317
trainee	301
thanked	482
realization	285
spider	330
chef	311
heroic	413
troubled	1029
sculptures	173
motivated	757
excited	1366
stack	404
philosopher	332
recruited	664
assisted	820
dancer	263
trader	212
processed	580
pastry	191
warden	333
rescued	606
commanded	527
hired	980
wounded	1037
corrupt	371
presumption	235
apprentice	290
firemen	177
guitarist	130
credible	304
doubted	534
sailor	252
disliked	465
tackled	583
salesman	282
sponsor	478
intuition	264
trusted	821
receptionist	194
unnoticed	333
diagnosed	427
robot	161
dinosaurs	135
foreman	243
terrified	862
psychiatrist	224
senator	265
natives	190
baseball	240
allegation	215
markings	199
travels	665
lab	294
survivor	228
sculptor	143
rehearsals	152
preacher	191
leak	363
banquet	204
technician	218
josh	50
athlete	197
malicious	228
amazed	803
bogus	184
horrified	578
diplomat	229
pianist	170
fbi	111
fisherman	218
divorced	704
reptiles	94
pricing	705
devastated	470
amused	813
inconvenient	249
stunned	646
teased	278
retiring	537
delivers	262
carpenter	298
astonished	593
untrue	212
implicated	300
annoyed	736
waitress	175
entrepreneur	196
repaired	459
cured	386
supervised	501
robbed	459
discouraged	440
offended	458
craftsman	168
anthropologist	87
punched	334
hilarious	187
entertained	464
annoying	353
shoots	377
startled	724
sued	316
parishioners	112
distracted	420
bully	267
garbage	182
smear	219
shopkeeper	148
misled	248
cheered	383
assaulted	289
plumber	137
traction	126
turtle	124
chatted	236
elevator	85
organizer	117
instituted	305
acquitted	277
deceived	251
beggar	150
onlookers	140
authorized	317
sportsman	125
disconcerting	215
milkman	123
swimmer	114
extremist	115
mathematician	110
dismayed	248
implausible	117
flattered	274
complying	124
poisoned	350
casino	125
long-distance	200
oysters	81
comforted	261
gangster	99
baffled	316
tracked	235
jogging	206
vindicated	182
intimidated	207
calmed	222
cheated	260
crippled	328
tricked	162
saddened	173
hippies	109
loathed	135
violinist	78
pharmacist	65
passer-by	96
worshipped	186
enchanted	202
abducted	143
insulted	184
believable	72
harassed	256
thug	70
sonatas	29
detested	133
interrogated	134
doorman	60
unnerving	154
bureaucrat	60
reprimanded	102
astronaut	52
scolded	97
exasperated	266
idiotic	80
fiance	58
townspeople	61
environmentalist	90
apprehended	121
showman	56
enraged	220
biker	51
cartoonist	56
distrusted	86
displeased	122
cookies	38
captivated	105
medic	45
refuted	104
quarterback	27
pressured	104
scolding	68
drunkard	45
according	110
trickster	33
divorcee	43
booed	76
bribed	104
starlet	33
ceo	57
locksmith	26
emboldened	61
bartender	29
paramedic	23
chills	38
semester	22
punctually	29
daredevil	35
janitor	14
outwitted	43
mistrusted	40
faked	84
theater	28
laundered	67
insinuation	18
impeached	26
newscaster	20
defrauded	28
arsonist	18
firefighter	20
lifesaver	15
disheartened	40
intern	21
cheerleader	11
flummoxed	22
idolized	18
scrounging	25
neighbor	5
roommate	5
couldn't	6
else's	3
pediatrician	1
office-worker	1
counselor	1
